2007_08,2008_09,2009_10,2010_11,2011_12,2012_13,2013_14,2014_15,2015_16,2016_17,district,district_code,school,school_code,total,year
,426,,,,,,,,,Stamford School District,1350011,Hart School,1352211,426,2008-09
,596,,,,,,,,,Stamford School District,1350011,Julia A. Stark School,1351211,596,2008-09
,540,,,,,,,,,Stamford School District,1350011,K. T. Murphy School,1350511,540,2008-09
,629,,,,,,,,,Stamford School District,1350011,Newfield School,1350611,629,2008-09
,794,,,,,,,,,Stamford School District,1350011,Northeast School,1351811,794,2008-09
,64,,,,,,,,,Stamford School District,1350011,Preschool Team,1358011,64,2008-09
,746,,,,,,,,,Stamford School District,1350011,Rippowam Middle School,1355811,746,2008-09
,533,,,,,,,,,Stamford School District,1350011,Rogers International School,1350811,533,2008-09
,662,,,,,,,,,Stamford School District,1350011,Roxbury School,1350911,662,2008-09
,615,,,,,,,,,Stamford School District,1350011,Scofield Middle School,1355711,615,2008-09
,572,,,,,,,,,Stamford School District,1350011,Springdale School,1351111,572,2008-09
,1662,,,,,,,,,Stamford School District,1350011,Stamford High School,1356111,1662,2008-09
,627,,,,,,,,,Stamford School District,1350011,Stillmeadow School,1352111,627,2008-09
,605,,,,,,,,,Stamford School District,1350011,The Academy of Information Technology,1356411,605,2008-09
,487,,,,,,,,,Stamford School District,1350011,Toquam Magnet School,1351911,487,2008-09
,595,,,,,,,,,Stamford School District,1350011,Turn of River School,1355511,595,2008-09
,2339,,,,,,,,,Stamford School District,1350011,Westhill High School,1356311,2339,2008-09
,648,,,,,,,,,Stamford School District,1350011,Westover School,1351411,648,2008-09
,513,,,,,,,,,Sterling School District,1360011,Sterling Community School,1360311,513,2008-09
,519,,,,,,,,,Stonington School District,1370011,Deans Mill School,1370511,519,2008-09
,419,,,,,,,,,Stonington School District,1370011,Mystic Middle School,1375211,419,2008-09
,362,,,,,,,,,Stonington School District,1370011,Pawcatuck Middle School,1375111,362,2008-09
,15,,,,,,,,,Stonington School District,1370011,Special Needs Preschool Program,1378011,15,2008-09
,784,,,,,,,,,Stonington School District,1370011,Stonington High School,1376111,784,2008-09
,178,,,,,,,,,Stonington School District,1370011,West Broad Street School,1370411,178,2008-09
,231,,,,,,,,,Stonington School District,1370011,West Vine Street School,1370611,231,2008-09
,518,,,,,,,,,Stratford School District,1380011,Eli Whitney School,1381311,518,2008-09
,1312,,,,,,,,,Stratford School District,1380011,Bunnell High School,1386211,1312,2008-09
,531,,,,,,,,,Stratford School District,1380011,Chapel School,1380311,531,2008-09
,571,,,,,,,,,Stratford School District,1380011,David Wooster Middle School,1385211,571,2008-09
,358,,,,,,,,,Stratford School District,1380011,Franklin School,1380411,358,2008-09
,608,,,,,,,,,Stratford School District,1380011,Harry B. Flood Middle School,1385311,608,2008-09
,216,,,,,,,,,Stratford School District,1380011,Lordship School,1380811,216,2008-09
,398,,,,,,,,,Stratford School District,1380011,Nichols School,1380911,398,2008-09
,703,,,,,,,,,Stratford School District,1380011,Second Hill Lane School,1381011,703,2008-09
,689,,,,,,,,,Stratford School District,1380011,Stratford Academy - Johnson House,1381511,689,2008-09
,988,,,,,,,,,Stratford School District,1380011,Stratford High School,1386111,988,2008-09
,11,,,,,,,,,Stratford School District,1380011,Strive-Stratford,1389011,11,2008-09
,396,,,,,,,,,Stratford School District,1380011,Wilcoxson School,1381411,396,2008-09
,544,,,,,,,,,Suffield School District,1390011,A. Ward Spaulding School,1390411,544,2008-09
,573,,,,,,,,,Suffield School District,1390011,McAlister Intermediate School,1390311,573,2008-09
,837,,,,,,,,,Suffield School District,1390011,Suffield High School,1396111,837,2008-09
,615,,,,,,,,,Suffield School District,1390011,Suffield Middle School,1395111,615,2008-09
,262,,,,,,,,,The Bridge Academy District,2690013,The Bridge Academy,2696113,262,2008-09
,400,,,,,,,,,The Gilbert School District,9020022,The Gilbert School,9026122,400,2008-09
,382,,,,,,,,,Thomaston School District,1400011,Black Rock School,1400111,382,2008-09
,282,,,,,,,,,Thomaston School District,1400011,Thomaston Center School,1400211,282,2008-09
,555,,,,,,,,,Thomaston School District,1400011,Thomaston High School,1406211,555,2008-09
,538,,,,,,,,,Thompson School District,1410011,Mary R. Fisher Elementary School,1410111,538,2008-09
,459,,,,,,,,,Thompson School District,1410011,Thompson Middle School,1415111,459,2008-09
,392,,,,,,,,,Thompson School District,1410011,Tourtellotte Memorial High School,1416111,392,2008-09
,716,,,,,,,,,Tolland School District,1420011,Birch Grove Primary School,1420111,716,2008-09
,899,,,,,,,,,Tolland School District,1420011,Tolland High School,1426111,899,2008-09
,761,,,,,,,,,Tolland School District,1420011,Tolland Intermediate School,1420211,761,2008-09
,771,,,,,,,,,Tolland School District,1420011,Tolland Middle School,1425111,771,2008-09
,460,,,,,,,,,Torrington School District,1430011,East School,1430111,460,2008-09
,397,,,,,,,,,Torrington School District,1430011,Forbes School,1430211,397,2008-09
,295,,,,,,,,,Torrington School District,1430011,Southwest School,1430811,295,2008-09
,669,,,,,,,,,Torrington School District,1430011,Torringford School,1430911,669,2008-09
,1241,,,,,,,,,Torrington School District,1430011,Torrington High School,1436111,1241,2008-09
,1114,,,,,,,,,Torrington School District,1430011,Torrington Middle School,1435111,1114,2008-09
,459,,,,,,,,,Torrington School District,1430011,Vogel-Wetmore School,1431311,459,2008-09
,150,,,,,,,,,Trailblazers Academy District,2780013,Trailblazers Academy,2785113,150,2008-09
,514,,,,,,,,,Trumbull School District,1440011,Booth Hill School,1440111,514,2008-09
,495,,,,,,,,,Trumbull School District,1440011,Daniels Farm School,1440811,495,2008-09
,618,,,,,,,,,Trumbull School District,1440011,Frenchtown Elementary School,1441011,618,2008-09
,755,,,,,,,,,Trumbull School District,1440011,Hillcrest Middle School,1445211,755,2008-09
,417,,,,,,,,,Trumbull School District,1440011,Jane Ryan School,1440411,417,2008-09
,852,,,,,,,,,Trumbull School District,1440011,Madison Middle School,1445111,852,2008-09
,466,,,,,,,,,Trumbull School District,1440011,Middlebrook School,1440311,466,2008-09
,462,,,,,,,,,Trumbull School District,1440011,Tashua School,1440911,462,2008-09
,232,,,,,,,,,Trumbull School District,1440011,Trumbull Early Childhood Education Center,1448011,232,2008-09
,2123,,,,,,,,,Trumbull School District,1440011,Trumbull High School,1446111,2123,2008-09
,39,,,,,,,,,Unified School District #1,3360015,Bergin Correctional Institution,3361715,39,2008-09
,18,,,,,,,,,Unified School District #1,3360015,Bridgeport Correctional Center,3360115,18,2008-09
,6,,,,,,,,,Unified School District #1,3360015,Brooklyn Correctional Institution,3360215,6,2008-09
,30,,,,,,,,,Unified School District #1,3360015,Cheshire Correctional Institution,3360315,30,2008-09
,36,,,,,,,,,Unified School District #1,3360015,Corrigan/Radgowski Correctional Institution,3362415,36,2008-09
,19,,,,,,,,,Unified School District #1,3360015,Enfield Correctional Institution,3360415,19,2008-09
,15,,,,,,,,,Unified School District #1,3360015,Garner Correctional Institution,3361915,15,2008-09
,30,,,,,,,,,Unified School District #1,3360015,Gates Correctional Institution,3360515,30,2008-09
,72,,,,,,,,,Unified School District #1,3360015,Hartford Correctional Center,3360615,72,2008-09
,69,,,,,,,,,Unified School District #1,3360015,MacDougall/Walker Correctional Institution,3362215,69,2008-09
,464,,,,,,,,,Unified School District #1,3360015,Manson Youth Institution,3361115,464,2008-09
,22,,,,,,,,,Unified School District #1,3360015,New Haven Correctional Center,3360915,22,2008-09
,19,,,,,,,,,Unified School District #1,3360015,Northern Correctional Institution,3362615,19,2008-09
,39,,,,,,,,,Unified School District #1,3360015,Osborn Correctional Institution,3361215,39,2008-09
,41,,,,,,,,,Unified School District #1,3360015,Robinson Correctional Institution,3361315,41,2008-09
,17,,,,,,,,,Unified School District #1,3360015,Webster Correctional Institution,3361415,17,2008-09
,23,,,,,,,,,Unified School District #1,3360015,Willard/Cybulski Correctional Institution,3361515,23,2008-09
,59,,,,,,,,,Unified School District #1,3360015,York Correctional Institution,3362515,59,2008-09
,40,,,,,,,,,Unified School District #2,3470015,Children's Place School,3470115,40,2008-09
,25,,,,,,,,,Unified School District #2,3470015,High Meadows,3476515,25,2008-09
,60,,,,,,,,,Unified School District #2,3470015,Riverview School,3470315,60,2008-09
,86,,,,,,,,,Unified School District #2,3470015,Walter G. Cady School,3476715,86,2008-09
,78,,,,,,,,,Union School District,1450011,Union Elementary School,1450111,78,2008-09
,289,,,,,,,,,Vernon School District,1460011,Northeast School,1460311,289,2008-09
,468,,,,,,,,,Vernon School District,1460011,Center Road School,1461411,468,2008-09
,286,,,,,,,,,Vernon School District,1460011,Lake Street School,1460111,286,2008-09
,265,,,,,,,,,Vernon School District,1460011,Maple Street School,1460211,265,2008-09
,10,,,,,,,,,Vernon School District,1460011,Next Step Program (AACBP),1469011,10,2008-09
,1165,,,,,,,,,Vernon School District,1460011,Rockville High School,1466111,1165,2008-09
,313,,,,,,,,,Vernon School District,1460011,Skinner Road School,1461011,313,2008-09
,787,,,,,,,,,Vernon School District,1460011,Vernon Center Middle School,1465111,787,2008-09
,306,,,,,,,,,Voluntown School District,1470011,Voluntown Elementary School,1470111,306,2008-09
,318,,,,,,,,,Wallingford School District,1480011,Highland School,1480211,318,2008-09
,18,,,,,,,,,Wallingford School District,1480011,A.R.T.S. Academy,1489011,18,2008-09
,415,,,,,,,,,Wallingford School District,1480011,Cook Hill School,1481011,415,2008-09
,718,,,,,,,,,Wallingford School District,1480011,Dag Hammarskjold Middle School,1485211,718,2008-09
,423,,,,,,,,,Wallingford School District,1480011,Evarts C. Stevens School,1480911,423,2008-09
,836,,,,,,,,,Wallingford School District,1480011,James H. Moran Middle School,1485311,836,2008-09
,1176,,,,,,,,,Wallingford School District,1480011,Lyman Hall High School,1486111,1176,2008-09
,987,,,,,,,,,Wallingford School District,1480011,Mark T. Sheehan High School,1486211,987,2008-09
,350,,,,,,,,,Wallingford School District,1480011,Moses Y. Beach School,1480111,350,2008-09
,349,,,,,,,,,Wallingford School District,1480011,Parker Farms School,1480311,349,2008-09
,312,,,,,,,,,Wallingford School District,1480011,Pond Hill School,1481211,312,2008-09
,351,,,,,,,,,Wallingford School District,1480011,Rock Hill School,1480411,351,2008-09
,531,,,,,,,,,Wallingford School District,1480011,Yalesville School,1480811,531,2008-09
,205,,,,,,,,,Waterbury School District,1510011,Brooklyn Elementary School,1511011,205,2008-09
,1276,,,,,,,,,Waterbury School District,1510011,West Side Middle School,1515211,1276,2008-09
,313,,,,,,,,,Waterbury School District,1510011,Washington School,1512311,313,2008-09
,555,,,,,,,,,Waterbury School District,1510011,B. W. Tinker School,1512111,555,2008-09
,267,,,,,,,,,Waterbury School District,1510011,Barnard School,1510311,267,2008-09
,557,,,,,,,,,Waterbury School District,1510011,Bucks Hill School,1510511,557,2008-09
,522,,,,,,,,,Waterbury School District,1510011,Bunker Hill School,1510611,522,2008-09
,532,,,,,,,,,Waterbury School District,1510011,Carrington School,1512711,532,2008-09
,1336,,,,,,,,,Waterbury School District,1510011,Crosby High School,1516211,1336,2008-09
,575,,,,,,,,,Waterbury School District,1510011,Driggs School,1510911,575,2008-09
,179,,,,,,,,,Waterbury School District,1510011,Enlightenment School,1519111,179,2008-09
,465,,,,,,,,,Waterbury School District,1510011,F. J. Kingsbury School,1511411,465,2008-09
,244,,,,,,,,,Waterbury School District,1510011,Gilmartin School,1512611,244,2008-09
,802,,,,,,,,,Waterbury School District,1510011,H. S. Chase School,1510711,802,2008-09
,436,,,,,,,,,Waterbury School District,1510011,Hopeville School,1511311,436,2008-09
,1306,,,,,,,,,Waterbury School District,1510011,John F. Kennedy High School,1516411,1306,2008-09
,599,,,,,,,,,Waterbury School District,1510011,Maloney Interdistrict Magnet School,1513111,599,2008-09
,596,,,,,,,,,Waterbury School District,1510011,Margaret M. Generali Elementary School,1511111,596,2008-09
,1329,,,,,,,,,Waterbury School District,1510011,Michael F. Wallace Middle School,1515111,1329,2008-09
,1226,,,,,,,,,Waterbury School District,1510011,North End Middle School,1515311,1226,2008-09
,299,,,,,,,,,Waterbury School District,1510011,Regan School,1512811,299,2008-09
,614,,,,,,,,,Waterbury School District,1510011,Rotella Interdistrict Magnet School,1513311,614,2008-09
,224,,,,,,,,,Waterbury School District,1510011,Special Education Preschool,1518011,224,2008-09
,479,,,,,,,,,Waterbury School District,1510011,Sprague School,1512011,479,2008-09
,83,,,,,,,,,Waterbury School District,1510011,State Street School,1519011,83,2008-09
,558,,,,,,,,,Waterbury School District,1510011,Walsh School,1512211,558,2008-09
,481,,,,,,,,,Waterbury School District,1510011,Waterbury Arts Magnet School (High),1516011,481,2008-09
,319,,,,,,,,,Waterbury School District,1510011,Waterbury Arts Magnet School (Middle),1515011,319,2008-09
,352,,,,,,,,,Waterbury School District,1510011,Wendell L. Cross School,1510811,352,2008-09
,1192,,,,,,,,,Waterbury School District,1510011,Wilby High School,1516311,1192,2008-09
,397,,,,,,,,,Waterbury School District,1510011,Woodrow Wilson School,1513211,397,2008-09
,694,,,,,,,,,Waterford School District,1520011,Clark Lane Middle School,1525111,694,2008-09
,268,,,,,,,,,Waterford School District,1520011,Oswegatchie Elementary School,1520611,268,2008-09
,415,,,,,,,,,Waterford School District,1520011,Quaker Hill Elementary School,1520711,415,2008-09
,514,,,,,,,,,Waterford School District,1520011,Southwest Elementary School,1520511,514,2008-09
,988,,,,,,,,,Waterford School District,1520011,Waterford High School,1526111,988,2008-09
,366,,,,,,,,,Watertown School District,1530011,Fletcher W. Judson School,1530311,366,2008-09
,753,,,,,,,,,Watertown School District,1530011,John Trumbull Primary School,1530211,753,2008-09
,373,,,,,,,,,Watertown School District,1530011,Polk School,1530411,373,2008-09
,864,,,,,,,,,Watertown School District,1530011,Swift Middle School,1535111,864,2008-09
,980,,,,,,,,,Watertown School District,1530011,Watertown High School,1536111,980,2008-09
,379,,,,,,,,,West Hartford School District,1550011,Smith School,1551711,379,2008-09
,*,,,,,,,,,West Hartford School District,1550011,Achieve,1559111,*,2008-09
,453,,,,,,,,,West Hartford School District,1550011,Aiken School,1551611,453,2008-09
,454,,,,,,,,,West Hartford School District,1550011,Braeburn School,1550211,454,2008-09
,420,,,,,,,,,West Hartford School District,1550011,Bristow Middle School,1555311,420,2008-09
,364,,,,,,,,,West Hartford School District,1550011,Bugbee School,1550411,364,2008-09
,361,,,,,,,,,West Hartford School District,1550011,Charter Oak International Academy,1550511,361,2008-09
,1466,,,,,,,,,West Hartford School District,1550011,Conard High School,1556111,1466,2008-09
,589,,,,,,,,,West Hartford School District,1550011,Duffy School,1550611,589,2008-09
,1571,,,,,,,,,West Hartford School District,1550011,Hall High School,1556211,1571,2008-09
,901,,,,,,,,,West Hartford School District,1550011,King Philip Middle School,1555111,901,2008-09
,364,,,,,,,,,West Hartford School District,1550011,Morley School,1550911,364,2008-09
,433,,,,,,,,,West Hartford School District,1550011,Norfeldt School,1551011,433,2008-09
,866,,,,,,,,,West Hartford School District,1550011,Sedgwick Middle School,1555211,866,2008-09
,13,,,,,,,,,West Hartford School District,1550011,WAAVE (W Hartford Applied Academic/Voc'l Experience),1559011,13,2008-09
,438,,,,,,,,,West Hartford School District,1550011,Webster Hill School,1551211,438,2008-09
,495,,,,,,,,,West Hartford School District,1550011,Whiting Lane School,1551311,495,2008-09
,511,,,,,,,,,West Hartford School District,1550011,Wolcott School,1551511,511,2008-09
,403,,,,,,,,,West Haven School District,1560011,Washington School,1561211,403,2008-09
,355,,,,,,,,,West Haven School District,1560011,Alma E. Pagels School,1560811,355,2008-09
,258,,,,,,,,,West Haven School District,1560011,Anna V. Molloy School,1561311,258,2008-09
,693,,,,,,,,,West Haven School District,1560011,Carrigan 5/6 Intermediate School,1565311,693,2008-09
,353,,,,,,,,,West Haven School District,1560011,Clarence E. Thompson School,1561011,353,2008-09
,383,,,,,,,,,West Haven School District,1560011,Edith E. Mackrille School,1560611,383,2008-09
,438,,,,,,,,,West Haven School District,1560011,Forest School,1560311,438,2008-09
,739,,,,,,,,,West Haven School District,1560011,Harry M. Bailey Middle School,1565111,739,2008-09
,464,,,,,,,,,West Haven School District,1560011,Savin Rock Community School,1561411,464,2008-09
,504,,,,,,,,,West Haven School District,1560011,Seth G. Haley School,1560411,504,2008-09
,1640,,,,,,,,,West Haven School District,1560011,West Haven High School,1566111,1640,2008-09
,373,,,,,,,,,Westbrook School District,1540011,Daisy Ingraham School,1540211,373,2008-09
,292,,,,,,,,,Westbrook School District,1540011,Westbrook High School,1546111,292,2008-09
,303,,,,,,,,,Westbrook School District,1540011,Westbrook Middle School,1545111,303,2008-09
,579,,,,,,,,,Weston School District,1570011,Hurlbutt Elementary School,1570111,579,2008-09
,807,,,,,,,,,Weston School District,1570011,Weston High School,1576111,807,2008-09
,608,,,,,,,,,Weston School District,1570011,Weston Intermediate School,1570211,608,2008-09
,574,,,,,,,,,Weston School District,1570011,Weston Middle School,1575111,574,2008-09
,851,,,,,,,,,Westport School District,1580011,Bedford Middle School,1585111,851,2008-09
,477,,,,,,,,,Westport School District,1580011,Coleytown Elementary School,1580311,477,2008-09
,514,,,,,,,,,Westport School District,1580011,Coleytown Middle School,1585311,514,2008-09
,475,,,,,,,,,Westport School District,1580011,Green's Farms School,1580411,475,2008-09
,502,,,,,,,,,Westport School District,1580011,King's Highway Elementary School,1580511,502,2008-09
,610,,,,,,,,,Westport School District,1580011,Long Lots School,1580711,610,2008-09
,519,,,,,,,,,Westport School District,1580011,Saugatuck Elementary School,1580811,519,2008-09
,1760,,,,,,,,,Westport School District,1580011,Staples High School,1586111,1760,2008-09
,56,,,,,,,,,Westport School District,1580011,Stepping Stones Preschool,1588011,56,2008-09
,369,,,,,,,,,Wethersfield School District,1590011,Alfred W. Hanmer School,1590811,369,2008-09
,318,,,,,,,,,Wethersfield School District,1590011,Charles Wright School,1591011,318,2008-09
,469,,,,,,,,,Wethersfield School District,1590011,Emerson-Williams School,1590211,469,2008-09
,444,,,,,,,,,Wethersfield School District,1590011,Highcrest School,1591111,444,2008-09
,426,,,,,,,,,Wethersfield School District,1590011,Samuel B. Webb Elementary School,1591211,426,2008-09
,562,,,,,,,,,Wethersfield School District,1590011,Silas Deane Middle School,1595211,562,2008-09
,1224,,,,,,,,,Wethersfield School District,1590011,Wethersfield High School,1596111,1224,2008-09
,245,,,,,,,,,Willington School District,1600011,Center School,1600111,245,2008-09
,320,,,,,,,,,Willington School District,1600011,Hall Memorial School,1605111,320,2008-09
,1010,,,,,,,,,Wilton School District,1610011,Middlebrook School,1615211,1010,2008-09
,1050,,,,,,,,,Wilton School District,1610011,Cider Mill School,1610711,1050,2008-09
,512,,,,,,,,,Wilton School District,1610011,Ina E. Driscoll School,1610611,512,2008-09
,509,,,,,,,,,Wilton School District,1610011,Miller-Driscoll School,1610511,509,2008-09
,1297,,,,,,,,,Wilton School District,1610011,Wilton High School,1616111,1297,2008-09
,307,,,,,,,,,Winchester School District,1620011,Batcheller Early Education Center,1620411,307,2008-09
,352,,,,,,,,,Winchester School District,1620011,Mary P. Hinsdale School,1620211,352,2008-09
,336,,,,,,,,,Winchester School District,1620011,Pearson Middle School,1625111,336,2008-09
,30,,,,,,,,,Windham School District,1630011,Early Headstart,1638011,30,2008-09
,43,,,,,,,,,Windham School District,1630011,Eastern Regional Academy/Windham,1639011,43,2008-09
,299,,,,,,,,,Windham School District,1630011,Natchaug School,1630111,299,2008-09
,448,,,,,,,,,Windham School District,1630011,North Windham School,1630311,448,2008-09
,347,,,,,,,,,Windham School District,1630011,W. B. Sweeney School,1630611,347,2008-09
,287,,,,,,,,,Windham School District,1630011,Windham Center School,1630511,287,2008-09
,192,,,,,,,,,Windham School District,1630011,Windham Early Childhood Prospect Street,1638311,192,2008-09
,907,,,,,,,,,Windham School District,1630011,Windham High School,1636111,907,2008-09
,925,,,,,,,,,Windham School District,1630011,Windham Middle School,1635111,925,2008-09
,441,,,,,,,,,Windsor Locks School District,1650011,North Street School,1650111,441,2008-09
,418,,,,,,,,,Windsor Locks School District,1650011,South Elementary School,1650411,418,2008-09
,573,,,,,,,,,Windsor Locks School District,1650011,Windsor Locks High School,1656111,573,2008-09
,413,,,,,,,,,Windsor Locks School District,1650011,Windsor Locks Middle School,1655111,413,2008-09
,323,,,,,,,,,Windsor School District,1640011,Clover Street School,1640111,323,2008-09
,369,,,,,,,,,Windsor School District,1640011,John F. Kennedy School,1640811,369,2008-09
,420,,,,,,,,,Windsor School District,1640011,Oliver Ellsworth School,1640911,420,2008-09
,303,,,,,,,,,Windsor School District,1640011,Poquonock Elementary School,1640511,303,2008-09
,243,,,,,,,,,Windsor School District,1640011,Roger Wolcott Early Child Center,1641011,243,2008-09
,911,,,,,,,,,Windsor School District,1640011,Sage Park Middle School,1645311,911,2008-09
,1400,,,,,,,,,Windsor School District,1640011,Windsor High School,1646111,1400,2008-09
,381,,,,,,,,,Wolcott School District,1660011,Alcott School,1660611,381,2008-09
,385,,,,,,,,,Wolcott School District,1660011,Frisbie School,1660211,385,2008-09
,726,,,,,,,,,Wolcott School District,1660011,Tyrrell Middle School,1665111,726,2008-09
,467,,,,,,,,,Wolcott School District,1660011,Wakelee School,1660511,467,2008-09
,896,,,,,,,,,Wolcott School District,1660011,Wolcott High School,1666111,896,2008-09
,447,,,,,,,,,Woodbridge School District,1670011,Beecher Road Intermediate School,1670211,447,2008-09
,308,,,,,,,,,Woodbridge School District,1670011,Beecher Road Primary School,1670111,308,2008-09
,1184,,,,,,,,,Woodstock Academy District,9030022,Woodstock Academy,9036122,1184,2008-09
,495,,,,,,,,,Woodstock School District,1690011,Woodstock Elementary School,1690211,495,2008-09
,431,,,,,,,,,Woodstock School District,1690011,Woodstock Middle School,1695111,431,2008-09
,,440,,,,,,,,Achievement First Hartford Academy Inc. District,2880013,Achievement First Hartford Academy Inc.,2880113,440,2009-10
,,744,,,,,,,,Amistad Academy District,2790013,Amistad Academy,2795113,744,2009-10
,,336,,,,,,,,Andover School District,0010011,Andover Elementary School,0010111,336,2009-10
,,777,,,,,,,,Ansonia School District,0020011,Ansonia High School,0026111,777,2009-10
,,477,,,,,,,,Ansonia School District,0020011,Ansonia Middle School,0025111,477,2009-10
,,660,,,,,,,,Ansonia School District,0020011,Mead School,0020311,660,2009-10
,,811,,,,,,,,Ansonia School District,0020011,Prendergast School,0020811,811,2009-10
,,110,,,,,,,,Area Cooperative Educational Services,2440014,Collaborative Alternative Magnet School,2446114,110,2009-10
,,148,,,,,,,,Area Cooperative Educational Services,2440014,Mill Road School,2449414,148,2009-10
,,733,,,,,,,,Area Cooperative Educational Services,2440014,Thomas Edison Magnet Middle School,2445114,733,2009-10
,,176,,,,,,,,Area Cooperative Educational Services,2440014,Village School,2449514,176,2009-10
,,123,,,,,,,,Area Cooperative Educational Services,2440014,Whitney High School East,2449214,123,2009-10
,,100,,,,,,,,Area Cooperative Educational Services,2440014,Whitney High School North,2449114,100,2009-10
,,56,,,,,,,,Area Cooperative Educational Services,2440014,Whitney High School West,2449314,56,2009-10
,,630,,,,,,,,Area Cooperative Educational Services,2440014,Wintergreen Interdistrict  Magnet School,2440314,630,2009-10
,,475,,,,,,,,Ashford School District,0030011,Ashford School,0030111,475,2009-10
,,1079,,,,,,,,Avon School District,0040011,Avon High School,0046111,1079,2009-10
,,601,,,,,,,,Avon School District,0040011,Avon Middle School,0045111,601,2009-10
,,655,,,,,,,,Avon School District,0040011,Pine Grove School,0040411,655,2009-10
,,682,,,,,,,,Avon School District,0040011,Roaring Brook School,0040311,682,2009-10
,,568,,,,,,,,Avon School District,0040011,Thompson Brook School,0040511,568,2009-10
,,345,,,,,,,,Barkhamsted School District,0050011,Barkhamsted Elementary School,0050111,345,2009-10
,,22,,,,,,,,Barkhamsted School District,0050011,Shared Services Integrated Preschool,0058011,22,2009-10
,,1022,,,,,,,,Berlin School District,0070011,Berlin High School,0076111,1022,2009-10
,,733,,,,,,,,Berlin School District,0070011,Catherine M. McGee Middle School,0075111,733,2009-10
,,588,,,,,,,,Berlin School District,0070011,Emma Hart Willard School,0070411,588,2009-10
,,564,,,,,,,,Berlin School District,0070011,Mary E. Griswold School,0070511,564,2009-10
,,252,,,,,,,,Berlin School District,0070011,Richard D. Hubbard School,0070111,252,2009-10
,,515,,,,,,,,Bethany School District,0080011,Bethany Community School,0080111,515,2009-10
,,420,,,,,,,,Bethel School District,0090011,Anna H. Rockwell School,0090411,420,2009-10
,,987,,,,,,,,Bethel School District,0090011,Bethel High School,0096111,987,2009-10
,,703,,,,,,,,Bethel School District,0090011,Bethel Middle School,0095111,703,2009-10
,,497,,,,,,,,Bethel School District,0090011,Frank A. Berry School,0090111,497,2009-10
,,435,,,,,,,,Bethel School District,0090011,Ralph M. T. Johnson School,0090511,435,2009-10
,,629,,,,,,,,Bloomfield School District,0110011,Bloomfield High School,0116111,629,2009-10
,,294,,,,,,,,Bloomfield School District,0110011,Carmen Arace Intermediate School,0110711,294,2009-10
,,314,,,,,,,,Bloomfield School District,0110011,Carmen Arace Middle School,0115211,314,2009-10
,,254,,,,,,,,Bloomfield School District,0110011,J. P. Vincent School,0110311,254,2009-10
,,264,,,,,,,,Bloomfield School District,0110011,Laurel School,0110611,264,2009-10
,,182,,,,,,,,Bloomfield School District,0110011,Metacomet School,0110511,182,2009-10
,,88,,,,,,,,Bloomfield School District,0110011,The Big Picture High School,0116211,88,2009-10
,,254,,,,,,,,Bloomfield School District,0110011,Wintonbury Early Childhood Magnet School,0110811,254,2009-10
,,583,,,,,,,,Bolton School District,0120011,Bolton Center School,0120111,583,2009-10
,,297,,,,,,,,Bolton School District,0120011,Bolton High School,0126111,297,2009-10
,,256,,,,,,,,Bozrah School District,0130011,Fields Memorial School,0130111,256,2009-10
,,1109,,,,,,,,Branford School District,0140011,Branford High School,0146111,1109,2009-10
,,1113,,,,,,,,Branford School District,0140011,Francis Walsh Intermediate School,0145111,1113,2009-10
,,58,,,,,,,,Branford School District,0140011,Indian Neck School,0148011,58,2009-10
,,361,,,,,,,,Branford School District,0140011,John B. Sliney School,0141611,361,2009-10
,,428,,,,,,,,Branford School District,0140011,Mary R. Tisko School,0141511,428,2009-10
,,433,,,,,,,,Branford School District,0140011,Mary T. Murphy School,0141411,433,2009-10
,,238,,,,,,,,Bridgeport Achievement First District,2850013,Achievement First Bridgeport Academy,2850113,238,2009-10
,,631,,,,,,,,Bridgeport School District,0150011,Barnum School,0150111,631,2009-10
,,1153,,,,,,,,Bridgeport School District,0150011,Bassick High School,0156111,1153,2009-10
,,375,,,,,,,,Bridgeport School District,0150011,Beardsley School,0150211,375,2009-10
,,257,,,,,,,,Bridgeport School District,0150011,Black Rock School,0150311,257,2009-10
,,1069,,,,,,,,Bridgeport School District,0150011,Blackham School,0154011,1069,2009-10
,,53,,,,,,,,Bridgeport School District,0150011,Bridgeport Learning Center,0159011,53,2009-10
,,401,,,,,,,,Bridgeport School District,0150011,Bryant School,0150411,401,2009-10
,,2217,,,,,,,,Bridgeport School District,0150011,Central High School,0156211,2217,2009-10
,,1061,,,,,,,,Bridgeport School District,0150011,Cesar Batalla School,0151411,1061,2009-10
,,328,,,,,,,,Bridgeport School District,0150011,Classical Studies Academy,0152111,328,2009-10
,,682,,,,,,,,Bridgeport School District,0150011,Columbus School,0150511,682,2009-10
,,380,,,,,,,,Bridgeport School District,0150011,Cross School,0153911,380,2009-10
,,579,,,,,,,,Bridgeport School District,0150011,Curiale School,0154211,579,2009-10
,,324,,,,,,,,Bridgeport School District,0150011,Dunbar School,0154111,324,2009-10
,,266,,,,,,,,Bridgeport School District,0150011,Edison School,0150711,266,2009-10
,,839,,,,,,,,Bridgeport School District,0150011,Geraldine Johnson School,0153211,839,2009-10
,,277,,,,,,,,Bridgeport School District,0150011,Hall School,0151111,277,2009-10
,,340,,,,,,,,Bridgeport School District,0150011,Hallen School,0151211,340,2009-10
