district,school,gender,2011_12,2012_13,2013_14,2014_15,2015_16,school_code,check_sch_col,check_dist_col
Connecticut Technical High School System,Howell Cheney Technical High School,Male,97.2,97.9,100.0,93.9,96.8,9001616,Howell Cheney Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Norwich Technical High School,Female,93.5,100.0,98.4,98.2,96.2,9002016,Norwich Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Norwich Technical High School,Male,98.1,98.0,96.8,99.1,97.0,9002016,Norwich Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Oliver Wolcott Technical High School,Female,98.3,98.2,93.5,96.4,98.3,9002216,Oliver Wolcott Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Oliver Wolcott Technical High School,Male,97.1,99.1,98.0,99.0,98.9,9002216,Oliver Wolcott Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Platt Technical High School,Female,98.7,98.6,98.5,100.0,100.0,9002616,Platt Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Platt Technical High School,Male,96.4,99.3,97.9,100.0,100.0,9002616,Platt Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Vinal Technical High School,Female,96.3,96.2,93.2,96.9,95.6,9001816,Vinal Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Vinal Technical High School,Male,96.1,93.3,94.8,98.3,93.8,9001816,Vinal Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,W. F. Kaynor Technical High School,Female,97.2,97.3,100.0,95.6,97.4,9002316,W. F. Kaynor Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,W. F. Kaynor Technical High School,Male,99.0,98.3,97.2,100.0,100.0,9002316,W. F. Kaynor Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Windham Technical High School,Female,96.1,97.7,100.0,97.9,100.0,9002416,Windham Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Windham Technical High School,Male,97.7,98.9,97.7,96.6,97.7,9002416,Windham Technical High School,Connecticut Technical High School System
Coventry School District,Coventry High School,Female,90.0,91.5,*,*,*,0326111,Coventry High School,Coventry School District
Coventry School District,Coventry High School,Male,84.0,89.1,*,*,*,0326111,Coventry High School,Coventry School District
Cromwell School District,Cromwell High School,Female,*,*,94.4,*,96.9,0336111,Cromwell High School,Cromwell School District
Cromwell School District,Cromwell High School,Male,*,*,91.5,*,92.1,0336111,Cromwell High School,Cromwell School District
Danbury School District,Alternative Center For Excellence,Female,,*,,,*,0346211,Alternative Center For Excellence,Danbury School District
Danbury School District,Alternative Center For Excellence,Male,,*,,,25.0,0346211,Alternative Center For Excellence,Danbury School District
Danbury School District,Danbury High School,Female,85.6,*,86.7,86.1,86.3,0346111,Danbury High School,Danbury School District
Danbury School District,Danbury High School,Male,74.6,*,78.4,73.2,74.4,0346111,Danbury High School,Danbury School District
Darien School District,Darien High School,Female,*,98.1,98.8,97.8,*,0356111,Darien High School,Darien School District
Darien School District,Darien High School,Male,*,97.4,97.6,96.6,*,0356111,Darien High School,Darien School District
