drg,district_code,district,type,amount,year,pct,state_pct,school_code
G,0620011,Hamden School District,Plant Operation and Maintenance,10456178.0,2011-12,0.0973245747423,0.0943892616512,0620011
E,0630011,Hampton School District,Plant Operation and Maintenance,431425.0,2011-12,0.158724581717,0.0943892616512,0630011
I,0640011,Hartford School District,Plant Operation and Maintenance,40439978.0,2011-12,0.103338131114,0.0943892616512,0640011
E,0650011,Hartland School District,Plant Operation and Maintenance,256780.0,2011-12,0.0740228041434,0.0943892616512,0650011
C,0670011,Hebron School District,Plant Operation and Maintenance,992577.0,2011-12,0.0799014273997,0.0943892616512,0670011
,2860013,Highville Charter School District,Plant Operation and Maintenance,552726.0,2011-12,0.160434857572,0.0943892616512,2860013
,2640013,Integrated Day Charter School District,Plant Operation and Maintenance,415085.0,2011-12,0.123670626792,0.0943892616512,2640013
,2650013,Interdistrict School for Arts and Comm District,Plant Operation and Maintenance,215047.0,2011-12,0.0879054981252,0.0943892616512,2650013
,2610013,Jumoke Academy District,Plant Operation and Maintenance,573705.0,2011-12,0.110505649954,0.0943892616512,2610013
E,0680011,Kent School District,Plant Operation and Maintenance,492152.0,2011-12,0.0962966397961,0.0943892616512,0680011
G,0690011,Killingly School District,Plant Operation and Maintenance,4028338.0,2011-12,0.102820136548,0.0943892616512,0690011
E,0710011,Lebanon School District,Plant Operation and Maintenance,1960113.0,2011-12,0.106398941109,0.0943892616512,0710011
D,0720011,Ledyard School District,Plant Operation and Maintenance,2694463.0,2011-12,0.0765837281971,0.0943892616512,0720011
E,0730011,Lisbon School District,Plant Operation and Maintenance,664902.0,2011-12,0.0834757128339,0.0943892616512,0730011
E,0740011,Litchfield School District,Plant Operation and Maintenance,1902469.0,2011-12,0.107714658004,0.0943892616512,0740011
B,0760011,Madison School District,Plant Operation and Maintenance,5146508.0,2011-12,0.102451857357,0.0943892616512,0760011
G,0770011,Manchester School District,Plant Operation and Maintenance,10659471.0,2011-12,0.0993595391308,0.0943892616512,0770011
C,0780011,Mansfield School District,Plant Operation and Maintenance,1780962.0,2011-12,0.0808741753984,0.0943892616512,0780011
C,0790011,Marlborough School District,Plant Operation and Maintenance,646518.0,2011-12,0.0894252131414,0.0943892616512,0790011
H,0800011,Meriden School District,Plant Operation and Maintenance,11932666.0,2011-12,0.101275635991,0.0943892616512,0800011
G,0830011,Middletown School District,Plant Operation and Maintenance,8334131.0,2011-12,0.110505818178,0.0943892616512,0830011
D,0840011,Milford School District,Plant Operation and Maintenance,11740973.0,2011-12,0.108612802259,0.0943892616512,0840011
B,0850011,Monroe School District,Plant Operation and Maintenance,5609336.0,2011-12,0.104697951903,0.0943892616512,0850011
F,0860011,Montville School District,Plant Operation and Maintenance,4118491.0,2011-12,0.107830984113,0.0943892616512,0860011
G,0880011,Naugatuck School District,Plant Operation and Maintenance,6194580.0,2011-12,0.0939509047684,0.0943892616512,0880011
,,"New Beginnings Inc., Family Academy District",Plant Operation and Maintenance,472406.0,2011-12,0.124946969625,0.0943892616512,
I,0890011,New Britain School District,Plant Operation and Maintenance,9438158.0,2011-12,0.0693798869531,0.0943892616512,0890011
A,0900011,New Canaan School District,Plant Operation and Maintenance,8869304.0,2011-12,0.115137843471,0.0943892616512,0900011
B,0910011,New Fairfield School District,Plant Operation and Maintenance,3330602.0,2011-12,0.0879441538851,0.0943892616512,0910011
C,0920011,New Hartford School District,Plant Operation and Maintenance,772234.0,2011-12,0.096097448129,0.0943892616512,0920011
I,0930011,New Haven School District,Plant Operation and Maintenance,33260420.0,2011-12,0.0991644741264,0.0943892616512,0930011
I,0950011,New London School District,Plant Operation and Maintenance,5106129.0,2011-12,0.101338244284,0.0943892616512,0950011
D,0960011,New Milford School District,Plant Operation and Maintenance,5580596.0,2011-12,0.0932664097424,0.0943892616512,0960011
D,0940011,Newington School District,Plant Operation and Maintenance,9044622.0,2011-12,0.135767450494,0.0943892616512,0940011
B,0970011,Newtown School District,Plant Operation and Maintenance,9687286.0,2011-12,0.135034162481,0.0943892616512,0970011
E,0980011,Norfolk School District,Plant Operation and Maintenance,363007.0,2011-12,0.140777105663,0.0943892616512,0980011
E,0990011,North Branford School District,Plant Operation and Maintenance,3254003.0,2011-12,0.106878709364,0.0943892616512,0990011
F,1000011,North Canaan School District,Plant Operation and Maintenance,566452.0,2011-12,0.104560729274,0.0943892616512,1000011
D,1010011,North Haven School District,Plant Operation and Maintenance,3976591.0,2011-12,0.0839388425857,0.0943892616512,1010011
E,1020011,North Stonington School District,Plant Operation and Maintenance,1224058.0,2011-12,0.0976676724471,0.0943892616512,1020011
H,1030011,Norwalk School District,Plant Operation and Maintenance,15365459.0,2011-12,0.0857632458911,0.0943892616512,1030011
H,1040011,Norwich School District,Plant Operation and Maintenance,3937441.0,2011-12,0.0696992209183,0.0943892616512,1040011
,2630013,Odyssey Community School District,Plant Operation and Maintenance,309863.0,2011-12,0.113347150729,0.0943892616512,2630013
D,1060011,Old Saybrook School District,Plant Operation and Maintenance,2633486.0,2011-12,0.115889363289,0.0943892616512,1060011
B,1070011,Orange School District,Plant Operation and Maintenance,1464779.0,2011-12,0.078196761525,0.0943892616512,1070011
C,1080011,Oxford School District,Plant Operation and Maintenance,2681316.0,2011-12,0.0987864805578,0.0943892616512,1080011
,2830013,Park City Prep Charter School District,Plant Operation and Maintenance,370935.0,2011-12,0.143341841319,0.0943892616512,2830013
,2930013,Path Academy District,Plant Operation and Maintenance,,2011-12,,0.0943892616512,2930013
G,1090011,Plainfield School District,Plant Operation and Maintenance,2990206.0,2011-12,0.0883796848905,0.0943892616512,1090011
F,1100011,Plainville School District,Plant Operation and Maintenance,3494186.0,2011-12,0.0979533053921,0.0943892616512,1100011
F,1110011,Plymouth School District,Plant Operation and Maintenance,2767277.0,2011-12,0.111490812517,0.0943892616512,1110011
C,1120011,Pomfret School District,Plant Operation and Maintenance,516392.0,2011-12,0.0709217052897,0.0943892616512,1120011
E,1130011,Portland School District,Plant Operation and Maintenance,2427783.0,2011-12,0.127636497039,0.0943892616512,1130011
E,1140011,Preston School District,Plant Operation and Maintenance,730387.0,2011-12,0.0833006580002,0.0943892616512,1140011
G,1160011,Putnam School District,Plant Operation and Maintenance,1703912.0,2011-12,0.0897151439192,0.0943892616512,1160011
A,1170011,Redding School District,Plant Operation and Maintenance,2113747.0,2011-12,0.0960386188702,0.0943892616512,1170011
E,2010012,Regional School District 01,Plant Operation and Maintenance,1244357.0,2011-12,0.118760821051,0.0943892616512,2010012
