"school_code","district_code","district","school","2011_12","2012_13","2013_14","2014_15","2015_16"
"0430411","0430011","East Hartford School District","Joseph O. Goodwin School","6.5","12.5","11.4","13.9","9.0"
"0431811","0430011","East Hartford School District","Robert J. O'Brien School","5.0","13.4","14.0","16.5","7.7"
"0431211","0430011","East Hartford School District","Silver Lane School","*","19.9","20.0","21.1","12.4"
"0436411","0430011","East Hartford School District","Stevens Alternate High school","13.5","49.2","63.3","88.5","87.6"
"0432411","0430011","East Hartford School District","Sunset Ridge School Elementary Academy for Arts and World Languages","2.3","7.0","5.3","7.1","8.6"
"0439011","0430011","East Hartford School District","Woodland School","6.1","59.1","54.2","59.7","61.3"
"0441711","0440011","East Haven School District","Carbone School/East Haven Academy","8.1","9.4","16.8","15.6","2.7"
"0441411","0440011","East Haven School District","D. C. Moore School","6.9","4.9","8.1","4.9","6.1"
"0440111","0440011","East Haven School District","Deer Run School","10.4","7.1","9.0","7.9","7.2"
"0441311","0440011","East Haven School District","Dominick H. Ferrara School","6.1","10.0","9.4","6.9","6.9"
"0446111","0440011","East Haven School District","East Haven High School","28.2","26.1","22.5","20.7","19.4"
"0441011","0440011","East Haven School District","Grove J. Tuttle School","*","4.7","*","4.9","6.0"
"0445111","0440011","East Haven School District","Joseph Melillo Middle School","17.2","16.7","0.0","0.0","0.0"
"0440711","0440011","East Haven School District","Momauguin School","17.9","12.5","11.4","9.2","17.1"
"0441811","0440011","East Haven School District","Overbrook Elementary School","12.1","11.5","8.9","9.7","13.5"
"0449011","0440011","East Haven School District","Pathways","95.7","54.2","47.1","",""
"0450611","0450011","East Lyme School District","Coastal Connections","","","","*","53.8"
"0456111","0450011","East Lyme School District","East Lyme High School","8.3","4.5","4.7","4.9","4.3"
"0455111","0450011","East Lyme School District","East Lyme Middle School","5.1","5.9","7.1","6.9","4.6"
"0450111","0450011","East Lyme School District","Flanders School","*","*","2.8","4.6","4.3"
"0450411","0450011","East Lyme School District","Lillie B. Haynes School","5.0","5.7","5.3","5.8","3.1"
"0450711","0450011","East Lyme School District","Medically Fragile Program (WAVES)","","","","*","*"
"0450211","0450011","East Lyme School District","Niantic Center School","*","*","*","*","4.1"
"0450511","0450011","East Lyme School District","Post High School Transition Program","","","","*","*"
"0470111","0470011","East Windsor School District","Broad Brook Elementary School","10.7","8.9","12.1","8.1","9.0"
"0476111","0470011","East Windsor School District","East Windsor High School","14.4","9.7","9.7","13.5","16.0"
"0475411","0470011","East Windsor School District","East Windsor Middle School","9.8","12.0","9.7","10.0","11.0"
"0470411","0470011","East Windsor School District","East Windsor Transition Program","","","","","*"
"2539214","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Adolescent Principal Referred Expulsion Program","","*","","",""
"2536014","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Arts at the Capitol Theater Magnet School (ACT)","24.6","63.4","*","13.1","10.2"
"2539014","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","EASTCONN Special Education","31.3","*","0.0","29.9",""
"2539014","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","EastConn Special Education","","","","","27.9"
"2536114","2530014","Eastern Connecticut Regional Educational Service Center (EASTCONN)","Quinebaug Middle College","5.9","100.0","*","53.4","57.5"
"0390111","0390011","Eastford School District","Eastford Elementary School","*","5.9","5.2","5.8","*"
"0465111","0460011","Easton School District","Helen Keller Middle School","*","*","*","*","2.3"
"0460111","0460011","Easton School District","Samuel Staples Elementary School","4.4","3.3","2.4","2.2","1.4"
"2429014","2420014","Education Connection","Education Connection Special Education","50.0","58.1","58.3","65.4",""
"2429014","2420014","Education Connection","The ACCESS School at The Danuta M. Thibodeau Education Center","","","","","*"
"0480111","0480011","Ellington School District","Center School","3.4","2.9","2.9","3.9","*"
"0480211","0480011","Ellington School District","Crystal Lake School","*","*","*","*","*"
"0486111","0480011","Ellington School District","Ellington High School","4.5","6.8","4.0","3.2","5.1"
"0485111","0480011","Ellington School District","Ellington Middle School","8.1","6.7","5.4","9.0","5.2"
"0480711","0480011","Ellington School District","Windermere Intermediate School","3.1","3.8","3.4","3.2","4.0"
"0480611","0480011","Ellington School District","Windermere School","4.1","7.9","3.9","5.5","5.2"
"0480311","0480011","Ellington School District","Windermere School Program for Alternative Learning K-4","","","","","*"
"2890113","2890013","Elm City College Preparatory School District","Elm City College Preparatory School","1.6","3.5","4.6","4.5","5.7"
"2910113","2910013","Elm City Montessori School District","Elm City Montessori School","","","","*","20.5"
"0490511","0490011","Enfield School District","Edgar H. Parkman - Autism Spectrum Disorder (ASD)","","","","*","*"
"0491311","0490011","Enfield School District","Edgar H. Parkman School","4.7","4.4","6.8","7.9","5.2"
"0491411","0490011","Enfield School District","Eli Whitney - Intermediate Adaptive Learning (IAL)","","","","","*"
"0491611","0490011","Enfield School District","Eli Whitney School","8.7","6.7","8.4","4.2","6.5"
"0496111","0490011","Enfield School District","Enfield High School","16.2","15.9","13.6","17.4","17.2"
"0490311","0490011","Enfield School District","Enfield Street - Autism Spectrum Disorder (ASD)","","","","*","*"
"0490211","0490011","Enfield School District","Enfield Street School","10.5","12.0","13.2","10.3","6.4"
"0499011","0490011","Enfield School District","Enfield Transitional Learning Academy","*","*","*","*","*"
"0496211","0490011","Enfield School District","Enrico Fermi High School","12.6","13.4","11.1","13.3","14.2"
"0490411","0490011","Enfield School District","Hazardville Memorial School","11.1","10.0","9.9","7.6","10.2"
"0490611","0490011","Enfield School District","Henry Barnard - Educational Counseling Program (ECP)","","","","*","*"
"0491811","0490011","Enfield School District","Henry Barnard School","10.2","8.0","9.8","8.9","12.0"
"0495211","0490011","Enfield School District","John F. Kennedy Middle School","14.1","14.1","17.0","15.8","14.7"
"0490811","0490011","Enfield School District","Nathan Hale - Primary Adaptive Learning (PAL)","","","","*","*"
"0491111","0490011","Enfield School District","Nathan Hale School","6.5","7.1","9.3","8.1","7.2"
"0490711","0490011","Enfield School District","Prudence Crandall - Educational Counseling Program (ECP)","","","","*","*"
"0491511","0490011","Enfield School District","Prudence Crandall School","7.5","6.1","6.8","5.1","6.4"
"0500111","0500011","Essex School District","Essex Elementary School","*","2.1","2.4","2.7","*"
"2726113","2720013","Explorations District","Explorations","20.3","39.5","29.1","28.4","30.6"
"0510211","0510011","Fairfield School District","Burr Elementary School","2.2","*","2.6","2.3","4.3"
"0510111","0510011","Fairfield School District","Dwight Elementary School","2.4","*","2.6","*","3.9"
"0516011","0510011","Fairfield School District","Fairfield Ludlowe High School","7.4","6.5","3.8","4.7","5.5"
"0510511","0510011","Fairfield School District","Fairfield School/Community Partnership","","","","","*"
"0516211","0510011","Fairfield School District","Fairfield Warde High School","7.4","6.0","3.2","4.2","4.8"
"0515211","0510011","Fairfield School District","Fairfield Woods Middle School","5.5","5.3","4.9","2.6","2.5"
"0510411","0510011","Fairfield School District","Holland Hill School","2.8","2.0","4.2","2.9","3.7"
"0511711","0510011","Fairfield School District","Jennings School","2.8","0.0","3.4","4.0","*"
"0510611","0510011","Fairfield School District","McKinley School","7.7","*","4.9","4.0","2.1"
"0510711","0510011","Fairfield School District","Mill Hill School","*","*","*","1.7","1.6"
"0511611","0510011","Fairfield School District","North Stratfield School","1.2","1.3","1.5","2.1","2.9"
"0511811","0510011","Fairfield School District","Osborn Hill School","3.5","*","3.2","2.4","3.7"
"0511211","0510011","Fairfield School District","Riverfield School","2.2","*","2.5","2.0","2.9"
"0515311","0510011","Fairfield School District","Roger Ludlowe Middle School","7.9","4.9","5.4","5.6","2.1"
"0511311","0510011","Fairfield School District","Sherman School","2.2","*","2.0","1.9","3.1"
"0511411","0510011","Fairfield School District","Stratfield School","1.8","*","2.4","2.4","2.0"
"0515111","0510011","Fairfield School District","Tomlinson Middle School","7.8","5.7","5.3","4.1","5.2"
"0510311","0510011","Fairfield School District","Walter Fitzgerald Campus","","","","76.3","55.2"
"0520411","0520011","Farmington School District","East Farms School","3.6","4.4","3.1","2.7","3.3"
"0520611","0520011","Farmington School District","Farmington Alternative High School","","","","*","*"
"0526111","0520011","Farmington School District","Farmington High School","8.0","9.7","9.9","10.8","5.5"
"0525111","0520011","Farmington School District","Irving A. Robbins Middle School","5.8","6.1","3.7","2.3","4.5"
"0520211","0520011","Farmington School District","Noah Wallace School","*","5.6","6.1","3.9","2.2"
"0520111","0520011","Farmington School District","Union School","4.4","5.1","4.7","3.0","4.1"
"0520311","0520011","Farmington School District","West District School","3.7","4.1","4.9","3.7","2.6"
"0520511","0520011","Farmington School District","West Woods Upper Elementary School","4.3","5.6","5.1","3.1","3.2"
"0530111","0530011","Franklin School District","Franklin Elementary School","*","8.5","*","*","*"
"0541311","0540011","Glastonbury School District","Alternate Program","","","","*",""
"0540211","0540011","Glastonbury School District","Buttonball Lane School","2.4","2.0","2.6","3.7","2.6"
"0540311","0540011","Glastonbury School District","Eastbury School","*","*","*","*","*"
"0540811","0540011","Glastonbury School District","Gideon Welles School","2.7","2.5","*","1.9","1.9"
"0546111","0540011","Glastonbury School District","Glastonbury High School","4.3","4.4","4.2","4.1","3.6"
"0540411","0540011","Glastonbury School District","Hebron Avenue School","1.5","2.4","*","*","*"
"0540611","0540011","Glastonbury School District","Hopewell School","2.1","2.6","2.5","*","1.8"
"0540111","0540011","Glastonbury School District","LINKS Academy","","","30.0","",""
"0541411","0540011","Glastonbury School District","LINKS Transition","","","","*",""
"0540111","0540011","Glastonbury School District","Links Academy","","","","51.9","40.6"
"0541411","0540011","Glastonbury School District","Links Transition","","","","","*"
"0540711","0540011","Glastonbury School District","Naubuc School","5.2","4.1","3.4","2.6","2.9"
"0540911","0540011","Glastonbury School District","Nayaug Elementary School","2.8","3.7","1.3","1.8","1.6"
"0541111","0540011","Glastonbury School District","PRIDE-Hebron Avenue","","","","*",""
"0541211","0540011","Glastonbury School District","PRIDE-Nayaug","","","","*",""
"0545211","0540011","Glastonbury School District","Smith Middle School","3.7","2.6","2.0","2.0","1.8"
"0560111","0560011","Granby School District","Frank M. Kearns Primary School","5.6","6.0","*","6.2","5.6"
"0566111","0560011","Granby School District","Granby Memorial High School","4.1","3.6","6.1","4.9","5.5"
"0565111","0560011","Granby School District","Granby Memorial Middle School","7.1","7.9","3.9","3.4","5.8"
"0560411","0560011","Granby School District","Kelly Lane Intermediate School","2.4","2.5","4.8","4.5",""
"0560411","0560011","Granby School District","Kelly Lane Primary School","","","","","*"
"0560311","0560011","Granby School District","Wells Road Intermediate School","3.7","4.2","4.9","3.2","4.2"
"2940113","2940013","Great Oaks Charter School District","Great Oaks Charter School","","","","21.1","15.1"
"0571411","0570011","Greenwich School District","Alternative High School Programs","","","","68.3",""
"0575111","0570011","Greenwich School District","Central Middle School","7.8","9.8","5.5","3.1","2.0"
"0571211","0570011","Greenwich School District","Community Connections","","","","*","*"
"0570211","0570011","Greenwich School District","Cos Cob School","4.7","5.4","4.5","1.4","2.2"
"0575211","0570011","Greenwich School District","Eastern Middle School","5.6","6.3","3.5","2.2","1.8"
"0570411","0570011","Greenwich School District","Glenville School","6.9","5.9","5.0","1.9","2.5"
"0571411","0570011","Greenwich School District","Greenwich Alternative High School","","","","","82.9"
"0576111","0570011","Greenwich School District","Greenwich High School","6.4","10.5","4.5","3.4","6.2"
"0570511","0570011","Greenwich School District","Hamilton Avenue School","7.4","8.7","5.7","4.4","6.4"
"0571311","0570011","Greenwich School District","International School At Dundee","3.0","6.5","2.7","*","2.2"
"0570311","0570011","Greenwich School District","Julian Curtiss School","4.1","6.8","5.8","3.0","3.4"
"0570611","0570011","Greenwich School District","New Lebanon School","4.4","8.0","5.6","*","2.2"
"0570711","0570011","Greenwich School District","North Mianus School","3.1","6.3","3.5","1.2","*"
"0570811","0570011","Greenwich School District","North Street School","3.0","5.9","4.1","*","*"
"0570911","0570011","Greenwich School District","Old Greenwich School","4.7","5.3","4.0","*","1.7"
"0571111","0570011","Greenwich School District","Parkway School","10.1","10.9","4.1","3.3","*"
"0571011","0570011","Greenwich School District","Riverside School","2.1","4.7","3.8","1.8","*"
"0575311","0570011","Greenwich School District","Western Middle School","7.6","7.6","8.9","5.0","3.3"
"0580111","0580011","Griswold School District","Griswold Alternative School","","","","*","*"
"0580311","0580011","Griswold School District","Griswold Elementary School","6.6","7.2","7.3","5.4","4.4"
"0586211","0580011","Griswold School District","Griswold High School","16.9","15.5","15.4","13.4","13.0"
"0585111","0580011","Griswold School District","Griswold Middle School","10.5","9.0","8.9","10.8","8.8"
"0595311","0590011","Groton School District","Carl C. Cutler Middle School","9.0","7.8","5.9","7.5","7.8"
"0590311","0590011","Groton School District","Catherine Kolnaski Magnet School","23.9","19.7","","",""
"0592011","0590011","Groton School District","Catherine Kolnaski Magnet School","23.9","19.7","11.9","11.2","9.8"
"0591811","0590011","Groton School District","Charles Barnum School","8.6","9.0","7.6","8.3","5.8"
"0590311","0590011","Groton School District","Claude Chester School","","","11.5","11.6","8.9"
"0595111","0590011","Groton School District","Fitch Middle School","10.3","","","",""
"0591711","0590011","Groton School District","Mary Morrisson School","8.6","8.2","9.1","10.8","10.4"
"0590211","0590011","Groton School District","New Beginnings Alternative Program","","","","*","65.2"
"0591911","0590011","Groton School District","Northeast Academy Elementary School","3.4","4.5","4.9","3.1","2.9"
"0591211","0590011","Groton School District","Pleasant Valley School","11.2","9.5","9.8","9.4","8.9"
"0596111","0590011","Groton School District","Robert E. Fitch High School","24.6","23.2","21.8","19.2","18.6"
"0590111","0590011","Groton School District","S. B. Butler School","6.7","5.8","5.1","2.1","*"
"0590611","0590011","Groton School District","Virtual Learning Academy","","","","*","*"
"0595211","0590011","Groton School District","West Side Middle School","12.4","11.8","9.7","11.5","13.5"
"0600711","0600011","Guilford School District","A. Baldwin Middle School","4.5","5.3","5.8","4.9","5.8"
"0600611","0600011","Guilford School District","A. W. Cox School","3.1","*","2.6","3.1","5.6"
"0600411","0600011","Guilford School District","Calvin Leete School","3.6","3.4","2.4","*","2.7"
"0605111","0600011","Guilford School District","E. C. Adams Middle School","8.0","8.6","6.5","5.2","6.2"
"0606111","0600011","Guilford School District","Guilford High School","9.7","11.0","7.8","6.4","4.0"
"0600211","0600011","Guilford School District","Guilford Lakes School","2.7","4.5","6.3","3.4","2.4"
"0600311","0600011","Guilford School District","Melissa Jones School","3.3","4.0","3.8","3.2","3.2"
"0628011","0620011","Hamden School District","Alice Peck Learning Center","","*","*","*","*"
"0621211","0620011","Hamden School District","Bear Path School","4.2","4.1","4.9","3.8","5.4"
"0620211","0620011","Hamden School District","Church Street School","14.1","13.0","12.3","12.6","10.5"
"0620311","0620011","Hamden School District","Dunbar Hill School","8.7","11.9","6.0","7.8","7.1"
"0620511","0620011","Hamden School District","Hamden Collaborative Learning Center","","","","80.3","90.0"
"0626111","0620011","Hamden School District","Hamden High School","19.2","23.7","21.7","23.2","34.4"
"0625211","0620011","Hamden School District","Hamden Middle School","14.6","16.1","18.2","12.8","16.2"
"0620611","0620011","Hamden School District","Hamden Transition Academy @ SCSU (AACPB)","","","","","*"
"0620411","0620011","Hamden School District","Helen Street School","8.7","8.0","11.5","13.0","10.0"
"0621111","0620011","Hamden School District","Ridge Hill School","14.2","14.1","12.5","13.5","12.7"
"0620111","0620011","Hamden School District","Shepherd Glen School","10.9","13.2","14.8","11.3","10.7"
"0621011","0620011","Hamden School District","Spring Glen School","6.6","6.7","6.1","5.5","7.2"
"0621411","0620011","Hamden School District","West Woods School","5.3","7.3","5.2","4.0","1.8"
"0630111","0630011","Hampton School District","Hampton Elementary School","5.8","*","*","6.8","7.9"
"0647911","0640011","Hartford School District","Great Path Academy at MCC","","","","10.9","10.0"
"0640711","0640011","Hartford School District","Asian Studies Academy","27.5","29.2","28.2","",""
"0640711","0640011","Hartford School District","Asian Studies Academy at Bellizzi School","","","","40.3","34.9"
"0644511","0640011","Hartford School District","Autism Program - Clark School","","","","*",""
"0644311","0640011","Hartford School District","Autism Program - Environmental Sciences Magnet School at Mary M Hooker","","","","*","*"
"0644211","0640011","Hartford School District","Autism Program - Fred D. Wish Museum School","","","","39.1",""
"0644411","0640011","Hartford School District","Autism Program - Sarah J. Rawson Elementary School","","","","*","33.3"
"0649311","0640011","Hartford School District","Autism Program - Simpson-Waverly","","","","","*"
"0648611","0640011","Hartford School District","Autism Program-Burr School","","","","","*"
"0640411","0640011","Hartford School District","Batchelder School","16.8","23.8","27.5","18.3","22.2"
"0642811","0640011","Hartford School District","Betances Early Reading Lab Magnet School","","","","15.7","16.7"
"0643511","0640011","Hartford School District","Breakthrough II Elementary School","11.0","15.5","*","",""
"0643511","0640011","Hartford School District","Breakthrough II Magnet School","","","","9.7","9.1"
