"school_code","district_code","district","school","2011_12","2012_13","2013_14","2014_15","2015_16"
"0641711","0640011","Hartford School District","Sarah J. Rawson Elementary School","25.9","14.3","20.4","22.6","18.4"
"0642611","0640011","Hartford School District","Simpson-Waverly School","*","29.1","43.2","35.6","29.6"
"0646511","0640011","Hartford School District","Sports and Medical Sciences Academy","12.9","15.9","19.7","15.4","15.3"
"0646711","0640011","Hartford School District","University High School of Science and Engineering","","","","9.2","10.7"
"0646711","0640011","Hartford School District","University High of Science and Engineering","14.4","10.7","10.8","",""
"0642111","0640011","Hartford School District","West Middle School","18.3","19.8","26.1","20.5","22.9"
"0650111","0650011","Hartland School District","Hartland School","*","*","*","*","*"
"0670211","0670011","Hebron School District","Gilead Hill School","5.1","*","*","*","*"
"0670111","0670011","Hebron School District","Hebron Elementary School","2.9","3.3","1.9","*","*"
"2860113","2860013","Highville Charter School District","Highville Charter School","4.4","5.7","2.9","6.6","7.0"
"2640113","2640013","Integrated Day Charter School District","Integrated Day Charter School","6.8","7.6","6.1","5.4","4.4"
"2655113","2650013","Interdistrict School for Arts and Comm District","Interdistrict School For Arts And Communication","8.8","9.7","11.2","12.3","7.3"
"2610113","2610013","Jumoke Academy District","Jumoke Academy","2.5","6.1","6.2","7.9","6.3"
"0680111","0680011","Kent School District","Kent Center School","6.8","4.2","2.7","*","2.6"
"0680211","0680011","Kent School District","LEAPSS","","","","*",""
"0690611","0690011","Killingly School District","Killingly Alternative Learning Program","","","","*","*"
"0690111","0690011","Killingly School District","Killingly Central School","7.4","14.4","7.6","6.1","10.1"
"0696111","0690011","Killingly School District","Killingly High School","24.6","22.6","19.1","16.7","18.3"
"0695211","0690011","Killingly School District","Killingly Intermediate School","12.9","11.9","10.4","8.5","10.1"
"0690311","0690011","Killingly School District","Killingly Memorial School","5.4","11.6","8.2","4.5","*"
"2456014","2450014","Learn","Connecticut River Academy","22.9","36.9","28.8","36.6","10.7"
"2455014","2450014","Learn","Dual Language & Arts Magnet Middle School","54.3","11.0","8.3","9.8","10.1"
"2450314","2450014","Learn","Goodwin College Early Childhood Interdistrict Magnet School","","","40.7","19.5","16.8"
"2451214","2450014","Learn","LEARN ABA Program at Center School","","","","*",""
"2451114","2450014","Learn","LEARN Haynes Elementary Intensive Program","","","","*",""
"2450614","2450014","Learn","LEARN High School ABA at MS","","","","*",""
"2450914","2450014","Learn","LEARN Kelly Middle School Intensive Program","","","","*",""
"2450714","2450014","Learn","LEARN Ledyard RICHES Program","","","","*",""
"2450814","2450014","Learn","LEARN SAILS Middle School Program","","","","*",""
"2451014","2450014","Learn","LEARN SAILS Program at Salem","","","","*",""
"2450414","2450014","Learn","LEARN STS 18-21 Year Old Program","","","","*",""
"2451214","2450014","Learn","Learn ABA Program at Center School","","","","","*"
"2451114","2450014","Learn","Learn Haynes Elementary Intensive Program","","","","","*"
"2450614","2450014","Learn","Learn High School ABA at MS","","","","","*"
"2450914","2450014","Learn","Learn Kelly Middle School Intensive Program","","","","","*"
"2450714","2450014","Learn","Learn Ledyard RICHES Program","","","","","*"
"2450514","2450014","Learn","Learn Pathways Program","","","","*","*"
"2450814","2450014","Learn","Learn SAILS Middle School Program","","","","","*"
"2451014","2450014","Learn","Learn SAILS Program at Salem","","","","","*"
"2450414","2450014","Learn","Learn STS 18-21 Year Old Program","","","","","*"
"2459014","2450014","Learn","Learn Special Education","*","19.4","22.2","",""
"2456114","2450014","Learn","Marine Science Magnet High School of Southeastern Connecticut","*","12.3","7.8","8.4","11.4"
"2450114","2450014","Learn","Regional Multicultural Magnet School","4.7","40.6","7.3","4.8","5.1"
"2450214","2450014","Learn","The Friendship School","21.4","24.2","8.0","19.3","14.0"
"2456214","2450014","Learn","Three Rivers Middle College Magnet School","","48.5","54.2","*","10.4"
"0710111","0710011","Lebanon School District","Lebanon Elementary School","*","6.4","0.0","0.0","2.1"
"0715111","0710011","Lebanon School District","Lebanon Middle School","5.2","*","0.0","*","4.6"
"0716211","0710011","Lebanon School District","Lyman Memorial High School","18.8","25.9","19.5","19.8","11.1"
"0720211","0720011","Ledyard School District","Gales Ferry School","0.0","14.4","*","0.0","*"
"0720411","0720011","Ledyard School District","Gallup Hill School","*","8.0","6.1","0.0","8.2"
"0720311","0720011","Ledyard School District","Juliet W. Long School","*","9.5","*","0.0","2.7"
"0720111","0720011","Ledyard School District","Ledyard Center School","4.5","7.4","5.4","0.0","4.0"
"0726111","0720011","Ledyard School District","Ledyard High School","15.4","7.3","6.7","6.6","12.4"
"0725111","0720011","Ledyard School District","Ledyard Middle School","9.4","6.0","6.9","8.8","4.1"
"0736011","0730011","Lisbon School District","Community Connection - The Big Picture High School","*","*","","",""
"0730111","0730011","Lisbon School District","Lisbon Central School","4.8","6.2","4.6","*","*"
"0740211","0740011","Litchfield School District","Center School","4.0","7.0","4.8","2.4","14.4"
"0746111","0740011","Litchfield School District","Litchfield High School","8.7","9.1","9.8","8.4","11.5"
"0740311","0740011","Litchfield School District","Litchfield Intermediate School","5.0","4.7","4.9","4.7","3.7"
"0746011","0740011","Litchfield School District","Litchfield Middle School","","","","","*"
"0766111","0760011","Madison School District","Daniel Hand High School","5.5","2.1","1.0","1.9","1.3"
"0760611","0760011","Madison School District","Dr. Robert H. Brown Middle School","2.9","4.7","4.0","3.3","2.9"
"0760211","0760011","Madison School District","Island Avenue Elementary School","*","4.4","2.0","0.0","0.0"
"0760111","0760011","Madison School District","J. Milton Jeffrey Elementary School","2.7","3.5","*","2.9","*"
"0760311","0760011","Madison School District","Kathleen H. Ryerson Elementary School","2.4","3.1","2.4","4.1","*"
"0765211","0760011","Madison School District","Walter C. Polson Upper Middle School","4.6","5.7","4.3","5.8","3.6"
"0770911","0770011","Manchester School District","Nathan Hale School","20.8","","","",""
"0770211","0770011","Manchester School District","Bentley Alternative Education Program","","","","60.7","62.1"
"0770111","0770011","Manchester School District","Bowers School","8.1","8.9","11.1","11.4","6.7"
"0770311","0770011","Manchester School District","Buckley School","6.6","5.7","4.9","7.3","9.0"
"0771111","0770011","Manchester School District","Elementary Site 2","","","","","*"
"0771711","0770011","Manchester School District","Elisabeth M. Bennet Academy","10.6","8.6","12.4","8.5","12.9"
"0770411","0770011","Manchester School District","Highland Park School","","7.6","7.4","11.9","7.1"
"0775311","0770011","Manchester School District","Illing Middle School","12.0","13.2","14.0","10.6","11.3"
"0770611","0770011","Manchester School District","Keeney School","6.2","8.1","8.5","7.6","8.2"
"0776111","0770011","Manchester School District","Manchester High School","47.4","19.6","13.9","17.6","24.3"
"0779011","0770011","Manchester School District","Manchester Regional Academy","55.2","55.4","52.5","45.9","52.3"
"0779111","0770011","Manchester School District","Manchester Transition Center","*","*","*","*","*"
"0771611","0770011","Manchester School District","Martin School","6.0","8.6","8.1","8.3","5.5"
"0770711","0770011","Manchester School District","New Horizons","","","","70.6","73.1"
"0771011","0770011","Manchester School District","Robertson School","11.6","8.4","9.4","9.9","4.4"
"0771211","0770011","Manchester School District","Verplanck School","10.7","11.6","13.6","13.7","9.6"
"0771311","0770011","Manchester School District","Waddell School","8.0","6.4","6.8","6.0","8.3"
"0771411","0770011","Manchester School District","Washington School","8.2","16.6","18.9","14.6","14.6"
"0780411","0780011","Mansfield School District","Annie E. Vinton School","5.3","6.8","5.2","5.9","5.3"
"0780211","0780011","Mansfield School District","Dorothy C. Goodwin School","*","3.2","4.0","*","4.0"
"0785111","0780011","Mansfield School District","Mansfield Middle School School","5.9","5.7","2.4","5.0","4.4"
"0780511","0780011","Mansfield School District","Southeast Elementary School","5.3","8.4","6.5","4.4","7.3"
"0790111","0790011","Marlborough School District","Elmer Thienes-Mary Hall Elementary School","4.1","3.6","*","*","3.6"
"0800711","0800011","Meriden School District","Nathan Hale School","10.9","12.5","11.5","10.4","7.6"
"0800111","0800011","Meriden School District","Benjamin Franklin School","11.7","10.4","10.1","10.0","6.7"
"0801111","0800011","Meriden School District","Casimir Pulaski School","13.4","11.1","8.8","12.4","6.3"
"0800211","0800011","Meriden School District","Community Classroom Collaborative-Meriden School District","","","","*","*"
"0806111","0800011","Meriden School District","Francis T. Maloney High School","12.0","17.5","21.4","20.6","16.2"
"0800311","0800011","Meriden School District","Hanover School","10.5","14.0","8.6","8.3","6.0"
"0800411","0800011","Meriden School District","Israel Putnam School","13.2","10.7","12.1","11.8","9.1"
"0800511","0800011","Meriden School District","John Barry School","12.3","17.3","17.6","20.9","9.2"
"0805211","0800011","Meriden School District","Lincoln Middle School","18.2","17.8","13.2","16.4","11.6"
"0806211","0800011","Meriden School District","Orville H. Platt High School","13.4","27.4","25.7","22.7","19.0"
"0800811","0800011","Meriden School District","Roger Sherman School","6.3","10.0","10.8","14.4","12.9"
"0800611","0800011","Meriden School District","STARS-Meriden School District","","","","27.3","15.8"
"0800911","0800011","Meriden School District","STEP-Meriden School District","","","","*","*"
"0801211","0800011","Meriden School District","Steps-Meriden School District","","","","57.1","40.0"
"0801411","0800011","Meriden School District","Success Academy","","","","","51.7"
"0801011","0800011","Meriden School District","Thomas Hooker School","6.4","4.9","6.6","7.1","4.4"
"0801311","0800011","Meriden School District","Venture Academy-Meriden School District","","","","96.1","93.3"
"0805411","0800011","Meriden School District","Washington Middle School","11.8","19.3","17.5","20.9","16.7"
"0830211","0830011","Middletown School District","Bielefield School","5.9","5.2","8.1","6.0","4.4"
"0831611","0830011","Middletown School District","Evening Program - MHS","","","","*","*"
"0830511","0830011","Middletown School District","Farm Hill School","10.0","12.3","11.5","5.2","4.4"
"0830611","0830011","Middletown School District","ICM - Farm Hill","","","","*","*"
"0830711","0830011","Middletown School District","ICM - Lawrence","","","","*","*"
"0831011","0830011","Middletown School District","ICM - Macdonough","","","","*",""
"0832011","0830011","Middletown School District","ICM - Spencer","","","","","*"
"0830811","0830011","Middletown School District","ICM - Wesley","","","","*","*"
"0830411","0830011","Middletown School District","ICM- Woodrow Wilson Middle School","","","","*","*"
"0831511","0830011","Middletown School District","Keigwin Middle School","9.4","13.0","1.9","*","10.1"
"0831311","0830011","Middletown School District","Lawrence School","7.4","11.2","7.0","6.8","*"
"0831811","0830011","Middletown School District","MHS - Alternative Education Program 1","","","","*","*"
"0831911","0830011","Middletown School District","MHS - Alternative Education Program 2","","","","*","*"
"0832211","0830011","Middletown School District","MHS- Alternative Education Program 3","","","","","*"
"0830911","0830011","Middletown School District","MacDonough School","8.6","8.3","11.0","6.6","6.3"
"0836211","0830011","Middletown School District","Middletown High School","21.2","18.3","13.4","14.0","14.9"
"0831211","0830011","Middletown School District","Moody School","2.7","3.5","2.8","3.0","*"
"0830311","0830011","Middletown School District","OASIS","","","","*","*"
"0832111","0830011","Middletown School District","STEM - Macdonough","","","","","*"
"0831111","0830011","Middletown School District","Snow School","5.3","7.7","7.8","5.0","3.9"
"0830111","0830011","Middletown School District","Spencer School","2.1","2.3","4.4","4.7","3.4"
"0839111","0830011","Middletown School District","Transition to Life Center","*","*","*","45.8","59.3"
"0831711","0830011","Middletown School District","Virtual Learning Academy - MHS","","","","*","*"
"0831411","0830011","Middletown School District","Wesley School","6.7","4.3","6.1","3.9","4.6"
"0835411","0830011","Middletown School District","Woodrow Wilson Middle School","12.5","10.6","14.9","13.3","6.2"
"0840111","0840011","Milford School District","Calf Pen Meadow School","5.2","5.3","*","*","2.4"
"0845111","0840011","Milford School District","East Shore Middle School","8.0","10.3","7.2","6.2","4.2"
"0845211","0840011","Milford School District","Harborside Middle School","7.5","8.8","6.5","5.1","4.3"
"0841911","0840011","Milford School District","J. F. Kennedy School","7.3","12.3","7.6","7.8","2.7"
"0846211","0840011","Milford School District","Jonathan Law High School","25.1","27.7","23.6","13.8","13.3"
"0846311","0840011","Milford School District","Joseph A. Foran High School","15.1","15.9","18.4","13.5","9.4"
"0841611","0840011","Milford School District","Live Oaks School","5.3","4.8","5.4","4.6","4.4"
"0841711","0840011","Milford School District","Mathewson School","4.8","10.4","5.4","7.3","2.9"
"0840711","0840011","Milford School District","Meadowside School","2.1","4.7","2.6","4.1","7.4"
"0840811","0840011","Milford School District","Orange Avenue School","4.4","7.0","6.0","*","3.1"
"0841811","0840011","Milford School District","Orchard Hills School","2.7","4.3","3.5","4.6","4.3"
"0841011","0840011","Milford School District","Pumpkin Delight School","7.5","4.9","5.6","5.4","7.7"
"0840311","0840011","Milford School District","The Academy","","","","93.8","75.0"
"0845311","0840011","Milford School District","West Shore Middle School","9.7","12.8","10.3","5.8","7.4"
"0850511","0850011","Monroe School District","Fawn Hollow Elementary School","2.3","2.3","*","2.3","1.8"
"0855211","0850011","Monroe School District","Jockey Hollow School","8.3","6.3","4.8","3.6","3.8"
"0850211","0850011","Monroe School District","Masuk Alternative Program","","","","*","*"
"0856111","0850011","Monroe School District","Masuk High School","8.6","9.9","5.6","2.6","2.9"
"0850111","0850011","Monroe School District","Monroe Elementary School","2.4","2.4","2.8","*","0.0"
"0850411","0850011","Monroe School District","REAL","","","","*",""
"0850311","0850011","Monroe School District","Stepney Elementary School","3.3","2.8","2.1","2.8","1.6"
"0860711","0860011","Montville School District","Dr. Charles E. Murphy School","6.5","3.3","4.2","2.9","2.0"
"0865111","0860011","Montville School District","Leonard J. Tyl Middle School","6.5","6.3","7.0","6.5","6.7"
"0860111","0860011","Montville School District","Mohegan School","6.2","5.3","5.6","3.1","2.4"
"0866111","0860011","Montville School District","Montville High School","11.1","8.9","9.1","9.7","9.6"
"0860511","0860011","Montville School District","Oakdale School","5.4","4.9","4.0","2.9","3.0"
"0869011","0860011","Montville School District","Palmer Academy","56.5","64.0","*","52.0","64.0"
"0880811","0880011","Naugatuck School District","Andrew Avenue School","10.1","10.1","7.1","2.4","8.1"
"0880111","0880011","Naugatuck School District","Central Avenue School","11.0","","","",""
"0885111","0880011","Naugatuck School District","City Hill Middle School","10.3","15.7","13.0","12.5","11.7"
"0880211","0880011","Naugatuck School District","Cross Street Intermediate School","9.2","9.5","8.5","8.4","8.4"
"0880911","0880011","Naugatuck School District","Genesis Academy","","","","","*"
"0880411","0880011","Naugatuck School District","Hillside Intermediate School","10.9","12.2","6.4","11.4","6.5"
"0880511","0880011","Naugatuck School District","Hop Brook Elementary School","9.0","12.7","7.3","7.0","8.2"
"0880311","0880011","Naugatuck School District","Maple Hill School","8.5","1.7","7.1","4.8","4.7"
"0886111","0880011","Naugatuck School District","Naugatuck High School","20.0","22.9","25.3","16.3","18.3"
"0880611","0880011","Naugatuck School District","Salem School","8.6","8.2","10.3","12.7","9.0"
"0880711","0880011","Naugatuck School District","Western School","6.7","7.7","5.4","6.6","6.3"
"2800113","2800013","New Beginnings Inc., Family Academy District","New Beginnings Inc Family Academy","","","","17.1","7.4"
"2800113","2800013","New Beginnings Inc., Family Academy District","New Beginnings Inc., Family Academy","8.1","9.3","9.8","",""
"3480315","0890011","New Britain School District","Hartford Detention Center","","","","","*"
"0899111","0890011","New Britain School District","Alternative Center School","68.7","72.2","0.0","*","71.2"
"0891011","0890011","New Britain School District","Behavior Support","","","","","*"
"0899411","0890011","New Britain School District","CLIMB","0.0","*","52.0","34.6","*"
"0890311","0890011","New Britain School District","Chamberlain  Elementary School","31.2","26.4","15.2","14.3","10.8"
"0891111","0890011","New Britain School District","Frank J. DiLoreto School","25.9","9.7","11.4","6.9","8.4"
"0890511","0890011","New Britain School District","Gaffney School","22.7","20.9","12.6","13.0","6.4"
"0890611","0890011","New Britain School District","Holmes School","16.8","11.7","8.2","10.8","10.7"
"0895411","0890011","New Britain School District","House of Arts Letters and Science (HALS)  Academy","5.4","6.7","4.2","*","*"
"0890711","0890011","New Britain School District","Jefferson School","15.2","9.3","6.3","5.9","4.0"
"0891611","0890011","New Britain School District","KEY Elementary","","","","","29.3"
"0891711","0890011","New Britain School District","KEY Middle","","","","","*"
"0890811","0890011","New Britain School District","Lincoln School","18.6","13.4","15.2","15.3","13.1"
"0896111","0890011","New Britain School District","New Britain High School","44.3","43.1","36.2","39.3","33.3"
"0899011","0890011","New Britain School District","New Britain Transition Center","47.8","41.5","0.0","0.0","50.0"
"0890911","0890011","New Britain School District","Northend School","11.2","4.7","11.5","17.1","9.3"
"0895311","0890011","New Britain School District","Pulaski Middle School","28.1","17.6","22.4","24.8","17.5"
"0895111","0890011","New Britain School District","Roosevelt Middle School","25.6","72.9","23.3","",""
"0895211","0890011","New Britain School District","Slade Middle School","18.8","16.2","18.0","22.0","20.6"
"0891211","0890011","New Britain School District","Smalley Academy","24.7","23.9","16.2","16.3","17.0"
"0891311","0890011","New Britain School District","Smith School","16.8","13.1","7.1","11.1","5.0"
"0891811","0890011","New Britain School District","Steps","","","","","25.0"
"0890411","0890011","New Britain School District","Sunrise Intermediate","","","","","*"
"0890211","0890011","New Britain School District","Sunrise Primary","","","","","*"
"0891511","0890011","New Britain School District","Vance School","12.3","10.0","10.2","10.8","10.3"
"0900411","0900011","New Canaan School District","East School","2.7","4.3","3.7","*","2.0"
"0906111","0900011","New Canaan School District","New Canaan High School","20.8","2.7","3.0","4.4","3.3"
"0905111","0900011","New Canaan School District","Saxe Middle School","4.3","4.9","3.6","2.9","2.1"
"0900211","0900011","New Canaan School District","South School","1.9","5.2","*","*","*"
"0900311","0900011","New Canaan School District","West School","4.4","5.9","*","2.5","2.4"
"0910311","0910011","New Fairfield School District","Alternative Learning Center","","","","*","*"
"0910111","0910011","New Fairfield School District","Consolidated School","6.3","4.2","4.3","2.7","2.8"
"0910411","0910011","New Fairfield School District","Day Alternative Learning Program","","","","*",""
"0910211","0910011","New Fairfield School District","Meeting House Hill School","2.7","*","*","2.5","2.7"
"0916111","0910011","New Fairfield School District","New Fairfield High School","11.1","7.6","6.1","1.7","2.5"
"0915211","0910011","New Fairfield School District","New Fairfield Middle School","8.9","7.2","4.6","4.5","4.8"
"0920311","0920011","New Hartford School District","Ann Antolini School","5.1","4.7","5.6","3.0","3.7"
"0920111","0920011","New Hartford School District","Bakerville Consolidated School","*","*","5.0","*","*"
"0920411","0920011","New Hartford School District","Bridges II at Ann Antolini School","","","","*",""
"0920211","0920011","New Hartford School District","New Hartford Elementary School","*","*","*","*","*"
"0931211","0930011","New Haven School District","Edgewood School","3.4","4.5","9.9","7.1","8.7"
"0931411","0930011","New Haven School District","Nathan Hale School","10.0","11.8","13.7","15.1","9.7"
"0931511","0930011","New Haven School District","Augusta Lewis Troup School","19.8","10.9","18.6","29.1","29.5"
"0930211","0930011","New Haven School District","Barnard Environmental Magnet School","8.1","6.5","14.8","14.0","16.2"
"0930311","0930011","New Haven School District","Beecher School","16.8","12.8","23.9","24.3","22.5"
"0931811","0930011","New Haven School District","Benjamin Jepson Magnet School","9.6","7.6","13.0","12.9","9.7"
"0935511","0930011","New Haven School District","Betsy Ross Arts Magnet School","11.9","8.2","12.0","13.7","13.7"
"0934311","0930011","New Haven School District","Bishop Woods School","18.0","9.7","23.5","24.1","11.8"
"0932411","0930011","New Haven School District","Blake Street Leadership Academy (STEP)","","","","87.0","*"
"0934811","0930011","New Haven School District","Celentano BioTech, Health and Medical Magnet School","33.8","10.2","13.6","28.3","17.7"
"0934111","0930011","New Haven School District","Christopher Columbus Academy","12.0","8.0","14.1","",""
"0934211","0930011","New Haven School District","Clemente Leadership Academy","27.7","24.1","37.3","37.2","21.5"
"0930611","0930011","New Haven School District","Clinton Avenue School","20.2","15.2","29.4","23.2","18.7"
"0934111","0930011","New Haven School District","Columbus Family Academy","","","","17.0","9.8"
"0933111","0930011","New Haven School District","Conte/West Hills Magnet School","5.6","6.7","14.1","17.6","14.3"
"0936411","0930011","New Haven School District","Cooperative High School","23.0","14.6","27.0","24.1","13.5"
"0930911","0930011","New Haven School District","Davis 21st Century Magnet Elementary School","6.4","5.7","11.3","8.2","6.2"
"0935611","0930011","New Haven School District","Domus Academy","52.0","50.0","64.1","77.1","67.4"
"0934611","0930011","New Haven School District","East Rock Community Magnet School","16.9","12.9","21.7","24.1","17.1"
"0931711","0930011","New Haven School District","Engineering - Science University Magnet School","4.7","6.0","12.1","12.3","13.6"
"0931611","0930011","New Haven School District","Fair Haven School","16.8","14.0","21.9","26.0","18.6"
"0936611","0930011","New Haven School District","High School In The Community","40.0","29.4","36.6","42.3","32.9"
"0930711","0930011","New Haven School District","Hill Central Music Academy","26.2","12.1","28.3","24.9","19.7"
"0936311","0930011","New Haven School District","Hill Regional Career High School","17.6","13.5","21.9","25.3","21.1"
"0936811","0930011","New Haven School District","Hyde School of Health, Science and Sports Medicine","22.9","19.5","37.8","44.0","35.3"
"0936211","0930011","New Haven School District","James Hillhouse High School","39.8","32.9","45.4","44.6","39.0"
"0931311","0930011","New Haven School District","John C. Daniels","8.4","8.5","14.2","13.8","11.9"
"0930811","0930011","New Haven School District","John S. Martinez School","14.2","8.3","23.7","25.0","11.7"
"0932111","0930011","New Haven School District","Katherine Brennan/Clarence Rogers School","12.9","11.9","21.2","24.9","19.3"
"0933011","0930011","New Haven School District","King/Robinson Magnet School","10.9","12.5","20.0","18.6","13.2"
"0932011","0930011","New Haven School District","Lincoln-Bassett School","22.2","19.3","29.9","30.0","19.5"
"0931911","0930011","New Haven School District","Mauro-Sheridan Magnet School","7.9","7.5","13.6","18.1","10.8"
"0936011","0930011","New Haven School District","Metropolitan Business Academy","18.2","22.2","30.9","26.0","21.4"
"0934411","0930011","New Haven School District","NHPS Self Contained Autism","","","","","31.7"
"0935011","0930011","New Haven School District","NHPS Self Contained Intellectually Disabled","","","","","*"
"0934511","0930011","New Haven School District","NHPS Self Contained Multi-Handicapped","","","","","63.4"
"0937011","0930011","New Haven School District","New Haven Academy","19.2","24.5","46.9","15.5","22.2"
"0932211","0930011","New Haven School District","New Horizons High School","","","","94.4","88.9"
"0932611","0930011","New Haven School District","New Light High School","","","","91.9","74.6"
"0937311","0930011","New Haven School District","Off-Campus Classroom Program (OCC)","","","","","27.5"
"0939211","0930011","New Haven School District","Polly T. McCabe Center","94.4","83.3","*","*","*"
"0933511","0930011","New Haven School District","Quinnipiac Real World Math STEM School","","10.2","29.4","23.0","11.0"
"0939111","0930011","New Haven School District","Riverside Education Academy","66.4","57.9","78.5","58.6","75.9"
"0931011","0930011","New Haven School District","Ross/Woodward School","9.9","6.5","13.0","17.0","12.7"
"0936711","0930011","New Haven School District","Sound School","11.4","16.9","16.2","19.3","12.7"
"0932811","0930011","New Haven School District","Strong 21st Century Communications Magnet and SCSU Lab School","29.6","13.6","30.7","28.5","19.2"
"0932911","0930011","New Haven School District","Truman School","23.0","15.3","21.2","20.5","16.9"
"0934911","0930011","New Haven School District","West Rock Authors Academy","10.9","9.5","29.9","31.3","21.3"
"0933211","0930011","New Haven School District","Wexler/Grant Community School","16.5","13.1","29.6","32.5","20.0"
"0936111","0930011","New Haven School District","Wilbur Cross High School","55.4","52.4","47.6","50.5","41.6"
"0933811","0930011","New Haven School District","Worthington Hooker School","5.5","5.0","9.2","11.4","5.8"
"0950311","0950011","New London School District","Jennings School","23.1","17.0","20.4","19.6","17.4"
"0955111","0950011","New London School District","Bennie Dover Jackson Middle School","22.6","13.5","12.9","15.9","13.1"
"0950611","0950011","New London School District","Early Childhood Center at Harbor","","","","25.8","27.8"
"0950211","0950011","New London School District","Harbor School","17.0","","","",""
"0950911","0950011","New London School District","Nathan Hale Arts Magnet School","20.4","20.0","5.0","16.0","15.8"
"0959111","0950011","New London School District","New London Clinical Day Program","76.2","54.5","","",""
"0956111","0950011","New London School District","New London High School","27.1","20.1","24.4","17.6","17.4"
"0950811","0950011","New London School District","Winthrop STEM Elementary Magnet School","42.8","21.8","39.0","20.6","14.8"
"0960511","0960011","New Milford School District","Hill And Plain School","*","6.6","6.3","7.1","*"
"0960711","0960011","New Milford School District","John Pettibone School","7.7","4.1","1.9","2.4",""
"0969011","0960011","New Milford School District","Litchfield Hills Transition Center","*","*","*","*","*"
"0966111","0960011","New Milford School District","New Milford High School","17.0","14.9","15.5","10.2","8.1"
"0960811","0960011","New Milford School District","Northville Elementary School","8.7","4.6","6.0","4.3","6.2"
"0960911","0960011","New Milford School District","Sarah Noble Intermediate School","5.5","6.7","4.9","3.3","3.2"
"0965211","0960011","New Milford School District","Schaghticoke Middle School","9.0","9.9","7.6","6.0","4.4"
"0940611","0940011","Newington School District","Anna Reynolds School","3.9","*","2.3","2.7","2.7"
"0940211","0940011","Newington School District","Elizabeth Green School","2.1","*","3.5","3.3","2.1"
"0940811","0940011","Newington School District","John Paterson School","3.0","1.4","3.2","5.6","2.5"
"0945311","0940011","Newington School District","John Wallace Middle School","4.7","2.8","3.0","1.9","1.8"
"0945111","0940011","Newington School District","Martin Kellogg Middle School","4.9","3.3","4.4","2.6","2.4"
"0946111","0940011","Newington School District","Newington High School","5.5","6.5","14.2","13.2","10.0"
"0940711","0940011","Newington School District","Ruth Chaffee School","4.6","*","3.3","3.2","2.7"
"0970111","0970011","Newtown School District","Hawley Elementary School","3.1","1.9","2.9","*","2.2"
"0970411","0970011","Newtown School District","Head O'Meadow Elementary School","2.9","6.1","3.9","1.9","4.7"
"0970311","0970011","Newtown School District","Middle Gate Elementary School","3.0","5.6","4.8","3.6","3.8"
"0976111","0970011","Newtown School District","Newtown High School","1.6","3.1","2.8","3.8","5.3"
"0975111","0970011","Newtown School District","Newtown Middle School","4.2","8.4","7.1","6.5","5.7"
"0970511","0970011","Newtown School District","Reed Intermediate School","2.7","4.9","3.8","2.0","3.0"
"0979011","0970011","Newtown School District","STARR","*","*","*","*","*"
"0970211","0970011","Newtown School District","Sandy Hook Elementary School","2.2","4.8","6.3","3.8","2.1"
"0980111","0980011","Norfolk School District","Botelle Elementary School","*","*","5.9","*","*"
"0989211","0980011","Norfolk School District","Bridges II","*","*","*","",""
"0990411","0990011","North Branford School District","Jerome Harrison School","4.9","3.9","3.6","2.3","*"
"0996111","0990011","North Branford School District","North Branford High School","41.0","35.4","7.4","4.6","8.8"
"0995111","0990011","North Branford School District","North Branford Intermediate School","5.1","6.6","5.3","4.8","3.5"
"0999011","0990011","North Branford School District","School to Work Program","","*","*","*","*"
"0990611","0990011","North Branford School District","Totoket Valley Elementary School","1.2","2.9","1.7","3.0","3.5"
"1000111","1000011","North Canaan School District","North Canaan Elementary School","12.8","14.8","6.1","6.0","5.7"
"1010811","1010011","North Haven School District","Clintonville Elementary School","3.8","7.3","5.6","5.4","2.6"
"1010711","1010011","North Haven School District","Green Acres Elementary School","2.9","5.2","5.6","5.6","3.1"
"1010211","1010011","North Haven School District","Montowese Elementary School","2.1","4.4","4.4","2.6","*"
"1016111","1010011","North Haven School District","North Haven High School","12.5","16.7","14.3","42.0","2.3"
"1015211","1010011","North Haven School District","North Haven Middle School","6.7","7.3","7.3","10.1","8.0"
"1010111","1010011","North Haven School District","North Haven Transition Partnership","","","","*","*"
"1010311","1010011","North Haven School District","Ridge Road Elementary School","4.5","5.5","4.7","2.3","3.5"
"1020111","1020011","North Stonington School District","North Stonington Elementary School","4.1","4.9","0.0","0.0","3.6"
"1026111","1020011","North Stonington School District","Wheeler High School","16.7","20.1","17.3","*","5.3"
"1025111","1020011","North Stonington School District","Wheeler Middle School","10.9","13.4","7.7","*","*"
"1036211","1030011","Norwalk School District","Brien McMahon High School","17.4","14.5","13.6","8.6","15.7"
"1030211","1030011","Norwalk School District","Brookside Elementary School","4.6","4.5","5.0","6.7","4.4"
"1030311","1030011","Norwalk School District","Columbus Magnet School","2.6","4.1","3.4","2.8","4.0"
"1030411","1030011","Norwalk School District","Cranbury Elementary School","3.8","5.3","4.6","4.1","5.6"
"1032011","1030011","Norwalk School District","Fox Run Elementary School","7.5","8.9","7.4","6.8","6.0"
"1030711","1030011","Norwalk School District","Jefferson Magnet School","6.8","9.1","7.2","12.7","7.3"
"1030811","1030011","Norwalk School District","Kendall Elementary School","6.4","8.2","8.5","7.5","7.4"
