district,district_code,year,educators_total,educators_bilingual,educators_bilingual_pct,educators_tesol,educators_tesol_pct,check_dist,school_code,drg,yes,no,st_ratio,drg_ratio,state_ratio
Avon School District,0040011,2010-11,2.0,0.0,0.0,2.0,100.0,Avon School District,0040011,B,50.0,1826.0,25.0,19.117632465,39.2652236133
Berlin School District,0070011,2010-11,1.0,0.0,0.0,1.0,100.0,Berlin School District,0070011,D,67.0,3050.0,67.0,52.5833333333,39.2652236133
Branford School District,0140011,2010-11,1.0,0.0,0.0,1.0,100.0,Branford School District,0140011,D,129.0,3287.0,129.0,52.5833333333,39.2652236133
Bristol School District,0170011,2010-11,6.0,0.0,0.0,6.0,100.0,Bristol School District,0170011,G,261.0,8309.0,43.5,61.7111111111,39.2652236133
Capitol Region Education Council,2410014,2010-11,2.0,0.0,0.0,2.0,100.0,Capitol Region Education Council,2410014,,85.0,2526.0,42.5,,39.2652236133
Clinton School District,0270011,2010-11,3.0,0.0,0.0,3.0,100.0,Clinton School District,0270011,D,31.0,1513.0,10.3333333333,52.5833333333,39.2652236133
Colchester School District,0280011,2010-11,1.0,0.0,0.0,1.0,100.0,Colchester School District,0280011,D,14.0,1678.0,14.0,52.5833333333,39.2652236133
Cromwell School District,0330011,2010-11,1.0,0.0,0.0,1.0,100.0,Cromwell School District,0330011,D,45.0,909.0,45.0,52.5833333333,39.2652236133
Derby School District,0370011,2010-11,2.0,0.0,0.0,2.0,100.0,Derby School District,0370011,H,103.0,1364.0,51.5,54.9474999281,39.2652236133
East Haven School District,0440011,2010-11,3.0,0.0,0.0,3.0,100.0,East Haven School District,0440011,G,205.0,2930.0,68.3333333333,61.7111111111,39.2652236133
East Windsor School District,0470011,2010-11,2.0,0.0,0.0,2.0,100.0,East Windsor School District,0470011,F,30.0,921.0,15.0,26.1,39.2652236133
Ellington School District,0480011,2010-11,1.0,0.0,0.0,1.0,100.0,Ellington School District,0480011,C,22.0,1208.0,22.0,15.6666666667,39.2652236133
Fairfield School District,0510011,2010-11,8.0,0.0,0.0,8.0,100.0,Fairfield School District,0510011,B,208.0,7499.0,26.0,19.117632465,39.2652236133
Glastonbury School District,0540011,2010-11,2.0,0.0,0.0,2.0,100.0,Glastonbury School District,0540011,B,81.0,5256.0,40.5,19.117632465,39.2652236133
Greenwich School District,0570011,2010-11,22.0,0.0,0.0,22.0,100.0,Greenwich School District,0570011,B,457.0,8391.0,20.7727272727,19.117632465,39.2652236133
Groton School District,0590011,2010-11,1.0,0.0,0.0,1.0,100.0,Groton School District,0590011,G,74.0,2664.0,74.0,61.7111111111,39.2652236133
Hamden School District,0620011,2010-11,2.0,0.0,0.0,2.0,100.0,Hamden School District,0620011,G,259.0,5721.0,129.5,61.7111111111,39.2652236133
Manchester School District,0770011,2010-11,2.0,0.0,0.0,2.0,100.0,Manchester School District,0770011,G,340.0,6179.0,170.0,61.7111111111,39.2652236133
Middletown School District,0830011,2010-11,3.0,0.0,0.0,3.0,100.0,Middletown School District,0830011,G,144.0,5049.0,48.0,61.7111111111,39.2652236133
Milford School District,0840011,2010-11,3.0,0.0,0.0,3.0,100.0,Milford School District,0840011,D,103.0,3563.0,34.3333333333,52.5833333333,39.2652236133
Montville School District,0860011,2010-11,2.0,0.0,0.0,2.0,100.0,Montville School District,0860011,F,99.0,2181.0,49.5,26.1,39.2652236133
