district,school,english_learner_status,2011_12,2012_13,2013_14,2014_15,2015_16,school_code,check_sch_col,check_dist_col
Connecticut Technical High School System,Oliver Wolcott Technical High School,ELL,*,,,,,9002216,Oliver Wolcott Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Oliver Wolcott Technical High School,Non-ELL,97.5,98.8,96.6,98.1,98.6,9002216,Oliver Wolcott Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Platt Technical High School,ELL,*,*,*,*,*,9002616,Platt Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Platt Technical High School,Non-ELL,97.2,99.0,98.1,100.0,100.0,9002616,Platt Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Vinal Technical High School,ELL,,*,,,,9001816,Vinal Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Vinal Technical High School,Non-ELL,96.2,94.3,94.3,98.0,94.3,9001816,Vinal Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,W. F. Kaynor Technical High School,ELL,*,,,,*,9002316,W. F. Kaynor Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,W. F. Kaynor Technical High School,Non-ELL,98.2,97.9,98.4,97.7,98.9,9002316,W. F. Kaynor Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Windham Technical High School,ELL,*,*,,*,*,9002416,Windham Technical High School,Connecticut Technical High School System
Connecticut Technical High School System,Windham Technical High School,Non-ELL,97.0,99.2,98.4,96.9,99.2,9002416,Windham Technical High School,Connecticut Technical High School System
Coventry School District,Coventry High School,ELL,,*,,,,0326111,Coventry High School,Coventry School District
Coventry School District,Coventry High School,Non-ELL,86.8,*,97.7,*,92.6,0326111,Coventry High School,Coventry School District
Cromwell School District,Cromwell High School,ELL,*,*,*,*,*,0336111,Cromwell High School,Cromwell School District
Cromwell School District,Cromwell High School,Non-ELL,*,*,*,*,*,0336111,Cromwell High School,Cromwell School District
Danbury School District,Alternative Center For Excellence,ELL,,*,,,*,0346211,Alternative Center For Excellence,Danbury School District
Danbury School District,Alternative Center For Excellence,Non-ELL,,*,,,33.3,0346211,Alternative Center For Excellence,Danbury School District
Danbury School District,Danbury High School,ELL,55.9,*,54.5,47.8,*,0346111,Danbury High School,Danbury School District
Danbury School District,Danbury High School,Non-ELL,84.8,*,85.8,86.9,86.7,0346111,Danbury High School,Danbury School District
Darien School District,Darien High School,ELL,*,,*,,*,0356111,Darien High School,Darien School District
Darien School District,Darien High School,Non-ELL,*,97.8,*,97.3,*,0356111,Darien High School,Darien School District
Derby School District,Derby High School,ELL,*,*,*,*,*,0376111,Derby High School,Derby School District
Derby School District,Derby High School,Non-ELL,*,*,*,*,*,0376111,Derby High School,Derby School District
East Granby School District,East Granby High School,ELL,,,,,,0406111,East Granby High School,East Granby School District
East Granby School District,East Granby High School,Non-ELL,*,*,93.8,100.0,100.0,0406111,East Granby High School,East Granby School District
East Haddam School District,Nathan Hale-Ray High School,ELL,*,,,,,0416111,Nathan Hale-Ray High School,East Haddam School District
East Haddam School District,Nathan Hale-Ray High School,Non-ELL,*,*,96.0,93.5,*,0416111,Nathan Hale-Ray High School,East Haddam School District
East Hampton School District,East Hampton High School,ELL,*,*,,,*,0426111,East Hampton High School,East Hampton School District
East Hampton School District,East Hampton High School,Non-ELL,*,*,97.5,96.7,*,0426111,East Hampton High School,East Hampton School District
East Hartford School District,Connecticut IB Academy,ELL,,*,,,,0436311,Connecticut IB Academy,East Hartford School District
East Hartford School District,Connecticut IB Academy,Non-ELL,92.1,94.7,97.8,100.0,97.8,0436311,Connecticut IB Academy,East Hartford School District
East Hartford School District,East Hartford High School,ELL,72.0,73.1,*,86.4,*,0436211,East Hartford High School,East Hartford School District
East Hartford School District,East Hartford High School,Non-ELL,88.0,86.6,88.0,95.6,94.2,0436211,East Hartford High School,East Hartford School District
East Hartford School District,Stevens Alternate High school,ELL,,*,*,,*,0436411,Stevens Alternate High School,East Hartford School District
East Hartford School District,Stevens Alternate High school,Non-ELL,,51.9,41.9,,59.4,0436411,Stevens Alternate High School,East Hartford School District
East Haven School District,East Haven High School,ELL,*,*,*,*,*,0446111,East Haven High School,East Haven School District
East Haven School District,East Haven High School,Non-ELL,75.8,*,*,*,76.2,0446111,East Haven High School,East Haven School District
East Lyme School District,East Lyme High School,ELL,,*,*,*,*,0456111,East Lyme High School,East Lyme School District
East Lyme School District,East Lyme High School,Non-ELL,95.6,*,*,*,*,0456111,East Lyme High School,East Lyme School District
East Windsor School District,East Windsor High School,ELL,,*,*,*,*,0476111,East Windsor High School,East Windsor School District
East Windsor School District,East Windsor High School,Non-ELL,88.4,*,*,*,*,0476111,East Windsor High School,East Windsor School District
Eastern Connecticut Regional Educational Service Center (EASTCONN),Arts at the Capitol Theater Magnet School (ACT),ELL,,,*,*,*,2536014,Arts at the Capitol Theater Magnet School (ACT),Eastern Connecticut Regional Educational Service Center (EASTCONN)
Eastern Connecticut Regional Educational Service Center (EASTCONN),Arts at the Capitol Theater Magnet School (ACT),Non-ELL,*,*,90.9,96.3,85.7,2536014,Arts at the Capitol Theater Magnet School (ACT),Eastern Connecticut Regional Educational Service Center (EASTCONN)
Eastern Connecticut Regional Educational Service Center (EASTCONN),Quinebaug Middle College,ELL,*,*,*,*,*,2536114,Quinebaug Middle College,Eastern Connecticut Regional Educational Service Center (EASTCONN)
Eastern Connecticut Regional Educational Service Center (EASTCONN),Quinebaug Middle College,Non-ELL,*,69.0,58.1,58.5,77.8,2536114,Quinebaug Middle College,Eastern Connecticut Regional Educational Service Center (EASTCONN)
Ellington School District,Ellington High School,ELL,*,*,*,*,*,0486111,Ellington High School,Ellington School District
Ellington School District,Ellington High School,Non-ELL,*,*,*,*,*,0486111,Ellington High School,Ellington School District
Elm City College Preparatory School District,Elm City College Preparatory School,ELL,,,*,*,,2890113,Elm City College Preparatory School,Elm City College Preparatory School District
Elm City College Preparatory School District,Elm City College Preparatory School,Non-ELL,*,*,*,*,*,2890113,Elm City College Preparatory School,Elm City College Preparatory School District
Enfield School District,Enfield High School,ELL,*,*,*,,,0496111,Enfield High School,Enfield School District
Enfield School District,Enfield High School,Non-ELL,*,81.9,*,*,85.6,0496111,Enfield High School,Enfield School District
Enfield School District,Enrico Fermi High School,ELL,,*,,*,,0496211,Enrico Fermi High School,Enfield School District
Enfield School District,Enrico Fermi High School,Non-ELL,87.8,92.9,90.1,88.5,,0496211,Enrico Fermi High School,Enfield School District
Explorations District,Explorations,ELL,,*,,,,2726113,Explorations,Explorations District
Explorations District,Explorations,Non-ELL,57.1,*,66.7,*,74.1,2726113,Explorations,Explorations District
Fairfield School District,Fairfield Ludlowe High School,ELL,*,*,*,*,*,0516011,Fairfield Ludlowe High School,Fairfield School District
Fairfield School District,Fairfield Ludlowe High School,Non-ELL,96.3,95.3,94.5,96.8,98.0,0516011,Fairfield Ludlowe High School,Fairfield School District
Fairfield School District,Fairfield Warde High School,ELL,*,*,*,*,*,0516211,Fairfield Warde High School,Fairfield School District
Fairfield School District,Fairfield Warde High School,Non-ELL,92.9,92.1,95.1,97.9,97.2,0516211,Fairfield Warde High School,Fairfield School District
Farmington School District,Farmington High School,ELL,*,*,*,*,*,0526111,Farmington High School,Farmington School District
Farmington School District,Farmington High School,Non-ELL,*,*,*,*,*,0526111,Farmington High School,Farmington School District
Glastonbury School District,Glastonbury High School,ELL,*,*,*,*,*,0546111,Glastonbury High School,Glastonbury School District
