district,district_code,year,educators_total,educators_bilingual,educators_bilingual_pct,educators_tesol,educators_tesol_pct,check_dist,school_code
West Hartford School District,1550011,2010-11,19.0,0.0,0.0,19.0,100.0,West Hartford School District,1550011
Westport School District,1580011,2010-11,5.0,0.0,0.0,5.0,100.0,Westport School District,1580011
Wethersfield School District,1590011,2010-11,2.0,0.0,0.0,2.0,100.0,Wethersfield School District,1590011
Wilton School District,1610011,2010-11,1.0,0.0,0.0,1.0,100.0,Wilton School District,1610011
Windsor Locks School District,1650011,2010-11,1.0,0.0,0.0,1.0,100.0,Windsor Locks School District,1650011
Woodstock Academy District,9030022,2010-11,1.0,0.0,0.0,1.0,100.0,Woodstock Academy District,9030022
Ansonia School District,0020011,2015-16,1.0,0.0,0.0,1.0,100.0,Ansonia School District,0020011
Area Cooperative Educational Services,2440014,2015-16,1.0,0.0,0.0,1.0,100.0,Area Cooperative Educational Services,2440014
Ashford School District,0030011,2015-16,1.0,0.0,0.0,1.0,100.0,Ashford School District,0030011
Berlin School District,0070011,2015-16,1.0,0.0,0.0,1.0,100.0,Berlin School District,0070011
Branford School District,0140011,2015-16,1.0,0.0,0.0,1.0,100.0,Branford School District,0140011
Bristol School District,0170011,2015-16,6.0,0.0,0.0,6.0,100.0,Bristol School District,0170011
Canton School District,0230011,2015-16,1.0,0.0,0.0,1.0,100.0,Canton School District,0230011
Clinton School District,0270011,2015-16,3.0,0.0,0.0,3.0,100.0,Clinton School District,0270011
Derby School District,0370011,2015-16,2.0,0.0,0.0,2.0,100.0,Derby School District,0370011
East Granby School District,0400011,2015-16,1.0,0.0,0.0,1.0,100.0,East Granby School District,0400011
East Haven School District,0440011,2015-16,7.0,0.0,0.0,7.0,100.0,East Haven School District,0440011
East Windsor School District,0470011,2015-16,2.0,0.0,0.0,2.0,100.0,East Windsor School District,0470011
Ellington School District,0480011,2015-16,1.0,0.0,0.0,1.0,100.0,Ellington School District,0480011
Fairfield School District,0510011,2015-16,11.0,0.0,0.0,11.0,100.0,Fairfield School District,0510011
Glastonbury School District,0540011,2015-16,2.0,0.0,0.0,2.0,100.0,Glastonbury School District,0540011
Groton School District,0590011,2015-16,2.0,0.0,0.0,2.0,100.0,Groton School District,0590011
Hamden School District,0620011,2015-16,3.0,0.0,0.0,3.0,100.0,Hamden School District,0620011
Interdistrict School for Arts and Comm District,2650013,2015-16,1.0,0.0,0.0,1.0,100.0,Interdistrict School for Arts and Comm District,2650013
Manchester School District,0770011,2015-16,4.0,0.0,0.0,4.0,100.0,Manchester School District,0770011
Middletown School District,0830011,2015-16,5.0,0.0,0.0,5.0,100.0,Middletown School District,0830011
Milford School District,0840011,2015-16,4.0,0.0,0.0,4.0,100.0,Milford School District,0840011
Monroe School District,0850011,2015-16,1.0,0.0,0.0,1.0,100.0,Monroe School District,0850011
Montville School District,0860011,2015-16,2.0,0.0,0.0,2.0,100.0,Montville School District,0860011
Naugatuck School District,0880011,2015-16,3.0,0.0,0.0,3.0,100.0,Naugatuck School District,0880011
New Milford School District,0960011,2015-16,3.0,0.0,0.0,3.0,100.0,New Milford School District,0960011
Newington School District,0940011,2015-16,4.0,0.0,0.0,4.0,100.0,Newington School District,0940011
