school_code,district_code,district,school,free,non_subsidized,reduced,total,year
2100312,2100012,Regional School District 10,Harwinton Consolidated School,*,493,*,508,2008-09
2100212,2100012,Regional School District 10,Lake Garda Elementary School,15,596,9,620,2008-09
2106112,2100012,Regional School District 10,Lewis S. Mills High School,26,794,10,830,2008-09
2116112,2110012,Regional School District 11,Parish Hill High School,36,259,14,309,2008-09
2120212,2120012,Regional School District 12,Booth Free School,*,*,0,121,2008-09
2128012,2120012,Regional School District 12,Early Childhood Education Center,0,21,0,21,2008-09
2126112,2120012,Regional School District 12,Shepaug Valley High School,10,326,11,347,2008-09
2125112,2120012,Regional School District 12,Shepaug Valley Middle School,*,234,*,244,2008-09
2120112,2120012,Regional School District 12,The Burnham School,0,94,0,94,2008-09
2120412,2120012,Regional School District 12,Washington Primary School,*,171,*,184,2008-09
2136112,2130012,Regional School District 13,Coginchaug Regional High School,*,552,*,569,2008-09
2130212,2130012,Regional School District 13,Francis E. Korn School,*,187,*,199,2008-09
2135112,2130012,Regional School District 13,Frank Ward Strong School,9,334,7,350,2008-09
2130112,2130012,Regional School District 13,Frederick Brewster School,*,296,*,309,2008-09
2130512,2130012,Regional School District 13,John Lyman School,*,336,*,346,2008-09
2130412,2130012,Regional School District 13,Middlefield Memorial School,10,329,14,353,2008-09
2140112,2140012,Regional School District 14,Bethlehem Elementary School,15,352,13,380,2008-09
2148012,2140012,Regional School District 14,Integrated Star Preschool Program,0,10,0,10,2008-09
2140212,2140012,Regional School District 14,Mitchell Elementary School,29,370,8,407,2008-09
2146112,2140012,Regional School District 14,Nonnewaug High School,24,801,18,843,2008-09
2145112,2140012,Regional School District 14,Woodbury Middle School,26,443,18,487,2008-09
2150412,2150012,Regional School District 15,Gainfield Elementary School,10,424,6,440,2008-09
2150712,2150012,Regional School District 15,Long Meadow Elementary School,0,611,6,617,2008-09
2155212,2150012,Regional School District 15,Memorial Middle School,*,508,*,519,2008-09
2150612,2150012,Regional School District 15,Middlebury Elementary School,*,462,*,467,2008-09
2156212,2150012,Regional School District 15,Pomperaug Regional High School,15,1383,6,1404,2008-09
2150512,2150012,Regional School District 15,Pomperaug School,*,525,*,531,2008-09
2155112,2150012,Regional School District 15,Rochambeau Middle School,7,553,6,566,2008-09
2160312,2160012,Regional School District 16,Algonquin School,25,440,14,479,2008-09
2160212,2160012,Regional School District 16,Community School,14,235,7,256,2008-09
2160112,2160012,Regional School District 16,Laurel Ledge School,17,436,15,468,2008-09
2165112,2160012,Regional School District 16,Long River Middle School,46,543,32,621,2008-09
2166012,2160012,Regional School District 16,Woodland Regional High School,50,699,35,784,2008-09
2170212,2170012,Regional School District 17,Burr District Elementary School,8,279,7,294,2008-09
2170112,2170012,Regional School District 17,Haddam Elementary School,15,243,9,267,2008-09
2176112,2170012,Regional School District 17,Haddam-Killingworth High School,*,702,*,716,2008-09
2175112,2170012,Regional School District 17,Haddam-Killingworth Middle School,21,778,13,812,2008-09
2170312,2170012,Regional School District 17,Killingworth Elementary School,8,445,0,453,2008-09
2180312,2180012,Regional School District 18,Center School,11,228,0,239,2008-09
2180112,2180012,Regional School District 18,Lyme Consolidated School,*,143,*,157,2008-09
2186112,2180012,Regional School District 18,Lyme-Old Lyme High School,*,428,*,445,2008-09
2185112,2180012,Regional School District 18,Lyme-Old Lyme Middle School,*,319,*,336,2008-09
2180212,2180012,Regional School District 18,Mile Creek School,*,265,*,285,2008-09
2196112,2190012,Regional School District 19,E. O. Smith High School,67,1073,30,1170,2008-09
1180811,1180011,Ridgefield School District,Barlow Mountain Elementary School,*,*,0,429,2008-09
1180611,1180011,Ridgefield School District,Branchville Elementary School,*,427,*,431,2008-09
1185111,1180011,Ridgefield School District,East Ridge Middle School,8,731,9,748,2008-09
1180411,1180011,Ridgefield School District,Farmingville Elementary School,0,369,0,369,2008-09
1180311,1180011,Ridgefield School District,Ridgebury Elementary School,0,455,0,455,2008-09
1186111,1180011,Ridgefield School District,Ridgefield High School,25,1746,9,1780,2008-09
1180511,1180011,Ridgefield School District,Scotland Elementary School,*,390,*,395,2008-09
1185211,1180011,Ridgefield School District,Scotts Ridge Middle School,0,*,*,592,2008-09
1180211,1180011,Ridgefield School District,Veterans Park Elementary School,*,325,*,337,2008-09
1195111,1190011,Rocky Hill School District,Albert D. Griswold Middle School,27,542,26,595,2008-09
1190211,1190011,Rocky Hill School District,Dr. Oran A. Moser School,*,*,0,76,2008-09
1190411,1190011,Rocky Hill School District,Myrtle H. Stevens School,34,462,22,518,2008-09
1196111,1190011,Rocky Hill School District,Rocky Hill High School,17,741,18,776,2008-09
1190511,1190011,Rocky Hill School District,West Hill School,11,630,7,648,2008-09
1210111,1210011,Salem School District,Salem Elementary School,24,487,9,520,2008-09
1220111,1220011,Salisbury School District,Salisbury Central School,11,291,17,319,2008-09
1230111,1230011,Scotland School District,Scotland Elementary School,36,146,8,190,2008-09
1240311,1240011,Seymour School District,Anna L. Lopresti School,74,212,34,320,2008-09
1240111,1240011,Seymour School District,Bungay School,40,508,28,576,2008-09
1240411,1240011,Seymour School District,Paul E. Chatfield School,29,267,13,309,2008-09
1246111,1240011,Seymour School District,Seymour High School,81,677,35,793,2008-09
1245111,1240011,Seymour School District,Seymour Middle School,68,463,39,570,2008-09
1250111,1250011,Sharon School District,Sharon Center School,16,167,13,196,2008-09
1260911,1260011,Shelton School District,Mohegan School,9,621,9,639,2008-09
1261011,1260011,Shelton School District,Booth Hill School,13,479,10,502,2008-09
1260511,1260011,Shelton School District,Elizabeth Shelton School,26,563,16,605,2008-09
1265111,1260011,Shelton School District,Intermediate School,80,749,46,875,2008-09
1260411,1260011,Shelton School District,Lafayette School,130,187,47,364,2008-09
1260811,1260011,Shelton School District,Long Hill School,54,532,32,618,2008-09
1266111,1260011,Shelton School District,Shelton High School,125,1468,60,1653,2008-09
1260611,1260011,Shelton School District,Sunnyside School,32,233,26,291,2008-09
1270111,1270011,Sherman School District,Sherman School,9,449,0,458,2008-09
2700113,2700013,Side By Side Charter School District,Side By Side Charter School,71,126,32,229,2008-09
1280111,1280011,Simsbury School District,Central School,18,419,6,443,2008-09
1285111,1280011,Simsbury School District,Henry James Memorial School,29,796,13,838,2008-09
1280611,1280011,Simsbury School District,Latimer Lane School,17,495,11,523,2008-09
1286111,1280011,Simsbury School District,Simsbury High School,57,1477,28,1562,2008-09
1280711,1280011,Simsbury School District,Squadron Line School,19,747,12,778,2008-09
1280311,1280011,Simsbury School District,Tariffville School,19,227,11,257,2008-09
1280411,1280011,Simsbury School District,Tootin' Hills School,*,514,*,531,2008-09
1295111,1290011,Somers School District,Mabelle B. Avery Middle School,14,399,11,424,2008-09
1290411,1290011,Somers School District,Somers Elementary School,18,673,24,715,2008-09
1296111,1290011,Somers School District,Somers High School,16,552,9,577,2008-09
1320211,1320011,South Windsor School District,Pleasant Valley School,26,406,13,445,2008-09
1320711,1320011,South Windsor School District,Eli Terry School,9,406,18,433,2008-09
1320611,1320011,South Windsor School District,Orchard Hill School,*,445,*,468,2008-09
1320111,1320011,South Windsor School District,Philip R. Smith School,*,397,*,415,2008-09
1326211,1320011,South Windsor School District,South Windsor High School,48,1526,39,1613,2008-09
1325111,1320011,South Windsor School District,Timothy Edwards School,33,1055,26,1114,2008-09
1320411,1320011,South Windsor School District,Wapping Elementary School,22,279,6,307,2008-09
1315311,1310011,Southington School District,John F. Kennedy Middle School,30,764,14,808,2008-09
1311511,1310011,Southington School District,Derynoski Elementary School,57,610,24,691,2008-09
1311311,1310011,Southington School District,Flanders Elementary School,27,277,18,322,2008-09
1310211,1310011,Southington School District,Hatton Elementary School,29,399,6,434,2008-09
1315111,1310011,Southington School District,Joseph A. Depaolo Middle School,63,664,25,752,2008-09
1310611,1310011,Southington School District,Plantsville Elementary School,*,203,*,213,2008-09
1310711,1310011,Southington School District,South End Elementary School,*,203,*,212,2008-09
1316211,1310011,Southington School District,Southington High School,98,1969,31,2098,2008-09
1310811,1310011,Southington School District,Strong Elementary School,19,433,8,460,2008-09
1310911,1310011,Southington School District,Thalberg Elementary School,24,389,10,423,2008-09
1311411,1310011,Southington School District,Urbin T. Kelley School,*,401,*,413,2008-09
1330111,1330011,Sprague School District,Sayles School,99,228,27,354,2008-09
1340611,1340011,Stafford School District,Stafford Elementary School,98,397,54,549,2008-09
1346111,1340011,Stafford School District,Stafford High School,65,416,66,547,2008-09
1345211,1340011,Stafford School District,Stafford Middle School,47,334,43,424,2008-09
1340311,1340011,Stafford School District,Staffordville School,24,146,19,189,2008-09
1340411,1340011,Stafford School District,West Stafford School,50,128,16,194,2008-09
2826013,2820013,Stamford Academy District,Stamford Academy,80,19,32,131,2008-09
1355611,1350011,Stamford School District,Cloonan School,177,340,57,574,2008-09
1352011,1350011,Stamford School District,Davenport Ridge School,180,270,61,511,2008-09
1355311,1350011,Stamford School District,Dolan School,250,317,69,636,2008-09
1352211,1350011,Stamford School District,Hart School,175,188,63,426,2008-09
1351211,1350011,Stamford School District,Julia A. Stark School,261,254,81,596,2008-09
1350511,1350011,Stamford School District,K. T. Murphy School,244,217,79,540,2008-09
1350611,1350011,Stamford School District,Newfield School,141,442,46,629,2008-09
1351811,1350011,Stamford School District,Northeast School,236,495,63,794,2008-09
1358011,1350011,Stamford School District,Preschool Team,*,53,*,64,2008-09
1355811,1350011,Stamford School District,Rippowam Middle School,286,383,77,746,2008-09
1350811,1350011,Stamford School District,Rogers International School,218,229,86,533,2008-09
1350911,1350011,Stamford School District,Roxbury School,217,391,54,662,2008-09
1355711,1350011,Stamford School District,Scofield Middle School,171,369,75,615,2008-09
1351111,1350011,Stamford School District,Springdale School,239,284,49,572,2008-09
1356111,1350011,Stamford School District,Stamford High School,526,987,149,1662,2008-09
1352111,1350011,Stamford School District,Stillmeadow School,207,358,62,627,2008-09
1356411,1350011,Stamford School District,The Academy of Information Technology,111,431,63,605,2008-09
1351911,1350011,Stamford School District,Toquam Magnet School,154,276,57,487,2008-09
1355511,1350011,Stamford School District,Turn of River School,203,329,63,595,2008-09
1356311,1350011,Stamford School District,Westhill High School,703,1388,248,2339,2008-09
1351411,1350011,Stamford School District,Westover School,160,408,80,648,2008-09
1360311,1360011,Sterling School District,Sterling Community School,96,368,49,513,2008-09
1370511,1370011,Stonington School District,Deans Mill School,26,486,7,519,2008-09
1375211,1370011,Stonington School District,Mystic Middle School,17,390,12,419,2008-09
1375111,1370011,Stonington School District,Pawcatuck Middle School,74,266,22,362,2008-09
1378011,1370011,Stonington School District,Special Needs Preschool Program,0,15,0,15,2008-09
1376111,1370011,Stonington School District,Stonington High School,59,696,29,784,2008-09
1370411,1370011,Stonington School District,West Broad Street School,32,131,15,178,2008-09
1370611,1370011,Stonington School District,West Vine Street School,29,190,12,231,2008-09
1381311,1380011,Stratford School District,Eli Whitney School,17,482,19,518,2008-09
1386211,1380011,Stratford School District,Bunnell High School,120,1112,80,1312,2008-09
1380311,1380011,Stratford School District,Chapel School,82,406,43,531,2008-09
1385211,1380011,Stratford School District,David Wooster Middle School,88,413,70,571,2008-09
1380411,1380011,Stratford School District,Franklin School,129,168,61,358,2008-09
1385311,1380011,Stratford School District,Harry B. Flood Middle School,103,439,66,608,2008-09
1380811,1380011,Stratford School District,Lordship School,72,122,22,216,2008-09
1380911,1380011,Stratford School District,Nichols School,59,301,38,398,2008-09
1381011,1380011,Stratford School District,Second Hill Lane School,126,513,64,703,2008-09
1381511,1380011,Stratford School District,Stratford Academy - Johnson House,110,526,53,689,2008-09
1386111,1380011,Stratford School District,Stratford High School,173,741,74,988,2008-09
1389011,1380011,Stratford School District,Strive-Stratford,0,11,0,11,2008-09
1381411,1380011,Stratford School District,Wilcoxson School,64,294,38,396,2008-09
1390411,1390011,Suffield School District,A. Ward Spaulding School,*,535,*,544,2008-09
1390311,1390011,Suffield School District,McAlister Intermediate School,20,536,17,573,2008-09
1396111,1390011,Suffield School District,Suffield High School,19,801,17,837,2008-09
1395111,1390011,Suffield School District,Suffield Middle School,21,578,16,615,2008-09
2696113,2690013,The Bridge Academy District,The Bridge Academy,143,73,46,262,2008-09
9026122,9020022,The Gilbert School District,The Gilbert School,74,290,36,400,2008-09
1400111,1400011,Thomaston School District,Black Rock School,35,334,13,382,2008-09
1400211,1400011,Thomaston School District,Thomaston Center School,26,238,18,282,2008-09
1406211,1400011,Thomaston School District,Thomaston High School,42,483,30,555,2008-09
1410111,1410011,Thompson School District,Mary R. Fisher Elementary School,101,381,56,538,2008-09
1415111,1410011,Thompson School District,Thompson Middle School,78,341,40,459,2008-09
1416111,1410011,Thompson School District,Tourtellotte Memorial High School,41,326,25,392,2008-09
1420111,1420011,Tolland School District,Birch Grove Primary School,13,696,7,716,2008-09
1426111,1420011,Tolland School District,Tolland High School,29,853,17,899,2008-09
1420211,1420011,Tolland School District,Tolland Intermediate School,22,728,11,761,2008-09
1425111,1420011,Tolland School District,Tolland Middle School,23,729,19,771,2008-09
1430111,1430011,Torrington School District,East School,50,370,40,460,2008-09
1430211,1430011,Torrington School District,Forbes School,122,239,36,397,2008-09
1430811,1430011,Torrington School District,Southwest School,98,163,34,295,2008-09
1430911,1430011,Torrington School District,Torringford School,87,515,67,669,2008-09
1436111,1430011,Torrington School District,Torrington High School,229,930,82,1241,2008-09
1435111,1430011,Torrington School District,Torrington Middle School,237,755,122,1114,2008-09
1431311,1430011,Torrington School District,Vogel-Wetmore School,221,172,66,459,2008-09
2785113,2780013,Trailblazers Academy District,Trailblazers Academy,77,41,32,150,2008-09
1440111,1440011,Trumbull School District,Booth Hill School,6,502,6,514,2008-09
1440811,1440011,Trumbull School District,Daniels Farm School,*,491,*,495,2008-09
1441011,1440011,Trumbull School District,Frenchtown Elementary School,12,597,9,618,2008-09
1445211,1440011,Trumbull School District,Hillcrest Middle School,16,728,11,755,2008-09
1440411,1440011,Trumbull School District,Jane Ryan School,*,412,*,417,2008-09
1445111,1440011,Trumbull School District,Madison Middle School,14,824,14,852,2008-09
1440311,1440011,Trumbull School District,Middlebrook School,8,450,8,466,2008-09
1440911,1440011,Trumbull School District,Tashua School,*,457,*,462,2008-09
1448011,1440011,Trumbull School District,Trumbull Early Childhood Education Center,0,232,0,232,2008-09
1446111,1440011,Trumbull School District,Trumbull High School,41,2043,39,2123,2008-09
3361715,3360015,Unified School District #1,Bergin Correctional Institution,39,0,0,39,2008-09
3360115,3360015,Unified School District #1,Bridgeport Correctional Center,18,0,0,18,2008-09
3360215,3360015,Unified School District #1,Brooklyn Correctional Institution,6,0,0,6,2008-09
3360315,3360015,Unified School District #1,Cheshire Correctional Institution,30,0,0,30,2008-09
3362415,3360015,Unified School District #1,Corrigan/Radgowski Correctional Institution,36,0,0,36,2008-09
3360415,3360015,Unified School District #1,Enfield Correctional Institution,19,0,0,19,2008-09
3361915,3360015,Unified School District #1,Garner Correctional Institution,15,0,0,15,2008-09
3360515,3360015,Unified School District #1,Gates Correctional Institution,30,0,0,30,2008-09
3360615,3360015,Unified School District #1,Hartford Correctional Center,72,0,0,72,2008-09
3362215,3360015,Unified School District #1,MacDougall/Walker Correctional Institution,69,0,0,69,2008-09
3361115,3360015,Unified School District #1,Manson Youth Institution,464,0,0,464,2008-09
3360915,3360015,Unified School District #1,New Haven Correctional Center,22,0,0,22,2008-09
3362615,3360015,Unified School District #1,Northern Correctional Institution,19,0,0,19,2008-09
3361215,3360015,Unified School District #1,Osborn Correctional Institution,39,0,0,39,2008-09
3361315,3360015,Unified School District #1,Robinson Correctional Institution,41,0,0,41,2008-09
3361415,3360015,Unified School District #1,Webster Correctional Institution,17,0,0,17,2008-09
3361515,3360015,Unified School District #1,Willard/Cybulski Correctional Institution,23,0,0,23,2008-09
3362515,3360015,Unified School District #1,York Correctional Institution,59,0,0,59,2008-09
3470115,3470015,Unified School District #2,Children's Place School,40,0,0,40,2008-09
3476515,3470015,Unified School District #2,High Meadows,25,0,0,25,2008-09
3470315,3470015,Unified School District #2,Riverview School,60,0,0,60,2008-09
3476715,3470015,Unified School District #2,Walter G. Cady School,86,0,0,86,2008-09
1450111,1450011,Union School District,Union Elementary School,*,*,0,78,2008-09
1460311,1460011,Vernon School District,Northeast School,101,163,25,289,2008-09
1461411,1460011,Vernon School District,Center Road School,52,397,19,468,2008-09
1460111,1460011,Vernon School District,Lake Street School,23,253,10,286,2008-09
1460211,1460011,Vernon School District,Maple Street School,83,159,23,265,2008-09
1469011,1460011,Vernon School District,Next Step Program (AACBP),0,10,0,10,2008-09
1466111,1460011,Vernon School District,Rockville High School,171,940,54,1165,2008-09
1461011,1460011,Vernon School District,Skinner Road School,87,207,19,313,2008-09
1465111,1460011,Vernon School District,Vernon Center Middle School,180,556,51,787,2008-09
1470111,1470011,Voluntown School District,Voluntown Elementary School,44,245,17,306,2008-09
1480211,1480011,Wallingford School District,Highland School,*,307,*,318,2008-09
1489011,1480011,Wallingford School District,A.R.T.S. Academy,*,15,*,18,2008-09
1481011,1480011,Wallingford School District,Cook Hill School,*,396,*,415,2008-09
1485211,1480011,Wallingford School District,Dag Hammarskjold Middle School,62,630,26,718,2008-09
1480911,1480011,Wallingford School District,Evarts C. Stevens School,57,354,12,423,2008-09
1485311,1480011,Wallingford School District,James H. Moran Middle School,61,753,22,836,2008-09
1486111,1480011,Wallingford School District,Lyman Hall High School,68,1071,37,1176,2008-09
1486211,1480011,Wallingford School District,Mark T. Sheehan High School,45,927,15,987,2008-09
1480111,1480011,Wallingford School District,Moses Y. Beach School,54,273,23,350,2008-09
1480311,1480011,Wallingford School District,Parker Farms School,29,305,15,349,2008-09
1481211,1480011,Wallingford School District,Pond Hill School,*,294,*,312,2008-09
1480411,1480011,Wallingford School District,Rock Hill School,20,325,6,351,2008-09
1480811,1480011,Wallingford School District,Yalesville School,21,503,7,531,2008-09
1511011,1510011,Waterbury School District,Brooklyn Elementary School,165,22,18,205,2008-09
1515211,1510011,Waterbury School District,West Side Middle School,850,283,143,1276,2008-09
1512311,1510011,Waterbury School District,Washington School,258,31,24,313,2008-09
1512111,1510011,Waterbury School District,B. W. Tinker School,303,187,65,555,2008-09
1510311,1510011,Waterbury School District,Barnard School,198,41,28,267,2008-09
1510511,1510011,Waterbury School District,Bucks Hill School,423,71,63,557,2008-09
1510611,1510011,Waterbury School District,Bunker Hill School,346,101,75,522,2008-09
1512711,1510011,Waterbury School District,Carrington School,354,141,37,532,2008-09
1516211,1510011,Waterbury School District,Crosby High School,843,329,164,1336,2008-09
1510911,1510011,Waterbury School District,Driggs School,488,48,39,575,2008-09
1519111,1510011,Waterbury School District,Enlightenment School,149,23,7,179,2008-09
1511411,1510011,Waterbury School District,F. J. Kingsbury School,327,74,64,465,2008-09
1512611,1510011,Waterbury School District,Gilmartin School,157,56,31,244,2008-09
1510711,1510011,Waterbury School District,H. S. Chase School,521,161,120,802,2008-09
1511311,1510011,Waterbury School District,Hopeville School,342,43,51,436,2008-09
1516411,1510011,Waterbury School District,John F. Kennedy High School,683,516,107,1306,2008-09
1513111,1510011,Waterbury School District,Maloney Interdistrict Magnet School,186,358,55,599,2008-09
1511111,1510011,Waterbury School District,Margaret M. Generali Elementary School,365,128,103,596,2008-09
1515111,1510011,Waterbury School District,Michael F. Wallace Middle School,894,251,184,1329,2008-09
1515311,1510011,Waterbury School District,North End Middle School,840,248,138,1226,2008-09
1512811,1510011,Waterbury School District,Regan School,181,75,43,299,2008-09
1513311,1510011,Waterbury School District,Rotella Interdistrict Magnet School,170,347,97,614,2008-09
1518011,1510011,Waterbury School District,Special Education Preschool,146,55,23,224,2008-09
1512011,1510011,Waterbury School District,Sprague School,344,103,32,479,2008-09
1519011,1510011,Waterbury School District,State Street School,63,*,*,83,2008-09
1512211,1510011,Waterbury School District,Walsh School,504,25,29,558,2008-09
1516011,1510011,Waterbury School District,Waterbury Arts Magnet School (High),130,289,62,481,2008-09
1515011,1510011,Waterbury School District,Waterbury Arts Magnet School (Middle),114,168,37,319,2008-09
1510811,1510011,Waterbury School District,Wendell L. Cross School,192,106,54,352,2008-09
1516311,1510011,Waterbury School District,Wilby High School,787,290,115,1192,2008-09
1513211,1510011,Waterbury School District,Woodrow Wilson School,313,56,28,397,2008-09
1525111,1520011,Waterford School District,Clark Lane Middle School,46,612,36,694,2008-09
1520611,1520011,Waterford School District,Oswegatchie Elementary School,15,247,6,268,2008-09
1520711,1520011,Waterford School District,Quaker Hill Elementary School,28,368,19,415,2008-09
1520511,1520011,Waterford School District,Southwest Elementary School,55,439,20,514,2008-09
1526111,1520011,Waterford School District,Waterford High School,50,911,27,988,2008-09
1530311,1530011,Watertown School District,Fletcher W. Judson School,31,327,8,366,2008-09
1530211,1530011,Watertown School District,John Trumbull Primary School,59,669,25,753,2008-09
1530411,1530011,Watertown School District,Polk School,46,297,30,373,2008-09
1535111,1530011,Watertown School District,Swift Middle School,96,711,57,864,2008-09
1536111,1530011,Watertown School District,Watertown High School,79,848,53,980,2008-09
1551711,1550011,West Hartford School District,Smith School,123,219,37,379,2008-09
1559111,1550011,West Hartford School District,Achieve,0,*,0,*,2008-09
1551611,1550011,West Hartford School District,Aiken School,15,424,14,453,2008-09
1550211,1550011,West Hartford School District,Braeburn School,36,407,11,454,2008-09
1555311,1550011,West Hartford School District,Bristow Middle School,41,356,23,420,2008-09
1550411,1550011,West Hartford School District,Bugbee School,*,347,*,364,2008-09
1550511,1550011,West Hartford School District,Charter Oak International Academy,135,192,34,361,2008-09
1556111,1550011,West Hartford School District,Conard High School,243,1148,75,1466,2008-09
1550611,1550011,West Hartford School District,Duffy School,32,544,13,589,2008-09
1556211,1550011,West Hartford School District,Hall High School,167,1354,50,1571,2008-09
1555111,1550011,West Hartford School District,King Philip Middle School,94,763,44,901,2008-09
1550911,1550011,West Hartford School District,Morley School,14,336,14,364,2008-09
1551011,1550011,West Hartford School District,Norfeldt School,11,413,9,433,2008-09
1555211,1550011,West Hartford School District,Sedgwick Middle School,134,671,61,866,2008-09
1559011,1550011,West Hartford School District,WAAVE (W Hartford Applied Academic/Voc'l Experience),0,13,0,13,2008-09
1551211,1550011,West Hartford School District,Webster Hill School,65,338,35,438,2008-09
1551311,1550011,West Hartford School District,Whiting Lane School,59,416,20,495,2008-09
1551511,1550011,West Hartford School District,Wolcott School,64,425,22,511,2008-09
1561211,1560011,West Haven School District,Washington School,170,176,57,403,2008-09
1560811,1560011,West Haven School District,Alma E. Pagels School,88,230,37,355,2008-09
1561311,1560011,West Haven School District,Anna V. Molloy School,100,110,48,258,2008-09
1565311,1560011,West Haven School District,Carrigan 5/6 Intermediate School,335,286,72,693,2008-09
1561011,1560011,West Haven School District,Clarence E. Thompson School,189,98,66,353,2008-09
1560611,1560011,West Haven School District,Edith E. Mackrille School,87,250,46,383,2008-09
1560311,1560011,West Haven School District,Forest School,213,168,57,438,2008-09
1565111,1560011,West Haven School District,Harry M. Bailey Middle School,198,467,74,739,2008-09
1561411,1560011,West Haven School District,Savin Rock Community School,237,168,59,464,2008-09
1560411,1560011,West Haven School District,Seth G. Haley School,122,335,47,504,2008-09
1566111,1560011,West Haven School District,West Haven High School,477,1015,148,1640,2008-09
1540211,1540011,Westbrook School District,Daisy Ingraham School,26,326,21,373,2008-09
1546111,1540011,Westbrook School District,Westbrook High School,9,272,11,292,2008-09
1545111,1540011,Westbrook School District,Westbrook Middle School,15,281,7,303,2008-09
1570111,1570011,Weston School District,Hurlbutt Elementary School,*,576,*,579,2008-09
1576111,1570011,Weston School District,Weston High School,*,803,*,807,2008-09
1570211,1570011,Weston School District,Weston Intermediate School,*,604,*,608,2008-09
1575111,1570011,Weston School District,Weston Middle School,*,569,*,574,2008-09
1585111,1580011,Westport School District,Bedford Middle School,10,835,6,851,2008-09
1580311,1580011,Westport School District,Coleytown Elementary School,0,477,0,477,2008-09
1585311,1580011,Westport School District,Coleytown Middle School,*,*,0,514,2008-09
1580411,1580011,Westport School District,Green's Farms School,7,457,11,475,2008-09
1580511,1580011,Westport School District,King's Highway Elementary School,*,491,*,502,2008-09
1580711,1580011,Westport School District,Long Lots School,6,596,8,610,2008-09
1580811,1580011,Westport School District,Saugatuck Elementary School,*,512,*,519,2008-09
1586111,1580011,Westport School District,Staples High School,18,1732,10,1760,2008-09
1588011,1580011,Westport School District,Stepping Stones Preschool,0,56,0,56,2008-09
1590811,1590011,Wethersfield School District,Alfred W. Hanmer School,31,317,21,369,2008-09
1591011,1590011,Wethersfield School District,Charles Wright School,40,252,26,318,2008-09
1590211,1590011,Wethersfield School District,Emerson-Williams School,36,412,21,469,2008-09
1591111,1590011,Wethersfield School District,Highcrest School,28,393,23,444,2008-09
1591211,1590011,Wethersfield School District,Samuel B. Webb Elementary School,27,390,9,426,2008-09
1595211,1590011,Wethersfield School District,Silas Deane Middle School,38,494,30,562,2008-09
1596111,1590011,Wethersfield School District,Wethersfield High School,75,1099,50,1224,2008-09
1600111,1600011,Willington School District,Center School,*,219,*,245,2008-09
1605111,1600011,Willington School District,Hall Memorial School,23,287,10,320,2008-09
1615211,1610011,Wilton School District,Middlebrook School,*,1006,*,1010,2008-09
1610711,1610011,Wilton School District,Cider Mill School,*,1041,*,1050,2008-09
1610611,1610011,Wilton School District,Ina E. Driscoll School,*,*,0,512,2008-09
1610511,1610011,Wilton School District,Miller-Driscoll School,*,*,0,509,2008-09
1616111,1610011,Wilton School District,Wilton High School,*,1281,*,1297,2008-09
1620411,1620011,Winchester School District,Batcheller Early Education Center,98,184,25,307,2008-09
1620211,1620011,Winchester School District,Mary P. Hinsdale School,98,203,51,352,2008-09
1625111,1620011,Winchester School District,Pearson Middle School,105,181,50,336,2008-09
1638011,1630011,Windham School District,Early Headstart,16,14,0,30,2008-09
1639011,1630011,Windham School District,Eastern Regional Academy/Windham,34,*,*,43,2008-09
1630111,1630011,Windham School District,Natchaug School,213,53,33,299,2008-09
1630311,1630011,Windham School District,North Windham School,249,136,63,448,2008-09
1630611,1630011,Windham School District,W. B. Sweeney School,233,71,43,347,2008-09
1630511,1630011,Windham School District,Windham Center School,180,78,29,287,2008-09
1638311,1630011,Windham School District,Windham Early Childhood Prospect Street,139,46,7,192,2008-09
1636111,1630011,Windham School District,Windham High School,438,359,110,907,2008-09
1635111,1630011,Windham School District,Windham Middle School,563,234,128,925,2008-09
1650111,1650011,Windsor Locks School District,North Street School,76,334,31,441,2008-09
1650411,1650011,Windsor Locks School District,South Elementary School,101,275,42,418,2008-09
1656111,1650011,Windsor Locks School District,Windsor Locks High School,82,437,54,573,2008-09
1655111,1650011,Windsor Locks School District,Windsor Locks Middle School,75,293,45,413,2008-09
1640111,1640011,Windsor School District,Clover Street School,84,207,32,323,2008-09
1640811,1640011,Windsor School District,John F. Kennedy School,79,234,56,369,2008-09
1640911,1640011,Windsor School District,Oliver Ellsworth School,45,339,36,420,2008-09
1640511,1640011,Windsor School District,Poquonock Elementary School,36,251,16,303,2008-09
1641011,1640011,Windsor School District,Roger Wolcott Early Child Center,27,201,15,243,2008-09
1645311,1640011,Windsor School District,Sage Park Middle School,138,662,111,911,2008-09
1646111,1640011,Windsor School District,Windsor High School,268,979,153,1400,2008-09
1660611,1660011,Wolcott School District,Alcott School,31,325,25,381,2008-09
1660211,1660011,Wolcott School District,Frisbie School,37,320,28,385,2008-09
1665111,1660011,Wolcott School District,Tyrrell Middle School,72,607,47,726,2008-09
1660511,1660011,Wolcott School District,Wakelee School,33,402,32,467,2008-09
1666111,1660011,Wolcott School District,Wolcott High School,79,745,72,896,2008-09
1670211,1670011,Woodbridge School District,Beecher Road Intermediate School,*,430,*,447,2008-09
1670111,1670011,Woodbridge School District,Beecher Road Primary School,*,298,*,308,2008-09
9036122,9030022,Woodstock Academy District,Woodstock Academy,0,1152,32,1184,2008-09
1690211,1690011,Woodstock School District,Woodstock Elementary School,24,453,18,495,2008-09
