school_code,district_code,district,school,free,non_subsidized,reduced,total,year
0259011,0250011,Cheshire School District,Humiston School,*,*,0,23,2007-08
0250511,0250011,Cheshire School District,Norton School,*,477,*,493,2007-08
0260111,0260011,Chester School District,Chester Elementary School,*,323,*,341,2007-08
0270111,0270011,Clinton School District,Abraham Pierson School,18,309,11,338,2007-08
0275111,0270011,Clinton School District,Jared Eliot School,25,418,19,462,2007-08
0270311,0270011,Clinton School District,Lewin G. Joel Jr. School,40,609,18,667,2007-08
0276111,0270011,Clinton School District,The Morgan School,19,599,20,638,2007-08
0286111,0280011,Colchester School District,Bacon Academy,43,924,15,982,2007-08
0280411,0280011,Colchester School District,Colchester Elementary School,27,739,8,774,2007-08
0280211,0280011,Colchester School District,Jack Jackter Intermediate School,57,594,30,681,2007-08
0285111,0280011,Colchester School District,William J. Johnston Middle School,53,718,30,801,2007-08
0290111,0290011,Colebrook School District,Colebrook Consolidated School,*,109,*,122,2007-08
0300111,0300011,Columbia School District,Horace W. Porter School,22,553,11,586,2007-08
2686113,2680013,Common Ground High School District,Common Ground High School,78,53,21,152,2007-08
9001516,9000016,Connecticut Technical High School System,A. I. Prince Technical High School,256,281,44,581,2007-08
9001116,9000016,Connecticut Technical High School System,Bullard-Havens Technical High School,285,487,106,878,2007-08
9001916,9000016,Connecticut Technical High School System,E. C. Goodwin Technical High School,147,276,38,461,2007-08
9001416,9000016,Connecticut Technical High School System,Eli Whitney Technical High School,203,286,40,529,2007-08
9002716,9000016,Connecticut Technical High School System,Ella T. Grasso Southeastern Technical High School,115,433,41,589,2007-08
9002516,9000016,Connecticut Technical High School System,Emmett O'Brien Technical High School,56,450,24,530,2007-08
9001716,9000016,Connecticut Technical High School System,H. C. Wilcox Technical High School,122,515,59,696,2007-08
9001316,9000016,Connecticut Technical High School System,H. H. Ellis Technical High School,65,461,37,563,2007-08
9001216,9000016,Connecticut Technical High School System,Henry Abbott Technical High School,60,471,39,570,2007-08
9001616,9000016,Connecticut Technical High School System,Howell Cheney Technical High School,51,485,28,564,2007-08
9002116,9000016,Connecticut Technical High School System,J. M. Wright Technical High School,68,162,25,255,2007-08
9002016,9000016,Connecticut Technical High School System,Norwich Technical High School,49,326,35,410,2007-08
9002216,9000016,Connecticut Technical High School System,Oliver Wolcott Technical High School,56,623,41,720,2007-08
9002616,9000016,Connecticut Technical High School System,Platt Technical High School,117,677,59,853,2007-08
9001816,9000016,Connecticut Technical High School System,Vinal Technical High School,56,507,24,587,2007-08
9002316,9000016,Connecticut Technical High School System,W. F. Kaynor Technical High School,171,476,57,704,2007-08
9002416,9000016,Connecticut Technical High School System,Windham Technical High School,80,374,29,483,2007-08
2439014,2430014,Cooperative Educational Services,C. E. S. Special Education,107,122,11,240,2007-08
2430114,2430014,Cooperative Educational Services,Six-Six Magnet School,79,298,58,435,2007-08
0310111,0310011,Cornwall School District,Cornwall Consolidated School,7,122,0,129,2007-08
0325111,0320011,Coventry School District,Capt. Nathan Hale School,29,496,14,539,2007-08
0328011,0320011,Coventry School District,Coventry Early Intervention Services,0,11,0,11,2007-08
0320211,0320011,Coventry School District,Coventry Grammar School,22,390,13,425,2007-08
0326111,0320011,Coventry School District,Coventry High School,31,501,27,559,2007-08
0320411,0320011,Coventry School District,George Hersey Robertson School,28,421,25,474,2007-08
0336111,0330011,Cromwell School District,Cromwell High School,29,505,25,559,2007-08
0335111,0330011,Cromwell School District,Cromwell Middle School,31,419,23,473,2007-08
0330211,0330011,Cromwell School District,Edna C. Stevens School,41,430,14,485,2007-08
0330311,0330011,Cromwell School District,Woodside Intermediate School,34,411,27,472,2007-08
0346211,0340011,Danbury School District,Alternative Center For Excellence,38,53,6,97,2007-08
0345111,0340011,Danbury School District,Broadview Middle School,234,824,86,1144,2007-08
0346111,0340011,Danbury School District,Danbury High School,548,2112,175,2835,2007-08
0341411,0340011,Danbury School District,Ellsworth Avenue School,139,147,47,333,2007-08
0341111,0340011,Danbury School District,Great Plain School,71,212,32,315,2007-08
0340211,0340011,Danbury School District,Hayestown Avenue School,94,260,46,400,2007-08
0341711,0340011,Danbury School District,King Street Intermediate School,59,237,21,317,2007-08
0341311,0340011,Danbury School District,King Street Primary School,52,221,21,294,2007-08
0341811,0340011,Danbury School District,Mill Ridge Educational Center,76,237,34,347,2007-08
0340511,0340011,Danbury School District,Mill Ridge Primary School,77,192,29,298,2007-08
0340611,0340011,Danbury School District,Morris Street School,151,122,70,343,2007-08
0340811,0340011,Danbury School District,Park Avenue School,182,162,32,376,2007-08
0341511,0340011,Danbury School District,Pembroke School,80,229,27,336,2007-08
0345211,0340011,Danbury School District,Rogers Park Middle School,285,636,110,1031,2007-08
0341211,0340011,Danbury School District,Shelter Rock School,100,199,39,338,2007-08
0341011,0340011,Danbury School District,South Street School,134,137,35,306,2007-08
0341611,0340011,Danbury School District,Stadley Rough School,100,322,33,455,2007-08
