american_indian,american_indian_or_alaska_native,asian,black_not_of_hispanic_origin,black_or_african_american,district,district_code,hispanic_latino,hispanic_latino_of_any_race,native_hawaiian_or_other_pacific_islander,not_reported,school,school_code,total,two_or_more_races,white,white_not_of_hispanic_origin,year
,0,19,,*,Guilford School District,0600011,,15,0,,Calvin Leete School,0600411,335,*,290,,2010-11
,*,23,,*,Guilford School District,0600011,,26,0,,E. C. Adams Middle School,0605111,572,8,509,,2010-11
,*,27,,10,Guilford School District,0600011,,57,0,,Guilford High School,0606111,1113,*,1010,,2010-11
,*,10,,11,Guilford School District,0600011,,17,0,,Guilford Lakes School,0600211,409,*,366,,2010-11
,0,10,,*,Guilford School District,0600011,,39,*,,Melissa Jones School,0600311,346,11,284,,2010-11
,0,*,,25,Hamden School District,0620011,,16,0,,Alice Peck Learning Center,0628011,87,*,37,,2010-11
,0,41,,65,Hamden School District,0620011,,53,0,,Bear Path School,0621211,466,19,288,,2010-11
,0,18,,187,Hamden School District,0620011,,109,0,,Church Street School,0620211,407,8,85,,2010-11
,0,22,,117,Hamden School District,0620011,,35,0,,Dunbar Hill School,0620311,309,12,123,,2010-11
,*,105,,666,Hamden School District,0620011,,249,0,,Hamden High School,0626111,1934,*,892,,2010-11
,*,48,,313,Hamden School District,0620011,,149,0,,Hamden Middle School,0625211,900,*,374,,2010-11
,*,*,,113,Hamden School District,0620011,,86,0,,Helen Street School,0620411,282,12,61,,2010-11
,0,25,,134,Hamden School District,0620011,,88,0,,Ridge Hill School,0621111,341,6,88,,2010-11
,0,67,,110,Hamden School District,0620011,,51,0,,Shepherd Glen School,0620111,342,6,108,,2010-11
,0,6,,68,Hamden School District,0620011,,43,0,,Spring Glen School,0621011,377,21,239,,2010-11
,*,90,,57,Hamden School District,0620011,,47,0,,West Woods School,0621411,535,*,325,,2010-11
,0,0,,0,Hampton School District,0630011,,*,0,,Hampton Elementary School,0630111,140,*,129,,2010-11
,*,*,,72,Hartford School District,0640011,,226,*,,Asian Studies Academy at Bellizzi School,0640711,340,14,19,,2010-11
,*,13,,110,Hartford School District,0640011,,437,0,,Batchelder School,0640411,590,*,17,,2010-11
,*,13,,53,Hartford School District,0640011,,229,*,,Betances Early Reading Lab Magnet School,0642811,311,6,8,,2010-11
,0,7,,81,Hartford School District,0640011,,50,0,,Breakthrough II Magnet School,0643511,142,*,*,,2010-11
,*,*,,112,Hartford School District,0640011,,141,0,,Breakthrough Magnet School,0643311,351,*,88,,2010-11
,*,11,,129,Hartford School District,0640011,,319,*,,Bulkeley High School,0647111,489,0,28,,2010-11
,*,10,,119,Hartford School District,0640011,,419,*,,Bulkeley High School Lower School,0646111,670,86,34,,2010-11
,*,6,,96,Hartford School District,0640011,,540,0,,Burns Latino Studies Academy,0640611,664,*,20,,2010-11
,*,14,,133,Hartford School District,0640011,,517,0,,Burr School,0642311,706,*,38,,2010-11
,0,8,,163,Hartford School District,0640011,,95,0,,Capital Preparatory Magnet School,0646911,336,21,49,,2010-11
,0,*,,200,Hartford School District,0640011,,172,0,,Clark School,0642411,381,*,6,,2010-11
,*,20,,291,Hartford School District,0640011,,195,*,,Classical Magnet School,0646411,710,40,161,,2010-11
,0,*,,163,Hartford School District,0640011,,78,*,,Culinary Arts Academy at Weaver High School,0646011,245,0,*,,2010-11
,*,10,,37,Hartford School District,0640011,,217,0,,Dr. Joseph Bellizzi Middle School,0645311,293,21,*,,2010-11
,0,13,,38,Hartford School District,0640011,,180,0,,Environmental Sciences Magnet at Hooker School,0640911,275,6,38,,2010-11
,*,6,,89,Hartford School District,0640011,,571,0,,Expeditionary Learning Academy at Moylan School,0643211,677,*,8,,2010-11
,*,*,,263,Hartford School District,0640011,,103,0,,Global Communications Academy,0643611,372,*,0,,2010-11
,*,15,,126,Hartford School District,0640011,,216,0,,HPHS Engineering and Green Technology Academy,0647211,394,23,*,,2010-11
,*,8,,81,Hartford School District,0640011,,194,0,,HPHS Freshmen Academy,0647311,318,33,*,,2010-11
,0,13,,146,Hartford School District,0640011,,205,*,,HPHS Law and Government Academy,0647411,378,*,9,,2010-11
,*,9,,145,Hartford School District,0640011,,201,0,,HPHS Nursing and Health Sciences Academy,0647511,383,24,*,,2010-11
,*,18,,140,Hartford School District,0640011,,289,0,,Hartford Magnet Trinity College Academy,0645411,611,*,149,,2010-11
,0,0,,11,Hartford School District,0640011,,21,0,,Hartford Transitional Learning Academy (Elementary),0649011,32,0,0,,2010-11
,*,*,,117,Hartford School District,0640011,,102,0,,"High School, Inc.",0647611,256,26,6,,2010-11
,0,*,,158,Hartford School District,0640011,,64,0,,Journalism and Media Academy Magnet School,0647711,229,0,*,,2010-11
,*,*,,163,Hartford School District,0640011,,543,0,,Kennelly School,0641011,781,9,55,,2010-11
,*,*,,210,Hartford School District,0640011,,289,0,,Kinsella Magnet School of Performing Arts,0641111,662,10,144,,2010-11
,*,*,,122,Hartford School District,0640011,,644,0,,M. D. Fox School,0640811,846,24,34,,2010-11
,0,*,,399,Hartford School District,0640011,,62,0,,"M. L. King, Jr. School",0641611,468,*,*,,2010-11
,0,*,,59,Hartford School District,0640011,,347,0,,McDonough Middle School,0641211,419,*,11,,2010-11
,*,0,,207,Hartford School District,0640011,,198,0,,Milner School,0641911,412,*,*,,2010-11
,0,22,,85,Hartford School District,0640011,,29,0,,Montessori Magnet at Fisher School,0643711,198,12,50,,2010-11
,*,*,,94,Hartford School District,0640011,,445,0,,Naylor/CCSU Leadership Academy,0641411,699,8,143,,2010-11
,0,0,,*,Hartford School District,0640011,,74,0,,OPPortunity High School,0647811,123,0,*,,2010-11
,*,*,,81,Hartford School District,0640011,,364,0,,Parkville Community School,0641511,515,19,37,,2010-11
,*,6,,159,Hartford School District,0640011,,119,0,,Pathways Academy of Technology and Design,0646611,355,*,65,,2010-11
,0,0,,419,Hartford School District,0640011,,*,0,,Rawson School,0641711,463,0,*,,2010-11
,0,*,,34,Hartford School District,0640011,,17,0,,Renzulli Gifted and Talented Academy,0644011,57,*,*,,2010-11
,0,*,,155,Hartford School District,0640011,,300,0,,SAND School,0640111,463,*,*,,2010-11
,*,24,,185,Hartford School District,0640011,,39,*,,STEM Magnet at Fisher School,0642511,328,14,64,,2010-11
,0,*,,64,Hartford School District,0640011,,423,0,,Sanchez School,0643011,492,0,*,,2010-11
,*,0,,166,Hartford School District,0640011,,20,0,,Sarah J Rawson Middle Grades Academy,0645611,188,0,*,,2010-11
,0,0,,271,Hartford School District,0640011,,81,0,,Simpson-Waverly School,0642611,361,*,*,,2010-11
,*,*,,165,Hartford School District,0640011,,310,0,,Sports and Medical Sciences Academy,0646511,672,47,139,,2010-11
,*,23,,161,Hartford School District,0640011,,110,0,,University High School of Science and Engineering,0646711,407,*,92,,2010-11
,0,*,,138,Hartford School District,0640011,,*,0,,Weaver High School,0646311,154,0,0,,2010-11
,*,*,,231,Hartford School District,0640011,,189,0,,Webster Micro Society Magnet School,0642011,592,22,132,,2010-11
,*,82,,312,Hartford School District,0640011,,272,0,,West Middle School,0642111,688,*,13,,2010-11
,0,*,,234,Hartford School District,0640011,,189,0,,Wish Museum School,0642211,443,*,11,,2010-11
,*,*,,*,Hartland School District,0650011,,*,0,,Hartland School,0650111,222,*,207,,2010-11
,0,*,,0,Hebron School District,0670011,,13,0,,Gilead Hill School,0670211,470,*,443,,2010-11
,*,8,,*,Hebron School District,0670011,,23,0,,Hebron Elementary School,0670111,666,9,622,,2010-11
,0,0,,278,Highville Charter School District,2860013,,14,0,,Highville Charter School,2860113,300,*,*,,2010-11
,0,21,,25,Integrated Day Charter School District,2640013,,41,0,,Integrated Day Charter School,2640113,331,29,215,,2010-11
,*,*,,47,Interdistrict School for Arts and Comm District,2650013,,68,0,,Interdistrict School For Arts And Communication,2655113,182,6,58,,2010-11
,*,0,,411,Jumoke Academy District,2610013,,7,7,,Jumoke Academy,2610113,432,*,0,,2010-11
,0,*,,*,Kent School District,0680011,,22,0,,Kent Center School,0680111,287,19,239,,2010-11
,*,*,,*,Killingly School District,0690011,,7,0,,Goodyear Early Childhood Center,0698011,107,*,91,,2010-11
,*,*,,7,Killingly School District,0690011,,11,0,,Killingly Central School,0690111,498,37,431,,2010-11
,9,19,,27,Killingly School District,0690011,,20,0,,Killingly High School,0696111,788,9,704,,2010-11
,11,14,,24,Killingly School District,0690011,,24,0,,Killingly Intermediate School,0695211,823,38,712,,2010-11
,*,*,,12,Killingly School District,0690011,,22,0,,Killingly Memorial School,0690311,469,20,402,,2010-11
,0,0,,57,Learn,2450014,,*,0,,Connecticut River Academy,2456014,146,*,48,,2010-11
,*,*,,8,Learn,2450014,,45,0,,Dual Language & Arts Magnet Middle School,2455014,82,*,24,,2010-11
,0,*,,*,Learn,2450014,,*,0,,Learn Special Education,2459014,30,0,24,,2010-11
,*,34,,50,Learn,2450014,,161,*,,Regional Multicultural Magnet School,2450114,545,61,237,,2010-11
,*,28,,89,Learn,2450014,,125,*,,The Friendship School,2450214,492,22,222,,2010-11
,8,10,,*,Lebanon School District,0710011,,27,*,,Lebanon Elementary School,0710111,484,*,431,,2010-11
,10,*,,*,Lebanon School District,0710011,,12,0,,Lebanon Middle School,0715111,398,0,367,,2010-11
,*,*,,0,Lebanon School District,0710011,,10,0,,Lyman Memorial High School,0716211,521,0,501,,2010-11
,*,11,,15,Ledyard School District,0720011,,17,0,,Gales Ferry School,0720211,207,*,160,,2010-11
,39,*,,29,Ledyard School District,0720011,,41,*,,Gallup Hill School,0720411,345,0,215,,2010-11
,*,15,,14,Ledyard School District,0720011,,*,0,,Juliet W. Long School,0720311,285,0,240,,2010-11
,29,19,,35,Ledyard School District,0720011,,37,0,,Ledyard Center School,0720111,416,0,296,,2010-11
,34,49,,49,Ledyard School District,0720011,,75,0,,Ledyard High School,0726111,928,0,721,,2010-11
,27,*,,30,Ledyard School District,0720011,,23,0,,Ledyard Middle School,0725111,436,*,336,,2010-11
,*,0,,0,Lisbon School District,0730011,,*,0,,Community Connection - The Big Picture High School,0736011,32,0,30,,2010-11
,*,11,,*,Lisbon School District,0730011,,18,0,,Lisbon Central School,0730111,502,38,430,,2010-11
,0,*,,*,Litchfield School District,0740011,,19,8,,Center School,0740211,341,*,306,,2010-11
,*,8,,*,Litchfield School District,0740011,,19,0,,Litchfield High School,0746111,560,*,526,,2010-11
,0,*,,*,Litchfield School District,0740011,,8,*,,Litchfield Intermediate School,0740311,268,*,248,,2010-11
,*,44,,14,Madison School District,0760011,,23,*,,Daniel Hand High School,0766111,1290,18,1187,,2010-11
,*,21,,*,Madison School District,0760011,,11,0,,Dr. Robert H. Brown Middle School,0760611,588,8,540,,2010-11
,*,9,,*,Madison School District,0760011,,12,0,,Island Avenue Elementary School,0760211,302,*,276,,2010-11
,0,*,,*,Madison School District,0760011,,10,0,,J. Milton Jeffrey Elementary School,0760111,492,15,455,,2010-11
,0,17,,*,Madison School District,0760011,,*,0,,Kathleen H. Ryerson Elementary School,0760311,275,*,250,,2010-11
,*,*,,*,Madison School District,0760011,,*,0,,Town Campus Learning Center,0769011,43,*,32,,2010-11
,0,21,,*,Madison School District,0760011,,15,*,,Walter C. Polson Upper Middle School,0765211,616,11,564,,2010-11
,*,*,,101,Manchester School District,0770011,,81,0,,Nathan Hale School,0770911,234,*,44,,2010-11
,*,*,,69,Manchester School District,0770011,,83,0,,Bowers School,0770111,409,33,203,,2010-11
,*,39,,32,Manchester School District,0770011,,60,0,,Buckley School,0770311,388,*,235,,2010-11
,*,22,,110,Manchester School District,0770011,,109,0,,Elisabeth M. Bennet Academy,0771711,454,*,193,,2010-11
,0,14,,42,Manchester School District,0770011,,28,0,,Highland Park School,0770411,273,17,172,,2010-11
,*,44,,193,Manchester School District,0770011,,216,0,,Illing Middle School,0775311,901,*,410,,2010-11
,*,33,,40,Manchester School District,0770011,,51,0,,Keeney School,0770611,387,*,236,,2010-11
,10,111,,405,Manchester School District,0770011,,389,0,,Manchester High School,0776111,1880,12,953,,2010-11
,0,12,,51,Manchester School District,0770011,,67,0,,Manchester Preschool Center,0778011,185,13,42,,2010-11
,0,0,,30,Manchester School District,0770011,,*,0,,Manchester Regional Academy,0779011,99,*,44,,2010-11
,0,0,,*,Manchester School District,0770011,,*,0,,Manchester Transition Center,0779111,*,0,*,,2010-11
,0,*,,29,Manchester School District,0770011,,26,0,,Martin School,0771611,221,*,143,,2010-11
,*,103,,108,Manchester School District,0770011,,79,0,,Robertson School,0771011,377,*,70,,2010-11
,*,40,,109,Manchester School District,0770011,,128,0,,Verplanck School,0771211,340,*,57,,2010-11
,0,51,,56,Manchester School District,0770011,,79,0,,Waddell School,0771311,348,30,132,,2010-11
,0,10,,86,Manchester School District,0770011,,98,0,,Washington School,0771411,307,40,73,,2010-11
,0,21,,*,Mansfield School District,0780011,,15,0,,Annie E. Vinton School,0780411,274,*,225,,2010-11
,0,31,,*,Mansfield School District,0780011,,20,0,,Dorothy C. Goodwin School,0780211,202,*,143,,2010-11
,*,51,,18,Mansfield School District,0780011,,61,*,,Mansfield Middle School,0785111,585,24,429,,2010-11
,0,17,,13,Mansfield School District,0780011,,41,0,,Southeast Elementary School,0780511,266,11,184,,2010-11
,0,22,,*,Marlborough School District,0790011,,34,0,,Elmer Thienes-Mary Hall Elementary School,0790111,675,*,597,,2010-11
,*,15,,68,Meriden School District,0800011,,291,*,,Nathan Hale School,0800711,621,12,225,,2010-11
,*,12,,54,Meriden School District,0800011,,203,0,,Benjamin Franklin School,0800111,466,*,188,,2010-11
,0,12,,118,Meriden School District,0800011,,362,7,,Casimir Pulaski School,0801111,706,16,191,,2010-11
,*,18,,170,Meriden School District,0800011,,540,*,,Francis T. Maloney High School,0806111,1235,22,481,,2010-11
,*,14,,42,Meriden School District,0800011,,195,*,,Hanover School,0800311,530,7,267,,2010-11
,*,17,,78,Meriden School District,0800011,,292,*,,Israel Putnam School,0800411,561,*,164,,2010-11
,*,7,,62,Meriden School District,0800011,,333,*,,John Barry School,0800511,509,*,97,,2010-11
,0,8,,78,Meriden School District,0800011,,310,10,,Lincoln Middle School,0805211,711,13,292,,2010-11
,0,16,,157,Meriden School District,0800011,,490,8,,Orville H. Platt High School,0806211,1102,18,413,,2010-11
,*,15,,62,Meriden School District,0800011,,299,0,,Roger Sherman School,0800811,524,*,135,,2010-11
,0,32,,20,Meriden School District,0800011,,187,*,,Thomas Hooker School,0801011,446,*,199,,2010-11
,*,10,,140,Meriden School District,0800011,,412,*,,Washington Middle School,0805411,888,18,299,,2010-11
,0,15,,94,Middletown School District,0830011,,63,0,,Bielefield School,0830211,366,17,177,,2010-11
,*,*,,72,Middletown School District,0830011,,75,0,,Farm Hill School,0830511,371,26,185,,2010-11
,*,12,,81,Middletown School District,0830011,,58,0,,Keigwin Middle School,0831511,372,*,215,,2010-11
,*,61,,63,Middletown School District,0830011,,48,0,,Lawrence School,0831311,377,*,185,,2010-11
,*,*,,79,Middletown School District,0830011,,76,0,,MacDonough School,0830911,248,10,76,,2010-11
,*,67,,322,Middletown School District,0830011,,154,0,,Middletown High School,0836211,1357,*,794,,2010-11
,*,19,,45,Middletown School District,0830011,,30,0,,Moody School,0831211,361,*,250,,2010-11
,0,25,,82,Middletown School District,0830011,,51,0,,Snow School,0831111,356,8,190,,2010-11
,0,13,,64,Middletown School District,0830011,,36,0,,Spencer School,0830111,341,15,213,,2010-11
,0,14,,71,Middletown School District,0830011,,21,*,,Wesley School,0831411,311,*,196,,2010-11
,*,33,,191,Middletown School District,0830011,,120,0,,Woodrow Wilson Middle School,0835411,733,*,374,,2010-11
,*,24,,*,Milford School District,0840011,,13,0,,Calf Pen Meadow School,0840111,330,0,282,,2010-11
,*,18,,17,Milford School District,0840011,,20,0,,East Shore Middle School,0845111,532,*,475,,2010-11
,0,41,,27,Milford School District,0840011,,22,0,,Harborside Middle School,0845211,611,0,521,,2010-11
,*,37,,*,Milford School District,0840011,,33,0,,J. F. Kennedy School,0841911,421,0,325,,2010-11
,*,*,,56,Milford School District,0840011,,74,0,,Jonathan Law High School,0846211,997,0,811,,2010-11
,*,35,,*,Milford School District,0840011,,42,0,,Joseph A. Foran High School,0846311,1009,0,896,,2010-11
,0,34,,15,Milford School District,0840011,,20,0,,Live Oaks School,0841611,337,0,268,,2010-11
,0,81,,13,Milford School District,0840011,,15,0,,Mathewson School,0841711,455,0,346,,2010-11
,0,78,,29,Milford School District,0840011,,14,0,,Meadowside School,0840711,465,0,344,,2010-11
,0,41,,12,Milford School District,0840011,,26,0,,Orange Avenue School,0840811,436,0,357,,2010-11
,0,30,,12,Milford School District,0840011,,15,0,,Orchard Hills School,0841811,378,0,321,,2010-11
,0,20,,27,Milford School District,0840011,,33,0,,Pumpkin Delight School,0841011,418,0,338,,2010-11
,0,42,,39,Milford School District,0840011,,49,0,,West Shore Middle School,0845311,573,0,443,,2010-11
,*,9,,*,Monroe School District,0850011,,14,0,,Chalk Hill School,0850611,277,8,242,,2010-11
,0,20,,9,Monroe School District,0850011,,28,0,,Fawn Hollow Elementary School,0850511,615,12,546,,2010-11
,*,24,,13,Monroe School District,0850011,,47,0,,Jockey Hollow School,0855211,634,*,536,,2010-11
,*,43,,27,Monroe School District,0850011,,66,0,,Masuk High School,0856111,1309,*,1170,,2010-11
,*,8,,*,Monroe School District,0850011,,26,0,,Monroe Elementary School,0850111,409,12,356,,2010-11
,*,18,,*,Monroe School District,0850011,,44,0,,Stepney Elementary School,0850311,511,13,424,,2010-11
,7,11,,*,Montville School District,0860011,,35,*,,Dr. Charles E. Murphy School,0860711,383,37,287,,2010-11
,*,53,,26,Montville School District,0860011,,49,*,,Leonard J. Tyl Middle School,0865111,642,31,470,,2010-11
,14,78,,20,Montville School District,0860011,,33,0,,Mohegan School,0860111,419,49,225,,2010-11
,*,52,,33,Montville School District,0860011,,51,*,,Montville High School,0866111,767,50,567,,2010-11
,6,18,,13,Montville School District,0860011,,30,0,,Oakdale School,0860511,433,38,328,,2010-11
,0,0,,0,Montville School District,0860011,,*,0,,Palmer Academy,0869011,19,*,13,,2010-11
,0,20,,7,Naugatuck School District,0880011,,48,0,,Andrew Avenue School,0880811,202,9,118,,2010-11
,0,*,,*,Naugatuck School District,0880011,,*,0,,Central Avenue Preschool,0888211,31,*,22,,2010-11
,0,11,,20,Naugatuck School District,0880011,,57,0,,Central Avenue School,0880111,252,7,157,,2010-11
,0,*,,49,Naugatuck School District,0880011,,138,*,,City Hill Middle School,0885111,771,41,521,,2010-11
,0,14,,27,Naugatuck School District,0880011,,51,0,,Cross Street Intermediate School,0880211,330,11,227,,2010-11
,0,*,,8,Naugatuck School District,0880011,,33,0,,Head Start,0888111,104,*,56,,2010-11
,*,12,,30,Naugatuck School District,0880011,,78,*,,Hillside Intermediate School,0880411,390,16,252,,2010-11
,0,13,,14,Naugatuck School District,0880011,,67,0,,Hop Brook Elementary School,0880511,335,28,213,,2010-11
,*,21,,22,Naugatuck School District,0880011,,52,0,,Maple Hill School,0880311,376,*,260,,2010-11
,*,44,,100,Naugatuck School District,0880011,,198,*,,Naugatuck High School,0886111,1361,46,969,,2010-11
,0,8,,18,Naugatuck School District,0880011,,57,0,,Salem School,0880611,231,15,133,,2010-11
,0,9,,13,Naugatuck School District,0880011,,62,0,,Western School,0880711,277,15,178,,2010-11
,0,0,,267,New Beginnings Inc Family Academy District,2800013,,84,0,,New Beginnings Inc Family Academy,2800113,360,*,*,,2010-11
,0,0,,*,New Britain School District,0890011,,7,0,,Academic Extension Center,0899211,12,0,*,,2010-11
,0,*,,97,New Britain School District,0890011,,257,0,,Chamberlain  Elementary School,0890311,455,*,94,,2010-11
,*,*,,64,New Britain School District,0890011,,719,0,,Frank J. DiLoreto School,0891111,897,*,104,,2010-11
,*,24,,61,New Britain School District,0890011,,230,0,,Gaffney School,0890511,518,*,195,,2010-11
,0,*,,61,New Britain School District,0890011,,212,0,,Holmes School,0890611,422,*,133,,2010-11
,*,10,,26,New Britain School District,0890011,,51,0,,House of Arts Letters and Science (HALS)  Academy,0895411,156,*,61,,2010-11
,*,49,,40,New Britain School District,0890011,,179,*,,Jefferson School,0890711,415,8,136,,2010-11
,*,19,,89,New Britain School District,0890011,,441,0,,Lincoln School,0890811,699,*,137,,2010-11
,*,66,,459,New Britain School District,0890011,,1399,*,,New Britain High School,0896111,2619,9,680,,2010-11
,0,0,,6,New Britain School District,0890011,,22,0,,New Britain Transition Center,0899011,32,*,*,,2010-11
,*,*,,47,New Britain School District,0890011,,204,0,,Northend School,0890911,307,*,43,,2010-11
,0,14,,70,New Britain School District,0890011,,388,0,,Pulaski Middle School,0895311,592,7,113,,2010-11
,0,*,,78,New Britain School District,0890011,,287,*,,Roosevelt Middle School,0895111,429,*,57,,2010-11
,0,9,,154,New Britain School District,0890011,,418,0,,Slade Middle School,0895211,716,7,128,,2010-11
,0,9,,119,New Britain School District,0890011,,451,0,,Smalley Academy,0891211,673,11,83,,2010-11
,*,14,,118,New Britain School District,0890011,,349,*,,Smith School,0891311,631,10,136,,2010-11
,0,12,,110,New Britain School District,0890011,,278,0,,Vance School,0891511,544,15,129,,2010-11
,*,31,,*,New Canaan School District,0900011,,12,0,,East School,0900411,516,8,454,,2010-11
,*,44,,16,New Canaan School District,0900011,,45,*,,New Canaan High School,0906111,1343,13,1211,,2010-11
,*,36,,9,New Canaan School District,0900011,,32,*,,Saxe Middle School,0905111,1218,16,1116,,2010-11
,0,37,,*,New Canaan School District,0900011,,21,0,,South School,0900211,561,*,488,,2010-11
,0,17,,*,New Canaan School District,0900011,,14,0,,West School,0900311,493,*,453,,2010-11
,*,21,,12,New Fairfield School District,0910011,,42,0,,Consolidated School,0910111,602,*,521,,2010-11
,*,12,,*,New Fairfield School District,0910011,,32,0,,Meeting House Hill School,0910211,610,12,552,,2010-11
,*,16,,10,New Fairfield School District,0910011,,46,0,,New Fairfield High School,0916111,974,*,897,,2010-11
,0,11,,12,New Fairfield School District,0910011,,47,0,,New Fairfield Middle School,0915211,732,10,652,,2010-11
,*,*,,*,New Hartford School District,0920011,,9,0,,Ann Antolini School,0920311,359,*,341,,2010-11
,0,*,,0,New Hartford School District,0920011,,*,0,,Bakerville Consolidated School,0920111,120,*,113,,2010-11
,0,*,,0,New Hartford School District,0920011,,9,0,,New Hartford Elementary School,0920211,129,*,116,,2010-11
,*,*,,265,New Haven School District,0930011,,61,0,,Edgewood School,0931211,455,0,119,,2010-11
,*,*,,65,New Haven School District,0930011,,171,0,,Nathan Hale School,0931411,555,0,304,,2010-11
,0,*,,338,New Haven School District,0930011,,167,0,,Augusta Lewis Troup School,0931511,515,0,*,,2010-11
,*,*,,329,New Haven School District,0930011,,108,0,,Barnard Environmental Magnet School,0930211,549,0,108,,2010-11
,0,6,,326,New Haven School District,0930011,,73,0,,Beecher School,0930311,468,0,63,,2010-11
,*,*,,182,New Haven School District,0930011,,189,0,,Benjamin Jepson Magnet School,0931811,527,0,152,,2010-11
,0,11,,208,New Haven School District,0930011,,111,0,,Betsy Ross Arts Magnet School,0935511,444,0,114,,2010-11
,0,23,,195,New Haven School District,0930011,,216,0,,Bishop Woods Architecture and Design Magnet School,0934311,489,0,55,,2010-11
,0,*,,274,New Haven School District,0930011,,63,0,,Brennan Rogers School,0932111,361,0,*,,2010-11
,0,*,,303,New Haven School District,0930011,,107,0,,"Celentano BioTech, Health and Medical Magnet School",0934811,467,*,45,,2010-11
,0,8,,149,New Haven School District,0930011,,375,0,,Clinton Avenue School,0930611,548,0,16,,2010-11
,0,*,,27,New Haven School District,0930011,,437,0,,Columbus Family Academy,0934111,473,0,*,,2010-11
,*,*,,322,New Haven School District,0930011,,254,0,,Conte/West Hills Magnet School,0933111,608,0,26,,2010-11
,0,11,,308,New Haven School District,0930011,,140,0,,Cooperative High School,0936411,623,0,164,,2010-11
,0,*,,160,New Haven School District,0930011,,43,0,,Cortlandt V.R. Creed Health and Sport Sciences High School,0936811,212,0,*,,2010-11
,*,*,,287,New Haven School District,0930011,,53,0,,Davis 21st Century Magnet Elementary School,0930911,460,0,106,,2010-11
,0,0,,32,New Haven School District,0930011,,*,0,,Domus Academy,0935611,44,0,*,,2010-11
,0,0,,32,New Haven School District,0930011,,7,0,,Dwight Early Childhood Program,0938211,39,0,0,,2010-11
,0,0,,95,New Haven School District,0930011,,*,0,,Early Learning Center,0938111,115,0,*,,2010-11
,6,15,,234,New Haven School District,0930011,,157,0,,East Rock Community Magnet School,0934611,435,0,23,,2010-11
,0,19,,105,New Haven School District,0930011,,38,0,,Engineering - Science University Magnet School,0931711,226,0,64,,2010-11
,*,*,,100,New Haven School District,0930011,,492,0,,Fair Haven School,0931611,639,0,24,,2010-11
,*,*,,110,New Haven School District,0930011,,282,0,,Headstart,0938011,402,0,7,,2010-11
,*,*,,193,New Haven School District,0930011,,61,0,,Helene Grant HeadStart,0938311,272,0,16,,2010-11
,*,*,,132,New Haven School District,0930011,,104,0,,High School In The Community,0936611,307,0,67,,2010-11
,0,*,,97,New Haven School District,0930011,,300,0,,Hill Central Music Academy,0930711,402,0,*,,2010-11
,*,*,,310,New Haven School District,0930011,,195,0,,Hill Regional Career High School,0936311,669,0,127,,2010-11
,*,*,,750,New Haven School District,0930011,,187,0,,James Hillhouse High School,0936211,969,0,25,,2010-11
,0,8,,109,New Haven School District,0930011,,340,0,,John C. Daniels,0931311,527,0,70,,2010-11
,*,*,,73,New Haven School District,0930011,,447,0,,John S. Martinez Sea and Sky STEM School,0930811,536,0,13,,2010-11
,*,*,,399,New Haven School District,0930011,,56,0,,King/Robinson Magnet School,0933011,557,0,86,,2010-11
,0,*,,269,New Haven School District,0930011,,38,0,,Lincoln-Bassett School,0932011,313,0,*,,2010-11
,0,12,,235,New Haven School District,0930011,,199,0,,Mauro-Sheridan Magnet School,0931911,566,0,120,,2010-11
,0,*,,150,New Haven School District,0930011,,109,0,,Metropolitan Business Academy,0936011,296,0,*,,2010-11
,0,*,,149,New Haven School District,0930011,,68,0,,New Haven Academy,0937011,267,0,*,,2010-11
,0,0,,*,New Haven School District,0930011,,12,0,,Polly T. McCabe Center,0939211,22,0,*,,2010-11
,0,*,,110,New Haven School District,0930011,,48,0,,Riverside Education Academy,0939111,162,0,*,,2010-11
,*,*,,269,New Haven School District,0930011,,240,0,,Roberto Clemente Leadership Academy for Global Awareness,0934211,536,0,23,,2010-11
,*,*,,208,New Haven School District,0930011,,204,0,,Ross/Woodward School,0931011,521,0,92,,2010-11
,0,7,,21,New Haven School District,0930011,,66,0,,Sound School,0936711,320,0,226,,2010-11
,*,*,,139,New Haven School District,0930011,,146,0,,Strong 21st Century Communications Magnet and SCSU Lab School,0932811,317,0,25,,2010-11
,*,0,,119,New Haven School District,0930011,,394,0,,Truman School,0932911,532,*,17,,2010-11
,*,*,,138,New Haven School District,0930011,,65,0,,West Rock Authors Academy,0934911,246,0,39,,2010-11
,0,0,,337,New Haven School District,0930011,,23,0,,Wexler/Grant Community School,0933211,375,0,15,,2010-11
,*,*,,513,New Haven School District,0930011,,599,0,,Wilbur Cross High School,0936111,1287,0,143,,2010-11
,*,100,,84,New Haven School District,0930011,,*,0,,Worthington Hooker School,0933811,444,0,236,,2010-11
,*,*,,73,New London School District,0950011,,441,0,,Jennings School,0950311,554,14,22,,2010-11
,8,8,,202,New London School District,0950011,,277,0,,Bennie Dover Jackson Middle School,0955111,590,18,77,,2010-11
,*,*,,109,New London School District,0950011,,106,0,,Harbor School,0950211,301,19,58,,2010-11
,*,*,,87,New London School District,0950011,,109,0,,Nathan Hale Arts Magnet School,0950911,284,20,57,,2010-11
,0,0,,12,New London School District,0950011,,9,0,,New London Clinical Day Program,0959111,28,*,*,,2010-11
,15,23,,290,New London School District,0950011,,421,0,,New London High School,0956111,983,14,220,,2010-11
