american_indian,american_indian_or_alaska_native,asian,black_not_of_hispanic_origin,black_or_african_american,district,district_code,hispanic_latino,hispanic_latino_of_any_race,native_hawaiian_or_other_pacific_islander,not_reported,school,school_code,total,two_or_more_races,white,white_not_of_hispanic_origin,year
*,,68,*,,Bethel School District,0090011,91,,,0,Bethel High School,0096111,1034,,,850,2007-08
*,,42,*,,Bethel School District,0090011,88,,,0,Bethel Middle School,0095111,743,,,598,2007-08
0,,38,11,,Bethel School District,0090011,47,,,0,Frank A. Berry School,0090111,488,,,392,2007-08
0,,28,9,,Bethel School District,0090011,49,,,0,Ralph M. T. Johnson School,0090511,454,,,368,2007-08
0,,*,562,,Bloomfield School District,0110011,37,,,0,Bloomfield High School,0116111,625,,,*,2007-08
0,,*,301,,Bloomfield School District,0110011,23,,,0,Carmen Arace Intermediate School,0110711,348,,,*,2007-08
0,,*,300,,Bloomfield School District,0110011,32,,,0,Carmen Arace Middle School,0115211,342,,,*,2007-08
*,,*,262,,Bloomfield School District,0110011,27,,,0,J. P. Vincent School,0110311,315,,,22,2007-08
*,,*,236,,Bloomfield School District,0110011,16,,,0,Laurel School,0110611,268,,,12,2007-08
0,,*,208,,Bloomfield School District,0110011,16,,,0,Metacomet School,0110511,238,,,*,2007-08
0,,*,63,,Bloomfield School District,0110011,*,,,0,The Big Picture High School,0116211,79,,,10,2007-08
0,,13,25,,Bolton School District,0120011,7,,,0,Bolton Center School,0120111,597,,,552,2007-08
*,,*,*,,Bolton School District,0120011,*,,,0,Bolton High School,0126111,275,,,260,2007-08
*,,*,10,,Bozrah School District,0130011,16,,,0,Fields Memorial School,0130111,264,,,236,2007-08
*,,59,*,,Branford School District,0140011,41,,,0,Branford High School,0146111,1146,,,1006,2007-08
*,,81,*,,Branford School District,0140011,55,,,0,Francis Walsh Intermediate School,0145111,1082,,,917,2007-08
0,,*,*,,Branford School District,0140011,9,,,0,Indian Neck School,0148011,58,,,40,2007-08
*,,21,*,,Branford School District,0140011,22,,,0,John B. Sliney School,0141611,345,,,296,2007-08
*,,20,*,,Branford School District,0140011,20,,,0,Mary R. Tisko School,0141511,430,,,375,2007-08
*,,41,*,,Branford School District,0140011,40,,,0,Mary T. Murphy School,0141411,416,,,312,2007-08
0,,0,50,,Bridgeport Achievement First District,2850013,*,,,0,Achievement First Bridgeport Academy,2850113,85,,,*,2007-08
0,,*,108,,Bridgeport School District,0150011,166,,,0,Barnum School,0150111,279,,,*,2007-08
0,,48,644,,Bridgeport School District,0150011,535,,,0,Bassick High School,0156111,1285,,,58,2007-08
*,,*,233,,Bridgeport School District,0150011,355,,,0,Beardsley School,0150211,607,,,14,2007-08
*,,*,68,,Bridgeport School District,0150011,156,,,0,Black Rock School,0150311,272,,,39,2007-08
*,,*,392,,Bridgeport School District,0150011,495,,,0,Blackham School,0154011,1177,,,235,2007-08
0,,0,*,,Bridgeport School District,0150011,26,,,0,Bridgeport Learning Center,0159011,54,,,*,2007-08
0,,28,162,,Bridgeport School District,0150011,175,,,0,Bryant School,0150411,413,,,48,2007-08
*,,*,1094,,Bridgeport School District,0150011,838,,,0,Central High School,0156211,2339,,,306,2007-08
0,,35,354,,Bridgeport School District,0150011,728,,,0,Cesar Batalla School,0151411,1162,,,45,2007-08
*,,*,223,,Bridgeport School District,0150011,105,,,0,Classical Studies Academy,0152111,375,,,29,2007-08
0,,13,210,,Bridgeport School District,0150011,433,,,0,Columbus School,0150511,763,,,107,2007-08
0,,10,264,,Bridgeport School District,0150011,124,,,0,Cross School,0153911,406,,,8,2007-08
0,,38,284,,Bridgeport School District,0150011,246,,,0,Curiale School,0154211,592,,,24,2007-08
0,,*,214,,Bridgeport School District,0150011,139,,,0,Dunbar School,0154111,363,,,*,2007-08
*,,*,205,,Bridgeport School District,0150011,165,,,0,Edison School,0150711,408,,,28,2007-08
*,,*,57,,Bridgeport School District,0150011,204,,,0,Garfield School,0150911,278,,,11,2007-08
0,,14,74,,Bridgeport School District,0150011,92,,,0,Geraldine Johnson School,0153211,196,,,16,2007-08
*,,*,179,,Bridgeport School District,0150011,156,,,0,Hall School,0151111,344,,,*,2007-08
0,,*,217,,Bridgeport School District,0150011,89,,,0,Hallen School,0151211,322,,,*,2007-08
*,,*,734,,Bridgeport School District,0150011,915,,,0,Harding High School,0156311,1722,,,47,2007-08
*,,*,193,,Bridgeport School District,0150011,147,,,0,High Horizons Magnet School,0154511,444,,,84,2007-08
*,,*,179,,Bridgeport School District,0150011,213,,,0,Hooker School,0151311,450,,,50,2007-08
0,,*,218,,Bridgeport School District,0150011,103,,,0,Jettie S. Tisdale School,0152211,329,,,*,2007-08
*,,*,230,,Bridgeport School District,0150011,224,,,0,Longfellow School,0151911,475,,,16,2007-08
*,,*,198,,Bridgeport School District,0150011,621,,,0,Luis Munoz Marin School,0151011,846,,,15,2007-08
0,,18,231,,Bridgeport School District,0150011,223,,,0,Madison School,0152011,562,,,90,2007-08
0,,0,15,,Bridgeport School District,0150011,22,,,0,Make The Grade,0159511,37,,,0,2007-08
0,,*,77,,Bridgeport School District,0150011,84,,,0,Maplewood Annex,0154311,187,,,*,2007-08
