school_code,district_code,district,school,no,yes,total,year
0940611,0940011,Newington School District,Anna Reynolds School,422,23,445,2009-10
0940211,0940011,Newington School District,Elizabeth Green School,295,13,308,2009-10
0940811,0940011,Newington School District,John Paterson School,466,24,490,2009-10
0945311,0940011,Newington School District,John Wallace Middle School,707,21,728,2009-10
0945111,0940011,Newington School District,Martin Kellogg Middle School,614,19,633,2009-10
0946111,0940011,Newington School District,Newington High School,1446,22,1468,2009-10
0940711,0940011,Newington School District,Ruth Chaffee School,374,21,395,2009-10
0970111,0970011,Newtown School District,Hawley Elementary School,*,*,420,2009-10
0970411,0970011,Newtown School District,Head O'Meadow Elementary School,*,*,375,2009-10
0970311,0970011,Newtown School District,Middle Gate Elementary School,*,*,495,2009-10
0976111,0970011,Newtown School District,Newtown High School,*,*,1731,2009-10
0975111,0970011,Newtown School District,Newtown Middle School,*,*,896,2009-10
0978011,0970011,Newtown School District,Newtown Preschool,87,0,87,2009-10
0970511,0970011,Newtown School District,Reed Intermediate School,861,0,861,2009-10
0970211,0970011,Newtown School District,Sandy Hook Elementary School,*,*,625,2009-10
0980111,0980011,Norfolk School District,Botelle Elementary School,137,0,137,2009-10
0989211,0980011,Norfolk School District,Bridges II,*,0,*,2009-10
0989011,0980011,Norfolk School District,IEP Program,*,0,*,2009-10
0990411,0990011,North Branford School District,Jerome Harrison School,*,*,327,2009-10
0996111,0990011,North Branford School District,North Branford High School,*,*,686,2009-10
0995111,0990011,North Branford School District,North Branford Intermediate School,602,7,609,2009-10
0990511,0990011,North Branford School District,Stanley T. Williams School,*,*,251,2009-10
0990611,0990011,North Branford School District,Totoket Valley Elementary School,*,*,465,2009-10
1000111,1000011,North Canaan School District,North Canaan Elementary School,322,6,328,2009-10
1010811,1010011,North Haven School District,Clintonville Elementary School,388,8,396,2009-10
1010711,1010011,North Haven School District,Green Acres Elementary School,386,7,393,2009-10
1010211,1010011,North Haven School District,Montowese Elementary School,404,11,415,2009-10
1016111,1010011,North Haven School District,North Haven High School,1175,6,1181,2009-10
1015211,1010011,North Haven School District,North Haven Middle School,*,*,872,2009-10
1010311,1010011,North Haven School District,Ridge Road Elementary School,414,14,428,2009-10
1020111,1020011,North Stonington School District,North Stonington Elementary School,383,0,383,2009-10
1026111,1020011,North Stonington School District,Wheeler High School,226,0,226,2009-10
1025111,1020011,North Stonington School District,Wheeler Middle School,*,*,182,2009-10
1036211,1030011,Norwalk School District,Brien McMahon High School,1576,118,1694,2009-10
1030211,1030011,Norwalk School District,Brookside Elementary School,381,102,483,2009-10
1030311,1030011,Norwalk School District,Columbus Magnet School,329,19,348,2009-10
1030411,1030011,Norwalk School District,Cranbury Elementary School,433,48,481,2009-10
1032011,1030011,Norwalk School District,Fox Run Elementary School,421,39,460,2009-10
1030711,1030011,Norwalk School District,Jefferson Magnet School,430,109,539,2009-10
1030811,1030011,Norwalk School District,Kendall Elementary School,399,84,483,2009-10
1032211,1030011,Norwalk School District,Marvin Elementary School,372,85,457,2009-10
1032111,1030011,Norwalk School District,Naramake Elementary School,384,53,437,2009-10
1035211,1030011,Norwalk School District,Nathan Hale Middle School,549,39,588,2009-10
1036111,1030011,Norwalk School District,Norwalk High School,1405,98,1503,2009-10
1036311,1030011,Norwalk School District,Norwalk Pathways Academy at Briggs,*,*,99,2009-10
1035311,1030011,Norwalk School District,Ponus Ridge Middle School,624,62,686,2009-10
1035511,1030011,Norwalk School District,Roton Middle School,359,41,400,2009-10
1031311,1030011,Norwalk School District,Rowayton School,428,40,468,2009-10
1032311,1030011,Norwalk School District,Silvermine Elementary School,222,115,337,2009-10
1031411,1030011,Norwalk School District,Tracey School,312,89,401,2009-10
1035411,1030011,Norwalk School District,West Rocks Middle School,592,71,663,2009-10
1032411,1030011,Norwalk School District,Wolfpit School,288,41,329,2009-10
9016122,9010022,Norwich Free Academy District,Norwich Free Academy,2336,85,2421,2009-10
1040111,1040011,Norwich School District,Bishop School Early Learning Center,157,16,173,2009-10
1049111,1040011,Norwich School District,Deborah-Tennant Zinewicz  School,*,*,47,2009-10
1040611,1040011,Norwich School District,Greeneville School,275,53,328,2009-10
1049011,1040011,Norwich School District,Hickory Street School,*,*,19,2009-10
1041411,1040011,Norwich School District,John B. Stanton Network School,301,52,353,2009-10
1045111,1040011,Norwich School District,Kelly Middle School,573,58,631,2009-10
1042011,1040011,Norwich School District,Moriarty Magnet School,320,46,366,2009-10
1040811,1040011,Norwich School District,Samuel Huntington School,366,45,411,2009-10
1045211,1040011,Norwich School District,Teachers' Memorial Middle School,462,58,520,2009-10
1046111,1040011,Norwich School District,Thames River Academy,*,*,85,2009-10
1041711,1040011,Norwich School District,Thomas W. Mahan School,268,32,300,2009-10
1041911,1040011,Norwich School District,Uncas Network School,153,16,169,2009-10
1041811,1040011,Norwich School District,Veterans' Memorial School,216,17,233,2009-10
1041511,1040011,Norwich School District,Wequonnoc Magnet School,222,14,236,2009-10
2635113,2630013,Odyssey Community School District,Odyssey Community School,180,0,180,2009-10
1060211,1060011,Old Saybrook School District,Kathleen E. Goodwin School,436,29,465,2009-10
1065211,1060011,Old Saybrook School District,Old Saybrook Middle School,582,16,598,2009-10
1066111,1060011,Old Saybrook School District,Old Saybrook Senior High School,518,10,528,2009-10
1070211,1070011,Orange School District,Mary L. Tracy School,186,0,186,2009-10
1070511,1070011,Orange School District,Peck Place School,*,*,411,2009-10
1070311,1070011,Orange School District,Race Brook School,*,*,400,2009-10
1070411,1070011,Orange School District,Turkey Hill School,*,*,300,2009-10
1085111,1080011,Oxford School District,Great Oak School,495,10,505,2009-10
1080111,1080011,Oxford School District,Oxford Center School,519,17,536,2009-10
1086011,1080011,Oxford School District,Oxford High School,*,*,565,2009-10
1080311,1080011,Oxford School District,Quaker Farms School,532,18,550,2009-10
2835113,2830013,Park City Prep Charter School District,Park City Prep Charter School,236,6,242,2009-10
1090511,1090011,Plainfield School District,Early Childhood Center,*,*,274,2009-10
1090111,1090011,Plainfield School District,Moosup Elementary School,*,*,295,2009-10
1095111,1090011,Plainfield School District,Plainfield Central School,*,*,573,2009-10
1096111,1090011,Plainfield School District,Plainfield High School,843,9,852,2009-10
1090311,1090011,Plainfield School District,Plainfield Memorial School,*,*,419,2009-10
1090411,1090011,Plainfield School District,Shepard Hill Elementary School,*,*,309,2009-10
1100411,1100011,Plainville School District,Frank T. Wheeler School,265,18,283,2009-10
1100211,1100011,Plainville School District,Linden Street School,381,32,413,2009-10
1100511,1100011,Plainville School District,Louis Toffolon School,340,10,350,2009-10
1105211,1100011,Plainville School District,Middle School of Plainville,561,13,574,2009-10
1106111,1100011,Plainville School District,Plainville High School,*,*,862,2009-10
1108011,1100011,Plainville School District,Prekindergarten Program,*,*,54,2009-10
1115111,1110011,Plymouth School District,Eli Terry Jr. Middle School,*,*,455,2009-10
1110411,1110011,Plymouth School District,Harry S. Fisher Elementary School,*,*,393,2009-10
1110211,1110011,Plymouth School District,Plymouth Center School,*,*,412,2009-10
1116111,1110011,Plymouth School District,Terryville High School,*,*,521,2009-10
1120111,1120011,Pomfret School District,Pomfret Community School,526,6,532,2009-10
1130511,1130011,Portland School District,Brownstone Intermediate School,237,0,237,2009-10
1130411,1130011,Portland School District,Gildersleeve School,*,*,248,2009-10
1136111,1130011,Portland School District,Portland High School,*,*,362,2009-10
1135111,1130011,Portland School District,Portland Middle School,240,0,240,2009-10
1130211,1130011,Portland School District,Valley View School,*,*,349,2009-10
1145111,1140011,Preston School District,Preston Plains School,*,*,148,2009-10
1140411,1140011,Preston School District,Preston Veterans' Memorial School,277,7,284,2009-10
1169011,1160011,Putnam School District,Helping Hands,*,0,*,2009-10
1160311,1160011,Putnam School District,Putnam Elementary School,618,26,644,2009-10
1166111,1160011,Putnam School District,Putnam High School,*,*,327,2009-10
1165111,1160011,Putnam School District,Putnam Middle School,246,8,254,2009-10
1175111,1170011,Redding School District,John Read Middle School,*,*,595,2009-10
1170111,1170011,Redding School District,Redding Elementary School,*,*,670,2009-10
2016112,2010012,Regional School District 01,Housatonic Valley Regional High School,510,0,510,2009-10
2045112,2040012,Regional School District 04,John Winthrop Middle School,*,*,354,2009-10
2046112,2040012,Regional School District 04,Valley Regional High School,612,6,618,2009-10
2055112,2050012,Regional School District 05,Amity Middle School: Bethany,*,*,423,2009-10
2055212,2050012,Regional School District 05,Amity Middle School: Orange,*,*,430,2009-10
2056112,2050012,Regional School District 05,Amity Regional High School,1624,6,1630,2009-10
2060112,2060012,Regional School District 06,Goshen Center School,*,*,218,2009-10
2060212,2060012,Regional School District 06,James Morris School,201,6,207,2009-10
2068012,2060012,Regional School District 06,Stepping Stones Preschool Program,14,0,14,2009-10
2066112,2060012,Regional School District 06,Wamogo Regional High School,*,*,536,2009-10
2060312,2060012,Regional School District 06,Warren Elementary School,*,*,96,2009-10
2079112,2070012,Regional School District 07,AIM,13,0,13,2009-10
2079012,2070012,Regional School District 07,FLEX,*,0,*,2009-10
2079412,2070012,Regional School District 07,Intensive Learning Program,6,0,6,2009-10
2079212,2070012,Regional School District 07,Links,23,0,23,2009-10
2076112,2070012,Regional School District 07,Northwestern Regional High School,757,0,757,2009-10
2075112,2070012,Regional School District 07,Northwestern Regional Middle School,342,0,342,2009-10
2079312,2070012,Regional School District 07,STEP,21,0,21,2009-10
2086112,2080012,Regional School District 08,RHAM High School,*,*,1085,2009-10
2085112,2080012,Regional School District 08,RHAM Middle School,644,0,644,2009-10
2096112,2090012,Regional School District 09,Joel Barlow High School,*,*,958,2009-10
2105112,2100012,Regional School District 10,Har-Bur Middle School,*,*,906,2009-10
2100312,2100012,Regional School District 10,Harwinton Consolidated School,*,*,477,2009-10
2100212,2100012,Regional School District 10,Lake Garda Elementary School,609,12,621,2009-10
2106112,2100012,Regional School District 10,Lewis S. Mills High School,*,*,813,2009-10
2116112,2110012,Regional School District 11,Parish Hill High School,291,0,291,2009-10
2120212,2120012,Regional School District 12,Booth Free School,112,0,112,2009-10
2128012,2120012,Regional School District 12,Early Childhood Education Center,29,0,29,2009-10
2126112,2120012,Regional School District 12,Shepaug Valley High School,*,*,323,2009-10
2125112,2120012,Regional School District 12,Shepaug Valley Middle School,*,*,248,2009-10
2120112,2120012,Regional School District 12,The Burnham School,87,0,87,2009-10
2120412,2120012,Regional School District 12,Washington Primary School,*,*,169,2009-10
2136112,2130012,Regional School District 13,Coginchaug Regional High School,577,0,577,2009-10
2130212,2130012,Regional School District 13,Francis E. Korn School,193,0,193,2009-10
2135112,2130012,Regional School District 13,Frank Ward Strong School,346,0,346,2009-10
2130112,2130012,Regional School District 13,Frederick Brewster School,*,*,284,2009-10
2130512,2130012,Regional School District 13,John Lyman School,*,*,323,2009-10
2130412,2130012,Regional School District 13,Middlefield Memorial School,*,*,360,2009-10
2140112,2140012,Regional School District 14,Bethlehem Elementary School,*,*,350,2009-10
2148012,2140012,Regional School District 14,Integrated Star Preschool Program,29,0,29,2009-10
2140212,2140012,Regional School District 14,Mitchell Elementary School,*,*,415,2009-10
2146112,2140012,Regional School District 14,Nonnewaug High School,*,*,842,2009-10
2145112,2140012,Regional School District 14,Woodbury Middle School,*,*,473,2009-10
2150412,2150012,Regional School District 15,Gainfield Elementary School,*,*,446,2009-10
2150712,2150012,Regional School District 15,Long Meadow Elementary School,602,6,608,2009-10
2155212,2150012,Regional School District 15,Memorial Middle School,526,6,532,2009-10
2150612,2150012,Regional School District 15,Middlebury Elementary School,444,9,453,2009-10
2156212,2150012,Regional School District 15,Pomperaug Regional High School,*,*,1418,2009-10
2150512,2150012,Regional School District 15,Pomperaug School,*,*,531,2009-10
2155112,2150012,Regional School District 15,Rochambeau Middle School,*,*,554,2009-10
2160312,2160012,Regional School District 16,Algonquin School,465,8,473,2009-10
2160212,2160012,Regional School District 16,Community School,*,*,226,2009-10
2160112,2160012,Regional School District 16,Laurel Ledge School,461,14,475,2009-10
2165112,2160012,Regional School District 16,Long River Middle School,*,*,622,2009-10
2166012,2160012,Regional School District 16,Woodland Regional High School,*,*,789,2009-10
2170212,2170012,Regional School District 17,Burr District Elementary School,304,0,304,2009-10
2170112,2170012,Regional School District 17,Haddam Elementary School,268,0,268,2009-10
2176112,2170012,Regional School District 17,Haddam-Killingworth High School,689,0,689,2009-10
2175112,2170012,Regional School District 17,Haddam-Killingworth Middle School,*,*,800,2009-10
2170312,2170012,Regional School District 17,Killingworth Elementary School,*,*,440,2009-10
2180312,2180012,Regional School District 18,Center School,*,*,264,2009-10
2180112,2180012,Regional School District 18,Lyme Consolidated School,*,*,145,2009-10
2186112,2180012,Regional School District 18,Lyme-Old Lyme High School,*,*,443,2009-10
2185112,2180012,Regional School District 18,Lyme-Old Lyme Middle School,325,0,325,2009-10
2180212,2180012,Regional School District 18,Mile Creek School,*,*,304,2009-10
2196112,2190012,Regional School District 19,E. O. Smith High School,1182,11,1193,2009-10
1180811,1180011,Ridgefield School District,Barlow Mountain Elementary School,*,*,406,2009-10
1180611,1180011,Ridgefield School District,Branchville Elementary School,425,0,425,2009-10
1185111,1180011,Ridgefield School District,East Ridge Middle School,*,*,741,2009-10
1180411,1180011,Ridgefield School District,Farmingville Elementary School,368,0,368,2009-10
1180311,1180011,Ridgefield School District,Ridgebury Elementary School,*,*,422,2009-10
1186111,1180011,Ridgefield School District,Ridgefield High School,1745,7,1752,2009-10
1180511,1180011,Ridgefield School District,Scotland Elementary School,*,*,392,2009-10
1185211,1180011,Ridgefield School District,Scotts Ridge Middle School,*,*,610,2009-10
1180211,1180011,Ridgefield School District,Veterans Park Elementary School,*,*,325,2009-10
1195111,1190011,Rocky Hill School District,Albert D. Griswold Middle School,635,14,649,2009-10
1190211,1190011,Rocky Hill School District,Dr. Oran A. Moser School,70,13,83,2009-10
1190411,1190011,Rocky Hill School District,Myrtle H. Stevens School,479,22,501,2009-10
1196111,1190011,Rocky Hill School District,Rocky Hill High School,764,17,781,2009-10
1190511,1190011,Rocky Hill School District,West Hill School,606,20,626,2009-10
1210111,1210011,Salem School District,Salem Elementary School,*,*,490,2009-10
1220111,1220011,Salisbury School District,Salisbury Central School,311,0,311,2009-10
1230111,1230011,Scotland School District,Scotland Elementary School,161,0,161,2009-10
1240311,1240011,Seymour School District,Anna L. Lopresti School,284,13,297,2009-10
1240111,1240011,Seymour School District,Bungay School,537,26,563,2009-10
1240411,1240011,Seymour School District,Paul E. Chatfield School,*,*,291,2009-10
1246111,1240011,Seymour School District,Seymour High School,693,11,704,2009-10
1245111,1240011,Seymour School District,Seymour Middle School,564,7,571,2009-10
1250111,1250011,Sharon School District,Sharon Center School,205,0,205,2009-10
1260911,1260011,Shelton School District,Mohegan School,621,24,645,2009-10
1261011,1260011,Shelton School District,Booth Hill School,462,19,481,2009-10
1260511,1260011,Shelton School District,Elizabeth Shelton School,581,9,590,2009-10
1265111,1260011,Shelton School District,Intermediate School,856,17,873,2009-10
1260411,1260011,Shelton School District,Lafayette School,300,20,320,2009-10
1260811,1260011,Shelton School District,Long Hill School,577,23,600,2009-10
1266111,1260011,Shelton School District,Shelton High School,1618,13,1631,2009-10
1260611,1260011,Shelton School District,Sunnyside School,311,7,318,2009-10
1270111,1270011,Sherman School District,Sherman School,*,*,444,2009-10
2700113,2700013,Side By Side Charter School District,Side By Side Charter School,223,9,232,2009-10
1280111,1280011,Simsbury School District,Central School,384,7,391,2009-10
1285111,1280011,Simsbury School District,Henry James Memorial School,*,*,827,2009-10
1280611,1280011,Simsbury School District,Latimer Lane School,484,6,490,2009-10
1286111,1280011,Simsbury School District,Simsbury High School,1573,8,1581,2009-10
1280711,1280011,Simsbury School District,Squadron Line School,772,9,781,2009-10
1280311,1280011,Simsbury School District,Tariffville School,276,7,283,2009-10
1280411,1280011,Simsbury School District,Tootin' Hills School,506,6,512,2009-10
1295111,1290011,Somers School District,Mabelle B. Avery Middle School,*,*,414,2009-10
1290411,1290011,Somers School District,Somers Elementary School,*,*,664,2009-10
1296111,1290011,Somers School District,Somers High School,*,*,572,2009-10
1320211,1320011,South Windsor School District,Pleasant Valley School,424,12,436,2009-10
1320711,1320011,South Windsor School District,Eli Terry School,418,17,435,2009-10
1320611,1320011,South Windsor School District,Orchard Hill School,442,24,466,2009-10
1320111,1320011,South Windsor School District,Philip R. Smith School,348,12,360,2009-10
1326211,1320011,South Windsor School District,South Windsor High School,1563,12,1575,2009-10
1325111,1320011,South Windsor School District,Timothy Edwards School,1062,11,1073,2009-10
1320411,1320011,South Windsor School District,Wapping Elementary School,285,24,309,2009-10
1315311,1310011,Southington School District,John F. Kennedy Middle School,*,*,801,2009-10
1311511,1310011,Southington School District,Derynoski Elementary School,678,13,691,2009-10
1311311,1310011,Southington School District,Flanders Elementary School,299,8,307,2009-10
1310211,1310011,Southington School District,Hatton Elementary School,430,9,439,2009-10
1315111,1310011,Southington School District,Joseph A. Depaolo Middle School,777,6,783,2009-10
1310611,1310011,Southington School District,Plantsville Elementary School,*,*,216,2009-10
1310711,1310011,Southington School District,South End Elementary School,*,*,222,2009-10
1316211,1310011,Southington School District,Southington High School,2021,12,2033,2009-10
1310811,1310011,Southington School District,Strong Elementary School,466,11,477,2009-10
1310911,1310011,Southington School District,Thalberg Elementary School,394,28,422,2009-10
1311411,1310011,Southington School District,Urbin T. Kelley School,398,9,407,2009-10
1330111,1330011,Sprague School District,Sayles School,*,*,351,2009-10
1340611,1340011,Stafford School District,Stafford Elementary School,513,10,523,2009-10
1346111,1340011,Stafford School District,Stafford High School,*,*,537,2009-10
1345211,1340011,Stafford School District,Stafford Middle School,*,*,407,2009-10
1340311,1340011,Stafford School District,Staffordville School,181,0,181,2009-10
1340411,1340011,Stafford School District,West Stafford School,*,*,191,2009-10
2826013,2820013,Stamford Academy District,Stamford Academy,131,0,131,2009-10
1355611,1350011,Stamford School District,Cloonan School,550,31,581,2009-10
1352011,1350011,Stamford School District,Davenport Ridge School,422,111,533,2009-10
1355311,1350011,Stamford School District,Dolan School,572,43,615,2009-10
1352211,1350011,Stamford School District,Hart School,413,68,481,2009-10
1351211,1350011,Stamford School District,Julia A. Stark School,468,90,558,2009-10
1350511,1350011,Stamford School District,K. T. Murphy School,361,163,524,2009-10
1350611,1350011,Stamford School District,Newfield School,542,95,637,2009-10
1351811,1350011,Stamford School District,Northeast School,575,177,752,2009-10
1358011,1350011,Stamford School District,Preschool Team,41,0,41,2009-10
1355811,1350011,Stamford School District,Rippowam Middle School,621,69,690,2009-10
1350811,1350011,Stamford School District,Rogers International School,522,128,650,2009-10
1350911,1350011,Stamford School District,Roxbury School,574,123,697,2009-10
1355711,1350011,Stamford School District,Scofield Middle School,565,52,617,2009-10
1351111,1350011,Stamford School District,Springdale School,419,137,556,2009-10
1356111,1350011,Stamford School District,Stamford High School,1554,179,1733,2009-10
1352111,1350011,Stamford School District,Stillmeadow School,514,98,612,2009-10
1356411,1350011,Stamford School District,The Academy of Information Technology,671,8,679,2009-10
1351911,1350011,Stamford School District,Toquam Magnet School,512,70,582,2009-10
1355511,1350011,Stamford School District,Turn of River School,448,91,539,2009-10
1356311,1350011,Stamford School District,Westhill High School,2030,251,2281,2009-10
1351411,1350011,Stamford School District,Westover School,625,53,678,2009-10
1360311,1360011,Sterling School District,Sterling Community School,507,0,507,2009-10
1370511,1370011,Stonington School District,Deans Mill School,*,*,505,2009-10
1375211,1370011,Stonington School District,Mystic Middle School,412,0,412,2009-10
1375111,1370011,Stonington School District,Pawcatuck Middle School,*,*,373,2009-10
1378011,1370011,Stonington School District,Special Needs Preschool Program,22,0,22,2009-10
1376111,1370011,Stonington School District,Stonington High School,*,*,793,2009-10
1370411,1370011,Stonington School District,West Broad Street School,*,*,184,2009-10
1370611,1370011,Stonington School District,West Vine Street School,*,*,231,2009-10
1381311,1380011,Stratford School District,Eli Whitney School,500,25,525,2009-10
1386211,1380011,Stratford School District,Bunnell High School,1233,13,1246,2009-10
1380311,1380011,Stratford School District,Chapel School,551,12,563,2009-10
1385211,1380011,Stratford School District,David Wooster Middle School,*,*,573,2009-10
1380411,1380011,Stratford School District,Franklin School,311,31,342,2009-10
1385311,1380011,Stratford School District,Harry B. Flood Middle School,583,21,604,2009-10
1381611,1380011,Stratford School District,Honeyspot School,228,11,239,2009-10
1380811,1380011,Stratford School District,Lordship School,204,13,217,2009-10
1380911,1380011,Stratford School District,Nichols School,412,25,437,2009-10
1381011,1380011,Stratford School District,Second Hill Lane School,632,91,723,2009-10
1381511,1380011,Stratford School District,Stratford Academy - Johnson House,440,13,453,2009-10
1386111,1380011,Stratford School District,Stratford High School,947,34,981,2009-10
1389011,1380011,Stratford School District,Strive-Stratford,17,0,17,2009-10
1381411,1380011,Stratford School District,Wilcoxson School,375,31,406,2009-10
1390411,1390011,Suffield School District,A. Ward Spaulding School,507,8,515,2009-10
1390311,1390011,Suffield School District,McAlister Intermediate School,*,*,560,2009-10
1396111,1390011,Suffield School District,Suffield High School,852,0,852,2009-10
1395111,1390011,Suffield School District,Suffield Middle School,*,*,631,2009-10
2696113,2690013,The Bridge Academy District,The Bridge Academy,*,*,263,2009-10
9026122,9020022,The Gilbert School District,The Gilbert School,365,16,381,2009-10
1400111,1400011,Thomaston School District,Black Rock School,*,*,348,2009-10
1400211,1400011,Thomaston School District,Thomaston Center School,262,0,262,2009-10
1406211,1400011,Thomaston School District,Thomaston High School,*,*,558,2009-10
1410111,1410011,Thompson School District,Mary R. Fisher Elementary School,*,*,507,2009-10
1415111,1410011,Thompson School District,Thompson Middle School,*,*,439,2009-10
1416111,1410011,Thompson School District,Tourtellotte Memorial High School,378,0,378,2009-10
1420111,1420011,Tolland School District,Birch Grove Primary School,*,*,708,2009-10
1426111,1420011,Tolland School District,Tolland High School,941,0,941,2009-10
1420211,1420011,Tolland School District,Tolland Intermediate School,*,*,731,2009-10
1425111,1420011,Tolland School District,Tolland Middle School,*,*,772,2009-10
1430111,1430011,Torrington School District,East School,472,7,479,2009-10
1430211,1430011,Torrington School District,Forbes School,321,62,383,2009-10
1430811,1430011,Torrington School District,Southwest School,302,29,331,2009-10
1430911,1430011,Torrington School District,Torringford School,620,40,660,2009-10
1436111,1430011,Torrington School District,Torrington High School,1134,50,1184,2009-10
1435111,1430011,Torrington School District,Torrington Middle School,1092,44,1136,2009-10
1431311,1430011,Torrington School District,Vogel-Wetmore School,365,93,458,2009-10
2785113,2780013,Trailblazers Academy District,Trailblazers Academy,165,0,165,2009-10
1440111,1440011,Trumbull School District,Booth Hill School,513,11,524,2009-10
1440811,1440011,Trumbull School District,Daniels Farm School,515,9,524,2009-10
1441011,1440011,Trumbull School District,Frenchtown Elementary School,621,36,657,2009-10
1445211,1440011,Trumbull School District,Hillcrest Middle School,720,0,720,2009-10
1440411,1440011,Trumbull School District,Jane Ryan School,406,7,413,2009-10
1445111,1440011,Trumbull School District,Madison Middle School,*,*,899,2009-10
1440311,1440011,Trumbull School District,Middlebrook School,451,30,481,2009-10
1440911,1440011,Trumbull School District,Tashua School,*,*,411,2009-10
1448011,1440011,Trumbull School District,Trumbull Early Childhood Education Center,218,18,236,2009-10
1446111,1440011,Trumbull School District,Trumbull High School,2135,14,2149,2009-10
3361715,3360015,Unified School District #1,Bergin Correctional Institution,32,0,32,2009-10
3360115,3360015,Unified School District #1,Bridgeport Correctional Center,8,0,8,2009-10
3360215,3360015,Unified School District #1,Brooklyn Correctional Institution,7,0,7,2009-10
3360315,3360015,Unified School District #1,Cheshire Correctional Institution,27,0,27,2009-10
3362415,3360015,Unified School District #1,Corrigan/Radgowski Correctional Institution,56,0,56,2009-10
3360415,3360015,Unified School District #1,Enfield Correctional Institution,19,0,19,2009-10
3361915,3360015,Unified School District #1,Garner Correctional Institution,20,0,20,2009-10
3360515,3360015,Unified School District #1,Gates Correctional Institution,17,0,17,2009-10
3360615,3360015,Unified School District #1,Hartford Correctional Center,60,0,60,2009-10
3362215,3360015,Unified School District #1,MacDougall/Walker Correctional Institution,77,0,77,2009-10
3361115,3360015,Unified School District #1,Manson Youth Institution,498,0,498,2009-10
3360915,3360015,Unified School District #1,New Haven Correctional Center,16,0,16,2009-10
3362615,3360015,Unified School District #1,Northern Correctional Institution,13,0,13,2009-10
3361215,3360015,Unified School District #1,Osborn Correctional Institution,29,0,29,2009-10
3361315,3360015,Unified School District #1,Robinson Correctional Institution,32,0,32,2009-10
3361415,3360015,Unified School District #1,Webster Correctional Institution,6,0,6,2009-10
3361515,3360015,Unified School District #1,Willard/Cybulski Correctional Institution,12,0,12,2009-10
3362515,3360015,Unified School District #1,York Correctional Institution,61,0,61,2009-10
3470115,3470015,Unified School District #2,Children's Place School,*,*,35,2009-10
3476515,3470015,Unified School District #2,High Meadows,12,0,12,2009-10
3470315,3470015,Unified School District #2,Riverview School,*,*,63,2009-10
3476715,3470015,Unified School District #2,Walter G. Cady School,97,0,97,2009-10
1450111,1450011,Union School District,Union Elementary School,78,0,78,2009-10
1460311,1460011,Vernon School District,Northeast School,281,0,281,2009-10
1461411,1460011,Vernon School District,Center Road School,473,17,490,2009-10
1460111,1460011,Vernon School District,Lake Street School,*,*,312,2009-10
1460211,1460011,Vernon School District,Maple Street School,324,0,324,2009-10
1469011,1460011,Vernon School District,Next Step Program (AACBP),12,0,12,2009-10
1466111,1460011,Vernon School District,Rockville High School,1087,21,1108,2009-10
1461011,1460011,Vernon School District,Skinner Road School,343,9,352,2009-10
1465111,1460011,Vernon School District,Vernon Center Middle School,790,12,802,2009-10
1470111,1470011,Voluntown School District,Voluntown Elementary School,300,0,300,2009-10
1480211,1480011,Wallingford School District,Highland School,*,*,308,2009-10
1489011,1480011,Wallingford School District,A.R.T.S. Academy,11,0,11,2009-10
1481011,1480011,Wallingford School District,Cook Hill School,*,*,396,2009-10
1485211,1480011,Wallingford School District,Dag Hammarskjold Middle School,685,15,700,2009-10
1480911,1480011,Wallingford School District,Evarts C. Stevens School,403,27,430,2009-10
1485311,1480011,Wallingford School District,James H. Moran Middle School,828,11,839,2009-10
1486111,1480011,Wallingford School District,Lyman Hall High School,1123,33,1156,2009-10
1486211,1480011,Wallingford School District,Mark T. Sheehan High School,*,*,979,2009-10
1480111,1480011,Wallingford School District,Moses Y. Beach School,312,44,356,2009-10
1480311,1480011,Wallingford School District,Parker Farms School,290,65,355,2009-10
1481211,1480011,Wallingford School District,Pond Hill School,266,22,288,2009-10
1480411,1480011,Wallingford School District,Rock Hill School,*,*,328,2009-10
1480811,1480011,Wallingford School District,Yalesville School,489,22,511,2009-10
1511011,1510011,Waterbury School District,Brooklyn Elementary School,172,31,203,2009-10
1515211,1510011,Waterbury School District,West Side Middle School,1042,151,1193,2009-10
1512311,1510011,Waterbury School District,Washington School,256,54,310,2009-10
1512111,1510011,Waterbury School District,B. W. Tinker School,510,41,551,2009-10
1510311,1510011,Waterbury School District,Barnard School,233,17,250,2009-10
1510511,1510011,Waterbury School District,Bucks Hill School,505,60,565,2009-10
1510611,1510011,Waterbury School District,Bunker Hill School,463,28,491,2009-10
1512711,1510011,Waterbury School District,Carrington School,345,149,494,2009-10
1516211,1510011,Waterbury School District,Crosby High School,1183,147,1330,2009-10
1510911,1510011,Waterbury School District,Driggs School,510,37,547,2009-10
1519111,1510011,Waterbury School District,Enlightenment School,156,19,175,2009-10
1511411,1510011,Waterbury School District,F. J. Kingsbury School,417,54,471,2009-10
1512611,1510011,Waterbury School District,Gilmartin School,223,26,249,2009-10
1510711,1510011,Waterbury School District,H. S. Chase School,621,164,785,2009-10
1511311,1510011,Waterbury School District,Hopeville School,293,121,414,2009-10
1516411,1510011,Waterbury School District,John F. Kennedy High School,1219,150,1369,2009-10
1513111,1510011,Waterbury School District,Maloney Interdistrict Magnet School,*,*,607,2009-10
1511111,1510011,Waterbury School District,Margaret M. Generali Elementary School,515,68,583,2009-10
1515111,1510011,Waterbury School District,Michael F. Wallace Middle School,1197,143,1340,2009-10
