school_code,district_code,district,school,no,yes,total,year
0150511,0150011,Bridgeport School District,Columbus School,506,257,763,2007-08
0153911,0150011,Bridgeport School District,Cross School,391,15,406,2007-08
0154211,0150011,Bridgeport School District,Curiale School,508,84,592,2007-08
0154111,0150011,Bridgeport School District,Dunbar School,350,13,363,2007-08
0150711,0150011,Bridgeport School District,Edison School,393,15,408,2007-08
0150911,0150011,Bridgeport School District,Garfield School,215,63,278,2007-08
0153211,0150011,Bridgeport School District,Geraldine Johnson School,155,41,196,2007-08
0151111,0150011,Bridgeport School District,Hall School,331,13,344,2007-08
0151211,0150011,Bridgeport School District,Hallen School,314,8,322,2007-08
0156311,0150011,Bridgeport School District,Harding High School,1395,327,1722,2007-08
0154511,0150011,Bridgeport School District,High Horizons Magnet School,*,*,444,2007-08
0151311,0150011,Bridgeport School District,Hooker School,435,15,450,2007-08
0152211,0150011,Bridgeport School District,Jettie S. Tisdale School,323,6,329,2007-08
0151911,0150011,Bridgeport School District,Longfellow School,406,69,475,2007-08
0151011,0150011,Bridgeport School District,Luis Munoz Marin School,575,271,846,2007-08
0152011,0150011,Bridgeport School District,Madison School,511,51,562,2007-08
0159511,0150011,Bridgeport School District,Make The Grade,28,9,37,2007-08
0154311,0150011,Bridgeport School District,Maplewood Annex,*,*,187,2007-08
0154611,0150011,Bridgeport School District,Multicultural Magnet School,400,75,475,2007-08
0159411,0150011,Bridgeport School District,New Start Program,*,*,14,2007-08
0159211,0150011,Bridgeport School District,Park City Academy,*,*,30,2007-08
0151711,0150011,Bridgeport School District,Park City Magnet School,*,*,501,2007-08
0152511,0150011,Bridgeport School District,Read School,812,92,904,2007-08
0152611,0150011,Bridgeport School District,Roosevelt School,561,166,727,2007-08
0154411,0150011,Bridgeport School District,Skane Center,213,6,219,2007-08
0159111,0150011,Bridgeport School District,The University School,*,*,46,2007-08
0153011,0150011,Bridgeport School District,Waltersville School,409,47,456,2007-08
0153611,0150011,Bridgeport School District,Winthrop School,708,50,758,2007-08
0179011,0170011,Bristol School District,Alternative Special Education Program (ASEP),23,0,23,2007-08
0176111,0170011,Bristol School District,Bristol Central High School,1443,22,1465,2007-08
0176211,0170011,Bristol School District,Bristol Eastern High School,1318,15,1333,2007-08
0175111,0170011,Bristol School District,Chippens Hill Middle School,894,35,929,2007-08
0170711,0170011,Bristol School District,Clara T. O'Connell School,315,40,355,2007-08
0170111,0170011,Bristol School District,Clarence A. Bingham School,238,15,253,2007-08
0170311,0170011,Bristol School District,Edgewood School,328,28,356,2007-08
0171411,0170011,Bristol School District,Ellen P. Hubbell School,478,12,490,2007-08
0170511,0170011,Bristol School District,Greene-Hills School,372,24,396,2007-08
0171911,0170011,Bristol School District,Ivy Drive School,395,7,402,2007-08
0170611,0170011,Bristol School District,John J. Jennings School,365,9,374,2007-08
0175311,0170011,Bristol School District,Memorial Boulevard Middle School,531,11,542,2007-08
0171711,0170011,Bristol School District,Mountain View School,359,10,369,2007-08
0175211,0170011,Bristol School District,Northeast Middle School,550,8,558,2007-08
0171111,0170011,Bristol School District,South Side School,558,22,580,2007-08
0171211,0170011,Bristol School District,Stafford School,481,16,497,2007-08
0186111,0180011,Brookfield School District,Brookfield High School,1009,11,1020,2007-08
0180311,0180011,Brookfield School District,Center Elementary School,366,8,374,2007-08
0180411,0180011,Brookfield School District,Huckleberry Hill Elementary School,*,*,604,2007-08
0185311,0180011,Brookfield School District,Whisconier Middle School,936,15,951,2007-08
0190111,0190011,Brooklyn School District,Brooklyn Elementary School,580,0,580,2007-08
0195111,0190011,Brooklyn School District,Brooklyn Middle School,406,0,406,2007-08
0210111,0210011,Canaan School District,Lee H. Kellogg School,101,0,101,2007-08
0220211,0220011,Canterbury School District,Canterbury Elementary School,*,*,316,2007-08
0225111,0220011,Canterbury School District,Dr. Helen Baldwin Middle School,262,0,262,2007-08
0236111,0230011,Canton School District,Canton High School,*,*,514,2007-08
0230311,0230011,Canton School District,Canton Intermediate School,*,*,405,2007-08
0235111,0230011,Canton School District,Canton Middle School,*,*,270,2007-08
0230211,0230011,Canton School District,Cherry Brook Primary School,530,8,538,2007-08
2410114,2410014,Capitol Region Education Council,Glastonbury/East Hartford Magnet School,*,*,257,2007-08
2416314,2410014,Capitol Region Education Council,Great Path Academy at MCC,*,*,111,2007-08
2416414,2410014,Capitol Region Education Council,Greater Hartford Academy of  the Arts High School - Full Time,43,0,43,2007-08
2419014,2410014,Capitol Region Education Council,John J. Allison Polaris Center,383,6,389,2007-08
2416114,2410014,Capitol Region Education Council,Metropolitan Learning Center for Global and International Studies,*,*,676,2007-08
2413114,2410014,Capitol Region Education Council,Montessori Magnet School,312,17,329,2007-08
2415014,2410014,Capitol Region Education Council,Two Rivers Magnet Middle School,564,18,582,2007-08
2410214,2410014,Capitol Region Education Council,University of Hartford Magnet School,398,8,406,2007-08
0240211,0240011,Chaplin School District,Chaplin Elementary School,210,0,210,2007-08
0250111,0250011,Cheshire School District,Chapman School,*,*,332,2007-08
0256111,0250011,Cheshire School District,Cheshire High School,*,*,1612,2007-08
0250211,0250011,Cheshire School District,Darcey School,381,12,393,2007-08
0255111,0250011,Cheshire School District,Dodd Middle School,*,*,824,2007-08
0250611,0250011,Cheshire School District,Doolittle School,529,8,537,2007-08
0250411,0250011,Cheshire School District,Highland School,898,10,908,2007-08
0259011,0250011,Cheshire School District,Humiston School,23,0,23,2007-08
0250511,0250011,Cheshire School District,Norton School,*,*,493,2007-08
0260111,0260011,Chester School District,Chester Elementary School,341,0,341,2007-08
0270111,0270011,Clinton School District,Abraham Pierson School,*,*,338,2007-08
0275111,0270011,Clinton School District,Jared Eliot School,453,9,462,2007-08
0270311,0270011,Clinton School District,Lewin G. Joel Jr. School,648,19,667,2007-08
0276111,0270011,Clinton School District,The Morgan School,*,*,638,2007-08
0286111,0280011,Colchester School District,Bacon Academy,*,*,982,2007-08
0280411,0280011,Colchester School District,Colchester Elementary School,*,*,774,2007-08
0280211,0280011,Colchester School District,Jack Jackter Intermediate School,674,7,681,2007-08
0285111,0280011,Colchester School District,William J. Johnston Middle School,794,7,801,2007-08
0290111,0290011,Colebrook School District,Colebrook Consolidated School,122,0,122,2007-08
0300111,0300011,Columbia School District,Horace W. Porter School,*,*,586,2007-08
2686113,2680013,Common Ground High School District,Common Ground High School,152,0,152,2007-08
9001516,9000016,Connecticut Technical High School System,A. I. Prince Technical High School,526,55,581,2007-08
9001116,9000016,Connecticut Technical High School System,Bullard-Havens Technical High School,854,24,878,2007-08
9001916,9000016,Connecticut Technical High School System,E. C. Goodwin Technical High School,422,39,461,2007-08
9001416,9000016,Connecticut Technical High School System,Eli Whitney Technical High School,481,48,529,2007-08
9002716,9000016,Connecticut Technical High School System,Ella T. Grasso Southeastern Technical High School,576,13,589,2007-08
9002516,9000016,Connecticut Technical High School System,Emmett O'Brien Technical High School,518,12,530,2007-08
9001716,9000016,Connecticut Technical High School System,H. C. Wilcox Technical High School,672,24,696,2007-08
9001316,9000016,Connecticut Technical High School System,H. H. Ellis Technical High School,563,0,563,2007-08
9001216,9000016,Connecticut Technical High School System,Henry Abbott Technical High School,535,35,570,2007-08
9001616,9000016,Connecticut Technical High School System,Howell Cheney Technical High School,556,8,564,2007-08
9002116,9000016,Connecticut Technical High School System,J. M. Wright Technical High School,226,29,255,2007-08
9002016,9000016,Connecticut Technical High School System,Norwich Technical High School,*,*,410,2007-08
9002216,9000016,Connecticut Technical High School System,Oliver Wolcott Technical High School,720,0,720,2007-08
9002616,9000016,Connecticut Technical High School System,Platt Technical High School,845,8,853,2007-08
9001816,9000016,Connecticut Technical High School System,Vinal Technical High School,*,*,587,2007-08
9002316,9000016,Connecticut Technical High School System,W. F. Kaynor Technical High School,689,15,704,2007-08
9002416,9000016,Connecticut Technical High School System,Windham Technical High School,473,10,483,2007-08
2439014,2430014,Cooperative Educational Services,C. E. S. Special Education,240,0,240,2007-08
2430114,2430014,Cooperative Educational Services,Six-Six Magnet School,435,0,435,2007-08
