"school_code","district_code","district","school","grade","2011_12","2012_13","2013_14","2014_15","2015_16"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","Grade   3","27.3","*","35.0","29.6","*"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","Grade   4","36.0","40.7","37.5","42.3","27.3"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","Grade   5","46.2","39.3","39.3","33.3","48.3"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","Grade   6","*","*","59.3","37.0","39.1"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","Grade   7","48.1","40.0","52.4","42.9","55.2"
"2449414","2440014","Area Cooperative Educational Services","Mill Road School","Grade   8","*","52.0","50.0","66.7","44.4"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","Grade   6","7.7","12.8","11.3","6.5","7.7"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","Grade   7","11.7","10.3","13.4","20.3","8.6"
"2445114","2440014","Area Cooperative Educational Services","Thomas Edison Magnet Middle School","Grade   8","13.2","11.7","15.9","13.7","14.9"
"2449514","2440014","Area Cooperative Educational Services","Village School","Kindergarten","*","*","*","*","*"
"2449514","2440014","Area Cooperative Educational Services","Village School","Grade   1","*","*","*","*","*"
"2449514","2440014","Area Cooperative Educational Services","Village School","Grade   2","*","*","*","*","*"
"2449514","2440014","Area Cooperative Educational Services","Village School","Grade   3","*","*","*","*","*"
"2449514","2440014","Area Cooperative Educational Services","Village School","Grade   4","*","*","*","*","*"
"2449514","2440014","Area Cooperative Educational Services","Village School","Grade   5","*","33.3","35.0","*","*"
"2449514","2440014","Area Cooperative Educational Services","Village School","Grade   6","33.3","35.0","28.0","*","*"
"2449514","2440014","Area Cooperative Educational Services","Village School","Grade   7","*","50.0","*","38.5","*"
"2449514","2440014","Area Cooperative Educational Services","Village School","Grade   8","*","*","*","*","30.8"
"2449514","2440014","Area Cooperative Educational Services","Village School","Grade   9","","*","","*",""
"2449514","2440014","Area Cooperative Educational Services","Village School","Grade 10","*","","","","*"
"2449514","2440014","Area Cooperative Educational Services","Village School","Grade 11","*","","","",""
"2449514","2440014","Area Cooperative Educational Services","Village School","Grade 12","*","*","*","*",""
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","Grade   8","*","*","","*",""
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","Grade   9","*","*","*","*","*"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","Grade 10","*","*","*","*","*"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","Grade 11","39.1","58.3","*","*","36.4"
"2449214","2440014","Area Cooperative Educational Services","Whitney High School East","Grade 12","38.1","33.8","48.4","46.2","49.3"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","Grade   8","*","*","","*",""
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","Grade   9","*","*","66.7","63.0","*"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","Grade 10","70.0","81.8","*","73.1","76.9"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","Grade 11","69.6","69.6","*","*","66.7"
"2449114","2440014","Area Cooperative Educational Services","Whitney High School North","Grade 12","63.3","80.6","72.7","87.0","*"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","Grade   9","*","*","*","*","*"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","Grade 10","*","*","*","*","*"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","Grade 11","*","*","*","*","*"
"2449314","2440014","Area Cooperative Educational Services","Whitney High School West","Grade 12","27.3","17.6","*","*","*"
"2440314","2440014","Area Cooperative Educational Services","Wintergreen Interdistrict  Magnet School","Kindergarten","*","*","*","13.8","12.7"
