"","category","percent","school_id","year"
"164","State High Poverty Quartile Schools ",97.8,"0090111","201314"
"165","State Low Poverty Quartile Schools ",99.5,"0090111","201314"
"166","School ",100,"0090111","201415"
"167","State High Poverty Quartile Schools ",97.9,"0090111","201415"
"168","State Low Poverty Quartile Schools ",99.6,"0090111","201415"
"169","School ",100,"0090111","201516"
"170","State High Poverty Quartile Schools ",97.6,"0090111","201516"
"171","State Low Poverty Quartile Schools ",99.6,"0090111","201516"
"172","School ",100,"0090411","201314"
"173","State High Poverty Quartile Schools ",97.8,"0090411","201314"
"174","State Low Poverty Quartile Schools ",99.5,"0090411","201314"
"175","School ",100,"0090411","201415"
"176","State High Poverty Quartile Schools ",97.9,"0090411","201415"
"177","State Low Poverty Quartile Schools ",99.6,"0090411","201415"
"178","School ",100,"0090411","201516"
"179","State High Poverty Quartile Schools ",97.6,"0090411","201516"
"180","State Low Poverty Quartile Schools ",99.6,"0090411","201516"
"181","School ",100,"0090511","201314"
"182","State High Poverty Quartile Schools ",97.8,"0090511","201314"
"183","State Low Poverty Quartile Schools ",99.5,"0090511","201314"
"184","School ",100,"0090511","201415"
"185","State High Poverty Quartile Schools ",97.9,"0090511","201415"
"186","State Low Poverty Quartile Schools ",99.6,"0090511","201415"
"187","School ",100,"0090511","201516"
"188","State High Poverty Quartile Schools ",97.6,"0090511","201516"
"189","State Low Poverty Quartile Schools ",99.6,"0090511","201516"
"190","School ",100,"0095111","201314"
"191","State High Poverty Quartile Schools ",97.8,"0095111","201314"
"192","State Low Poverty Quartile Schools ",99.5,"0095111","201314"
"193","School ",97.8,"0095111","201415"
"194","State High Poverty Quartile Schools ",97.9,"0095111","201415"
"195","State Low Poverty Quartile Schools ",99.6,"0095111","201415"
"196","School ",97.9,"0095111","201516"
"197","State High Poverty Quartile Schools ",97.6,"0095111","201516"
"198","State Low Poverty Quartile Schools ",99.6,"0095111","201516"
"199","School ",100,"0096111","201314"
"200","State High Poverty Quartile Schools ",97.8,"0096111","201314"
"201","State Low Poverty Quartile Schools ",99.5,"0096111","201314"
"202","School ",100,"0096111","201415"
"203","State High Poverty Quartile Schools ",97.9,"0096111","201415"
"204","State Low Poverty Quartile Schools ",99.6,"0096111","201415"
"205","School ",96.7,"0096111","201516"
"206","State High Poverty Quartile Schools ",97.6,"0096111","201516"
"207","State Low Poverty Quartile Schools ",99.6,"0096111","201516"
"208","School ",100,"0110511","201314"
"209","State High Poverty Quartile Schools ",97.8,"0110511","201314"
"210","State Low Poverty Quartile Schools ",99.5,"0110511","201314"
"211","School ",100,"0110511","201415"
"212","State High Poverty Quartile Schools ",97.9,"0110511","201415"
"213","State Low Poverty Quartile Schools ",99.6,"0110511","201415"
"214","School ",100,"0110511","201516"
"215","State High Poverty Quartile Schools ",97.6,"0110511","201516"
"216","State Low Poverty Quartile Schools ",99.6,"0110511","201516"
"217","School ",100,"0110611","201314"
"218","State High Poverty Quartile Schools ",97.8,"0110611","201314"
"219","State Low Poverty Quartile Schools ",99.5,"0110611","201314"
"220","School ",100,"0110611","201415"
"221","State High Poverty Quartile Schools ",97.9,"0110611","201415"
"222","State Low Poverty Quartile Schools ",99.6,"0110611","201415"
"223","School ",100,"0110611","201516"
"224","State High Poverty Quartile Schools ",97.6,"0110611","201516"
"225","State Low Poverty Quartile Schools ",99.6,"0110611","201516"
"226","School ",100,"0110711","201314"
"227","State High Poverty Quartile Schools ",97.8,"0110711","201314"
"228","State Low Poverty Quartile Schools ",99.5,"0110711","201314"
"229","School ",100,"0110711","201415"
"230","State High Poverty Quartile Schools ",97.9,"0110711","201415"
"231","State Low Poverty Quartile Schools ",99.6,"0110711","201415"
"232","School ",100,"0110711","201516"
"233","State High Poverty Quartile Schools ",97.6,"0110711","201516"
"234","State Low Poverty Quartile Schools ",99.6,"0110711","201516"
"235","School ",94.3,"0110811","201314"
"236","State High Poverty Quartile Schools ",97.8,"0110811","201314"
"237","State Low Poverty Quartile Schools ",99.5,"0110811","201314"
"238","School ",100,"0110811","201415"
"239","State High Poverty Quartile Schools ",97.9,"0110811","201415"
"240","State Low Poverty Quartile Schools ",99.6,"0110811","201415"
"241","School ",92.3,"0110811","201516"
"242","State High Poverty Quartile Schools ",97.6,"0110811","201516"
"243","State Low Poverty Quartile Schools ",99.6,"0110811","201516"
"244","School ",96.1,"0115211","201314"
"245","State High Poverty Quartile Schools ",97.8,"0115211","201314"
"246","State Low Poverty Quartile Schools ",99.5,"0115211","201314"
"247","School ",95.6,"0115211","201415"
"248","State High Poverty Quartile Schools ",97.9,"0115211","201415"
"249","State Low Poverty Quartile Schools ",99.6,"0115211","201415"
"250","School ",94.9,"0115211","201516"
"251","State High Poverty Quartile Schools ",97.6,"0115211","201516"
"252","State Low Poverty Quartile Schools ",99.6,"0115211","201516"
"253","School ",100,"0116111","201314"
"254","State High Poverty Quartile Schools ",97.8,"0116111","201314"
"255","State Low Poverty Quartile Schools ",99.5,"0116111","201314"
"256","School ",100,"0116111","201415"
"257","State High Poverty Quartile Schools ",97.9,"0116111","201415"
"258","State Low Poverty Quartile Schools ",99.6,"0116111","201415"
"259","School ",100,"0116111","201516"
"260","State High Poverty Quartile Schools ",97.6,"0116111","201516"
"261","State Low Poverty Quartile Schools ",99.6,"0116111","201516"
"262","School ",86.9,"0116311","201314"
"263","State High Poverty Quartile Schools ",97.8,"0116311","201314"
"264","State Low Poverty Quartile Schools ",99.5,"0116311","201314"
