"school_id","year","attendance"
"0341911","201516",390
"0345111","201314",1092
"0345111","201415",1083
"0345111","201516",1039
"0345211","201314",1200
"0345211","201415",932
"0345211","201516",938
"0346111","201314",2878
"0346111","201415",2885
"0346111","201516",2941
"0346211","201314",83
"0346211","201415",98
"0346211","201516",94
"0350211","201314",565
"0350211","201415",556
"0350211","201516",501
"0350511","201314",452
"0350511","201415",442
"0350511","201516",433
"0350611","201314",492
"0350611","201415",493
"0350611","201516",479
"0350711","201314",454
"0350711","201415",473
"0350711","201516",462
"0351311","201314",458
"0351311","201415",449
"0351311","201516",458
"0355111","201314",1128
"0355111","201415",1125
"0355111","201516",1167
"0356111","201314",1354
"0356111","201415",1365
"0356111","201516",1356
"0360111","201314",330
"0360111","201415",312
"0360111","201516",304
"0370111","201516",33
"0370411","201314",378
"0370411","201415",370
"0370411","201516",328
"0370611","201314",376
"0370611","201415",365
"0370611","201516",347
"0375011","201314",364
"0375011","201415",339
"0375011","201516",332
"0376111","201314",381
"0376111","201415",372
"0376111","201516",344
"0390111","201314",152
"0390111","201415",139
"0390111","201516",134
"0400111","201314",194
"0400111","201415",222
"0400111","201516",206
"0400211","201314",207
"0400211","201415",185
"0400211","201516",202
"0405111","201314",208
"0405111","201415",211
"0405111","201516",196
"0406111","201314",259
"0406111","201415",257
"0406111","201516",264
"0410111","201314",326
"0410111","201415",319
"0410111","201516",309
"0415111","201314",488
"0415111","201415",455
"0415111","201516",431
"0416111","201314",372
"0416111","201415",351
"0416111","201516",321
"0420111","201314",626
"0420111","201415",605
"0420111","201516",637
"0420311","201314",295
"0420311","201415",283
"0420311","201516",297
"0425111","201314",423
"0425111","201415",432
"0425111","201516",433
"0426111","201314",520
"0426111","201415",502
"0426111","201516",515
"0430411","201314",301
"0430411","201415",298
"0430411","201516",298
"0430511","201314",322
"0430511","201415",337
"0430511","201516",336
"0430611","201314",364
"0430611","201415",364
"0430611","201516",356
"0430911","201314",296
"0430911","201415",284
"0430911","201516",312
"0431011","201314",533
"0431011","201415",557
"0431011","201516",509
"0431211","201314",304
"0431211","201415",284
"0431211","201516",274
"0431811","201314",498
"0431811","201415",494
"0431811","201516",475
"0432011","201314",343
"0432011","201415",342
"0432011","201516",344
"0432211","201314",402
"0432211","201415",375
"0432211","201516",322
"0432411","201314",253
"0432411","201415",146
"0432411","201516",204
"0435111","201314",1101
"0435111","201415",1158
"0435111","201516",1074
"0436211","201314",1682
"0436211","201415",1674
"0436211","201516",1649
"0436311","201314",197
"0436311","201415",203
"0436311","201516",192
"0436411","201314",105
"0436411","201415",119
"0436411","201516",110
"0440111","201314",329
"0440111","201415",312
"0440111","201516",308
"0440711","201314",152
"0440711","201415",147
"0440711","201516",186
"0441011","201314",173
"0441011","201415",178
"0441011","201516",172
"0441311","201314",202
"0441311","201415",178
"0441311","201516",189
"0441711","201314",269
"0441711","201415",265
"0441711","201516",264
"0441811","201314",193
"0441811","201415",183
"0441811","201516",166
"0445111","201314",571
"0445111","201415",582
"0445111","201516",589
"0446111","201314",907
"0446111","201415",880
"0446111","201516",889
"0450111","201314",354
"0450111","201415",348
"0450111","201516",343
"0450211","201314",190
"0450211","201415",179
"0450211","201516",168
"0450411","201314",339
"0450411","201415",314
"0450411","201516",290
"0455111","201314",875
"0455111","201415",861
"0455111","201516",848
"0456111","201314",1063
"0456111","201415",1053
"0456111","201516",1045
"0460111","201314",610
"0460111","201415",612
"0460111","201516",612
"0465111","201314",351
"0465111","201415",323
"0465111","201516",309
"0470111","201314",506
"0470111","201415",480
"0470111","201516",381
"0475411","201314",345
"0475411","201415",313
"0475411","201516",388
"0476111","201314",348
"0476111","201415",332
"0476111","201516",324
"0480111","201314",393
"0480111","201415",376
"0480111","201516",361
"0480211","201314",203
"0480211","201415",198
"0480211","201516",201
"0480611","201314",439
"0480611","201415",439
"0480611","201516",430
"0480711","201314",416
"0480711","201415",435
"0480711","201516",446
"0485111","201314",409
"0485111","201415",434
"0485111","201516",420
"0486111","201314",797
"0486111","201415",773
"0486111","201516",771
"0490211","201314",288
"0490211","201415",286
"0490211","201516",276
"0490411","201314",354
"0490411","201415",360
"0490411","201516",344
"0491011","201516",36
"0491111","201314",221
"0491111","201415",223
"0491111","201516",222
"0491311","201314",336
"0491311","201415",326
"0491311","201516",323
"0491511","201314",418
"0491511","201415",389
"0491511","201516",412
"0491611","201314",384
"0491611","201415",377
"0491611","201516",411
"0491811","201314",340
"0491811","201415",356
"0491811","201516",364
"0495211","201314",1121
"0495211","201415",1099
"0495211","201516",1065
"0496111","201314",707
"0496111","201415",709
"0496111","201516",715
"0500111","201314",508
"0500111","201415",451
"0500111","201516",417
"0510111","201314",306
"0510111","201415",319
"0510111","201516",335
"0510211","201314",453
"0510211","201415",428
"0510211","201516",418
"0510411","201314",398
"0510411","201415",407
"0510411","201516",405
"0510611","201314",458
"0510611","201415",442
"0510611","201516",426
"0510711","201314",429
"0510711","201415",413
"0510711","201516",382
"0511211","201314",399
"0511211","201415",398
"0511211","201516",408
"0511311","201314",457
"0511311","201415",475
"0511311","201516",479
