"category","fte","school_id","year"
"Counselors, Social Workers and School Psychologists ",1,"0771311","201516"
"School Nurses ",1,"0771311","201516"
"Other Staff Providing Non-Instructional Services/Support ",18,"0771311","201516"
"General Education: Teachers and Instructors ",24.5,"0771411","201314"
"General Education: Paraprofessional Instructional Assistants ",6,"0771411","201314"
"Special Education: Teachers and Instructors ",2,"0771411","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",4,"0771411","201314"
"Administrators, Coordinators and Department Chairs: School Level ",1.4,"0771411","201314"
"Library/Media: Specialists (Certified) ",1,"0771411","201314"
"Support Staff ",1.5,"0771411","201314"
"Instructional Specialists Who Support Teachers ",4,"0771411","201314"
"Counselors, Social Workers and School Psychologists ",2,"0771411","201314"
"School Nurses ",1,"0771411","201314"
"Other Staff Providing Non-Instructional Services/Support ",13,"0771411","201314"
"General Education: Teachers and Instructors ",24,"0771411","201415"
"General Education: Paraprofessional Instructional Assistants ",5,"0771411","201415"
"Special Education: Teachers and Instructors ",2,"0771411","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",5,"0771411","201415"
"Administrators, Coordinators and Department Chairs: School Level ",1.6,"0771411","201415"
"Library/Media: Specialists (Certified) ",1,"0771411","201415"
"Support Staff ",1.5,"0771411","201415"
"Instructional Specialists Who Support Teachers ",4,"0771411","201415"
"Counselors, Social Workers and School Psychologists ",1,"0771411","201415"
"School Nurses ",1,"0771411","201415"
"Other Staff Providing Non-Instructional Services/Support ",15,"0771411","201415"
"General Education: Teachers and Instructors ",25,"0771411","201516"
"General Education: Paraprofessional Instructional Assistants ",4,"0771411","201516"
"Special Education: Teachers and Instructors ",2,"0771411","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",5,"0771411","201516"
"Administrators, Coordinators and Department Chairs: School Level ",1.6,"0771411","201516"
"Library/Media: Specialists (Certified) ",1,"0771411","201516"
"Support Staff ",1,"0771411","201516"
"Instructional Specialists Who Support Teachers ",4,"0771411","201516"
"Counselors, Social Workers and School Psychologists ",1,"0771411","201516"
"School Nurses ",1,"0771411","201516"
"Other Staff Providing Non-Instructional Services/Support ",15,"0771411","201516"
"General Education: Teachers and Instructors ",16.7,"0771611","201314"
"General Education: Paraprofessional Instructional Assistants ",2,"0771611","201314"
"Special Education: Teachers and Instructors ",1,"0771611","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",4,"0771611","201314"
"Administrators, Coordinators and Department Chairs: School Level ",1,"0771611","201314"
"Library/Media: Specialists (Certified) ",0.9,"0771611","201314"
"Support Staff ",1,"0771611","201314"
"Instructional Specialists Who Support Teachers ",3.2,"0771611","201314"
"Counselors, Social Workers and School Psychologists ",1.4,"0771611","201314"
"School Nurses ",1,"0771611","201314"
"Other Staff Providing Non-Instructional Services/Support ",13,"0771611","201314"
"General Education: Teachers and Instructors ",14.4,"0771611","201415"
"General Education: Paraprofessional Instructional Assistants ",2,"0771611","201415"
"Special Education: Teachers and Instructors ",1,"0771611","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",4,"0771611","201415"
"Administrators, Coordinators and Department Chairs: School Level ",1,"0771611","201415"
"Library/Media: Specialists (Certified) ",1,"0771611","201415"
"Support Staff ",0.5,"0771611","201415"
"Instructional Specialists Who Support Teachers ",2,"0771611","201415"
"Counselors, Social Workers and School Psychologists ",1,"0771611","201415"
"School Nurses ",1,"0771611","201415"
"Other Staff Providing Non-Instructional Services/Support ",11,"0771611","201415"
"General Education: Teachers and Instructors ",17,"0771611","201516"
"General Education: Paraprofessional Instructional Assistants ",6,"0771611","201516"
"Special Education: Teachers and Instructors ",1,"0771611","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",6,"0771611","201516"
"Administrators, Coordinators and Department Chairs: School Level ",1,"0771611","201516"
"Library/Media: Specialists (Certified) ",1,"0771611","201516"
"Support Staff ",0.5,"0771611","201516"
"Instructional Specialists Who Support Teachers ",1,"0771611","201516"
"Counselors, Social Workers and School Psychologists ",1,"0771611","201516"
"School Nurses ",1,"0771611","201516"
"Other Staff Providing Non-Instructional Services/Support ",10.5,"0771611","201516"
"General Education: Teachers and Instructors ",32.4,"0771711","201314"
"General Education: Paraprofessional Instructional Assistants ",0,"0771711","201314"
"Special Education: Teachers and Instructors ",5,"0771711","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",9,"0771711","201314"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0771711","201314"
"Library/Media: Specialists (Certified) ",0,"0771711","201314"
"Support Staff ",1,"0771711","201314"
"Instructional Specialists Who Support Teachers ",2,"0771711","201314"
"Counselors, Social Workers and School Psychologists ",3,"0771711","201314"
"School Nurses ",1.5,"0771711","201314"
"Other Staff Providing Non-Instructional Services/Support ",23,"0771711","201314"
"General Education: Teachers and Instructors ",30.6,"0771711","201415"
"General Education: Paraprofessional Instructional Assistants ",0,"0771711","201415"
"Special Education: Teachers and Instructors ",4,"0771711","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",10,"0771711","201415"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0771711","201415"
"Library/Media: Specialists (Certified) ",1,"0771711","201415"
"Support Staff ",1,"0771711","201415"
"Instructional Specialists Who Support Teachers ",2,"0771711","201415"
"Counselors, Social Workers and School Psychologists ",5,"0771711","201415"
"School Nurses ",1.5,"0771711","201415"
"Other Staff Providing Non-Instructional Services/Support ",21,"0771711","201415"
"General Education: Teachers and Instructors ",28.6,"0771711","201516"
"General Education: Paraprofessional Instructional Assistants ",0,"0771711","201516"
"Special Education: Teachers and Instructors ",5,"0771711","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",10,"0771711","201516"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0771711","201516"
"Library/Media: Specialists (Certified) ",1,"0771711","201516"
"Support Staff ",1,"0771711","201516"
"Instructional Specialists Who Support Teachers ",2,"0771711","201516"
"Counselors, Social Workers and School Psychologists ",6,"0771711","201516"
"School Nurses ",1.5,"0771711","201516"
"Other Staff Providing Non-Instructional Services/Support ",21.7,"0771711","201516"
"General Education: Teachers and Instructors ",64.9,"0775311","201314"
"General Education: Paraprofessional Instructional Assistants ",0,"0775311","201314"
"Special Education: Teachers and Instructors ",9,"0775311","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",15,"0775311","201314"
"Administrators, Coordinators and Department Chairs: School Level ",4,"0775311","201314"
"Library/Media: Specialists (Certified) ",1,"0775311","201314"
"Support Staff ",1,"0775311","201314"
"Instructional Specialists Who Support Teachers ",5,"0775311","201314"
"Counselors, Social Workers and School Psychologists ",6.6,"0775311","201314"
"School Nurses ",2,"0775311","201314"
"Other Staff Providing Non-Instructional Services/Support ",27.8,"0775311","201314"
"General Education: Teachers and Instructors ",66.7,"0775311","201415"
"General Education: Paraprofessional Instructional Assistants ",3.9,"0775311","201415"
"Special Education: Teachers and Instructors ",9,"0775311","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",14,"0775311","201415"
"Administrators, Coordinators and Department Chairs: School Level ",4,"0775311","201415"
"Library/Media: Specialists (Certified) ",2,"0775311","201415"
"Support Staff ",1,"0775311","201415"
"Instructional Specialists Who Support Teachers ",4,"0775311","201415"
"Counselors, Social Workers and School Psychologists ",6,"0775311","201415"
"School Nurses ",2,"0775311","201415"
"Other Staff Providing Non-Instructional Services/Support ",17,"0775311","201415"
"General Education: Teachers and Instructors ",64,"0775311","201516"
"General Education: Paraprofessional Instructional Assistants ",1,"0775311","201516"
"Special Education: Teachers and Instructors ",13,"0775311","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",13,"0775311","201516"
"Administrators, Coordinators and Department Chairs: School Level ",4,"0775311","201516"
"Library/Media: Specialists (Certified) ",2,"0775311","201516"
"Support Staff ",1,"0775311","201516"
"Instructional Specialists Who Support Teachers ",8,"0775311","201516"
"Counselors, Social Workers and School Psychologists ",8,"0775311","201516"
"School Nurses ",2,"0775311","201516"
"Other Staff Providing Non-Instructional Services/Support ",30.4,"0775311","201516"
"General Education: Teachers and Instructors ",138.2,"0776111","201314"
"General Education: Paraprofessional Instructional Assistants ",8.8,"0776111","201314"
"Special Education: Teachers and Instructors ",14,"0776111","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",22,"0776111","201314"
"Administrators, Coordinators and Department Chairs: School Level ",8.8,"0776111","201314"
"Library/Media: Specialists (Certified) ",3,"0776111","201314"
"Support Staff ",1,"0776111","201314"
"Instructional Specialists Who Support Teachers ",1.9,"0776111","201314"
"Counselors, Social Workers and School Psychologists ",20.1,"0776111","201314"
"School Nurses ",4.9,"0776111","201314"
"Other Staff Providing Non-Instructional Services/Support ",73.6,"0776111","201314"
"General Education: Teachers and Instructors ",130.4,"0776111","201415"
"General Education: Paraprofessional Instructional Assistants ",7.6,"0776111","201415"
"Special Education: Teachers and Instructors ",16,"0776111","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",22.8,"0776111","201415"
"Administrators, Coordinators and Department Chairs: School Level ",10,"0776111","201415"
"Library/Media: Specialists (Certified) ",1,"0776111","201415"
"Support Staff ",1,"0776111","201415"
"Instructional Specialists Who Support Teachers ",1,"0776111","201415"
"Counselors, Social Workers and School Psychologists ",17.5,"0776111","201415"
"School Nurses ",3.9,"0776111","201415"
"Other Staff Providing Non-Instructional Services/Support ",63.6,"0776111","201415"
"General Education: Teachers and Instructors ",124.4,"0776111","201516"
"General Education: Paraprofessional Instructional Assistants ",7,"0776111","201516"
"Special Education: Teachers and Instructors ",15,"0776111","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",19,"0776111","201516"
"Administrators, Coordinators and Department Chairs: School Level ",11.8,"0776111","201516"
"Library/Media: Specialists (Certified) ",2,"0776111","201516"
"Support Staff ",1,"0776111","201516"
"Instructional Specialists Who Support Teachers ",3.6,"0776111","201516"
"Counselors, Social Workers and School Psychologists ",16.5,"0776111","201516"
"School Nurses ",3,"0776111","201516"
"Other Staff Providing Non-Instructional Services/Support ",73,"0776111","201516"
"General Education: Teachers and Instructors ",16.9,"0780211","201314"
"General Education: Paraprofessional Instructional Assistants ",6,"0780211","201314"
"Special Education: Teachers and Instructors ",3,"0780211","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",7,"0780211","201314"
"Administrators, Coordinators and Department Chairs: School Level ",1,"0780211","201314"
"Library/Media: Specialists (Certified) ",0,"0780211","201314"
"Support Staff ",1,"0780211","201314"
"Instructional Specialists Who Support Teachers ",2,"0780211","201314"
"Counselors, Social Workers and School Psychologists ",1,"0780211","201314"
"School Nurses ",1,"0780211","201314"
"Other Staff Providing Non-Instructional Services/Support ",6.8,"0780211","201314"
"General Education: Teachers and Instructors ",16.4,"0780211","201415"
"General Education: Paraprofessional Instructional Assistants ",6,"0780211","201415"
"Special Education: Teachers and Instructors ",3,"0780211","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",8,"0780211","201415"
"Administrators, Coordinators and Department Chairs: School Level ",1,"0780211","201415"
"Library/Media: Specialists (Certified) ",0,"0780211","201415"
"Support Staff ",1,"0780211","201415"
"Instructional Specialists Who Support Teachers ",1.8,"0780211","201415"
"Counselors, Social Workers and School Psychologists ",1,"0780211","201415"
"School Nurses ",1,"0780211","201415"
"Other Staff Providing Non-Instructional Services/Support ",6.8,"0780211","201415"
"General Education: Teachers and Instructors ",16.6,"0780211","201516"
"General Education: Paraprofessional Instructional Assistants ",6,"0780211","201516"
"Special Education: Teachers and Instructors ",3,"0780211","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",9,"0780211","201516"
"Administrators, Coordinators and Department Chairs: School Level ",1,"0780211","201516"
"Library/Media: Specialists (Certified) ",0,"0780211","201516"
"Support Staff ",1,"0780211","201516"
"Instructional Specialists Who Support Teachers ",2,"0780211","201516"
"Counselors, Social Workers and School Psychologists ",1,"0780211","201516"
"School Nurses ",1,"0780211","201516"
"Other Staff Providing Non-Instructional Services/Support ",7.2,"0780211","201516"
"General Education: Teachers and Instructors ",20.6,"0780411","201314"
"General Education: Paraprofessional Instructional Assistants ",8,"0780411","201314"
"Special Education: Teachers and Instructors ",1.5,"0780411","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",6,"0780411","201314"
"Administrators, Coordinators and Department Chairs: School Level ",1,"0780411","201314"
"Library/Media: Specialists (Certified) ",0,"0780411","201314"
"Support Staff ",1,"0780411","201314"
"Instructional Specialists Who Support Teachers ",2,"0780411","201314"
"Counselors, Social Workers and School Psychologists ",1,"0780411","201314"
"School Nurses ",1,"0780411","201314"
"Other Staff Providing Non-Instructional Services/Support ",5.8,"0780411","201314"
"General Education: Teachers and Instructors ",19.6,"0780411","201415"
"General Education: Paraprofessional Instructional Assistants ",9,"0780411","201415"
"Special Education: Teachers and Instructors ",2.5,"0780411","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",5,"0780411","201415"
"Administrators, Coordinators and Department Chairs: School Level ",1,"0780411","201415"
"Library/Media: Specialists (Certified) ",0,"0780411","201415"
"Support Staff ",1,"0780411","201415"
"Instructional Specialists Who Support Teachers ",1.8,"0780411","201415"
"Counselors, Social Workers and School Psychologists ",1,"0780411","201415"
"School Nurses ",1,"0780411","201415"
"Other Staff Providing Non-Instructional Services/Support ",5.8,"0780411","201415"
"General Education: Teachers and Instructors ",19.3,"0780411","201516"
"General Education: Paraprofessional Instructional Assistants ",9,"0780411","201516"
"Special Education: Teachers and Instructors ",2.5,"0780411","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",6,"0780411","201516"
"Administrators, Coordinators and Department Chairs: School Level ",1,"0780411","201516"
"Library/Media: Specialists (Certified) ",0,"0780411","201516"
"Support Staff ",1,"0780411","201516"
"Instructional Specialists Who Support Teachers ",2,"0780411","201516"
"Counselors, Social Workers and School Psychologists ",1,"0780411","201516"
"School Nurses ",1,"0780411","201516"
"Other Staff Providing Non-Instructional Services/Support ",6.2,"0780411","201516"
"General Education: Teachers and Instructors ",17.1,"0780511","201314"
"General Education: Paraprofessional Instructional Assistants ",8,"0780511","201314"
"Special Education: Teachers and Instructors ",3,"0780511","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",7,"0780511","201314"
"Administrators, Coordinators and Department Chairs: School Level ",1,"0780511","201314"
"Library/Media: Specialists (Certified) ",0,"0780511","201314"
"Support Staff ",1,"0780511","201314"
"Instructional Specialists Who Support Teachers ",2,"0780511","201314"
"Counselors, Social Workers and School Psychologists ",1,"0780511","201314"
"School Nurses ",1,"0780511","201314"
"Other Staff Providing Non-Instructional Services/Support ",5.8,"0780511","201314"
"General Education: Teachers and Instructors ",17.1,"0780511","201415"
"General Education: Paraprofessional Instructional Assistants ",8,"0780511","201415"
"Special Education: Teachers and Instructors ",3,"0780511","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",6,"0780511","201415"
"Administrators, Coordinators and Department Chairs: School Level ",1,"0780511","201415"
"Library/Media: Specialists (Certified) ",0,"0780511","201415"
"Support Staff ",1,"0780511","201415"
"Instructional Specialists Who Support Teachers ",1.8,"0780511","201415"
"Counselors, Social Workers and School Psychologists ",1,"0780511","201415"
"School Nurses ",1,"0780511","201415"
"Other Staff Providing Non-Instructional Services/Support ",5.8,"0780511","201415"
"General Education: Teachers and Instructors ",16.8,"0780511","201516"
"General Education: Paraprofessional Instructional Assistants ",8,"0780511","201516"
"Special Education: Teachers and Instructors ",3,"0780511","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",6,"0780511","201516"
"Administrators, Coordinators and Department Chairs: School Level ",1,"0780511","201516"
"Library/Media: Specialists (Certified) ",0,"0780511","201516"
"Support Staff ",1,"0780511","201516"
"Instructional Specialists Who Support Teachers ",2,"0780511","201516"
"Counselors, Social Workers and School Psychologists ",1,"0780511","201516"
"School Nurses ",1,"0780511","201516"
"Other Staff Providing Non-Instructional Services/Support ",6.2,"0780511","201516"
"General Education: Teachers and Instructors ",44.7,"0785111","201314"
"General Education: Paraprofessional Instructional Assistants ",4.5,"0785111","201314"
"Special Education: Teachers and Instructors ",7,"0785111","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",13,"0785111","201314"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0785111","201314"
"Library/Media: Specialists (Certified) ",0,"0785111","201314"
"Support Staff ",2,"0785111","201314"
"Instructional Specialists Who Support Teachers ",1.5,"0785111","201314"
"Counselors, Social Workers and School Psychologists ",3,"0785111","201314"
"School Nurses ",1,"0785111","201314"
"Other Staff Providing Non-Instructional Services/Support ",14.5,"0785111","201314"
"General Education: Teachers and Instructors ",44,"0785111","201415"
"General Education: Paraprofessional Instructional Assistants ",3.5,"0785111","201415"
"Special Education: Teachers and Instructors ",7,"0785111","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",13,"0785111","201415"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0785111","201415"
"Library/Media: Specialists (Certified) ",0,"0785111","201415"
"Support Staff ",2,"0785111","201415"
"Instructional Specialists Who Support Teachers ",1.3,"0785111","201415"
"Counselors, Social Workers and School Psychologists ",3,"0785111","201415"
"School Nurses ",1.5,"0785111","201415"
"Other Staff Providing Non-Instructional Services/Support ",14.3,"0785111","201415"
"General Education: Teachers and Instructors ",42.6,"0785111","201516"
"General Education: Paraprofessional Instructional Assistants ",3.2,"0785111","201516"
"Special Education: Teachers and Instructors ",7,"0785111","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",12,"0785111","201516"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0785111","201516"
"Library/Media: Specialists (Certified) ",0,"0785111","201516"
"Support Staff ",2,"0785111","201516"
"Instructional Specialists Who Support Teachers ",1.5,"0785111","201516"
"Counselors, Social Workers and School Psychologists ",3,"0785111","201516"
"School Nurses ",1.5,"0785111","201516"
"Other Staff Providing Non-Instructional Services/Support ",13.8,"0785111","201516"
"General Education: Teachers and Instructors ",34,"0790111","201314"
"General Education: Paraprofessional Instructional Assistants ",4.5,"0790111","201314"
"Special Education: Teachers and Instructors ",4.6,"0790111","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",10.4,"0790111","201314"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0790111","201314"
"Library/Media: Specialists (Certified) ",1,"0790111","201314"
"Support Staff ",0.5,"0790111","201314"
"Instructional Specialists Who Support Teachers ",3.5,"0790111","201314"
"Counselors, Social Workers and School Psychologists ",2,"0790111","201314"
"School Nurses ",1,"0790111","201314"
"Other Staff Providing Non-Instructional Services/Support ",10,"0790111","201314"
"General Education: Teachers and Instructors ",35,"0790111","201415"
"General Education: Paraprofessional Instructional Assistants ",3.5,"0790111","201415"
"Special Education: Teachers and Instructors ",4,"0790111","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",12.2,"0790111","201415"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0790111","201415"
"Library/Media: Specialists (Certified) ",1,"0790111","201415"
"Support Staff ",0.5,"0790111","201415"
"Instructional Specialists Who Support Teachers ",3,"0790111","201415"
"Counselors, Social Workers and School Psychologists ",2,"0790111","201415"
"School Nurses ",1,"0790111","201415"
"Other Staff Providing Non-Instructional Services/Support ",12,"0790111","201415"
"General Education: Teachers and Instructors ",36,"0790111","201516"
"General Education: Paraprofessional Instructional Assistants ",4.7,"0790111","201516"
"Special Education: Teachers and Instructors ",4,"0790111","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",12,"0790111","201516"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0790111","201516"
"Library/Media: Specialists (Certified) ",0,"0790111","201516"
"Support Staff ",0.5,"0790111","201516"
"Instructional Specialists Who Support Teachers ",1,"0790111","201516"
"Counselors, Social Workers and School Psychologists ",2,"0790111","201516"
"School Nurses ",1,"0790111","201516"
"Other Staff Providing Non-Instructional Services/Support ",12,"0790111","201516"
"General Education: Teachers and Instructors ",22.5,"0800111","201314"
"General Education: Paraprofessional Instructional Assistants ",7,"0800111","201314"
"Special Education: Teachers and Instructors ",8,"0800111","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",6,"0800111","201314"
"Administrators, Coordinators and Department Chairs: School Level ",1,"0800111","201314"
"Library/Media: Specialists (Certified) ",0.1,"0800111","201314"
"Support Staff ",0,"0800111","201314"
"Instructional Specialists Who Support Teachers ",2.1,"0800111","201314"
"Counselors, Social Workers and School Psychologists ",2,"0800111","201314"
"School Nurses ",1,"0800111","201314"
"Other Staff Providing Non-Instructional Services/Support ",8,"0800111","201314"
"General Education: Teachers and Instructors ",21.9,"0800111","201415"
"General Education: Paraprofessional Instructional Assistants ",7,"0800111","201415"
"Special Education: Teachers and Instructors ",6.1,"0800111","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",6,"0800111","201415"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0800111","201415"
"Library/Media: Specialists (Certified) ",0,"0800111","201415"
"Support Staff ",0,"0800111","201415"
"Instructional Specialists Who Support Teachers ",1.1,"0800111","201415"
"Counselors, Social Workers and School Psychologists ",3,"0800111","201415"
"School Nurses ",1,"0800111","201415"
"Other Staff Providing Non-Instructional Services/Support ",15,"0800111","201415"
"General Education: Teachers and Instructors ",22.7,"0800111","201516"
"General Education: Paraprofessional Instructional Assistants ",7,"0800111","201516"
"Special Education: Teachers and Instructors ",7.1,"0800111","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",6,"0800111","201516"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0800111","201516"
"Library/Media: Specialists (Certified) ",0,"0800111","201516"
"Support Staff ",0,"0800111","201516"
"Instructional Specialists Who Support Teachers ",1.1,"0800111","201516"
"Counselors, Social Workers and School Psychologists ",3,"0800111","201516"
"School Nurses ",1,"0800111","201516"
"Other Staff Providing Non-Instructional Services/Support ",15.5,"0800111","201516"
"General Education: Teachers and Instructors ",34.3,"0800311","201314"
"General Education: Paraprofessional Instructional Assistants ",12,"0800311","201314"
"Special Education: Teachers and Instructors ",7.1,"0800311","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",12,"0800311","201314"
"Administrators, Coordinators and Department Chairs: School Level ",1,"0800311","201314"
"Library/Media: Specialists (Certified) ",0.1,"0800311","201314"
"Support Staff ",0,"0800311","201314"
"Instructional Specialists Who Support Teachers ",2.7,"0800311","201314"
"Counselors, Social Workers and School Psychologists ",2,"0800311","201314"
"School Nurses ",1,"0800311","201314"
"Other Staff Providing Non-Instructional Services/Support ",9.5,"0800311","201314"
"General Education: Teachers and Instructors ",34.6,"0800311","201415"
"General Education: Paraprofessional Instructional Assistants ",12,"0800311","201415"
"Special Education: Teachers and Instructors ",8.2,"0800311","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",19,"0800311","201415"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0800311","201415"
"Library/Media: Specialists (Certified) ",0,"0800311","201415"
"Support Staff ",0,"0800311","201415"
"Instructional Specialists Who Support Teachers ",2.7,"0800311","201415"
"Counselors, Social Workers and School Psychologists ",2,"0800311","201415"
"School Nurses ",1,"0800311","201415"
"Other Staff Providing Non-Instructional Services/Support ",14.5,"0800311","201415"
"General Education: Teachers and Instructors ",32.8,"0800311","201516"
"General Education: Paraprofessional Instructional Assistants ",10,"0800311","201516"
"Special Education: Teachers and Instructors ",8.2,"0800311","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",15,"0800311","201516"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0800311","201516"
"Library/Media: Specialists (Certified) ",0,"0800311","201516"
"Support Staff ",0,"0800311","201516"
"Instructional Specialists Who Support Teachers ",1.7,"0800311","201516"
"Counselors, Social Workers and School Psychologists ",2,"0800311","201516"
"School Nurses ",1,"0800311","201516"
"Other Staff Providing Non-Instructional Services/Support ",12.5,"0800311","201516"
"General Education: Teachers and Instructors ",32.8,"0800411","201314"
"General Education: Paraprofessional Instructional Assistants ",6,"0800411","201314"
"Special Education: Teachers and Instructors ",4,"0800411","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",8,"0800411","201314"
"Administrators, Coordinators and Department Chairs: School Level ",1,"0800411","201314"
"Library/Media: Specialists (Certified) ",0.1,"0800411","201314"
"Support Staff ",0,"0800411","201314"
"Instructional Specialists Who Support Teachers ",2.1,"0800411","201314"
"Counselors, Social Workers and School Psychologists ",2,"0800411","201314"
"School Nurses ",1,"0800411","201314"
"Other Staff Providing Non-Instructional Services/Support ",9,"0800411","201314"
"General Education: Teachers and Instructors ",32.7,"0800411","201415"
"General Education: Paraprofessional Instructional Assistants ",9,"0800411","201415"
"Special Education: Teachers and Instructors ",4.1,"0800411","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",8,"0800411","201415"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0800411","201415"
"Library/Media: Specialists (Certified) ",0,"0800411","201415"
"Support Staff ",0,"0800411","201415"
"Instructional Specialists Who Support Teachers ",1.1,"0800411","201415"
"Counselors, Social Workers and School Psychologists ",2,"0800411","201415"
"School Nurses ",1,"0800411","201415"
"Other Staff Providing Non-Instructional Services/Support ",9,"0800411","201415"
"General Education: Teachers and Instructors ",34.2,"0800411","201516"
"General Education: Paraprofessional Instructional Assistants ",8,"0800411","201516"
"Special Education: Teachers and Instructors ",4.1,"0800411","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",8,"0800411","201516"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0800411","201516"
"Library/Media: Specialists (Certified) ",0,"0800411","201516"
"Support Staff ",0.2,"0800411","201516"
"Instructional Specialists Who Support Teachers ",1.1,"0800411","201516"
"Counselors, Social Workers and School Psychologists ",2,"0800411","201516"
"School Nurses ",1,"0800411","201516"
"Other Staff Providing Non-Instructional Services/Support ",13,"0800411","201516"
"General Education: Teachers and Instructors ",30.4,"0800511","201314"
"General Education: Paraprofessional Instructional Assistants ",5,"0800511","201314"
"Special Education: Teachers and Instructors ",4,"0800511","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",7,"0800511","201314"
"Administrators, Coordinators and Department Chairs: School Level ",1,"0800511","201314"
"Library/Media: Specialists (Certified) ",0.1,"0800511","201314"
"Support Staff ",0,"0800511","201314"
"Instructional Specialists Who Support Teachers ",2.1,"0800511","201314"
"Counselors, Social Workers and School Psychologists ",2,"0800511","201314"
"School Nurses ",1,"0800511","201314"
"Other Staff Providing Non-Instructional Services/Support ",10.5,"0800511","201314"
"General Education: Teachers and Instructors ",31.1,"0800511","201415"
"General Education: Paraprofessional Instructional Assistants ",5,"0800511","201415"
"Special Education: Teachers and Instructors ",2.1,"0800511","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",7,"0800511","201415"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0800511","201415"
"Library/Media: Specialists (Certified) ",0,"0800511","201415"
"Support Staff ",0,"0800511","201415"
"Instructional Specialists Who Support Teachers ",4.1,"0800511","201415"
"Counselors, Social Workers and School Psychologists ",2,"0800511","201415"
"School Nurses ",1,"0800511","201415"
"Other Staff Providing Non-Instructional Services/Support ",18.5,"0800511","201415"
"General Education: Teachers and Instructors ",31.5,"0800511","201516"
"General Education: Paraprofessional Instructional Assistants ",5,"0800511","201516"
"Special Education: Teachers and Instructors ",4.1,"0800511","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",7,"0800511","201516"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0800511","201516"
