"","school_id","year","female","male"
"409","0341211","201516",249,271
"410","0341311","201314",209,208
"411","0341311","201415",192,198
"412","0341311","201516",202,207
"413","0341411","201314",201,234
"414","0341411","201415",196,233
"415","0341411","201516",201,231
"416","0341511","201314",169,207
"417","0341511","201415",175,200
"418","0341511","201516",164,204
"419","0341611","201314",218,214
"420","0341611","201415",231,241
"421","0341611","201516",233,263
"422","0341711","201314",192,178
"423","0341711","201415",181,185
"424","0341711","201516",184,185
"425","0341911","201314",222,201
"426","0341911","201415",234,179
"427","0341911","201516",222,168
