"school_id","year","grades_served"
"0355111","201516","6-8"
"0356111","201314","9-12"
"0356111","201415","9-12"
"0356111","201516","9-12"
"0360111","201314","PK-6"
"0360111","201415","PK-6"
"0360111","201516","PK-6"
"0370111","201516","PK-PK"
"0370411","201314","PK-5"
"0370411","201415","PK-5"
"0370411","201516","PK-5"
"0370611","201314","PK-5"
"0370611","201415","PK-5"
"0370611","201516","PK-5"
"0375011","201314","6-8"
"0375011","201415","6-8"
"0375011","201516","6-8"
"0376111","201314","9-12"
"0376111","201415","9-12"
"0376111","201516","9-12"
"0390111","201314","PK-8"
"0390111","201415","PK-8"
"0390111","201516","PK-8"
"0400111","201314","PK-2"
"0400111","201415","PK-2"
"0400111","201516","PK-2"
"0400211","201314","3-5"
"0400211","201415","3-5"
"0400211","201516","3-5"
"0405111","201314","6-8"
"0405111","201415","6-8"
"0405111","201516","6-8"
"0406111","201314","9-12"
"0406111","201415","9-12"
"0406111","201516","9-12"
"0410111","201314","PK-3"
"0410111","201415","PK-3"
"0410111","201516","PK-3"
"0415111","201314","4-8"
"0415111","201415","4-8"
"0415111","201516","4-8"
"0416111","201314","9-12"
"0416111","201415","9-12"
"0416111","201516","9-12"
"0420111","201314","PK-3"
"0420111","201415","PK-3"
"0420111","201516","PK-3"
"0420311","201314","4-5"
"0420311","201415","4-5"
"0420311","201516","4-5"
"0425111","201314","6-8"
"0425111","201415","6-8"
"0425111","201516","6-8"
"0426111","201314","9-12"
"0426111","201415","9-12"
"0426111","201516","9-12"
"0430411","201314","K-6"
"0430411","201415","K-6"
"0430411","201516","K-6"
"0430511","201314","PK-6"
"0430511","201415","PK-5"
"0430511","201516","PK-5"
"0430611","201314","K-6"
"0430611","201415","K-6"
"0430611","201516","K-6"
"0430911","201314","K-6"
"0430911","201415","K-5"
"0430911","201516","K-5"
"0431011","201314","K-6"
"0431011","201415","K-6"
"0431011","201516","K-6"
"0431211","201314","PK-6"
"0431211","201415","PK-5"
"0431211","201516","PK-5"
"0431811","201314","K-6"
"0431811","201415","K-6"
"0431811","201516","K-6"
"0432011","201314","K-6"
"0432011","201415","K-5"
"0432011","201516","K-5"
"0432211","201314","K-6"
"0432211","201415","K-6"
"0432211","201516","K-6"
"0432411","201314","4-6"
"0432411","201415","5-6"
"0432411","201516","6-7"
"0435111","201314","6-8"
"0435111","201415","6-8"
"0435111","201516","6-8"
"0436211","201314","9-12"
"0436211","201415","9-12"
"0436211","201516","9-12"
"0436311","201314","9-12"
"0436311","201415","9-12"
"0436311","201516","9-12"
"0436411","201314","9-12"
"0436411","201415","9-12"
"0436411","201516","9-12"
"0440111","201314","PK-2"
"0440111","201415","PK-2"
"0440111","201516","PK-2"
"0440711","201314","3-5"
"0440711","201415","3-5"
"0440711","201516","PK-5"
"0441011","201314","3-5"
"0441011","201415","3-5"
"0441011","201516","PK-5"
"0441311","201314","3-5"
"0441311","201415","3-5"
"0441311","201516","3-5"
"0441711","201314","3-8"
"0441711","201415","3-8"
"0441711","201516","3-8"
"0441811","201314","PK-2"
"0441811","201415","PK-2"
"0441811","201516","PK-2"
"0445111","201314","6-8"
"0445111","201415","6-8"
"0445111","201516","6-8"
"0446111","201314","9-12"
"0446111","201415","9-12"
"0446111","201516","9-12"
"0450111","201314","K-4"
"0450111","201415","K-4"
"0450111","201516","K-4"
"0450211","201314","K-4"
"0450211","201415","K-4"
"0450211","201516","K-4"
"0450411","201314","PK-4"
"0450411","201415","PK-4"
"0450411","201516","PK-4"
"0455111","201314","5-8"
"0455111","201415","5-8"
"0455111","201516","5-8"
"0456111","201314","9-12"
"0456111","201415","9-12"
"0456111","201516","9-12"
"0460111","201314","PK-5"
"0460111","201415","PK-5"
"0460111","201516","PK-5"
"0465111","201314","6-8"
"0465111","201415","6-8"
"0465111","201516","6-8"
"0470111","201314","PK-4"
"0470111","201415","PK-4"
"0470111","201516","PK-3"
"0475411","201314","5-8"
"0475411","201415","5-8"
"0475411","201516","4-8"
"0476111","201314","9-12"
"0476111","201415","9-12"
"0476111","201516","9-12"
"0480111","201314","PK-4"
"0480111","201415","PK-4"
"0480111","201516","PK-4"
"0480211","201314","K-4"
"0480211","201415","K-4"
"0480211","201516","K-4"
"0480611","201314","K-4"
"0480611","201415","K-4"
"0480611","201516","K-4"
"0480711","201314","5-6"
"0480711","201415","5-6"
"0480711","201516","5-6"
"0485111","201314","7-8"
"0485111","201415","7-8"
"0485111","201516","7-8"
"0486111","201314","9-12"
"0486111","201415","9-12"
"0486111","201516","9-12"
"0490211","201314","K-2"
"0490211","201415","K-2"
"0490211","201516","K-2"
"0490411","201314","PK-2"
"0490411","201415","PK-2"
"0490411","201516","PK-2"
"0491011","201516","PK-PK"
"0491111","201314","K-2"
"0491111","201415","K-2"
"0491111","201516","K-2"
"0491311","201314","3-5"
"0491311","201415","3-5"
"0491311","201516","3-5"
"0491511","201314","3-5"
"0491511","201415","3-5"
"0491511","201516","3-5"
"0491611","201314","3-5"
"0491611","201415","3-5"
"0491611","201516","3-5"
"0491811","201314","K-2"
"0491811","201415","K-2"
"0491811","201516","K-2"
"0495211","201314","6-8"
"0495211","201415","6-8"
"0495211","201516","6-8"
"0496111","201314","9-12"
"0496111","201415","9-12"
"0496111","201516","9-12"
"0500111","201314","PK-6"
"0500111","201415","PK-6"
"0500111","201516","PK-6"
"0510111","201314","PK-5"
"0510111","201415","PK-5"
"0510111","201516","PK-5"
"0510211","201314","PK-5"
"0510211","201415","PK-5"
