"category","count","school_id","year"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","962","0110611","201516"
"Days of Instruction","180","0110611","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","979","0110711","201314"
"Days of Instruction","180","0110711","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1017","0110711","201415"
"Days of Instruction","180","0110711","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1080","0110711","201516"
"Days of Instruction","180","0110711","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","911","0110811","201314"
"Days of Instruction","180","0110811","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","900","0110811","201415"
"Days of Instruction","180","0110811","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","977","0110811","201516"
"Days of Instruction","180","0110811","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1071","0115211","201314"
"Days of Instruction","180","0115211","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","957","0115211","201415"
"Days of Instruction","180","0115211","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","957","0115211","201516"
"Days of Instruction","180","0115211","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","982","0116111","201314"
"Days of Instruction","180","0116111","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","982","0116111","201415"
"Days of Instruction","180","0116111","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1110","0116111","201516"
"Days of Instruction","185","0116111","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1015","0116311","201314"
"Days of Instruction","180","0116311","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","991","0116311","201415"
"Days of Instruction","180","0116311","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1020","0116311","201516"
"Days of Instruction","180","0116311","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","982","0116411","201314"
"Days of Instruction","180","0116411","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","982","0116411","201415"
"Days of Instruction","180","0116411","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1110","0116411","201516"
"Days of Instruction","185","0116411","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","900","0120111","201314"
"Half/Extended Day Kindergarten ","450","0120111","201314"
"Days of Instruction","181","0120111","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1041","0120111","201415"
"Days of Instruction","181","0120111","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1004","0120111","201516"
"Days of Instruction","181","0120111","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1060","0126111","201314"
"Days of Instruction","181","0126111","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1018","0126111","201415"
"Days of Instruction","181","0126111","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1019","0126111","201516"
"Days of Instruction","181","0126111","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","980","0130111","201314"
"Days of Instruction","180","0130111","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","980","0130111","201415"
"Days of Instruction","181","0130111","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1086","0130111","201516"
"Days of Instruction","181","0130111","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","983","0141411","201314"
"Days of Instruction","181","0141411","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","983","0141411","201415"
"Days of Instruction","181","0141411","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1143","0141411","201516"
"Days of Instruction","180","0141411","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","983","0141511","201314"
"Days of Instruction","181","0141511","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","983","0141511","201415"
"Days of Instruction","181","0141511","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1143","0141511","201516"
"Days of Instruction","180","0141511","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","983","0141611","201314"
"Days of Instruction","181","0141611","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","983","0141611","201415"
"Days of Instruction","181","0141611","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1143","0141611","201516"
"Days of Instruction","180","0141611","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","955","0145111","201314"
"Days of Instruction","181","0145111","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","955","0145111","201415"
"Days of Instruction","181","0145111","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1185","0145111","201516"
"Days of Instruction","180","0145111","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","941","0146111","201314"
"Days of Instruction","181","0146111","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","941","0146111","201415"
"Days of Instruction","181","0146111","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1227","0146111","201516"
"Days of Instruction","180","0146111","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","900","0150111","201314"
"Days of Instruction","182","0150111","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1092","0150111","201415"
"Days of Instruction","182","0150111","201415"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1026","0150111","201516"
"Days of Instruction","182","0150111","201516"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","982","0150211","201314"
"Days of Instruction","182","0150211","201314"
"Hours a year: Grades 1-12 and Full-Day Kindergarten ","1092","0150211","201415"
"Days of Instruction","182","0150211","201415"
