"Student Counts by School and Grade"
"All Districts, All Schools"
"2012-13"

"",,,,"Grade",,,,,,,,,,,,,,
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""",21,0,0,0,0,0,0,0,0,0,0,0,0,0,21
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",0,36,44,49,43,62,37,57,0,0,0,0,0,0,328
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",52,69,56,77,78,91,78,0,0,0,0,0,0,0,501
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","*","*",86,110,94,108,95,0,0,0,0,0,0,0,567
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",0,27,35,52,32,42,44,0,0,0,0,0,0,0,232
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",0,0,0,0,0,0,0,230,243,239,0,0,0,0,712
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",0,0,0,0,0,0,0,0,0,0,240,215,238,269,962
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",13,60,46,53,64,73,77,87,0,0,0,0,0,0,473
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",108,116,99,88,86,0,0,0,0,0,0,0,0,0,497
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",0,115,95,94,88,0,0,0,0,0,0,0,0,0,392
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",0,0,0,0,0,228,215,0,0,0,0,0,0,0,443
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",0,0,0,0,0,0,0,240,223,221,0,0,0,0,684
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",0,0,0,0,0,0,0,0,0,0,255,229,243,232,959
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""",220,102,0,0,0,0,0,0,0,0,0,0,0,0,322
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""",0,87,125,123,0,0,0,0,0,0,0,0,0,0,335
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",0,0,0,0,115,122,0,0,0,0,0,0,0,0,237
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",0,0,0,0,0,0,122,98,0,0,0,0,0,0,220
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",0,0,0,0,0,0,0,30,30,0,31,29,31,31,182
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",0,0,0,0,0,0,0,0,113,148,0,0,0,0,261
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",0,0,0,0,0,0,0,0,0,0,114,149,149,129,541
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""",0,0,0,0,0,0,0,0,0,0,"*","*","*","*",10
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",19,47,50,66,63,58,54,55,62,59,0,0,0,0,533
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",0,0,0,0,0,0,0,0,0,0,89,82,104,84,359
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",21,25,19,30,24,19,22,22,33,26,0,0,0,0,241
"Branford School District","=""0140011""","Indian Neck School","=""0148011""",47,0,0,0,0,0,0,0,0,0,0,0,0,0,47
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""",16,73,65,71,70,76,0,0,0,0,0,0,0,0,371
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""",28,86,88,74,79,74,0,0,0,0,0,0,0,0,429
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""",0,65,68,76,87,77,0,0,0,0,0,0,0,0,373
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",0,0,0,0,0,0,235,236,241,277,0,0,0,0,989
"Branford School District","=""0140011""","Branford High School","=""0146111""",0,0,0,0,0,0,0,0,0,0,239,241,293,276,1049
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",36,95,77,77,72,57,66,42,45,58,0,0,0,0,625
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",45,45,61,52,49,49,40,36,0,0,0,0,0,0,377
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",34,119,124,113,114,118,90,86,180,152,0,0,0,0,1130
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",52,49,62,59,65,53,43,29,0,0,0,0,0,0,412
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",45,117,115,128,118,114,124,119,126,109,0,0,0,0,1115
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",49,170,132,120,91,87,82,57,57,32,0,0,0,0,877
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""",17,97,94,86,83,91,88,85,95,82,0,0,0,0,818
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""",18,49,63,43,47,44,38,34,0,0,0,0,0,0,336
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""",89,47,47,46,44,44,47,47,46,0,0,0,0,0,457
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",46,58,75,58,81,73,51,50,67,70,0,0,0,0,629
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",17,88,101,84,84,85,79,90,126,117,0,0,0,0,871
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",31,57,53,60,59,59,59,48,48,52,0,0,0,0,526
"Bridgeport School District","=""0150011""","Read School","=""0152511""",33,105,99,75,92,88,86,79,96,104,0,0,0,0,857
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",53,73,75,70,43,50,41,36,42,41,0,0,0,0,524
"Bridgeport School District","=""0150011""","Skane Center","=""0154411""",231,0,0,0,0,0,0,0,0,0,0,0,0,0,231
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",17,72,61,49,69,57,55,40,51,43,0,0,0,0,514
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",0,54,64,51,38,45,51,27,18,0,0,0,0,0,348
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",0,"*",6,6,6,"*",8,"*",6,"*","*","*",0,"*",52
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""",0,45,42,46,49,49,45,34,0,0,0,0,0,0,310
"Bridgeport School District","=""0150011""","Cross School","=""0153911""",0,50,37,50,36,38,43,39,72,55,0,0,0,0,420
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""",0,87,91,63,64,77,61,81,126,123,0,0,0,0,773
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""",0,43,38,32,31,29,27,17,46,50,0,0,0,0,313
"Bridgeport School District","=""0150011""","Edison School","=""0150711""",0,43,42,40,30,26,35,28,0,0,0,0,0,0,244
"Bridgeport School District","=""0150011""","Hall School","=""0151111""",0,43,48,50,50,45,41,31,0,0,0,0,0,0,308
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""",0,47,45,44,47,49,47,49,55,50,0,0,0,0,433
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""",0,43,38,39,38,42,39,36,56,50,0,0,0,0,381
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",0,74,76,77,77,67,82,53,0,0,0,0,0,0,506
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",0,46,47,50,51,50,47,56,55,54,0,0,0,0,456
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",0,80,71,72,74,73,74,74,85,83,0,0,0,0,686
"Bridgeport School District","=""0150011""","Park City Academy","=""0159211""",0,0,0,0,0,0,0,0,0,"*","*","*","*",0,6
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",0,0,0,0,0,0,0,0,0,0,423,314,214,226,1177
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",0,0,0,0,0,0,0,0,0,0,668,464,549,456,2137
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",0,0,0,0,0,0,0,0,0,0,507,221,405,164,1297
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""",43,69,79,71,62,61,51,0,0,0,0,0,0,0,436
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",30,93,87,109,97,103,75,107,102,90,0,0,0,0,893
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",21,62,68,74,66,72,60,0,0,0,0,0,0,0,423
"Bristol School District","=""0170011""","Mountain View School","=""0171711""",90,61,62,59,55,55,49,0,0,0,0,0,0,0,431
"Bristol School District","=""0170011""","South Side School","=""0171111""",30,68,64,75,85,80,87,0,0,0,0,0,0,0,489
"Bristol School District","=""0170011""","Stafford School","=""0171211""",45,82,81,71,75,80,69,0,0,0,0,0,0,0,503
"Bristol School District","=""0170011""","West Bristol School","=""0172011""",27,85,102,117,98,88,107,87,91,99,0,0,0,0,901
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",0,62,55,61,57,78,52,0,0,0,0,0,0,0,365
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""",0,0,0,0,"*","*",6,"*","*","*","*","*",0,0,19
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",0,0,0,0,0,0,0,276,226,256,0,0,0,0,758
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""",0,0,0,0,0,0,0,138,180,182,0,0,0,0,500
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",0,0,0,0,0,0,0,0,0,0,350,293,332,287,1262
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",0,0,0,0,0,0,0,0,0,0,371,305,341,288,1305
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""",0,0,0,0,0,0,0,0,0,0,0,0,0,10,10
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""",37,177,202,0,0,0,0,0,0,0,0,0,0,0,416
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""",0,0,0,182,209,214,0,0,0,0,0,0,0,0,605
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""",0,0,0,0,0,0,175,222,212,242,0,0,0,0,851
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",0,0,0,0,0,0,0,0,0,0,209,231,232,246,918
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""",120,81,76,100,77,89,0,0,0,0,0,0,0,0,543
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""",0,0,0,0,0,0,95,104,92,103,0,0,0,0,394
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""",29,43,34,50,38,65,0,0,0,0,0,0,0,0,259
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""",0,0,0,0,0,0,67,61,47,56,0,0,0,0,231
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""",29,113,122,141,132,0,0,0,0,0,0,0,0,0,537
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""",0,0,0,0,0,161,142,127,0,0,0,0,0,0,430
"Canton School District","=""0230011""","Canton Middle School","=""0235111""",0,0,0,0,0,0,0,0,136,134,0,0,0,0,270
"Canton School District","=""0230011""","Canton High School","=""0236111""",0,0,0,0,0,0,0,0,0,0,119,126,140,126,511
"Capitol Region Education Council","=""2410014""","Academy of Science and Innovation","=""2416514""",35,0,0,0,0,0,0,45,43,45,67,52,48,0,335
"Capitol Region Education Council","=""2410014""","Ana Grace Academy of the Arts Elementary School","=""2410614""",111,53,0,0,0,0,0,0,0,0,0,0,0,0,164
"Capitol Region Education Council","=""2410014""","Discovery Academy","=""2418114""",120,59,42,0,0,0,0,0,0,0,0,0,0,0,221
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""",62,60,67,66,44,43,45,0,0,0,0,0,0,0,387
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""",101,60,58,63,53,22,0,0,0,0,0,0,0,0,357
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""",80,46,47,45,44,29,40,9,0,0,0,0,0,0,340
"Capitol Region Education Council","=""2410014""","Museum Academy","=""2410514""",90,55,42,39,40,45,0,0,0,0,0,0,0,0,311
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""",133,58,53,57,42,13,0,0,0,0,0,0,0,0,356
"Capitol Region Education Council","=""2410014""","River Street Early Learning Center (Site 2)","=""2419514""",14,6,"*",9,9,"*","*",7,8,"*","*",0,0,0,64
"Capitol Region Education Council","=""2410014""","Soundbridge","=""2419114""",60,"*","*","*",0,"*",0,"*",0,0,"*","*","*","*",86
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""",76,66,65,67,59,55,52,0,0,0,0,0,0,0,440
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""",0,"*","*","*","*",11,11,9,18,"*",7,14,13,53,151
"Capitol Region Education Council","=""2410014""","Integrated Program Models","=""2419414""",0,0,0,"*",0,0,0,0,0,"*","*",0,"*","*",6
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",0,0,0,0,0,0,0,111,110,84,66,48,40,32,491
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""",0,0,0,0,0,0,0,94,90,0,0,0,0,0,184
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",0,0,0,0,0,0,0,83,113,119,112,96,105,88,716
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""",0,0,0,0,0,0,0,70,52,76,65,51,43,20,377
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""",0,0,0,0,0,0,0,237,220,206,0,0,0,0,663
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""",0,0,0,0,0,0,0,0,"*",0,"*",8,7,"*",21
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""",0,0,0,0,0,0,0,0,"*","*",18,20,6,12,58
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""",0,0,0,0,0,0,0,0,0,"*","*","*","*","*",11
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",0,0,0,0,0,0,0,0,0,0,116,112,119,76,423
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""",0,0,0,0,0,0,0,0,0,0,96,0,0,0,96
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""",27,27,24,18,23,19,26,21,0,0,0,0,0,0,185
"Cheshire School District","=""0250011""","Darcey School","=""0250211""",70,236,0,0,0,0,0,0,0,0,0,0,0,0,306
"Cheshire School District","=""0250011""","Highland School","=""0250411""",0,0,112,115,133,135,129,152,0,0,0,0,0,0,776
"Cheshire School District","=""0250011""","Chapman School","=""0250111""",0,0,35,49,56,47,41,55,0,0,0,0,0,0,283
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""",0,0,77,89,95,99,105,74,0,0,0,0,0,0,539
"Cheshire School District","=""0250011""","Norton School","=""0250511""",0,0,56,71,89,73,76,90,0,0,0,0,0,0,455
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""",0,0,0,0,0,0,0,0,356,401,0,0,0,0,757
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",0,0,0,0,0,0,0,0,0,0,377,393,378,366,1514
"Cheshire School District","=""0250011""","Humiston School","=""0259011""",0,0,0,0,0,0,0,0,0,0,"*","*",6,11,25
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""",42,130,149,179,145,0,0,0,0,0,0,0,0,0,645
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""",0,0,0,0,0,147,164,0,0,0,0,0,0,0,311
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""",0,0,0,0,0,0,"*",154,"*",147,0,0,0,0,446
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",0,0,0,0,0,0,0,0,0,0,152,151,141,135,579
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""",76,170,171,195,0,0,0,0,0,0,0,0,0,0,612
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""",0,0,0,0,222,198,210,0,0,0,0,0,0,0,630
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""",0,0,0,0,0,0,0,229,245,227,0,0,0,0,701
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",0,0,0,0,0,0,0,0,0,0,205,221,248,263,937
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""",21,46,41,56,43,53,58,55,68,62,0,0,0,0,503
"Cooperative Educational Services","=""2430014""","School Readiness","=""2438014""",54,0,0,0,0,0,0,0,0,0,0,0,0,0,54
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""",80,53,57,45,47,38,42,47,31,33,0,0,0,0,473
"Cooperative Educational Services","=""2430014""","Preschool-Primary Learning Center (PLC)","=""2439114""",0,"*","*","*","*",9,9,10,7,"*","*",0,0,0,54
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""",0,0,"*","*",10,9,16,18,23,17,12,16,13,12,152
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","=""2439214""",0,0,0,0,0,0,0,0,"*","*",18,15,10,42,91
"Cooperative Educational Services","=""2430014""","RISE Transitional Program","=""2439314""",0,0,0,0,0,0,0,0,0,0,0,0,0,14,14
"Coventry School District","=""0320011""","Coventry Early Intervention Services","=""0328011""",16,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"Coventry School District","=""0320011""","Coventry Grammar School","=""0320211""",0,123,128,129,0,0,0,0,0,0,0,0,0,0,380
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""",0,0,0,0,129,138,141,0,0,0,0,0,0,0,408
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""",0,0,0,0,0,0,0,117,133,158,0,0,0,0,408
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",0,0,0,0,0,0,0,0,0,0,122,115,127,147,511
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""",21,148,149,168,0,0,0,0,0,0,0,0,0,0,486
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""",0,0,0,0,149,154,138,0,0,0,0,0,0,0,441
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""",0,0,0,0,0,0,0,170,158,181,0,0,0,0,509
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",0,0,0,0,0,0,0,0,0,0,145,122,131,137,535
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""","*",81,"*",60,66,77,67,0,0,0,0,0,0,0,411
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""","*",93,110,106,"*",0,0,0,0,0,0,0,0,0,404
"Danbury School District","=""0340011""","Mill Ridge Educational Center","=""0341811""",165,0,0,0,0,0,0,0,0,0,0,0,0,0,165
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""","*",101,"*",105,99,0,0,0,0,0,0,0,0,0,401
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""","*","*",89,64,66,75,62,0,0,0,0,0,0,0,416
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""",0,63,77,56,71,67,71,0,0,0,0,0,0,0,405
"Danbury School District","=""0340011""","Great Plain School","=""0341111""",0,55,71,53,44,61,43,0,0,0,0,0,0,0,327
"Danbury School District","=""0340011""","Morris Street School","=""0340611""",0,88,73,73,59,77,50,0,0,0,0,0,0,0,420
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""",0,90,72,76,67,64,62,0,0,0,0,0,0,0,431
"Danbury School District","=""0340011""","Pembroke School","=""0341511""",0,50,56,69,56,68,63,0,0,0,0,0,0,0,362
"Danbury School District","=""0340011""","South Street School","=""0341011""",0,57,72,58,55,60,66,0,0,0,0,0,0,0,368
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""",0,69,78,75,64,79,84,0,0,0,0,0,0,0,449
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""",0,65,66,75,75,75,75,0,0,0,0,0,0,0,431
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""",0,0,0,0,0,195,168,0,0,0,0,0,0,0,363
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""",0,0,0,0,0,0,0,351,378,365,0,0,0,0,1094
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""",0,0,0,0,0,0,0,413,374,413,0,0,0,0,1200
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",0,0,0,0,0,0,0,0,0,0,16,18,20,24,78
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",0,0,0,0,0,0,0,0,0,0,810,701,672,704,2887
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""",33,90,88,92,107,97,72,0,0,0,0,0,0,0,579
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""","*",79,80,69,78,"*",64,0,0,0,0,0,0,0,433
"Darien School District","=""0350011""","Tokeneke Elementary School","=""0350611""",44,73,86,68,88,72,65,0,0,0,0,0,0,0,496
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""",0,77,68,79,95,78,77,0,0,0,0,0,0,0,474
"Darien School District","=""0350011""","Royle Elementary School","=""0350511""",0,69,71,63,65,65,80,0,0,0,0,0,0,0,413
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""",0,0,0,0,0,0,0,378,389,368,0,0,0,0,1135
"Darien School District","=""0350011""","Darien High School","=""0356111""",0,0,0,0,0,0,0,0,0,0,351,332,334,312,1329
"Derby School District","=""0370011""","Bradley School","=""0370611""","*",58,65,66,55,53,"*",0,0,0,0,0,0,0,345
"Derby School District","=""0370011""","Irving School","=""0370411""",43,74,66,55,65,61,56,0,0,0,0,0,0,0,420
"Derby School District","=""0370011""","Derby Middle School","=""0375011""",0,0,0,0,0,0,0,127,135,104,0,0,0,0,366
"Derby School District","=""0370011""","Derby High School","=""0376111""",0,0,0,0,0,0,0,0,0,0,101,92,99,69,361
"East Granby School District","=""0400011""","Allgrove School","=""0400111""",10,58,44,67,62,0,0,0,0,0,0,0,0,0,241
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""",0,0,0,0,0,77,60,0,0,0,0,0,0,0,137
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""",0,0,0,0,0,0,0,79,70,64,0,0,0,0,213
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",0,0,0,0,0,0,0,0,0,0,74,64,64,69,271
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""",30,78,73,70,86,0,0,0,0,0,0,0,0,0,337
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""",0,0,0,0,0,105,105,94,98,106,0,0,0,0,508
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",0,0,0,0,0,0,0,0,0,0,86,117,99,97,399
"East Hampton School District","=""0420011""","Memorial School","=""0420111""",31,156,159,139,146,0,0,0,0,0,0,0,0,0,631
"East Hampton School District","=""0420011""","Center School","=""0420311""",0,0,0,0,0,141,144,0,0,0,0,0,0,0,285
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""",0,0,0,0,0,0,0,157,125,167,0,0,0,0,449
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",0,0,0,0,0,0,0,0,0,0,145,124,125,129,523
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","=""0429011""",0,0,0,0,0,0,0,0,0,0,"*","*",0,"*",6
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""",36,53,38,44,42,36,24,20,0,0,0,0,0,0,293
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""",29,50,46,47,57,24,22,0,0,0,0,0,0,0,275
"East Hartford School District","=""0430011""","Willowbrook Early Childhood","=""0438011""",237,0,0,0,0,0,0,0,0,0,0,0,0,0,237
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""",0,53,49,42,48,41,26,21,0,0,0,0,0,0,280
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""",0,60,63,67,59,65,35,22,0,0,0,0,0,0,371
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""",0,47,73,61,58,62,48,38,0,0,0,0,0,0,387
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""",0,74,80,100,92,73,48,37,0,0,0,0,0,0,504
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""",0,58,62,67,44,29,43,20,0,0,0,0,0,0,323
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""",0,47,40,54,49,47,36,41,0,0,0,0,0,0,314
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""",0,75,68,54,54,83,108,64,0,0,0,0,0,0,506
"East Hartford School District","=""0430011""","Woodland School","=""0439011""",0,"*","*",9,12,11,13,13,16,15,22,22,26,24,191
