"Student Counts by School and English Learner Status"
"All Districts, All Schools"
"2012-13"

"",,,,"English Learner Status",,
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",659,0,659
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",846,6,852
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""","*","*",640
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",758,0,758
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",550,20,570
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","=""2439214""",91,0,91
"Cooperative Educational Services","=""2430014""","Preschool-Primary Learning Center (PLC)","=""2439114""",54,0,54
"Cooperative Educational Services","=""2430014""","RISE Transitional Program","=""2439314""",14,0,14
"Cooperative Educational Services","=""2430014""","School Readiness","=""2438014""",54,0,54
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""",473,0,473
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""",152,0,152
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""","*","*",103
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""",408,0,408
"Coventry School District","=""0320011""","Coventry Early Intervention Services","=""0328011""",16,0,16
"Coventry School District","=""0320011""","Coventry Grammar School","=""0320211""",380,0,380
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",511,0,511
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""",408,0,408
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""","*","*",535
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""","*","*",509
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""",463,23,486
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""",431,10,441
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""","*","*",78
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""",1003,91,1094
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",2486,401,2887
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""",230,175,405
"Danbury School District","=""0340011""","Great Plain School","=""0341111""",217,110,327
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""",319,92,411
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""",318,45,363
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""",268,136,404
"Danbury School District","=""0340011""","Mill Ridge Educational Center","=""0341811""",165,0,165
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""",322,79,401
"Danbury School District","=""0340011""","Morris Street School","=""0340611""",242,178,420
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""",245,186,431
"Danbury School District","=""0340011""","Pembroke School","=""0341511""",314,48,362
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""",1036,164,1200
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""",295,121,416
"Danbury School District","=""0340011""","South Street School","=""0341011""",222,146,368
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""",357,92,449
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""",393,38,431
"Darien School District","=""0350011""","Darien High School","=""0356111""","*","*",1329
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""","*","*",579
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""","*","*",433
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""","*","*",1135
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""","*","*",474
"Darien School District","=""0350011""","Royle Elementary School","=""0350511""","*","*",413
"Darien School District","=""0350011""","Tokeneke Elementary School","=""0350611""",496,0,496
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""",337,10,347
"Department of Mental Health and Addiction Services","=""3370015""","Connecticut Valley Hospital","=""3370215""","*",0,"*"
"Derby School District","=""0370011""","Bradley School","=""0370611""",327,18,345
"Derby School District","=""0370011""","Derby High School","=""0376111""",340,21,361
"Derby School District","=""0370011""","Derby Middle School","=""0375011""",343,23,366
"Derby School District","=""0370011""","Irving School","=""0370411""",386,34,420
"East Granby School District","=""0400011""","Allgrove School","=""0400111""",234,7,241
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",271,0,271
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""",213,0,213
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""",137,0,137
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""","*","*",337
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",399,0,399
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""",508,0,508
"East Hampton School District","=""0420011""","Center School","=""0420311""","*","*",285
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""","*","*",523
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""","*","*",449
"East Hampton School District","=""0420011""","Memorial School","=""0420111""",621,10,631
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","=""0429011""",6,0,6
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""",233,47,280
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",188,0,188
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""",320,51,371
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""",336,51,387
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""",481,23,504
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",1532,110,1642
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""",965,79,1044
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""",295,28,323
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""",273,20,293
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""",301,13,314
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""",432,74,506
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""",254,21,275
"East Hartford School District","=""0430011""","Stevens Alternate High School","=""0436411""",161,12,173
"East Hartford School District","=""0430011""","Sunset Ridge Middle School","=""0432411""",283,25,308
"East Hartford School District","=""0430011""","Willowbrook Early Childhood","=""0438011""",237,0,237
"East Hartford School District","=""0430011""","Woodland School","=""0439011""",183,8,191
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""",269,10,279
"East Haven School District","=""0440011""","D. C. Moore School","=""0441411""",243,26,269
"East Haven School District","=""0440011""","Deer Run School","=""0440111""",287,42,329
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""",208,20,228
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",901,22,923
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""",176,11,187
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""",568,26,594
"East Haven School District","=""0440011""","Momauguin School","=""0440711""",160,20,180
"East Haven School District","=""0440011""","Overbrook Elementary School","=""0441811""",163,27,190
"East Haven School District","=""0440011""","Pathways","=""0449011""",39,0,39
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""","*","*",1129
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""","*","*",871
"East Lyme School District","=""0450011""","Flanders School","=""0450111""",348,13,361
"East Lyme School District","=""0450011""","Integrated Preschool","=""0458011""",40,0,40
"East Lyme School District","=""0450011""","Lillie B. Haynes School","=""0450411""",329,6,335
"East Lyme School District","=""0450011""","Niantic Center School","=""0450211""","*","*",198
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""",472,42,514
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""","*","*",362
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""",364,14,378
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","*","*",136
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EastConn Special Education","=""2539014""","*","*",83
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""","*","*",111
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""",168,0,168
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""","*","*",390
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""","*","*",629
"EdAdvance","=""2420014""","EdAdvance Headstart","=""2428014""",216,0,216
"EdAdvance","=""2420014""","The ACCESS School at The Danuta M. Thibodeau Education Center","=""2429014""",33,0,33
"Ellington School District","=""0480011""","Center School","=""0480111""","*","*",432
"Ellington School District","=""0480011""","Crystal Lake School","=""0480211""","*","*",210
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",782,7,789
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""","*","*",428
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""",416,6,422
"Ellington School District","=""0480011""","Windermere School","=""0480611""",416,17,433
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""",573,31,604
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""","*","*",359
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""",382,14,396
"Enfield School District","=""0490011""","Enfield High School","=""0496111""","*","*",727
"Enfield School District","=""0490011""","Enfield Street School","=""0490211""",286,16,302
"Enfield School District","=""0490011""","Enfield Transitional Learning Academy","=""0499011""",21,0,21
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""","*","*",988
"Enfield School District","=""0490011""","Hazardville Memorial School","=""0490411""",359,22,381
"Enfield School District","=""0490011""","Head Start Program","=""0498011""",104,0,104
"Enfield School District","=""0490011""","Henry Barnard School","=""0491811""",373,12,385
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""",1137,11,1148
"Enfield School District","=""0490011""","Nathan Hale School","=""0491111""",216,6,222
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""",419,7,426
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""","*","*",528
"Explorations District","=""2720013""","Explorations","=""2726113""",73,0,73
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""",432,13,445
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""",278,0,278
"Fairfield School District","=""0510011""","Early Childhood Center","=""0518011""",132,0,132
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""",1541,11,1552
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""",1400,18,1418
"Fairfield School District","=""0510011""","Fairfield Woods Middle School","=""0515211""",845,6,851
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""",357,23,380
"Fairfield School District","=""0510011""","Jennings School","=""0511711""","*","*",334
"Fairfield School District","=""0510011""","McKinley School","=""0510611""",377,63,440
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""",438,7,445
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""","*","*",454
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""","*","*",518
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""","*","*",409
"Fairfield School District","=""0510011""","Roger Ludlowe Middle School","=""0515311""",931,9,940
"Fairfield School District","=""0510011""","Sherman School","=""0511311""","*","*",449
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""",493,12,505
"Fairfield School District","=""0510011""","Tomlinson Middle School","=""0515111""",728,16,744
"Farmington School District","=""0520011""","East Farms School","=""0520411""",422,13,435
"Farmington School District","=""0520011""","Farmington Collaborative PK","=""0528011""",61,0,61
"Farmington School District","=""0520011""","Farmington High School","=""0526111""","*","*",1322
"Farmington School District","=""0520011""","Irving A. Robbins Middle School","=""0525111""","*","*",610
"Farmington School District","=""0520011""","Noah Wallace School","=""0520211""",346,12,358
"Farmington School District","=""0520011""","Union School","=""0520111""","*","*",320
"Farmington School District","=""0520011""","West District School","=""0520311""",358,7,365
"Farmington School District","=""0520011""","West Woods Upper Elementary School","=""0520511""",571,7,578
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""",200,0,200
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""",477,9,486
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""","*","*",319
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""","*","*",525
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""",2224,15,2239
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""","*","*",471
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""","*","*",456
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""",417,25,442
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""","*","*",623
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""",1014,11,1025
"Granby School District","=""0560011""","Frank M. Kearns Primary School","=""0560111""","*","*",386
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""","*","*",759
"Granby School District","=""0560011""","Granby Memorial Middle School","=""0565111""","*","*",329
"Granby School District","=""0560011""","Kelly Lane Primary School","=""0560411""","*","*",327
"Granby School District","=""0560011""","Wells Road Intermediate School","=""0560311""","*","*",303
"Greenwich School District","=""0570011""","Central Middle School","=""0575111""",582,17,599
"Greenwich School District","=""0570011""","Cos Cob School","=""0570211""",410,24,434
"Greenwich School District","=""0570011""","Eastern Middle School","=""0575211""",759,23,782
"Greenwich School District","=""0570011""","Glenville School","=""0570411""",388,19,407
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""",2590,87,2677
"Greenwich School District","=""0570011""","Hamilton Avenue School","=""0570511""",357,52,409
"Greenwich School District","=""0570011""","International School At Dundee","=""0571311""",354,15,369
"Greenwich School District","=""0570011""","Julian Curtiss School","=""0570311""",303,41,344
"Greenwich School District","=""0570011""","New Lebanon School","=""0570611""",207,54,261
"Greenwich School District","=""0570011""","North Mianus School","=""0570711""",434,31,465
"Greenwich School District","=""0570011""","North Street School","=""0570811""",395,19,414
"Greenwich School District","=""0570011""","Old Greenwich School","=""0570911""",411,14,425
"Greenwich School District","=""0570011""","Parkway School","=""0571111""",265,7,272
"Greenwich School District","=""0570011""","Riverside School","=""0571011""",443,39,482
