"Student Counts by School and Gender"
"All Districts, All Schools"
"2013-14"

"",,,,"Gender",,
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""",182,192,374
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""",196,204,400
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""",178,242,420
"Brass City Charter School District","=""2900013""","Brass City Charter School","=""2900113""",64,51,115
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",420,415,835
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""",86,149,235
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",301,325,626
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",490,630,1120
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",192,184,376
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""",167,62,229
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",188,218,406
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",517,610,1127
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",9,48,57
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""",44,72,116
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",188,225,413
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",922,916,1838
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",530,643,1173
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""",172,168,340
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",419,467,886
"Bridgeport School District","=""0150011""","Cross School","=""0153911""",193,220,413
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""",328,409,737
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""",153,150,303
"Bridgeport School District","=""0150011""","Edison School","=""0150711""",114,137,251
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""",409,434,843
"Bridgeport School District","=""0150011""","Hall School","=""0151111""",140,135,275
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""",149,183,332
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",562,543,1105
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""",223,199,422
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""",184,203,387
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""",86,150,236
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""",248,263,511
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",323,332,655
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",433,471,904
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",243,296,539
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",258,191,449
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",272,219,491
"Bridgeport School District","=""0150011""","Pride Academy","=""0151811""",23,34,57
"Bridgeport School District","=""0150011""","Read School","=""0152511""",400,439,839
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",266,298,564
"Bridgeport School District","=""0150011""","Skane Center","=""0154411""",106,198,304
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",252,262,514
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",341,344,685
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","*","*",14
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",592,650,1242
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",627,672,1299
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",342,376,718
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""","*","*",13
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",171,184,355
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""",206,218,424
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",425,465,890
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",178,219,397
"Bristol School District","=""0170011""","Mountain View School","=""0171711""",227,210,437
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""",223,230,453
"Bristol School District","=""0170011""","South Side School","=""0171111""",237,266,503
"Bristol School District","=""0170011""","Stafford School","=""0171211""",252,252,504
"Bristol School District","=""0170011""","West Bristol School","=""0172011""",460,485,945
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",458,443,901
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""",185,195,380
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""",301,323,624
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""",440,419,859
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""",265,280,545
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""",170,204,374
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""",41,36,77
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""",110,115,225
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""",94,139,233
"Canton School District","=""0230011""","Canton High School","=""0236111""",225,274,499
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""",224,210,434
"Canton School District","=""0230011""","Canton Middle School","=""0235111""",140,125,265
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""",245,245,490
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",146,416,562
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering Elementary","=""2410714""",95,127,222
"Capitol Region Education Council","=""2410014""","Academy of Science and Innovation","=""2416514""",286,75,361
"Capitol Region Education Council","=""2410014""","Ana Grace Academy of the Arts Elementary School","=""2410614""",114,103,217
"Capitol Region Education Council","=""2410014""","Discovery Academy","=""2418114""",117,165,282
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""",8,14,22
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""",191,219,410
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",333,105,438
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""",214,113,327
"Capitol Region Education Council","=""2410014""","Integrated Program Models","=""2419414""","*","*","*"
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""",212,203,415
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""",17,36,53
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","*","*",8
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",403,319,722
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""",177,165,342
"Capitol Region Education Council","=""2410014""","Museum Academy","=""2410514""",217,188,405
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""",132,272,404
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""",191,201,392
"Capitol Region Education Council","=""2410014""","River Street Early Learning Center (Site 2)","=""2419514""",16,48,64
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""",22,123,145
"Capitol Region Education Council","=""2410014""","Soundbridge","=""2419114""",39,44,83
"Capitol Region Education Council","=""2410014""","Strive (Southern Transition Real-World and Independent Vocational Education Program","=""2419714""","*","*",8
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""",92,97,189
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""",287,373,660
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""",217,224,441
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""",91,92,183
"Cheshire School District","=""0250011""","Chapman School","=""0250111""",158,140,298
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",737,801,1538
"Cheshire School District","=""0250011""","Darcey School","=""0250211""",129,164,293
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""",361,386,747
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""",269,260,529
"Cheshire School District","=""0250011""","Highland School","=""0250411""",367,373,740
"Cheshire School District","=""0250011""","Humiston School","=""0259011""",7,13,20
"Cheshire School District","=""0250011""","Norton School","=""0250511""",224,205,429
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""",127,101,228
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""",129,167,296
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""",235,227,462
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""",310,328,638
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",283,275,558
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",481,419,900
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""",266,285,551
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""",281,333,614
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""",334,334,668
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""",45,54,99
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""",231,236,467
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",82,98,180
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",427,374,801
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",427,378,805
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",275,371,646
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",246,296,542
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",205,330,535
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",199,368,567
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",354,447,801
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",145,440,585
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",231,406,637
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",170,497,667
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",248,432,680
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",229,418,647
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",311,525,836
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",182,474,656
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",349,394,743
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",188,362,550
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","=""2439214""",25,69,94
"Cooperative Educational Services","=""2430014""","Preschool-Primary Learning Center (PLC)","=""2439114""",16,35,51
"Cooperative Educational Services","=""2430014""","RISE Transitional Program","=""2439314""","*","*",12
"Cooperative Educational Services","=""2430014""","School Readiness","=""2438014""",28,26,54
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""",236,235,471
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""",19,121,140
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""",42,63,105
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""",186,207,393
"Coventry School District","=""0320011""","Coventry Early Intervention Services","=""0328011""","*","*",20
"Coventry School District","=""0320011""","Coventry Grammar School","=""0320211""",190,187,377
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",270,248,518
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""",195,182,377
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",272,277,549
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""",228,226,454
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""",215,253,468
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""",225,252,477
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",44,39,83
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""",542,550,1092
"Danbury School District","=""0340011""","DPS Early Childhood Center","=""0340111""",57,82,139
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",1375,1503,2878
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""",201,234,435
"Danbury School District","=""0340011""","Great Plain School","=""0341111""",178,178,356
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""",237,232,469
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""",192,178,370
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""",209,208,417
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""",207,205,412
"Danbury School District","=""0340011""","Morris Street School","=""0340611""",208,260,468
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""",220,213,433
"Danbury School District","=""0340011""","Pembroke School","=""0341511""",169,207,376
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""",603,597,1200
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""",195,221,416
"Danbury School District","=""0340011""","South Street School","=""0341011""",172,203,375
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""",218,214,432
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""",222,201,423
"Darien School District","=""0350011""","Darien High School","=""0356111""",671,683,1354
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""",268,297,565
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""",228,226,454
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""",547,581,1128
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""",208,250,458
"Darien School District","=""0350011""","Royle Elementary School","=""0350511""",208,244,452
"Darien School District","=""0350011""","Tokeneke Elementary School","=""0350611""",244,248,492
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""",167,163,330
"Department of Mental Health and Addiction Services","=""3370015""","Connecticut Valley Hospital","=""3370215""","*","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","Greater Bridgeport Community Mental Health Center","=""3370515""",0,"*","*"
"Derby School District","=""0370011""","Bradley School","=""0370611""",190,186,376
"Derby School District","=""0370011""","Derby High School","=""0376111""",186,195,381
"Derby School District","=""0370011""","Derby Middle School","=""0375011""",187,177,364
"Derby School District","=""0370011""","Irving School","=""0370411""",184,194,378
"East Granby School District","=""0400011""","Allgrove School","=""0400111""",88,106,194
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",120,139,259
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""",109,99,208
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""",95,112,207
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""",167,159,326
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",192,180,372
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""",226,262,488
"East Hampton School District","=""0420011""","Center School","=""0420311""",138,157,295
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",286,234,520
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""",197,226,423
"East Hampton School District","=""0420011""","Memorial School","=""0420111""",305,321,626
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","=""0429011""","*","*",7
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""",137,159,296
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",124,73,197
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""",176,188,364
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""",186,216,402
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""",261,272,533
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",853,829,1682
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""",517,584,1101
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""",169,174,343
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""",167,155,322
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""",145,156,301
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""",226,272,498
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""",159,145,304
"East Hartford School District","=""0430011""","Stevens Alternate High School","=""0436411""",36,69,105
"East Hartford School District","=""0430011""","Sunset Ridge Middle School","=""0432411""",152,101,253
"East Hartford School District","=""0430011""","Willowbrook Early Childhood","=""0438011""",105,126,231
"East Hartford School District","=""0430011""","Woodland School","=""0439011""",30,169,199
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""",143,126,269
"East Haven School District","=""0440011""","D. C. Moore School","=""0441411""",102,113,215
"East Haven School District","=""0440011""","Deer Run School","=""0440111""",165,164,329
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""",97,105,202
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",447,460,907
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""",90,83,173
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""",250,321,571
"East Haven School District","=""0440011""","Momauguin School","=""0440711""",77,75,152
"East Haven School District","=""0440011""","Overbrook Elementary School","=""0441811""",85,108,193
"East Haven School District","=""0440011""","Pathways","=""0449011""",11,29,40
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",536,527,1063
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""",438,437,875
"East Lyme School District","=""0450011""","Flanders School","=""0450111""",162,192,354
"East Lyme School District","=""0450011""","Integrated Preschool","=""0458011""",20,21,41
"East Lyme School District","=""0450011""","Lillie B. Haynes School","=""0450411""",169,170,339
"East Lyme School District","=""0450011""","Niantic Center School","=""0450211""",99,91,190
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""",248,258,506
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",166,182,348
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""",174,171,345
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""",104,40,144
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EastConn Special Education","=""2539014""",20,75,95
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""",72,55,127
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""",74,78,152
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""",147,204,351
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""",300,310,610
"EdAdvance","=""2420014""","EdAdvance Headstart","=""2428014""",93,96,189
"EdAdvance","=""2420014""","The ACCESS School at The Danuta M. Thibodeau Education Center","=""2429014""",13,27,40
"Ellington School District","=""0480011""","Center School","=""0480111""",201,192,393
"Ellington School District","=""0480011""","Crystal Lake School","=""0480211""",98,105,203
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",405,392,797
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""",197,212,409
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""",190,226,416
"Ellington School District","=""0480011""","Windermere School","=""0480611""",220,219,439
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""",346,278,624
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""",169,167,336
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""",176,208,384
"Enfield School District","=""0490011""","Enfield High School","=""0496111""",342,365,707
"Enfield School District","=""0490011""","Enfield Street School","=""0490211""",144,144,288
"Enfield School District","=""0490011""","Enfield Transitional Learning Academy","=""0499011""",8,7,15
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""",442,476,918
"Enfield School District","=""0490011""","Hazardville Memorial School","=""0490411""",156,198,354
"Enfield School District","=""0490011""","Head Start Program","=""0498011""",59,45,104
"Enfield School District","=""0490011""","Henry Barnard School","=""0491811""",165,175,340
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""",532,589,1121
"Enfield School District","=""0490011""","Nathan Hale School","=""0491111""",117,104,221
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""",207,211,418
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""",237,271,508
"Explorations District","=""2720013""","Explorations","=""2726113""",41,42,83
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""",213,240,453
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""",142,164,306
"Fairfield School District","=""0510011""","Early Childhood Center","=""0518011""",35,75,110
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""",799,710,1509
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""",728,731,1459
"Fairfield School District","=""0510011""","Fairfield Woods Middle School","=""0515211""",440,486,926
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""",205,193,398
"Fairfield School District","=""0510011""","Jennings School","=""0511711""",133,194,327
"Fairfield School District","=""0510011""","McKinley School","=""0510611""",230,228,458
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""",211,218,429
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""",212,232,444
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""",254,272,526
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""",194,205,399
"Fairfield School District","=""0510011""","Roger Ludlowe Middle School","=""0515311""",423,437,860
"Fairfield School District","=""0510011""","Sherman School","=""0511311""",234,223,457
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""",227,270,497
"Fairfield School District","=""0510011""","Tomlinson Middle School","=""0515111""",352,346,698
"Farmington School District","=""0520011""","East Farms School","=""0520411""",212,221,433
"Farmington School District","=""0520011""","Farmington Collaborative PK","=""0528011""",38,38,76
"Farmington School District","=""0520011""","Farmington High School","=""0526111""",606,708,1314
"Farmington School District","=""0520011""","Irving A. Robbins Middle School","=""0525111""",269,302,571
"Farmington School District","=""0520011""","Noah Wallace School","=""0520211""",163,175,338
"Farmington School District","=""0520011""","Union School","=""0520111""",154,162,316
"Farmington School District","=""0520011""","West District School","=""0520311""",162,179,341
"Farmington School District","=""0520011""","West Woods Upper Elementary School","=""0520511""",315,305,620
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""",85,96,181
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""",246,233,479
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""",143,151,294
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""",261,248,509
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""",1119,1021,2140
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""",208,233,441
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""",209,229,438
"Glastonbury School District","=""0540011""","Links Academy","=""0540111""",22,16,38
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""",220,193,413
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""",319,290,609
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""",495,539,1034
"Granby School District","=""0560011""","Frank M. Kearns Primary School","=""0560111""",192,198,390
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""",350,374,724
"Granby School District","=""0560011""","Granby Memorial Middle School","=""0565111""",165,167,332
"Granby School District","=""0560011""","Kelly Lane Primary School","=""0560411""",154,162,316
"Granby School District","=""0560011""","Wells Road Intermediate School","=""0560311""",142,146,288
"Greenwich School District","=""0570011""","Central Middle School","=""0575111""",289,306,595
