"Student Counts by School and Free/Reduced Lunch Eligibility"
"All Districts, All Schools"
"2015-16"

"",,,,"Free/Reduced Lunch Eligibility",,,
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""","*",71,"*",84
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""",55,379,11,445
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",56,108,22,186
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",475,249,44,768
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",409,324,51,784
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",308,289,39,636
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",361,152,38,551
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",221,249,35,505
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",189,346,38,573
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",237,464,59,760
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",159,430,34,623
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",174,400,66,640
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",194,412,47,653
"Connecticut Technical High School System","=""9000016""","J. M. Wright Technical High School","=""9002116""",121,114,15,250
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",138,481,38,657
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",117,506,34,657
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",246,516,49,811
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",161,394,33,588
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",280,419,59,758
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",160,294,42,496
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","=""2439214""",23,53,11,87
"Cooperative Educational Services","=""2430014""","Preschool-Primary Learning Center (PLC)","=""2439114""",19,30,8,57
"Cooperative Educational Services","=""2430014""","RISE Transitional Program","=""2439314""","*",15,"*",17
"Cooperative Educational Services","=""2430014""","School Readiness","=""2438014""",25,42,23,90
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""",77,358,33,468
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""",51,79,20,150
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""",15,77,0,92
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""",74,307,16,397
"Coventry School District","=""0320011""","Coventry Academy","=""0320111""","*","*",0,12
"Coventry School District","=""0320011""","Coventry Grammar School","=""0320211""",56,282,10,348
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",77,377,11,465
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""",63,288,14,365
"Coventry School District","=""0320011""","Hale Early Education Center","=""0320311""","*","*",0,38
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",82,470,26,578
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""",59,365,23,447
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""",84,380,13,477
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""",80,378,22,480
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",71,15,8,94
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""",439,485,115,1039
"Danbury School District","=""0340011""","DPS Early Childhood Center","=""0340111""",48,82,11,141
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",1052,1615,274,2941
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""",256,89,87,432
"Danbury School District","=""0340011""","Great Plain School","=""0341111""",164,163,27,354
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""",223,194,53,470
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""",138,201,30,369
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""",159,225,25,409
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""",120,201,29,350
"Danbury School District","=""0340011""","Morris Street School","=""0340611""",248,53,56,357
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""",334,173,88,595
"Danbury School District","=""0340011""","Pembroke School","=""0341511""",152,182,34,368
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""",509,311,118,938
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""",201,249,70,520
"Danbury School District","=""0340011""","South Street School","=""0341011""",237,88,53,378
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""",201,248,47,496
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""",79,286,25,390
"Danbury School District","=""0340011""","Westside Middle School Academy","=""0340311""",133,310,53,496
"Darien School District","=""0350011""","Darien High School","=""0356111""","*",1329,"*",1356
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""","*",494,"*",501
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""","*",458,"*",462
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""","*",1143,"*",1167
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""",0,"*","*",458
"Darien School District","=""0350011""","Royle Elementary School","=""0350511""",12,421,0,433
"Darien School District","=""0350011""","Tokeneke Elementary School","=""0350611""","*",474,"*",479
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""",39,250,15,304
"Department of Mental Health and Addiction Services","=""3370015""","Connecticut Valley Hospital","=""3370215""","*",0,0,"*"
"Derby School District","=""0370011""","Bradley School","=""0370611""",113,216,18,347
"Derby School District","=""0370011""","Derby High School","=""0376111""",171,134,39,344
"Derby School District","=""0370011""","Derby Middle School","=""0375011""",160,147,25,332
"Derby School District","=""0370011""","Irving School","=""0370411""",209,108,11,328
"Derby School District","=""0370011""","Little Raiders University","=""0370111""","*","*",0,33
"Derby School District","=""0370011""","RAISE Academy","=""0370511""","*",0,0,"*"
"East Granby School District","=""0400011""","Allgrove School","=""0400111""",33,173,0,206
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",28,236,0,264
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""",30,166,0,196
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""",27,175,0,202
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""",38,258,13,309
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",32,273,16,321
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""",57,363,11,431
"East Hampton School District","=""0420011""","Center School","=""0420311""","*",263,"*",297
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",63,442,10,515
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""",49,373,11,433
"East Hampton School District","=""0420011""","Memorial School","=""0420111""",78,548,11,637
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","=""0429011""","*","*",0,6
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""",208,104,0,312
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",44,130,18,192
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""",235,121,0,356
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""",180,123,19,322
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""",219,252,38,509
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",788,726,135,1649
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""",607,389,78,1074
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""",146,176,22,344
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""",188,133,15,336
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""",138,134,26,298
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""",277,186,12,475
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""",204,70,0,274
"East Hartford School District","=""0430011""","Stevens Alternate High School","=""0436411""",67,37,6,110
"East Hartford School District","=""0430011""","Sunset Ridge Middle School","=""0432411""",106,87,11,204
"East Hartford School District","=""0430011""","Willowbrook Early Childhood","=""0438011""",140,"*","*",229
"East Hartford School District","=""0430011""","Woodland School","=""0439011""",126,"*","*",182
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""",58,178,28,264
"East Haven School District","=""0440011""","D. C. Moore School","=""0441411""",110,79,18,207
"East Haven School District","=""0440011""","Deer Run School","=""0440111""",95,186,27,308
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""",70,105,14,189
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",302,521,66,889
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""",75,81,16,172
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""",246,262,81,589
"East Haven School District","=""0440011""","Momauguin School","=""0440711""",88,85,13,186
"East Haven School District","=""0440011""","Overbrook Elementary School","=""0441811""",82,71,13,166
"East Lyme School District","=""0450011""","Abilities in Motion (AIM) Program","=""0450511""",0,16,0,16
"East Lyme School District","=""0450011""","Coastal Connections","=""0450611""","*",11,"*",19
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",111,899,35,1045
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""",118,706,24,848
"East Lyme School District","=""0450011""","Flanders School","=""0450111""",46,285,12,343
"East Lyme School District","=""0450011""","Integrated Preschool","=""0458011""","*",48,"*",58
"East Lyme School District","=""0450011""","Lillie B. Haynes School","=""0450411""",44,235,11,290
"East Lyme School District","=""0450011""","Medically Fragile Program (WAVES)","=""0450711""","*","*",0,"*"
"East Lyme School District","=""0450011""","Niantic Center School","=""0450211""",24,133,11,168
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""",127,230,24,381
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",101,203,20,324
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""",144,218,26,388
"East Windsor School District","=""0470011""","East Windsor Transition Program","=""0470411""","*",0,"*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","*",87,"*",129
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EastConn Special Education","=""2539014""",66,44,7,117
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""",73,97,9,179
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""",25,109,0,134
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""","*",295,"*",309
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""","*",592,"*",612
"EdAdvance","=""2420014""","EdAdvance Headstart","=""2428014""",213,0,0,213
"EdAdvance","=""2420014""","The ACCESS School at The Danuta M. Thibodeau Education Center","=""2429014""",8,6,0,14
"Ellington School District","=""0480011""","Center School","=""0480111""","*",327,"*",361
"Ellington School District","=""0480011""","Crystal Lake School","=""0480211""","*",183,"*",201
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",57,703,11,771
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""","*",381,"*",420
