"Classes Taught by High Quality Teachers, Trend"
"All Districts, All Schools"
"Note:"
"* Core academic subjects are Art, Elementary,English Language Arts, Kindergarten, Mathematics, Music, Reading, Science, Social Studies, and World Languages, including those classes of these subjects that are taught in a special education or English learner environment. To be considered highly qualified, a teacher must be fully certified in the subject area and grade level they are teaching."

"",,,,"Percent of Classes Taught by Highly Qualified Teachers",,
"Bristol School District",="0170011","Northeast Middle School",="0175211",100.0,100.0,100.0
"Bristol School District",="0170011","South Side Extended Resource",="0173011",N/A,N/A,100.0
"Bristol School District",="0170011","South Side School",="0171111",96.5,100.0,100.0
"Bristol School District",="0170011","Stafford School",="0171211",98.2,100.0,100.0
"Bristol School District",="0170011","West Bristol School",="0172011",100.0,100.0,100.0
"Brookfield School District",="0180011","Brookfield High School",="0186111",100.0,98.3,100.0
"Brookfield School District",="0180011","Center Elementary School",="0180311",100.0,100.0,100.0
"Brookfield School District",="0180011","Huckleberry Hill Elementary School",="0180411",100.0,100.0,100.0
"Brookfield School District",="0180011","Whisconier Middle School",="0185311",100.0,97.9,100.0
"Brooklyn School District",="0190011","Brooklyn Elementary School",="0190111",100.0,100.0,100.0
"Brooklyn School District",="0190011","Brooklyn Middle School",="0195111",100.0,99.0,100.0
"Canaan School District",="0210011","Lee H. Kellogg School",="0210111",92.9,100.0,100.0
"Canterbury School District",="0220011","Canterbury Elementary School",="0220211",100.0,100.0,100.0
"Canterbury School District",="0220011","Dr. Helen Baldwin Middle School",="0225111",100.0,100.0,93.2
"Canton School District",="0230011","Canton Academy",="0230411",N/A,100.0,100.0
"Canton School District",="0230011","Canton High School",="0236111",100.0,100.0,100.0
"Canton School District",="0230011","Canton Intermediate School",="0230311",92.8,100.0,100.0
"Canton School District",="0230011","Canton Middle School",="0235111",100.0,100.0,100.0
"Canton School District",="0230011","Cherry Brook Primary School",="0230211",100.0,100.0,100.0
"Capital Preparatory Harbor School Inc. District",="2970013","Capital Preparatory Harbor School Inc.",="2970113",N/A,N/A,60.0
"Capitol Region Education Council",="2410014","Academy of Aerospace and Engineering",="2415114",100.0,100.0,99.5
"Capitol Region Education Council",="2410014","Academy of Aerospace and Engineering Elementary",="2410714",100.0,100.0,100.0
"Capitol Region Education Council",="2410014","Academy of Science and Innovation",="2416514",100.0,100.0,100.0
"Capitol Region Education Council",="2410014","Ana Grace Academy of the Arts Elementary School",="2410614",100.0,100.0,100.0
"Capitol Region Education Council",="2410014","Discovery Academy",="2418114",84.6,100.0,100.0
"Capitol Region Education Council",="2410014","Farmington Valley Regional Diagnostic Center",="2419214",100.0,100.0,100.0
"Capitol Region Education Council",="2410014","Glastonbury/East Hartford Magnet School",="2410114",100.0,100.0,100.0
"Capitol Region Education Council",="2410014","Greater Hartford Academy of  the Arts High School - Full Time",="2416414",96.2,100.0,100.0
"Capitol Region Education Council",="2410014","Greater Hartford Academy of the Arts Magnet Middle",="2415314",97.5,100.0,100.0
"Capitol Region Education Council",="2410014","Integrated Program Models",="2419414",100.0,100.0,100.0
"Capitol Region Education Council",="2410014","International Magnet School for Global Citizenship",="2410414",100.0,100.0,100.0
"Capitol Region Education Council",="2410014","John J. Allison Polaris Center",="2419014",100.0,100.0,100.0
"Capitol Region Education Council",="2410014","Lincoln Academy Regional Interdistrict Collaborative",="2419614",100.0,N/A,N/A
"Capitol Region Education Council",="2410014","Metropolitan Learning Center for Global and International Studies",="2416114",98.0,95.2,100.0
"Capitol Region Education Council",="2410014","Montessori Magnet School",="2413114",100.0,98.3,89.9
"Capitol Region Education Council",="2410014","Museum Academy",="2410514",100.0,100.0,100.0
"Capitol Region Education Council",="2410014","Public Safety Academy",="2415214",100.0,97.9,100.0
"Capitol Region Education Council",="2410014","Reggio Magnet School of the Arts",="2410314",92.7,100.0,100.0
"Capitol Region Education Council",="2410014","River Street Early Learning Center (Site 2)",="2419514",100.0,100.0,N/A
"Capitol Region Education Council",="2410014","River Street School",="2419314",100.0,100.0,100.0
"Capitol Region Education Council",="2410014","Soundbridge",="2419114",100.0,94.6,100.0
"Capitol Region Education Council",="2410014","Soundbridge @ Museum Academy",="2411214",N/A,100.0,N/A
"Capitol Region Education Council",="2410014","Strive (Southern Transition Real-World and Independent Vocational Education Program",="2419714",100.0,100.0,100.0
"Capitol Region Education Council",="2410014","Two Rivers Magnet High School",="2416714",87.5,100.0,100.0
"Capitol Region Education Council",="2410014","Two Rivers Magnet Middle School",="2415014",100.0,100.0,100.0
"Capitol Region Education Council",="2410014","University of Hartford Magnet School",="2410214",98.4,100.0,98.7
"Chaplin School District",="0240011","Chaplin Elementary School",="0240211",100.0,100.0,100.0
"Cheshire School District",="0250011","Chapman School",="0250111",100.0,100.0,100.0
"Cheshire School District",="0250011","Cheshire High School",="0256111",100.0,100.0,100.0
"Cheshire School District",="0250011","Cheshire Quinnipiac University Transition Collaborative",="0250311",N/A,100.0,N/A
"Cheshire School District",="0250011","Darcey School",="0250211",100.0,100.0,100.0
"Cheshire School District",="0250011","Dodd Middle School",="0255111",100.0,100.0,100.0
"Cheshire School District",="0250011","Doolittle School",="0250611",100.0,100.0,100.0
"Cheshire School District",="0250011","Highland School",="0250411",100.0,100.0,100.0
"Cheshire School District",="0250011","Highland School Autism Program",="0250711",N/A,N/A,100.0
"Cheshire School District",="0250011","Humiston School",="0259011",100.0,N/A,100.0
"Cheshire School District",="0250011","Norton School",="0250511",100.0,100.0,100.0
"Chester School District",="0260011","Chester Elementary School",="0260111",100.0,100.0,100.0
"Clinton School District",="0270011","Abraham Pierson School",="0270111",100.0,100.0,100.0
"Clinton School District",="0270011","Jared Eliot School",="0275111",100.0,100.0,100.0
"Clinton School District",="0270011","Lewin G. Joel Jr. School",="0270311",99.1,100.0,100.0
"Clinton School District",="0270011","The Morgan School",="0276111",100.0,100.0,100.0
"Colchester School District",="0280011","Bacon Academy",="0286111",100.0,100.0,100.0
"Colchester School District",="0280011","Bacon Academy Alternative Education",="0280511",N/A,N/A,100.0
"Colchester School District",="0280011","Colchester Elementary School",="0280411",98.2,100.0,100.0
"Colchester School District",="0280011","Jack Jackter Intermediate School",="0280211",100.0,100.0,100.0
"Colchester School District",="0280011","William J. Johnston Middle School",="0285111",97.8,100.0,100.0
"Colebrook School District",="0290011","Colebrook Consolidated School",="0290111",100.0,100.0,100.0
"Columbia School District",="0300011","Horace W. Porter School",="0300111",100.0,98.9,100.0
"Common Ground High School District",="2680013","Common Ground High School",="2686113",100.0,100.0,100.0
"Connecticut Technical High School System",="9000016","A. I. Prince Technical High School",="9001516",97.9,99.7,100.0
"Connecticut Technical High School System",="9000016","Bristol Technical Education Center",="9009216",N/A,100.0,100.0
"Connecticut Technical High School System",="9000016","Bullard-Havens Technical High School",="9001116",100.0,93.4,95.1
"Connecticut Technical High School System",="9000016","E. C. Goodwin Technical High School",="9001916",100.0,100.0,100.0
"Connecticut Technical High School System",="9000016","Eli Whitney Technical High School",="9001416",96.9,96.9,96.9
"Connecticut Technical High School System",="9000016","Ella T. Grasso Southeastern Technical High School",="9002716",100.0,98.9,100.0
"Connecticut Technical High School System",="9000016","Emmett O'Brien Technical High School",="9002516",100.0,100.0,100.0
"Connecticut Technical High School System",="9000016","H. C. Wilcox Technical High School",="9001716",100.0,98.4,100.0
"Connecticut Technical High School System",="9000016","H. H. Ellis Technical High School",="9001316",100.0,96.8,100.0
"Connecticut Technical High School System",="9000016","Henry Abbott Technical High School",="9001216",97.0,100.0,100.0
"Connecticut Technical High School System",="9000016","Howell Cheney Technical High School",="9001616",100.0,100.0,100.0
"Connecticut Technical High School System",="9000016","J. M. Wright Technical High School",="9002116",N/A,100.0,93.3
"Connecticut Technical High School System",="9000016","Norwich Technical High School",="9002016",100.0,97.7,100.0
"Connecticut Technical High School System",="9000016","Oliver Wolcott Technical High School",="9002216",100.0,98.6,100.0
"Connecticut Technical High School System",="9000016","Platt Technical High School",="9002616",100.0,100.0,100.0
"Connecticut Technical High School System",="9000016","Vinal Technical High School",="9001816",100.0,98.5,100.0
"Connecticut Technical High School System",="9000016","W. F. Kaynor Technical High School",="9002316",100.0,100.0,96.9
"Connecticut Technical High School System",="9000016","Windham Technical High School",="9002416",100.0,100.0,100.0
"Cooperative Educational Services",="2430014","C. E. S. Special Education",="2439014",100.0,N/A,100.0
"Cooperative Educational Services",="2430014","Developmental Learning Center (DLC)",="2439214",100.0,100.0,100.0
"Cooperative Educational Services",="2430014","Preschool-Primary Learning Center (PLC)",="2439114",100.0,100.0,100.0
"Cooperative Educational Services",="2430014","RISE Transitional Program",="2439314",100.0,N/A,100.0
"Cooperative Educational Services",="2430014","Six-Six Magnet School",="2430114",100.0,100.0,100.0
"Cooperative Educational Services",="2430014","Therapeutic Day Program",="2439414",100.0,100.0,100.0
"Cornwall School District",="0310011","Cornwall Consolidated School",="0310111",100.0,100.0,100.0
"Coventry School District",="0320011","Capt. Nathan Hale School",="0325111",100.0,100.0,100.0
"Coventry School District",="0320011","Coventry Academy",="0320111",N/A,100.0,100.0
"Coventry School District",="0320011","Coventry Grammar School",="0320211",100.0,100.0,100.0
"Coventry School District",="0320011","Coventry High School",="0326111",100.0,97.2,100.0
"Coventry School District",="0320011","George Hersey Robertson School",="0320411",100.0,100.0,100.0
"Cromwell School District",="0330011","Cromwell High School",="0336111",100.0,100.0,100.0
"Cromwell School District",="0330011","Cromwell Middle School",="0335111",100.0,100.0,97.0
"Cromwell School District",="0330011","Edna C. Stevens School",="0330211",100.0,98.2,100.0
"Cromwell School District",="0330011","Woodside Intermediate School",="0330311",100.0,100.0,97.0
"Danbury School District",="0340011","Other",="0349911",100.0,N/A,100.0
"Danbury School District",="0340011","Alternative Center For Excellence",="0346211",89.1,89.4,100.0
"Danbury School District",="0340011","Broadview Middle School",="0345111",98.5,100.0,100.0
"Danbury School District",="0340011","Danbury High School",="0346111",99.3,100.0,98.3
"Danbury School District",="0340011","Ellsworth Avenue School",="0341411",98.1,98.3,100.0
"Danbury School District",="0340011","Great Plain School",="0341111",100.0,100.0,100.0
"Danbury School District",="0340011","Hayestown Avenue School",="0340211",100.0,100.0,100.0
"Danbury School District",="0340011","King Street Intermediate School",="0341711",100.0,100.0,100.0
"Danbury School District",="0340011","King Street Primary School",="0341311",100.0,100.0,100.0
"Danbury School District",="0340011","Mill Ridge Primary School",="0340511",100.0,100.0,100.0
"Danbury School District",="0340011","Morris Street School",="0340611",100.0,100.0,97.6
"Danbury School District",="0340011","Park Avenue School",="0340811",89.7,100.0,100.0
"Danbury School District",="0340011","Pembroke School",="0341511",100.0,92.1,98.3
"Danbury School District",="0340011","Rogers Park Middle School",="0345211",97.6,100.0,100.0
"Danbury School District",="0340011","Shelter Rock School",="0341211",97.5,100.0,100.0
"Danbury School District",="0340011","South Street School",="0341011",98.0,100.0,100.0
"Danbury School District",="0340011","Stadley Rough School",="0341611",100.0,100.0,98.1
"Danbury School District",="0340011","Western CT Academy of International Studies Elementary Magnet School",="0341911",100.0,100.0,100.0
"Danbury School District",="0340011","Westside Middle School Academy",="0340311",N/A,100.0,100.0
"Darien School District",="0350011","Darien High School",="0356111",100.0,100.0,99.6
"Darien School District",="0350011","Hindley Elementary School",="0350211",100.0,100.0,100.0
"Darien School District",="0350011","Holmes Elementary School",="0350711",100.0,100.0,94.5
"Darien School District",="0350011","Middlesex Middle School",="0355111",99.3,100.0,100.0
"Darien School District",="0350011","Ox Ridge Elementary School",="0351311",100.0,100.0,100.0
"Darien School District",="0350011","Royle Elementary School",="0350511",100.0,100.0,100.0
"Darien School District",="0350011","Tokeneke Elementary School",="0350611",100.0,100.0,100.0
"Deep River School District",="0360011","Deep River Elementary School",="0360111",100.0,100.0,100.0
"Department of Mental Health and Addiction Services",="3370015","Connecticut Valley Hospital",="3370215",N/A,N/A,100.0
"Derby School District",="0370011","Bradley School",="0370611",100.0,100.0,100.0
"Derby School District",="0370011","Derby High School",="0376111",99.2,100.0,100.0
"Derby School District",="0370011","Derby Middle School",="0375011",100.0,95.6,100.0
"Derby School District",="0370011","Irving School",="0370411",100.0,100.0,100.0
"East Granby School District",="0400011","Allgrove School",="0400111",100.0,100.0,97.1
"East Granby School District",="0400011","East Granby High School",="0406111",100.0,100.0,100.0
"East Granby School District",="0400011","East Granby Middle School",="0405111",100.0,100.0,100.0
"East Granby School District",="0400011","R. Dudley Seymour School",="0400211",100.0,100.0,100.0
"East Haddam School District",="0410011","East Haddam Elementary School",="0410111",100.0,100.0,100.0
"East Haddam School District",="0410011","Nathan Hale-Ray High School",="0416111",100.0,100.0,100.0
"East Haddam School District",="0410011","Nathan Hale-Ray Middle School",="0415111",100.0,100.0,100.0
"East Hampton School District",="0420011","Center School",="0420311",100.0,100.0,100.0
"East Hampton School District",="0420011","East Hampton High School",="0426111",96.1,100.0,97.4
"East Hampton School District",="0420011","East Hampton Middle School",="0425111",100.0,100.0,100.0
"East Hampton School District",="0420011","Memorial School",="0420111",100.0,100.0,100.0
"East Hampton School District",="0420011","The Learning Center at East Hampton",="0429011",100.0,100.0,100.0
"East Hartford School District",="0430011","Anna E. Norris School",="0430911",100.0,100.0,100.0
"East Hartford School District",="0430011","Connecticut IB Academy",="0436311",100.0,100.0,100.0
"East Hartford School District",="0430011","Dr. Franklin H. Mayberry School",="0430611",100.0,100.0,100.0
"East Hartford School District",="0430011","Dr. John A. Langford School",="0432211",100.0,100.0,100.0
"East Hartford School District",="0430011","Dr. Thomas S. O'Connell School",="0431011",100.0,100.0,100.0
"East Hartford School District",="0430011","East Hartford High School",="0436211",100.0,100.0,100.0
"East Hartford School District",="0430011","East Hartford Middle School",="0435111",98.5,100.0,100.0
"East Hartford School District",="0430011","Governor William Pitkin School",="0432011",100.0,100.0,100.0
"East Hartford School District",="0430011","Hockanum School",="0430511",100.0,100.0,100.0
"East Hartford School District",="0430011","Joseph O. Goodwin School",="0430411",100.0,100.0,100.0
"East Hartford School District",="0430011","Robert J. O'Brien School",="0431811",100.0,100.0,100.0
"East Hartford School District",="0430011","Silver Lane School",="0431211",100.0,100.0,100.0
"East Hartford School District",="0430011","Stevens Alternate High School",="0436411",100.0,100.0,100.0
"East Hartford School District",="0430011","Sunset Ridge School Elementary Academy for Arts and World Languages",="0432411",100.0,100.0,93.9
"East Hartford School District",="0430011","Willowbrook Early Childhood",="0438011",100.0,100.0,N/A
"East Hartford School District",="0430011","Woodland School",="0439011",100.0,100.0,100.0
"East Haven School District",="0440011","Other",="0449911",100.0,N/A,N/A
"East Haven School District",="0440011","Carbone School/East Haven Academy",="0441711",100.0,100.0,100.0
"East Haven School District",="0440011","D. C. Moore School",="0441411",100.0,100.0,100.0
"East Haven School District",="0440011","Deer Run School",="0440111",100.0,100.0,100.0
"East Haven School District",="0440011","Dominick H. Ferrara School",="0441311",100.0,100.0,100.0
"East Haven School District",="0440011","East Haven High School",="0446111",100.0,100.0,98.2
"East Haven School District",="0440011","Grove J. Tuttle School",="0441011",96.7,100.0,100.0
"East Haven School District",="0440011","Joseph Melillo Middle School",="0445111",100.0,100.0,100.0
"East Haven School District",="0440011","Momauguin School",="0440711",100.0,100.0,97.6
"East Haven School District",="0440011","Overbrook Elementary School",="0441811",100.0,100.0,100.0
"East Lyme School District",="0450011","Abilities in Motion (AIM) Program",="0450511",N/A,N/A,100.0
"East Lyme School District",="0450011","Coastal Connections",="0450611",N/A,N/A,100.0
"East Lyme School District",="0450011","East Lyme High School",="0456111",99.7,100.0,100.0
"East Lyme School District",="0450011","East Lyme Middle School",="0455111",100.0,100.0,100.0
"East Lyme School District",="0450011","Flanders School",="0450111",100.0,100.0,100.0
"East Lyme School District",="0450011","Integrated Preschool",="0458011",N/A,N/A,100.0
"East Lyme School District",="0450011","Lillie B. Haynes School",="0450411",100.0,100.0,100.0
"East Lyme School District",="0450011","Medically Fragile Program (WAVES)",="0450711",N/A,N/A,100.0
"East Lyme School District",="0450011","Niantic Center School",="0450211",100.0,100.0,100.0
"East Windsor School District",="0470011","Broad Brook Elementary School",="0470111",93.9,100.0,100.0
"East Windsor School District",="0470011","East Windsor High School",="0476111",95.8,100.0,100.0
"East Windsor School District",="0470011","East Windsor Middle School",="0475411",99.7,93.9,100.0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)",="2530014","Arts at the Capitol Theater Magnet School (ACT)",="2536014",100.0,100.0,100.0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)",="2530014","EastConn Special Education",="2539014",95.0,90.7,100.0
"Eastern Connecticut Regional Educational Service Center (EASTCONN)",="2530014","Quinebaug Middle College",="2536114",100.0,83.0,100.0
"Eastford School District",="0390011","Eastford Elementary School",="0390111",100.0,100.0,100.0
"Easton School District",="0460011","Helen Keller Middle School",="0465111",95.1,100.0,100.0
"Easton School District",="0460011","Samuel Staples Elementary School",="0460111",92.6,98.9,100.0
"EdAdvance",="2420014","The ACCESS School at The Danuta M. Thibodeau Education Center",="2429014",100.0,100.0,100.0
"Ellington School District",="0480011","Center School",="0480111",100.0,100.0,100.0
"Ellington School District",="0480011","Crystal Lake School",="0480211",100.0,100.0,100.0
"Ellington School District",="0480011","Ellington High School",="0486111",100.0,100.0,100.0
"Ellington School District",="0480011","Ellington Middle School",="0485111",100.0,100.0,100.0
"Ellington School District",="0480011","Windermere Intermediate School",="0480711",100.0,98.3,100.0
"Ellington School District",="0480011","Windermere School",="0480611",100.0,100.0,100.0
"Ellington School District",="0480011","Windermere School Program for Alternative Learning K-5",="0480311",N/A,N/A,100.0
"Elm City College Preparatory School District",="2890013","Elm City College Preparatory School",="2890113",51.0,55.3,57.9
"Elm City Montessori School District",="2910013","Elm City Montessori School",="2910113",N/A,N/A,70.0
"Enfield School District",="0490011","Edgar H. Parkman - Autism Spectrum Disorder (ASD)",="0490511",N/A,N/A,100.0
"Enfield School District",="0490011","Edgar H. Parkman School",="0491311",100.0,100.0,100.0
