"Classes Taught by High Quality Teachers, Trend"
"All Districts, All Schools"
"Note:"
"* Core academic subjects are Art, Elementary,English Language Arts, Kindergarten, Mathematics, Music, Reading, Science, Social Studies, and World Languages, including those classes of these subjects that are taught in a special education or English learner environment. To be considered highly qualified, a teacher must be fully certified in the subject area and grade level they are teaching."

"",,,,"Percent of Classes Taught by Highly Qualified Teachers",,
"New Haven School District",="0930011","Augusta Lewis Troup School",="0931511",99.0,100.0,100.0
"New Haven School District",="0930011","Barnard Environmental Magnet School",="0930211",99.0,100.0,100.0
"New Haven School District",="0930011","Beecher School",="0930311",100.0,100.0,100.0
"New Haven School District",="0930011","Benjamin Jepson Magnet School",="0931811",100.0,100.0,100.0
"New Haven School District",="0930011","Betsy Ross Arts Magnet School",="0935511",100.0,99.3,100.0
"New Haven School District",="0930011","Bishop Woods School",="0934311",98.9,87.2,92.3
"New Haven School District",="0930011","Brennan Rogers School",="0932111",100.0,98.9,100.0
"New Haven School District",="0930011","Celentano BioTech, Health and Medical Magnet School",="0934811",83.5,100.0,98.7
"New Haven School District",="0930011","Clemente Leadership Academy",="0934211",94.3,94.5,100.0
"New Haven School District",="0930011","Clinton Avenue School",="0930611",100.0,98.7,98.8
"New Haven School District",="0930011","Columbus Family Academy",="0934111",100.0,91.6,98.3
"New Haven School District",="0930011","Conte/West Hills Magnet School",="0933111",98.9,100.0,91.5
"New Haven School District",="0930011","Cooperative High School",="0936411",97.7,100.0,100.0
"New Haven School District",="0930011","Cortlandt V.R. Creed Health and Sport Sciences High School",="0936811",100.0,97.6,100.0
"New Haven School District",="0930011","Davis 21st Century Magnet Elementary School",="0930911",100.0,100.0,97.4
"New Haven School District",="0930011","Domus Academy",="0935611",100.0,100.0,100.0
"New Haven School District",="0930011","East Rock Community Magnet School",="0934611",95.8,99.2,100.0
"New Haven School District",="0930011","Engineering - Science University Magnet School",="0931711",100.0,100.0,100.0
"New Haven School District",="0930011","Fair Haven School",="0931611",100.0,100.0,100.0
"New Haven School District",="0930011","Fair Haven School",="0935211",N/A,N/A,100.0
"New Haven School District",="0930011","Headstart",="0938011",100.0,N/A,N/A
"New Haven School District",="0930011","Helene Grant HeadStart",="0938311",100.0,100.0,100.0
"New Haven School District",="0930011","High School In The Community",="0936611",96.4,100.0,100.0
"New Haven School District",="0930011","Hill Central Music Academy",="0930711",99.1,97.9,98.9
"New Haven School District",="0930011","Hill Regional Career High School",="0936311",97.5,97.8,100.0
"New Haven School District",="0930011","James Hillhouse High School",="0936211",96.7,98.4,100.0
"New Haven School District",="0930011","John C. Daniels",="0931311",100.0,98.7,97.7
"New Haven School District",="0930011","John S. Martinez School",="0930811",100.0,100.0,94.0
"New Haven School District",="0930011","King/Robinson Magnet School",="0933011",100.0,100.0,100.0
"New Haven School District",="0930011","Lincoln-Bassett School",="0932011",100.0,100.0,100.0
"New Haven School District",="0930011","Mauro-Sheridan Magnet School",="0931911",100.0,100.0,100.0
"New Haven School District",="0930011","Metropolitan Business Academy",="0936011",96.1,100.0,96.1
"New Haven School District",="0930011","New Haven Academy",="0937011",95.0,100.0,100.0
"New Haven School District",="0930011","New Horizons High School",="0932211",N/A,100.0,100.0
"New Haven School District",="0930011","New Light High School",="0932611",N/A,N/A,100.0
"New Haven School District",="0930011","Polly T. McCabe Center",="0939211",100.0,100.0,100.0
"New Haven School District",="0930011","Polly T. McCabe Center",="0936511",N/A,N/A,100.0
"New Haven School District",="0930011","Quinnipiac Real World Math STEM School",="0933511",96.5,96.9,96.4
"New Haven School District",="0930011","Riverside Education Academy",="0939111",93.3,100.0,92.9
"New Haven School District",="0930011","Riverside Education Academy",="0936911",N/A,N/A,100.0
"New Haven School District",="0930011","Ross/Woodward School",="0931011",98.9,100.0,100.0
"New Haven School District",="0930011","Sound School",="0936711",93.8,100.0,100.0
"New Haven School District",="0930011","Strong 21st Century Communications Magnet and SCSU Lab School",="0932811",97.0,97.3,87.7
"New Haven School District",="0930011","Truman School",="0932911",89.1,100.0,100.0
"New Haven School District",="0930011","West Rock Authors Academy",="0934911",100.0,100.0,95.5
"New Haven School District",="0930011","Wexler/Grant Community School",="0933211",100.0,92.3,91.7
"New Haven School District",="0930011","Wilbur Cross High School",="0936111",98.0,99.0,99.0
"New Haven School District",="0930011","Worthington Hooker School",="0933811",100.0,86.4,100.0
"New London School District",="0950011","Jennings School",="0950311",100.0,95.0,97.2
"New London School District",="0950011","Bennie Dover Jackson Middle School",="0955111",94.7,95.4,95.8
"New London School District",="0950011","Harbor",="0950611",N/A,100.0,100.0
"New London School District",="0950011","Nathan Hale Arts Magnet School",="0950911",100.0,100.0,98.7
"New London School District",="0950011","New London High School",="0956111",91.9,93.5,95.7
"New London School District",="0950011","Winthrop STEM Elementary Magnet School",="0950811",100.0,97.2,98.8
"New Milford School District",="0960011","Hill And Plain School",="0960511",100.0,100.0,100.0
"New Milford School District",="0960011","John Pettibone School",="0960711",100.0,97.8,N/A
"New Milford School District",="0960011","Litchfield Hills Transition Center",="0969011",100.0,100.0,100.0
"New Milford School District",="0960011","New Milford High School",="0966111",98.8,100.0,100.0
"New Milford School District",="0960011","Northville Elementary School",="0960811",100.0,100.0,100.0
"New Milford School District",="0960011","Sarah Noble Intermediate School",="0960911",100.0,100.0,100.0
"New Milford School District",="0960011","Schaghticoke Middle School",="0965211",100.0,97.9,98.6
"Newington School District",="0940011","Anna Reynolds School",="0940611",100.0,100.0,100.0
"Newington School District",="0940011","Elizabeth Green School",="0940211",100.0,100.0,100.0
"Newington School District",="0940011","John Paterson School",="0940811",100.0,100.0,100.0
"Newington School District",="0940011","John Wallace Middle School",="0945311",98.7,97.4,100.0
"Newington School District",="0940011","Martin Kellogg Middle School",="0945111",100.0,97.4,100.0
"Newington School District",="0940011","Newington High School",="0946111",100.0,100.0,100.0
"Newington School District",="0940011","Ruth Chaffee School",="0940711",95.6,100.0,100.0
"Newtown School District",="0970011","Hawley Elementary School",="0970111",100.0,100.0,98.9
"Newtown School District",="0970011","Head O'Meadow Elementary School",="0970411",100.0,100.0,99.1
"Newtown School District",="0970011","Middle Gate Elementary School",="0970311",100.0,100.0,99.1
"Newtown School District",="0970011","Newtown High School",="0976111",98.6,100.0,100.0
"Newtown School District",="0970011","Newtown Middle School",="0975111",98.2,100.0,100.0
"Newtown School District",="0970011","Reed Intermediate School",="0970511",100.0,100.0,100.0
"Newtown School District",="0970011","STARR",="0979011",100.0,100.0,100.0
"Newtown School District",="0970011","Sandy Hook Elementary School",="0970211",92.1,100.0,99.2
"Norfolk School District",="0980011","Botelle Elementary School",="0980111",100.0,100.0,100.0
"Norfolk School District",="0980011","Bridges II",="0989211",100.0,N/A,N/A
"North Branford School District",="0990011","Jerome Harrison School",="0990411",100.0,100.0,100.0
"North Branford School District",="0990011","North Branford High School",="0996111",100.0,100.0,100.0
"North Branford School District",="0990011","North Branford Intermediate School",="0995111",100.0,100.0,100.0
"North Branford School District",="0990011","School to Work Program",="0999011",100.0,100.0,100.0
"North Branford School District",="0990011","Totoket Valley Elementary School",="0990611",100.0,100.0,100.0
"North Canaan School District",="1000011","North Canaan Elementary School",="1000111",100.0,100.0,100.0
"North Haven School District",="1010011","Clintonville Elementary School",="1010811",100.0,98.2,100.0
"North Haven School District",="1010011","Green Acres Elementary School",="1010711",100.0,100.0,100.0
"North Haven School District",="1010011","Montowese Elementary School",="1010211",100.0,100.0,91.2
"North Haven School District",="1010011","North Haven High School",="1016111",100.0,100.0,100.0
"North Haven School District",="1010011","North Haven Middle School",="1015211",100.0,100.0,100.0
"North Haven School District",="1010011","North Haven Transition Partnership",="1010111",N/A,100.0,100.0
"North Haven School District",="1010011","Ridge Road Elementary School",="1010311",100.0,100.0,100.0
"North Stonington School District",="1020011","North Stonington Elementary School",="1020111",96.2,100.0,100.0
"North Stonington School District",="1020011","Wheeler High School",="1026111",100.0,94.6,100.0
"North Stonington School District",="1020011","Wheeler Middle School",="1025111",100.0,93.5,100.0
"Norwalk School District",="1030011","Brien McMahon High School",="1036211",99.0,98.0,99.8
"Norwalk School District",="1030011","Brookside Elementary School",="1030211",100.0,100.0,100.0
"Norwalk School District",="1030011","Columbus Magnet School",="1030311",100.0,100.0,100.0
"Norwalk School District",="1030011","Cranbury Elementary School",="1030411",100.0,100.0,100.0
"Norwalk School District",="1030011","Fox Run Elementary School",="1032011",100.0,100.0,91.1
"Norwalk School District",="1030011","Jefferson Magnet School",="1030711",100.0,100.0,98.3
"Norwalk School District",="1030011","Kendall Elementary School",="1030811",98.4,98.4,100.0
"Norwalk School District",="1030011","Marvin Elementary School",="1032211",100.0,98.0,100.0
"Norwalk School District",="1030011","Naramake Elementary School",="1032111",97.0,100.0,100.0
"Norwalk School District",="1030011","Nathan Hale Middle School",="1035211",100.0,100.0,98.9
"Norwalk School District",="1030011","Norwalk High School",="1036111",99.9,98.9,100.0
"Norwalk School District",="1030011","Norwalk Pathways Academy at Briggs",="1036311",100.0,100.0,100.0
"Norwalk School District",="1030011","Ponus Ridge Middle School",="1035311",98.1,97.9,97.9
"Norwalk School District",="1030011","Roton Middle School",="1035511",100.0,100.0,95.8
"Norwalk School District",="1030011","Rowayton School",="1031311",100.0,100.0,100.0
"Norwalk School District",="1030011","Silvermine Elementary School",="1032311",100.0,90.1,100.0
"Norwalk School District",="1030011","Tracey School",="1031411",100.0,91.2,100.0
"Norwalk School District",="1030011","West Rocks Middle School",="1035411",100.0,100.0,100.0
"Norwalk School District",="1030011","Wolfpit School",="1032411",96.9,89.5,100.0
"Norwich Free Academy District",="9010022","Norwich Free Academy",="9016122",98.6,99.0,100.0
"Norwich School District",="1040011","Other",="1049911",100.0,N/A,100.0
"Norwich School District",="1040011","Bishop School Early Learning Center",="1040111",100.0,100.0,100.0
"Norwich School District",="1040011","Deborah-Tennant Zinewicz  School",="1049111",100.0,N/A,N/A
"Norwich School District",="1040011","Hickory Street School",="1049011",100.0,N/A,N/A
"Norwich School District",="1040011","John B. Stanton Network School",="1041411",97.0,100.0,100.0
"Norwich School District",="1040011","Kelly Middle School",="1045111",100.0,100.0,100.0
"Norwich School District",="1040011","Moriarty Magnet School",="1042011",100.0,100.0,100.0
"Norwich School District",="1040011","Samuel Huntington School",="1040811",97.1,100.0,100.0
"Norwich School District",="1040011","Teachers' Memorial Middle School",="1045211",100.0,100.0,100.0
"Norwich School District",="1040011","Thomas W. Mahan School",="1041711",100.0,100.0,100.0
"Norwich School District",="1040011","Uncas Network School",="1041911",100.0,93.7,100.0
"Norwich School District",="1040011","Veterans' Memorial School",="1041811",100.0,90.6,100.0
"Norwich School District",="1040011","Wequonnoc Magnet School",="1041511",95.0,100.0,100.0
"Odyssey Community School District",="2630013","Odyssey Community School",="2635113",100.0,94.2,100.0
"Old Saybrook School District",="1060011","Kathleen E. Goodwin School",="1060211",100.0,100.0,100.0
"Old Saybrook School District",="1060011","Old Saybrook Middle School",="1065211",98.9,100.0,100.0
"Old Saybrook School District",="1060011","Old Saybrook Senior High School",="1066111",98.7,100.0,100.0
"Orange School District",="1070011","Mary L. Tracy School",="1070211",100.0,100.0,100.0
"Orange School District",="1070011","Peck Place School",="1070511",100.0,100.0,100.0
"Orange School District",="1070011","Race Brook School",="1070311",100.0,100.0,92.5
"Orange School District",="1070011","Turkey Hill School",="1070411",100.0,100.0,100.0
"Oxford School District",="1080011","Alternative Education",="1080411",N/A,N/A,100.0
"Oxford School District",="1080011","Great Oak School",="1085111",96.1,100.0,100.0
"Oxford School District",="1080011","Oxford Center School",="1080111",100.0,100.0,100.0
"Oxford School District",="1080011","Oxford High School",="1086011",100.0,100.0,100.0
"Oxford School District",="1080011","Quaker Farms School",="1080311",100.0,100.0,100.0
"Park City Prep Charter School District",="2830013","Park City Prep Charter School",="2835113",93.4,90.9,91.2
"Path Academy District",="2930013","Path Academy",="2930113",N/A,80.0,100.0
"Plainfield School District",="1090011","Moosup Elementary School",="1090111",100.0,100.0,100.0
"Plainfield School District",="1090011","Plainfield Central School",="1095111",100.0,100.0,100.0
"Plainfield School District",="1090011","Plainfield High School",="1096111",100.0,100.0,100.0
"Plainfield School District",="1090011","Plainfield Memorial School",="1090311",100.0,98.2,100.0
"Plainfield School District",="1090011","Shepard Hill Elementary School",="1090411",100.0,100.0,100.0
"Plainville School District",="1100011","Frank T. Wheeler School",="1100411",100.0,100.0,100.0
"Plainville School District",="1100011","Linden Street School",="1100211",100.0,100.0,100.0
"Plainville School District",="1100011","Louis Toffolon School",="1100511",98.3,100.0,100.0
"Plainville School District",="1100011","Middle School of Plainville",="1105211",100.0,100.0,100.0
"Plainville School District",="1100011","Plainville High School",="1106111",100.0,100.0,100.0
"Plymouth School District",="1110011","Eli Terry Jr. Middle School",="1115111",100.0,100.0,96.3
"Plymouth School District",="1110011","Harry S. Fisher Elementary School",="1110411",100.0,100.0,100.0
"Plymouth School District",="1110011","Plymouth Center School",="1110211",100.0,100.0,100.0
"Plymouth School District",="1110011","Terryville High School",="1116111",100.0,100.0,100.0
"Pomfret School District",="1120011","Pomfret Community School",="1120111",100.0,100.0,100.0
"Portland School District",="1130011","Brownstone Intermediate School",="1130511",100.0,100.0,100.0
"Portland School District",="1130011","Gildersleeve School",="1130411",100.0,96.3,100.0
"Portland School District",="1130011","Portland High School",="1136111",100.0,100.0,100.0
"Portland School District",="1130011","Portland Middle School",="1135111",100.0,100.0,100.0
"Portland School District",="1130011","Valley View School",="1130211",100.0,100.0,100.0
"Preston School District",="1140011","Preston Plains School",="1145111",100.0,100.0,100.0
"Preston School District",="1140011","Preston Veterans' Memorial School",="1140411",100.0,100.0,100.0
"Putnam School District",="1160011","Helping Hands",="1169011",100.0,100.0,100.0
"Putnam School District",="1160011","Putnam Elementary School",="1160311",100.0,100.0,93.7
"Putnam School District",="1160011","Putnam High School",="1166111",95.5,100.0,100.0
"Putnam School District",="1160011","Putnam Middle School",="1165111",100.0,95.1,95.3
"Redding School District",="1170011","John Read Middle School",="1175111",100.0,97.3,100.0
"Redding School District",="1170011","Redding Elementary School",="1170111",98.7,100.0,100.0
"Regional School District 01",="2010012","Housatonic Valley Regional High School",="2016112",100.0,100.0,93.9
"Regional School District 04",="2040012","John Winthrop Middle School",="2045112",100.0,100.0,96.0
"Regional School District 04",="2040012","Valley Regional High School",="2046112",100.0,100.0,100.0
"Regional School District 05",="2050012","Amity Middle School: Bethany",="2055112",100.0,100.0,100.0
"Regional School District 05",="2050012","Amity Middle School: Orange",="2055212",100.0,100.0,100.0
"Regional School District 05",="2050012","Amity Regional High School",="2056112",99.0,98.4,100.0
"Regional School District 06",="2060012","Goshen Center School",="2060112",100.0,100.0,100.0
"Regional School District 06",="2060012","James Morris School",="2060212",100.0,100.0,100.0
"Regional School District 06",="2060012","Wamogo Regional High School",="2066112",97.2,100.0,91.5
"Regional School District 06",="2060012","Warren Elementary School",="2060312",100.0,100.0,84.8
"Regional School District 07",="2070012","AIM",="2079112",100.0,100.0,100.0
"Regional School District 07",="2070012","FLEX",="2079012",100.0,100.0,100.0
"Regional School District 07",="2070012","Intensive Learning Program",="2079412",100.0,N/A,N/A
"Regional School District 07",="2070012","Links",="2079212",100.0,100.0,100.0
"Regional School District 07",="2070012","Northwestern Regional High School",="2076112",100.0,100.0,98.2
"Regional School District 07",="2070012","Northwestern Regional Middle School",="2075112",96.5,100.0,99.3
"Regional School District 07",="2070012","STEP",="2079312",100.0,100.0,100.0
"Regional School District 08",="2080012","RHAM High School",="2086112",100.0,100.0,100.0
"Regional School District 08",="2080012","RHAM Middle School",="2085112",100.0,100.0,95.7
"Regional School District 08",="2080012","Region Alternative High School",="2086212",100.0,N/A,N/A
"Regional School District 09",="2090012","Joel Barlow High School",="2096112",100.0,100.0,100.0
"Regional School District 10",="2100012","Har-Bur Middle School",="2105112",100.0,100.0,100.0
"Regional School District 10",="2100012","Harwinton Consolidated School",="2100312",100.0,100.0,100.0
"Regional School District 10",="2100012","Lake Garda Elementary School",="2100212",100.0,95.5,96.6
"Regional School District 10",="2100012","Lewis S. Mills High School",="2106112",100.0,99.2,96.3
"Regional School District 11",="2110012","Parish Hill High School",="2116112",100.0,96.0,100.0
"Regional School District 12",="2120012","Other",="2129912",100.0,N/A,100.0
"Regional School District 12",="2120012","Booth Free School",="2120212",100.0,100.0,100.0
"Regional School District 12",="2120012","Shepaug Valley School",="2120312",95.8,97.7,100.0
"Regional School District 12",="2120012","The Burnham School",="2120112",100.0,100.0,100.0
"Regional School District 12",="2120012","Washington Primary School",="2120412",100.0,100.0,82.8
"Regional School District 13",="2130012","Other",="2139912",100.0,N/A,N/A
"Regional School District 13",="2130012","Coginchaug Regional High School",="2136112",100.0,100.0,100.0
"Regional School District 13",="2130012","Francis E. Korn School",="2130212",100.0,100.0,100.0
"Regional School District 13",="2130012","Frank Ward Strong School",="2135112",100.0,100.0,100.0
"Regional School District 13",="2130012","Frederick Brewster School",="2130112",100.0,100.0,97.2
"Regional School District 13",="2130012","John Lyman School",="2130512",100.0,100.0,100.0
"Regional School District 13",="2130012","Middlefield Memorial School",="2130412",100.0,100.0,100.0
"Regional School District 13",="2130012","Middlesex Transition Academy",="2130312",N/A,100.0,100.0
"Regional School District 14",="2140012","Bethlehem Elementary School",="2140112",100.0,100.0,100.0
"Regional School District 14",="2140012","Mitchell Elementary School",="2140212",100.0,100.0,100.0
"Regional School District 14",="2140012","Nonnewaug High School",="2146112",100.0,98.0,100.0
"Regional School District 14",="2140012","Woodbury Middle School",="2145112",100.0,100.0,100.0
"Regional School District 15",="2150012","Gainfield Elementary School",="2150412",100.0,100.0,100.0
"Regional School District 15",="2150012","Long Meadow Elementary School",="2150712",100.0,100.0,100.0
"Regional School District 15",="2150012","MIJ Program",="2150112",N/A,100.0,100.0
"Regional School District 15",="2150012","Memorial Middle School",="2155212",100.0,100.0,100.0
"Regional School District 15",="2150012","Middlebury Elementary School",="2150612",100.0,100.0,100.0
"Regional School District 15",="2150012","Pomperaug Regional High School",="2156212",100.0,98.7,100.0
"Regional School District 15",="2150012","Pomperaug School",="2150512",100.0,100.0,100.0
"Regional School District 15",="2150012","Rochambeau Middle School",="2155112",100.0,100.0,100.0
"Regional School District 16",="2160012","Algonquin School",="2160312",100.0,100.0,N/A
"Regional School District 16",="2160012","Community School",="2160212",100.0,100.0,N/A
"Regional School District 16",="2160012","Laurel Ledge School",="2160112",82.1,100.0,100.0
"Regional School District 16",="2160012","Long River Middle School",="2165112",100.0,100.0,100.0
"Regional School District 16",="2160012","Prospect Elementary School",="2160512",N/A,N/A,100.0
"Regional School District 16",="2160012","Woodland Regional High School",="2166012",100.0,100.0,100.0
"Regional School District 17",="2170012","Burr District Elementary School",="2170212",100.0,100.0,100.0
"Regional School District 17",="2170012","Haddam Elementary School",="2170112",100.0,100.0,100.0
"Regional School District 17",="2170012","Haddam-Killingworth High School",="2176112",100.0,100.0,97.7
"Regional School District 17",="2170012","Haddam-Killingworth Middle School",="2175112",100.0,100.0,100.0
"Regional School District 17",="2170012","Killingworth Elementary School",="2170312",100.0,100.0,97.6
"Regional School District 18",="2180012","Center School",="2180312",100.0,100.0,100.0
"Regional School District 18",="2180012","Alternative Program",="2180412",N/A,N/A,100.0
"Regional School District 18",="2180012","Lyme Consolidated School",="2180112",100.0,100.0,100.0
"Regional School District 18",="2180012","Lyme-Old Lyme High School",="2186112",100.0,100.0,100.0
"Regional School District 18",="2180012","Lyme-Old Lyme Middle School",="2185112",100.0,100.0,100.0
"Regional School District 18",="2180012","Mile Creek School",="2180212",100.0,100.0,100.0
"Regional School District 19",="2190012","E. O. Smith High School",="2196112",100.0,100.0,100.0
"Regional School District 19",="2190012","E.O. Smith High School at the Depot Campus",="2190112",N/A,N/A,100.0
"Ridgefield School District",="1180011","Other",="1189911",100.0,N/A,N/A
"Ridgefield School District",="1180011","Alternative High School",="1188011",N/A,N/A,100.0
"Ridgefield School District",="1180011","Barlow Mountain Elementary School",="1180811",100.0,100.0,100.0
"Ridgefield School District",="1180011","Branchville Elementary School",="1180611",100.0,100.0,100.0
"Ridgefield School District",="1180011","East Ridge Middle School",="1185111",100.0,100.0,100.0
"Ridgefield School District",="1180011","Farmingville Elementary School",="1180411",100.0,100.0,100.0
"Ridgefield School District",="1180011","Ridgebury Elementary School",="1180311",100.0,100.0,100.0
"Ridgefield School District",="1180011","Ridgefield 18-21 Transition Program",="1189011",100.0,N/A,N/A
"Ridgefield School District",="1180011","Ridgefield High School",="1186111",98.2,100.0,100.0
"Ridgefield School District",="1180011","Scotland Elementary School",="1180511",100.0,98.1,100.0
"Ridgefield School District",="1180011","Scotts Ridge Middle School",="1185211",100.0,100.0,100.0
"Ridgefield School District",="1180011","Veterans Park Elementary School",="1180211",100.0,100.0,100.0
"Rocky Hill School District",="1190011","Albert D. Griswold Middle School",="1195111",100.0,100.0,100.0
"Rocky Hill School District",="1190011","Myrtle H. Stevens School",="1190411",98.8,100.0,100.0
"Rocky Hill School District",="1190011","Pathways",="1190311",N/A,N/A,100.0
"Rocky Hill School District",="1190011","Rocky Hill High School",="1196111",100.0,100.0,99.6
"Rocky Hill School District",="1190011","West Hill School",="1190511",100.0,100.0,100.0
"Salem School District",="1210011","Salem Elementary School",="1210111",100.0,100.0,100.0
"Salisbury School District",="1220011","SELC",="1220211",N/A,N/A,100.0
"Salisbury School District",="1220011","Salisbury Central School",="1220111",100.0,100.0,100.0
"Scotland School District",="1230011","Scotland Elementary School",="1230111",100.0,100.0,100.0
"Seymour School District",="1240011","Bungay School",="1240111",100.0,100.0,100.0
"Seymour School District",="1240011","Chatfield-LoPresti School",="1240211",100.0,100.0,100.0
"Seymour School District",="1240011","Seymour High School",="1246111",100.0,100.0,100.0
"Seymour School District",="1240011","Seymour Middle School",="1245111",100.0,100.0,100.0
"Sharon School District",="1250011","Sharon Center School",="1250111",100.0,100.0,100.0
"Sharon School District",="1250011","TOTAL",="1250211",N/A,N/A,100.0
"Shelton School District",="1260011","Mohegan School",="1260911",100.0,100.0,100.0
"Shelton School District",="1260011","Booth Hill School",="1261011",100.0,100.0,100.0
"Shelton School District",="1260011","Elizabeth Shelton School",="1260511",92.2,100.0,100.0
"Shelton School District",="1260011","Intermediate School",="1265111",100.0,100.0,100.0
"Shelton School District",="1260011","Long Hill School",="1260811",100.0,100.0,100.0
"Shelton School District",="1260011","Perry Hill Elementary School",="1261111",100.0,100.0,100.0
"Shelton School District",="1260011","Shelton High School",="1266111",100.0,100.0,100.0
"Shelton School District",="1260011","Sunnyside School",="1260611",100.0,100.0,100.0
"Sherman School District",="1270011","Other",="1279911",N/A,N/A,100.0
"Sherman School District",="1270011","Sherman School",="1270111",100.0,100.0,100.0
"Side By Side Charter School District",="2700013","Side By Side Charter School",="2700113",100.0,100.0,100.0
"Simsbury School District",="1280011","Central School",="1280111",100.0,98.2,100.0
"Simsbury School District",="1280011","Henry James Memorial School",="1285111",100.0,100.0,100.0
"Simsbury School District",="1280011","Latimer Lane School",="1280611",100.0,100.0,100.0
"Simsbury School District",="1280011","Simsbury High School",="1286111",97.9,100.0,100.0
"Simsbury School District",="1280011","Squadron Line School",="1280711",100.0,100.0,100.0
"Simsbury School District",="1280011","Tariffville School",="1280311",100.0,100.0,100.0
"Simsbury School District",="1280011","Tootin' Hills School",="1280411",100.0,100.0,100.0
"Somers School District",="1290011","Aspire",="1290511",N/A,N/A,100.0
"Somers School District",="1290011","Mabelle B. Avery Middle School",="1295111",100.0,100.0,100.0
"Somers School District",="1290011","Somers Elementary School",="1290411",98.9,100.0,100.0
"Somers School District",="1290011","Somers High School",="1296111",100.0,100.0,100.0
"South Windsor School District",="1320011","Pleasant Valley School",="1320211",100.0,100.0,100.0
"South Windsor School District",="1320011","Eli Terry School",="1320711",100.0,100.0,100.0
"South Windsor School District",="1320011","Orchard Hill School",="1320611",100.0,100.0,100.0
"South Windsor School District",="1320011","Philip R. Smith School",="1320111",91.0,100.0,100.0
"South Windsor School District",="1320011","Project Worth Young Adult Academy",="1329011",100.0,100.0,100.0
"South Windsor School District",="1320011","South Windsor High School",="1326211",100.0,100.0,97.4
"South Windsor School District",="1320011","Timothy Edwards School",="1325111",100.0,100.0,100.0
"South Windsor School District",="1320011","Wapping Elementary School",="1320411",100.0,100.0,100.0
"Southington School District",="1310011","John F. Kennedy Middle School",="1315311",98.1,100.0,100.0
"Southington School District",="1310011","Achieve",="1311711",N/A,N/A,100.0
"Southington School District",="1310011","Alta",="1310111",N/A,100.0,100.0
"Southington School District",="1310011","Derynoski Elementary School",="1311511",100.0,100.0,100.0
"Southington School District",="1310011","Flanders Elementary School",="1311311",100.0,100.0,100.0
"Southington School District",="1310011","Hatton Elementary School",="1310211",100.0,100.0,100.0
"Southington School District",="1310011","Joseph A. Depaolo Middle School",="1315111",98.1,100.0,98.1
"Southington School District",="1310011","Plantsville Elementary School",="1310611",100.0,100.0,100.0
"Southington School District",="1310011","South End Elementary School",="1310711",100.0,100.0,100.0
"Southington School District",="1310011","Southington High School",="1316211",98.4,100.0,99.8
"Southington School District",="1310011","Strong Elementary School",="1310811",100.0,100.0,100.0
"Southington School District",="1310011","Thalberg Elementary School",="1310911",100.0,100.0,100.0
"Southington School District",="1310011","Urbin T. Kelley School",="1311411",100.0,100.0,100.0
"Sprague School District",="1330011","Sayles School",="1330111",100.0,100.0,100.0
"Stafford School District",="1340011","Stafford Elementary School",="1340611",100.0,100.0,100.0
"Stafford School District",="1340011","Stafford High School",="1346111",100.0,100.0,100.0
"Stafford School District",="1340011","Stafford Middle School",="1345211",100.0,96.6,100.0
"Stafford School District",="1340011","Staffordville School",="1340311",100.0,100.0,100.0
"Stafford School District",="1340011","West Stafford School",="1340411",100.0,100.0,100.0
"Stamford Academy District",="2820013","Stamford Academy",="2826013",92.0,60.0,66.7
"Stamford Charter School for Excellence District",="2960013","Stamford Charter School for Excellence",="2960113",N/A,N/A,63.2
"Stamford School District",="1350011","Alternate Routes To Success",="1350411",N/A,100.0,100.0
"Stamford School District",="1350011","Cloonan School",="1355611",97.9,100.0,100.0
"Stamford School District",="1350011","Davenport Ridge School",="1352011",100.0,100.0,100.0
"Stamford School District",="1350011","Dolan School",="1355311",100.0,100.0,100.0
"Stamford School District",="1350011","Hart School",="1352211",98.9,100.0,100.0
"Stamford School District",="1350011","Individuals Achieving Independence",="1350211",N/A,N/A,100.0
"Stamford School District",="1350011","Julia A. Stark School",="1351211",100.0,100.0,100.0
"Stamford School District",="1350011","K. T. Murphy School",="1350511",100.0,100.0,100.0
"Stamford School District",="1350011","Newfield School",="1350611",100.0,100.0,99.0
"Stamford School District",="1350011","Northeast School",="1351811",100.0,100.0,100.0
"Stamford School District",="1350011","Preschool Team",="1358011",100.0,100.0,N/A
"Stamford School District",="1350011","Rippowam Middle School",="1355811",100.0,100.0,100.0
"Stamford School District",="1350011","Rogers International School",="1350811",100.0,100.0,100.0
"Stamford School District",="1350011","Roxbury School",="1350911",100.0,100.0,100.0
"Stamford School District",="1350011","Scofield Middle School",="1355711",100.0,100.0,100.0
"Stamford School District",="1350011","Springdale School",="1351111",100.0,100.0,100.0
"Stamford School District",="1350011","Stamford High School",="1356111",98.1,100.0,100.0
"Stamford School District",="1350011","Stillmeadow School",="1352111",100.0,100.0,100.0
"Stamford School District",="1350011","The Academy of Information Technology",="1356411",100.0,100.0,100.0
"Stamford School District",="1350011","Toquam Magnet School",="1351911",99.0,95.0,100.0
"Stamford School District",="1350011","Turn of River School",="1355511",100.0,100.0,100.0
"Stamford School District",="1350011","Westhill High School",="1356311",100.0,100.0,99.1
"Stamford School District",="1350011","Westover School",="1351411",100.0,99.1,100.0
"Sterling School District",="1360011","Sterling Community School",="1360311",100.0,94.3,100.0
"Stonington School District",="1370011","Deans Mill School",="1370511",92.3,100.0,100.0
