"CT School Day SAT, 2015-16"
"All Districts, All Subjects, High Needs (F/R, EL or SWD)"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","School","School Code","Subject","High Needs (F, R, ELL or SWD)","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","ELA","Y",114,"*","*",21,18.4,53,46.5,"*","*","*","*",481
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","ELA","N",148,"*","*",29,19.6,92,62.2,"*","*","*","*",546
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Math","Y",114,29,25.4,59,51.8,"*","*","*","*",26,22.8,468
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Math","N",148,"*","*",62,41.9,59,39.9,"*","*","*","*",528
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","ELA","Y",103,21,20.4,30,29.1,46,44.7,6,5.8,52,50.5,479
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","ELA","N",182,11,6.0,23,12.6,128,70.3,20,11.0,148,81.3,535
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Math","Y",103,35,34.0,49,47.6,"*","*","*","*",19,18.4,457
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Math","N",182,"*","*",87,47.8,64,35.2,"*","*","*","*",501
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","ELA","Y",40,"*","*",11,27.5,18,45.0,"*","*","*","*",488
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","ELA","N",182,0,0.0,"*","*",114,62.6,"*","*","*","*",583
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Math","Y",40,"*","*",20,50.0,6,15.0,"*","*","*","*",462
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Math","N",182,"*","*",60,33.0,90,49.5,"*","*","*","*",560
"Canton School District","=""0230011""","Canton High School","=""0236111""","ELA","Y",24,"*","*","*","*",12,50.0,"*","*","*","*",500
"Canton School District","=""0230011""","Canton High School","=""0236111""","ELA","N",91,"*","*","*","*",50,54.9,"*","*","*","*",590
"Canton School District","=""0230011""","Canton High School","=""0236111""","Math","Y",24,"*","*",7,29.2,6,25.0,"*","*","*","*",462
"Canton School District","=""0230011""","Canton High School","=""0236111""","Math","N",91,"*","*",28,30.8,42,46.2,"*","*","*","*",568
"Capital Preparatory Harbor School Inc. District","=""2970013""","Capital Preparatory Harbor School Inc.","=""2970113""","ELA","Y",19,"*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Capital Preparatory Harbor School Inc.","=""2970113""","ELA","N",9,"*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Capital Preparatory Harbor School Inc.","=""2970113""","Math","Y",19,"*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Capital Preparatory Harbor School Inc.","=""2970113""","Math","N",9,"*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","ELA","Y",27,6,22.2,"*","*",14,51.9,"*","*","*","*",509
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","ELA","N",40,0,0.0,"*","*",13,32.5,"*","*","*","*",646
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","Math","Y",27,"*","*","*","*",8,29.6,"*","*","*","*",487
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","Math","N",40,"*","*","*","*",16,40.0,"*","*","*","*",653
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","ELA","Y",50,"*","*","*","*",16,32.0,"*","*","*","*",456
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","ELA","N",46,"*","*","*","*",21,45.7,"*","*","*","*",571
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Math","Y",50,"*","*",20,40.0,"*","*",0,0.0,"*","*",421
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Math","N",46,"*","*",27,58.7,"*","*",0,0.0,"*","*",496
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""","ELA","Y",38,10,26.3,"*","*",17,44.7,"*","*","*","*",470
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""","ELA","N",21,0,0.0,"*","*",14,66.7,"*","*","*","*",552
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""","Math","Y",38,"*","*",27,71.1,"*","*","*","*","*","*",452
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""","Math","N",21,"*","*",15,71.4,"*","*",0,0.0,"*","*",494
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","ELA","Y",40,"*","*",14,35.0,12,30.0,"*","*","*","*",460
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","ELA","N",47,"*","*",17,36.2,17,36.2,"*","*","*","*",533
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Math","Y",40,24,60.0,14,35.0,"*","*","*","*","*","*",412
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Math","N",47,12,25.5,22,46.8,"*","*","*","*","*","*",480
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""","ELA","Y",53,"*","*",16,30.2,"*","*",0,0.0,"*","*",420
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""","ELA","N",20,"*","*",7,35.0,8,40.0,"*","*","*","*",463
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""","Math","Y",53,31,58.5,"*","*","*","*",0,0.0,"*","*",400
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""","Math","N",20,"*","*",11,55.0,"*","*",0,0.0,"*","*",443
"Capitol Region Education Council","=""2410014""","Soundbridge @ Wethersfield High School","=""2411014""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Wethersfield High School","=""2411014""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""","ELA","Y",47,"*","*",16,34.0,17,36.2,"*","*","*","*",478
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""","ELA","N",47,7,14.9,"*","*",23,48.9,"*","*","*","*",544
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""","Math","Y",47,18,38.3,23,48.9,"*","*","*","*",6,12.8,441
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""","Math","N",47,9,19.1,21,44.7,"*","*","*","*",17,36.2,500
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","ELA","Y",55,"*","*",12,21.8,29,52.7,"*","*","*","*",482
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","ELA","N",313,"*","*",24,7.7,187,59.7,"*","*","*","*",584
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Math","Y",55,17,30.9,24,43.6,"*","*","*","*",14,25.5,467
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Math","N",313,"*","*",81,25.9,141,45.0,"*","*","*","*",581
"Cheshire School District","=""0250011""","Humiston Alternative School","=""0250911""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""","Humiston Alternative School","=""0250911""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""","Humiston Alternative School","=""0250911""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""","Humiston Alternative School","=""0250911""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","ELA","Y",25,"*","*",7,28.0,10,40.0,"*","*","*","*",465
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","ELA","N",99,"*","*",15,15.2,58,58.6,"*","*","*","*",554
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Math","Y",24,11,45.8,"*","*","*","*",0,0.0,"*","*",425
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Math","N",99,16,16.2,49,49.5,"*","*","*","*","*","*",489
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","ELA","Y",48,"*","*",15,31.3,19,39.6,"*","*","*","*",480
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","ELA","N",143,"*","*",13,9.1,92,64.3,"*","*","*","*",574
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","Math","Y",47,"*","*",18,38.3,10,21.3,"*","*","*","*",444
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","Math","N",143,"*","*",66,46.2,58,40.6,"*","*","*","*",537
"Colchester School District","=""0280011""","Bacon Academy Alternative Education","=""0280511""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Colchester School District","=""0280011""","Bacon Academy Alternative Education","=""0280511""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Colchester School District","=""0280011""","Bacon Academy Alternative Education","=""0280511""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Colchester School District","=""0280011""","Bacon Academy Alternative Education","=""0280511""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","ELA","Y",20,"*","*","*","*","*","*","*","*","*","*",416
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","ELA","N",19,"*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","Math","Y",20,"*","*","*","*","*","*",0,0.0,"*","*",393
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","Math","N",19,"*","*","*","*","*","*","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","ELA","Y",132,61,46.2,49,37.1,"*","*","*","*",22,16.7,425
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","ELA","N",37,15,40.5,9,24.3,13,35.1,0,0.0,13,35.1,442
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","Math","Y",132,84,63.6,"*","*","*","*",0,0.0,"*","*",391
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","Math","N",37,22,59.5,15,40.5,0,0.0,0,0.0,0,0.0,400
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","ELA","Y",125,44,35.2,40,32.0,41,32.8,0,0.0,41,32.8,444
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","ELA","N",49,"*","*",23,46.9,15,30.6,"*","*","*","*",460
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","Math","Y",125,"*","*",68,54.4,"*","*",0,0.0,"*","*",441
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","Math","N",49,17,34.7,27,55.1,"*","*","*","*","*","*",437
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","ELA","Y",96,32,33.3,36,37.5,28,29.2,0,0.0,28,29.2,439
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","ELA","N",45,"*","*",10,22.2,25,55.6,"*","*","*","*",483
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","Math","Y",96,39,40.6,50,52.1,7,7.3,0,0.0,7,7.3,432
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","Math","N",45,19,42.2,18,40.0,8,17.8,0,0.0,8,17.8,444
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","ELA","Y",114,62,54.4,"*","*","*","*",0,0.0,"*","*",416
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","ELA","N",26,12,46.2,"*","*","*","*",0,0.0,"*","*",424
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","Math","Y",114,61,53.5,"*","*","*","*",0,0.0,"*","*",411
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","Math","N",26,17,65.4,9,34.6,0,0.0,0,0.0,0,0.0,391
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","ELA","Y",84,"*","*",29,34.5,30,35.7,"*","*","*","*",465
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","ELA","N",41,9,22.0,"*","*",22,53.7,"*","*","*","*",492
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","Math","Y",84,27,32.1,43,51.2,14,16.7,0,0.0,14,16.7,444
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","Math","N",41,14,34.1,19,46.3,8,19.5,0,0.0,8,19.5,459
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","ELA","Y",68,25,36.8,26,38.2,17,25.0,0,0.0,17,25.0,436
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","ELA","N",63,"*","*",20,31.7,27,42.9,"*","*","*","*",479
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","Math","Y",68,37,54.4,"*","*","*","*",0,0.0,"*","*",410
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","Math","N",63,"*","*",33,52.4,"*","*",0,0.0,"*","*",446
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","ELA","Y",81,"*","*",29,35.8,35,43.2,"*","*","*","*",463
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","ELA","N",107,"*","*",28,26.2,59,55.1,"*","*","*","*",496
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","Math","Y",81,26,32.1,43,53.1,"*","*","*","*",12,14.8,452
