"Student Counts by School and Free/Reduced Lunch Eligibility"
"All Districts, All Schools"
"2008-09"

"",,,,"Free/Reduced Lunch Eligibility",,,
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",431,38,32,501
"Bridgeport School District","=""0150011""","Read School","=""0152511""",884,8,27,919
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",540,"*","*",550
"Bridgeport School District","=""0150011""","Skane Center","=""0154411""","*",0,"*",210
"Bridgeport School District","=""0150011""","The University School","=""0159111""","*",0,"*",24
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",532,8,21,561
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",619,46,64,729
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""",10,"*","*",23
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",359,914,144,1417
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",266,949,103,1318
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",299,483,99,881
"Bristol School District","=""0170011""","Clara T. O'Connell School","=""0170711""",249,79,44,372
"Bristol School District","=""0170011""","Clarence A. Bingham School","=""0170111""",86,137,19,242
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",103,228,28,359
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""",126,301,65,492
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",91,248,28,367
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",94,257,31,382
"Bristol School District","=""0170011""","John J. Jennings School","=""0170611""",50,298,18,366
"Bristol School District","=""0170011""","Memorial Boulevard Middle School","=""0175311""",157,314,72,543
"Bristol School District","=""0170011""","Mountain View School","=""0171711""",74,281,36,391
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""",124,392,50,566
"Bristol School District","=""0170011""","South Side School","=""0171111""",165,355,55,575
"Bristol School District","=""0170011""","Stafford School","=""0171211""",136,332,49,517
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","*",1000,"*",1016
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""","*",398,"*",406
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""",10,591,8,609
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""",20,876,19,915
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""",86,464,31,581
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""",50,318,32,400
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""",8,77,0,85
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""",57,284,16,357
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""",24,208,10,242
"Canton School District","=""0230011""","Canton High School","=""0236111""",18,495,9,522
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""","*",378,"*",394
"Canton School District","=""0230011""","Canton Middle School","=""0235111""","*",269,"*",279
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""","*",546,"*",553
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",20,51,7,78
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","*","*",0,16
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""",30,196,25,251
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""","*",143,"*",164
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",45,90,12,147
"Capitol Region Education Council","=""2410014""","Integrated Program Models","=""2419414""",7,11,0,18
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""",24,88,12,124
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","*",33,"*",68
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",157,433,93,683
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""",83,211,38,332
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""",27,59,19,105
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""",13,127,9,149
"Capitol Region Education Council","=""2410014""","River Street Early Learning Center (Site 2)","=""2419514""",0,53,0,53
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""",0,149,0,149
"Capitol Region Education Council","=""2410014""","Soundbridge","=""2419114""","*",96,"*",98
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""",148,395,46,589
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""",104,241,67,412
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""","*",138,"*",178
"Charter School for Young Children on Asylum Hill District","=""2870013""","Charter School for Young Children on Asylum Hill  Inc.","=""2870113""",0,136,0,136
"Cheshire School District","=""0250011""","Chapman School","=""0250111""","*",310,"*",329
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",45,1501,33,1579
"Cheshire School District","=""0250011""","Darcey School","=""0250211""",0,385,0,385
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""",28,766,24,818
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""",34,491,7,532
"Cheshire School District","=""0250011""","Highland School","=""0250411""",23,824,22,869
"Cheshire School District","=""0250011""","Humiston School","=""0259011""","*",17,"*",24
"Cheshire School District","=""0250011""","Norton School","=""0250511""",14,444,12,470
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""",13,299,7,319
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""",18,280,15,313
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""",39,418,35,492
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""",64,597,28,689
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",31,544,15,590
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",50,881,37,968
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""",52,668,19,739
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""",64,622,24,710
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""",54,679,30,763
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""","*",103,"*",116
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""",23,531,19,573
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",87,50,18,155
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",270,267,78,615
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",310,441,124,875
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",184,250,57,491
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",294,164,66,524
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",167,382,69,618
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",64,415,41,520
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",165,501,61,727
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",78,443,47,568
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",98,411,69,578
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",89,475,33,597
"Connecticut Technical High School System","=""9000016""","J. M. Wright Technical High School","=""9002116""",83,112,30,225
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",88,341,44,473
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",67,632,42,741
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",149,643,92,884
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",75,464,44,583
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",200,434,82,716
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",105,373,44,522
"Cooperative Educational Services","=""2430014""","C. E. S. Special Education","=""2439014""",79,161,30,270
"Cooperative Educational Services","=""2430014""","School Readiness","=""2438014""",18,25,11,54
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""",61,337,32,430
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""",11,111,0,122
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""",44,454,16,514
"Coventry School District","=""0320011""","Coventry Early Intervention Services","=""0328011""","*","*",0,14
"Coventry School District","=""0320011""","Coventry Grammar School","=""0320211""",32,360,18,410
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",40,488,25,553
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""",41,401,19,461
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",41,513,19,573
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""",33,411,18,462
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""",44,422,22,488
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""",31,437,26,494
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""","*",60,"*",86
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""",208,839,58,1105
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",466,2213,160,2839
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""",125,176,50,351
"Danbury School District","=""0340011""","Great Plain School","=""0341111""",62,209,30,301
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""",113,254,39,406
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""",67,233,17,317
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""",54,260,20,334
"Danbury School District","=""0340011""","Mill Ridge Educational Center","=""0341811""",77,250,25,352
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""",71,205,20,296
"Danbury School District","=""0340011""","Morris Street School","=""0340611""",162,114,70,346
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""",180,186,34,400
"Danbury School District","=""0340011""","Pembroke School","=""0341511""",90,236,10,336
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""",223,736,61,1020
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""",91,251,33,375
"Danbury School District","=""0340011""","South Street School","=""0341011""",110,182,43,335
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""",91,350,29,470
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""",20,332,19,371
"Darien School District","=""0350011""","Darien High School","=""0356111""",37,1191,8,1236
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""",0,518,0,518
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""","*",465,"*",475
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""",7,1116,9,1132
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""",0,495,0,495
"Darien School District","=""0350011""","Royle Elementary School","=""0350511""","*",432,"*",440
"Darien School District","=""0350011""","Tokeneke Elementary School","=""0350611""",0,425,0,425
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""",31,315,7,353
"Department of Mental Health and Addiction Services","=""3370015""","Cedarcrest Regional Hosp - Blue Hills Hosp. Substance Ab","=""3370315""",0,"*",0,"*"
"Department of Mental Health and Addiction Services","=""3370015""","Connecticut Valley Hospital","=""3370215""",0,"*",0,"*"
"Department of Mental Health and Addiction Services","=""3370015""","Greater Bridgeport Community Mental Health Center","=""3370515""",0,"*",0,"*"
"Derby School District","=""0370011""","Bradley School","=""0370611""",78,266,39,383
"Derby School District","=""0370011""","Derby High School","=""0376111""",208,365,68,641
"Derby School District","=""0370011""","Irving School","=""0370411""",237,153,48,438
"East Granby School District","=""0400011""","Allgrove School","=""0400111""","*","*",0,288
"East Granby School District","=""0400011""","East Granby High School","=""0406111""","*","*",0,252
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""","*","*",0,216
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""","*","*",0,142
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""",18,401,14,433
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",23,384,11,418
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""",31,514,27,572
"East Hampton School District","=""0420011""","Center School","=""0420311""",23,314,13,350
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",30,554,11,595
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""",29,435,10,474
"East Hampton School District","=""0420011""","Memorial School","=""0420111""",22,594,13,629
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","=""0429011""",0,7,0,7
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""",198,70,54,322
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",34,107,28,169
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""",252,106,52,410
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""",177,105,50,332
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""",81,188,53,322
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",787,825,286,1898
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""",464,349,154,967
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""",104,205,44,353
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""",192,101,40,333
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""",114,169,48,331
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""",237,119,58,414
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""",204,54,39,297
"East Hartford School District","=""0430011""","Stevens Alternate High School","=""0436411""",71,58,19,148
"East Hartford School District","=""0430011""","Sunset Ridge Middle School","=""0432411""",266,157,69,492
"East Hartford School District","=""0430011""","Willowbrook Early Childhood","=""0438011""",104,166,8,278
"East Hartford School District","=""0430011""","Woodland School","=""0439011""",106,41,22,169
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""",20,192,16,228
"East Haven School District","=""0440011""","D. C. Moore School","=""0441411""",80,135,18,233
"East Haven School District","=""0440011""","Deer Run School","=""0440111""",70,215,52,337
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""",31,129,29,189
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",167,750,97,1014
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""",73,106,33,212
"East Haven School District","=""0440011""","Hays School","=""0441911""",27,128,8,163
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""",110,322,67,499
"East Haven School District","=""0440011""","Momauguin School","=""0440711""",76,101,27,204
"East Haven School District","=""0440011""","Overbrook Elementary School","=""0441811""",30,123,6,159
"East Haven School District","=""0440011""","Pathways","=""0449011""","*",27,"*",46
"East Haven School District","=""0440011""","Robert W. Carbone School","=""0441611""",73,177,42,292
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",23,1206,18,1247
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""",36,819,15,870
"East Lyme School District","=""0450011""","Flanders School","=""0450111""",12,349,7,368
"East Lyme School District","=""0450011""","Integrated Preschool","=""0458011""",0,50,0,50
"East Lyme School District","=""0450011""","Lillie B. Haynes School","=""0450411""",28,323,15,366
"East Lyme School District","=""0450011""","Niantic Center School","=""0450211""",17,213,17,247
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""",136,432,32,600
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",68,312,31,411
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""",90,300,34,424
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","*",54,"*",65
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EastConn Special Education","=""2539014""",22,"*","*",48
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""","*",15,"*",34
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""",20,165,0,185
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""","*",383,"*",387
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""","*",756,"*",769
"EdAdvance","=""2420014""","EdAdvance Headstart","=""2428014""",167,0,0,167
"EdAdvance","=""2420014""","The ACCESS School at The Danuta M. Thibodeau Education Center","=""2429014""","*","*",0,27
"Ellington School District","=""0480011""","Center School","=""0480111""",29,394,6,429
"Ellington School District","=""0480011""","Crystal Lake School","=""0480211""","*",208,"*",221
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",20,743,15,778
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""",11,371,8,390
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""",21,377,8,406
"Ellington School District","=""0480011""","Windermere School","=""0480611""","*",384,"*",410
"Elm City College Preparatory School","=""2810013""","Elm City College Preparatory School","=""2810113""",254,169,86,509
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""",24,305,10,339
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""",53,320,31,404
"Enfield School District","=""0490011""","Enfield High School","=""0496111""",138,706,49,893
"Enfield School District","=""0490011""","Enfield Street School","=""0490211""",109,206,33,348
"Enfield School District","=""0490011""","Enfield Transitional Learning Academy","=""0499011""","*","*",0,8
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""",152,949,73,1174
"Enfield School District","=""0490011""","Harriet Beecher Stowe School","=""0491211""",42,226,15,283
"Enfield School District","=""0490011""","Hazardville Memorial School","=""0490411""",51,334,20,405
"Enfield School District","=""0490011""","Head Start Program","=""0498011""",104,0,0,104
"Enfield School District","=""0490011""","Henry Barnard School","=""0491811""",100,282,36,418
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""",166,681,76,923
"Enfield School District","=""0490011""","Nathan Hale School","=""0491111""",24,228,11,263
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""",64,332,39,435
"Enfield School District","=""0490011""","Thomas G. Alcorn School","=""0491711""",198,64,37,299
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""",19,569,6,594
"Explorations District","=""2720013""","Explorations","=""2726113""","*",60,"*",85
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""","*",461,"*",469
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""","*",315,"*",322
"Fairfield School District","=""0510011""","Early Childhood Center","=""0518011""","*","*",0,126
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""",40,1320,32,1392
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""",69,1168,36,1273
"Fairfield School District","=""0510011""","Fairfield Woods Middle School","=""0515211""","*",588,"*",605
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""",33,293,24,350
"Fairfield School District","=""0510011""","Jennings School","=""0511711""",9,337,10,356
"Fairfield School District","=""0510011""","McKinley School","=""0510611""",96,296,44,436
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""","*",456,"*",470
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""",11,482,9,502
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""","*",516,"*",527
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""",8,464,6,478
"Fairfield School District","=""0510011""","Roger Ludlowe Middle School","=""0515311""",65,774,50,889
"Fairfield School District","=""0510011""","Sherman School","=""0511311""",15,423,8,446
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""",7,528,7,542
"Fairfield School District","=""0510011""","Tomlinson Middle School","=""0515111""",25,717,28,770
"Farmington School District","=""0520011""","East Farms School","=""0520411""","*",410,"*",428
"Farmington School District","=""0520011""","Farmington Collaborative PK","=""0528011""","*","*",0,72
"Farmington School District","=""0520011""","Farmington High School","=""0526111""",59,1269,32,1360
"Farmington School District","=""0520011""","Irving A. Robbins Middle School","=""0525111""",26,630,15,671
"Farmington School District","=""0520011""","Noah Wallace School","=""0520211""",19,320,6,345
"Farmington School District","=""0520011""","Union School","=""0520111""",19,270,6,295
"Farmington School District","=""0520011""","West District School","=""0520311""","*",330,"*",345
"Farmington School District","=""0520011""","West Woods Upper Elementary School","=""0520511""",26,630,20,676
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""","*",205,"*",225
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""",16,549,10,575
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""","*","*",0,342
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""",26,497,7,530
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""",82,1927,57,2066
