"Smarter Balanced Assessments, 2015-16"
"All Districts, ELA and Math, All Grades Combined, All Students"

"",,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","School","School Code","Subject","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Greenwich School District","=""0570011""","North Street School","=""0570811""","Math",171,170,99.4,170,"*","*","*","*",45,26.5,83,48.8,128,75.3
"Greenwich School District","=""0570011""","Old Greenwich School","=""0570911""","ELA",207,207,100.0,207,"*","*","*","*",49,23.7,134,64.7,183,88.4
"Greenwich School District","=""0570011""","Old Greenwich School","=""0570911""","Math",207,207,100.0,207,"*","*","*","*",54,26.1,119,57.5,173,83.6
"Greenwich School District","=""0570011""","Parkway School","=""0571111""","ELA",101,99,98.0,99,7,7.1,11,11.1,34,34.3,47,47.5,81,81.8
"Greenwich School District","=""0570011""","Parkway School","=""0571111""","Math",101,99,98.0,99,6,6.1,15,15.2,31,31.3,47,47.5,78,78.8
"Greenwich School District","=""0570011""","Riverside School","=""0571011""","ELA",229,229,100.0,229,7,3.1,16,7.0,51,22.3,155,67.7,206,90.0
"Greenwich School District","=""0570011""","Riverside School","=""0571011""","Math",229,229,100.0,229,9,3.9,24,10.5,64,27.9,132,57.6,196,85.6
"Greenwich School District","=""0570011""","Western Middle School","=""0575311""","ELA",535,534,99.8,534,76,14.2,123,23.0,190,35.6,145,27.2,335,62.7
"Greenwich School District","=""0570011""","Western Middle School","=""0575311""","Math",535,534,99.8,534,134,25.1,140,26.2,111,20.8,149,27.9,260,48.7
"Griswold School District","=""0580011""","Griswold Alternative School","=""0580111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Griswold School District","=""0580011""","Griswold Alternative School","=""0580111""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Griswold School District","=""0580011""","Griswold Elementary School","=""0580311""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Griswold School District","=""0580011""","Griswold Elementary School","=""0580311""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Griswold School District","=""0580011""","Griswold Middle School","=""0585111""","ELA",539,534,99.1,534,83,15.5,126,23.6,221,41.4,104,19.5,325,60.9
"Griswold School District","=""0580011""","Griswold Middle School","=""0585111""","Math",539,535,99.3,535,118,22.1,155,29.0,129,24.1,133,24.9,262,49.0
"Groton School District","=""0590011""","Carl C. Cutler Middle School","=""0595311""","ELA",489,487,99.6,487,85,17.5,128,26.3,173,35.5,101,20.7,274,56.3
"Groton School District","=""0590011""","Carl C. Cutler Middle School","=""0595311""","Math",490,488,99.6,488,101,20.7,147,30.1,126,25.8,114,23.4,240,49.2
"Groton School District","=""0590011""","Catherine Kolnaski Magnet School","=""0592011""","ELA",165,165,100.0,165,58,35.2,34,20.6,42,25.5,31,18.8,73,44.2
"Groton School District","=""0590011""","Catherine Kolnaski Magnet School","=""0592011""","Math",165,165,100.0,165,55,33.3,56,33.9,34,20.6,20,12.1,54,32.7
"Groton School District","=""0590011""","Charles Barnum School","=""0591811""","ELA",121,121,100.0,121,14,11.6,20,16.5,41,33.9,46,38.0,87,71.9
"Groton School District","=""0590011""","Charles Barnum School","=""0591811""","Math",121,121,100.0,121,12,9.9,34,28.1,40,33.1,35,28.9,75,62.0
"Groton School District","=""0590011""","Claude Chester School","=""0590311""","ELA",169,169,100.0,169,60,35.5,35,20.7,51,30.2,23,13.6,74,43.8
"Groton School District","=""0590011""","Claude Chester School","=""0590311""","Math",169,169,100.0,169,59,34.9,53,31.4,42,24.9,15,8.9,57,33.7
"Groton School District","=""0590011""","Mary Morrisson School","=""0591711""","ELA",125,125,100.0,125,32,25.6,30,24.0,35,28.0,28,22.4,63,50.4
"Groton School District","=""0590011""","Mary Morrisson School","=""0591711""","Math",124,124,100.0,124,20,16.1,42,33.9,33,26.6,29,23.4,62,50.0
"Groton School District","=""0590011""","Northeast Academy Elementary School","=""0591911""","ELA",186,186,100.0,186,19,10.2,29,15.6,61,32.8,77,41.4,138,74.2
"Groton School District","=""0590011""","Northeast Academy Elementary School","=""0591911""","Math",186,186,100.0,186,23,12.4,51,27.4,60,32.3,52,28.0,112,60.2
"Groton School District","=""0590011""","Pleasant Valley School","=""0591211""","ELA",141,141,100.0,141,19,13.5,31,22.0,48,34.0,43,30.5,91,64.5
"Groton School District","=""0590011""","Pleasant Valley School","=""0591211""","Math",139,139,100.0,139,22,15.8,40,28.8,45,32.4,32,23.0,77,55.4
"Groton School District","=""0590011""","S. B. Butler School","=""0590111""","ELA",114,112,98.2,112,7,6.3,20,17.9,37,33.0,48,42.9,85,75.9
"Groton School District","=""0590011""","S. B. Butler School","=""0590111""","Math",114,112,98.2,112,14,12.5,21,18.8,49,43.8,28,25.0,77,68.8
"Groton School District","=""0590011""","West Side Middle School","=""0595211""","ELA",432,428,99.1,428,134,31.3,128,29.9,127,29.7,39,9.1,166,38.8
"Groton School District","=""0590011""","West Side Middle School","=""0595211""","Math",435,431,99.1,431,171,39.7,144,33.4,88,20.4,28,6.5,116,26.9
"Guilford School District","=""0600011""","A. Baldwin Middle School","=""0600711""","ELA",557,555,99.6,555,46,8.3,67,12.1,203,36.6,239,43.1,442,79.6
"Guilford School District","=""0600011""","A. Baldwin Middle School","=""0600711""","Math",557,555,99.6,555,50,9.0,132,23.8,171,30.8,202,36.4,373,67.2
"Guilford School District","=""0600011""","A. W. Cox School","=""0600611""","ELA",141,141,100.0,139,17,12.2,21,15.1,36,25.9,65,46.8,101,72.7
"Guilford School District","=""0600011""","A. W. Cox School","=""0600611""","Math",141,141,100.0,138,23,16.7,28,20.3,39,28.3,48,34.8,87,63.0
"Guilford School District","=""0600011""","Calvin Leete School","=""0600411""","ELA",111,111,100.0,111,6,5.4,10,9.0,28,25.2,67,60.4,95,85.6
"Guilford School District","=""0600011""","Calvin Leete School","=""0600411""","Math",111,111,100.0,111,9,8.1,18,16.2,38,34.2,46,41.4,84,75.7
"Guilford School District","=""0600011""","E. C. Adams Middle School","=""0605111""","ELA",548,546,99.6,546,15,2.7,70,12.8,228,41.8,233,42.7,461,84.4
"Guilford School District","=""0600011""","E. C. Adams Middle School","=""0605111""","Math",548,546,99.6,546,40,7.3,125,22.9,144,26.4,237,43.4,381,69.8
"Guilford School District","=""0600011""","Guilford Lakes School","=""0600211""","ELA",119,119,100.0,119,8,6.7,10,8.4,18,15.1,83,69.7,101,84.9
"Guilford School District","=""0600011""","Guilford Lakes School","=""0600211""","Math",119,119,100.0,119,8,6.7,6,5.0,31,26.1,74,62.2,105,88.2
"Guilford School District","=""0600011""","Melissa Jones School","=""0600311""","ELA",150,150,100.0,150,10,6.7,14,9.3,44,29.3,82,54.7,126,84.0
"Guilford School District","=""0600011""","Melissa Jones School","=""0600311""","Math",150,150,100.0,150,8,5.3,27,18.0,47,31.3,68,45.3,115,76.7
"Hamden School District","=""0620011""","Alice Peck Learning Center","=""0628011""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hamden School District","=""0620011""","Alice Peck Learning Center","=""0628011""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hamden School District","=""0620011""","Bear Path School","=""0621211""","ELA",260,257,98.8,257,57,22.2,58,22.6,72,28.0,70,27.2,142,55.3
"Hamden School District","=""0620011""","Bear Path School","=""0621211""","Math",260,256,98.5,256,52,20.3,77,30.1,77,30.1,50,19.5,127,49.6
"Hamden School District","=""0620011""","Church Street School","=""0620211""","ELA",160,160,100.0,160,70,43.8,45,28.1,33,20.6,12,7.5,45,28.1
"Hamden School District","=""0620011""","Church Street School","=""0620211""","Math",160,160,100.0,160,82,51.3,47,29.4,25,15.6,6,3.8,31,19.4
"Hamden School District","=""0620011""","Dunbar Hill School","=""0620311""","ELA",153,153,100.0,153,39,25.5,31,20.3,43,28.1,40,26.1,83,54.2
"Hamden School District","=""0620011""","Dunbar Hill School","=""0620311""","Math",153,153,100.0,153,50,32.7,53,34.6,29,19.0,21,13.7,50,32.7
"Hamden School District","=""0620011""","Hamden Collaborative Learning Center","=""0620511""","ELA",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*"
"Hamden School District","=""0620011""","Hamden Collaborative Learning Center","=""0620511""","Math",10,10,"*",10,"*","*","*","*","*","*","*","*","*","*"
"Hamden School District","=""0620011""","Hamden Middle School","=""0625211""","ELA",802,789,98.4,789,207,26.2,216,27.4,257,32.6,109,13.8,366,46.4
"Hamden School District","=""0620011""","Hamden Middle School","=""0625211""","Math",801,781,97.5,781,317,40.6,220,28.2,150,19.2,94,12.0,244,31.2
"Hamden School District","=""0620011""","Helen Street School","=""0620411""","ELA",183,183,100.0,183,65,35.5,48,26.2,47,25.7,23,12.6,70,38.3
"Hamden School District","=""0620011""","Helen Street School","=""0620411""","Math",184,184,100.0,184,73,39.7,73,39.7,32,17.4,6,3.3,38,20.7
"Hamden School District","=""0620011""","Ridge Hill School","=""0621111""","ELA",180,180,100.0,180,56,31.1,41,22.8,45,25.0,38,21.1,83,46.1
"Hamden School District","=""0620011""","Ridge Hill School","=""0621111""","Math",180,179,99.4,179,57,31.8,55,30.7,45,25.1,22,12.3,67,37.4
"Hamden School District","=""0620011""","Shepherd Glen School","=""0620111""","ELA",189,187,98.9,187,63,33.7,33,17.6,59,31.6,32,17.1,91,48.7
"Hamden School District","=""0620011""","Shepherd Glen School","=""0620111""","Math",189,187,98.9,187,59,31.6,57,30.5,36,19.3,35,18.7,71,38.0
"Hamden School District","=""0620011""","Spring Glen School","=""0621011""","ELA",242,238,98.3,238,40,16.8,38,16.0,67,28.2,93,39.1,160,67.2
"Hamden School District","=""0620011""","Spring Glen School","=""0621011""","Math",242,235,97.1,235,42,17.9,63,26.8,60,25.5,70,29.8,130,55.3
"Hamden School District","=""0620011""","West Woods School","=""0621411""","ELA",234,233,99.6,233,25,10.7,33,14.2,77,33.0,98,42.1,175,75.1
"Hamden School District","=""0620011""","West Woods School","=""0621411""","Math",234,233,99.6,233,25,10.7,56,24.0,87,37.3,65,27.9,152,65.2
"Hampton School District","=""0630011""","Hampton Elementary School","=""0630111""","ELA",48,48,100.0,48,8,16.7,14,29.2,15,31.3,11,22.9,26,54.2
"Hampton School District","=""0630011""","Hampton Elementary School","=""0630111""","Math",48,48,100.0,48,13,27.1,13,27.1,14,29.2,8,16.7,22,45.8
"Hartford School District","=""0640011""","Asian Studies Academy","=""0640711""","ELA",375,363,96.8,361,274,75.9,54,15.0,"*","*","*","*",33,9.1
"Hartford School District","=""0640011""","Asian Studies Academy","=""0640711""","Math",375,339,90.4,339,278,82.0,53,15.6,8,2.4,0,0.0,8,2.4
"Hartford School District","=""0640011""","Autism Program - Sarah J. Rawson Elementary School","=""0644411""","ELA",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","Autism Program - Sarah J. Rawson Elementary School","=""0644411""","Math",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","Autism Program - Simpson-Waverly","=""0649311""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","Autism Program - Simpson-Waverly","=""0649311""","Math","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","Batchelder School","=""0640411""","ELA",296,296,100.0,296,164,55.4,80,27.0,46,15.5,6,2.0,52,17.6
"Hartford School District","=""0640011""","Batchelder School","=""0640411""","Math",294,285,96.9,285,186,65.3,79,27.7,"*","*","*","*",20,7.0
"Hartford School District","=""0640011""","Breakthrough II Elementary School","=""0643511""","ELA",124,123,99.2,123,47,38.2,42,34.1,22,17.9,12,9.8,34,27.6
"Hartford School District","=""0640011""","Breakthrough II Elementary School","=""0643511""","Math",124,122,98.4,122,64,52.5,34,27.9,"*","*","*","*",24,19.7
"Hartford School District","=""0640011""","Breakthrough Magnet School","=""0643311""","ELA",196,195,99.5,195,56,28.7,54,27.7,52,26.7,33,16.9,85,43.6
"Hartford School District","=""0640011""","Breakthrough Magnet School","=""0643311""","Math",196,195,99.5,195,65,33.3,65,33.3,45,23.1,20,10.3,65,33.3
"Hartford School District","=""0640011""","Burns Latino Studies Academy","=""0640611""","ELA",323,321,99.4,321,249,77.6,50,15.6,"*","*","*","*",22,6.9
"Hartford School District","=""0640011""","Burns Latino Studies Academy","=""0640611""","Math",322,319,99.1,318,273,85.8,39,12.3,"*","*","*","*",6,1.9
"Hartford School District","=""0640011""","Burr School","=""0642311""","ELA",385,385,100.0,385,245,63.6,84,21.8,48,12.5,8,2.1,56,14.5
"Hartford School District","=""0640011""","Burr School","=""0642311""","Math",387,387,100.0,387,287,74.2,74,19.1,19,4.9,7,1.8,26,6.7
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""","ELA",276,273,98.9,273,118,43.2,66,24.2,70,25.6,19,7.0,89,32.6
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""","Math",276,272,98.6,272,138,50.7,85,31.3,37,13.6,12,4.4,49,18.0
"Hartford School District","=""0640011""","Clark School","=""0642411""","ELA",149,148,99.3,148,101,68.2,37,25.0,"*","*","*","*",10,6.8
"Hartford School District","=""0640011""","Clark School","=""0642411""","Math",149,149,100.0,149,107,71.8,32,21.5,"*","*","*","*",10,6.7
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""","ELA",288,288,100.0,288,111,38.5,93,32.3,65,22.6,19,6.6,84,29.2
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""","Math",288,286,99.3,285,157,55.1,86,30.2,31,10.9,11,3.9,42,14.7
"Hartford School District","=""0640011""","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""","ELA",397,396,99.7,396,171,43.2,101,25.5,94,23.7,30,7.6,124,31.3
"Hartford School District","=""0640011""","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""","Math",395,382,96.7,381,218,57.2,109,28.6,33,8.7,21,5.5,54,14.2
"Hartford School District","=""0640011""","Dr. Ramon E. Betances Early Reading Lab","=""0642811""","ELA",53,53,100.0,53,29,54.7,10,18.9,7,13.2,7,13.2,14,26.4
"Hartford School District","=""0640011""","Dr. Ramon E. Betances Early Reading Lab","=""0642811""","Math",53,53,100.0,53,32,60.4,12,22.6,"*","*","*","*",9,17.0
"Hartford School District","=""0640011""","EDP - Betances Early Reading Lab","=""0645811""","ELA",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","EDP - Betances Early Reading Lab","=""0645811""","Math",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","EDP - M.D. Fox","=""0645911""","ELA",31,31,100.0,31,25,80.6,6,19.4,0,0.0,0,0.0,0,0.0
"Hartford School District","=""0640011""","EDP - M.D. Fox","=""0645911""","Math",31,31,100.0,31,"*","*","*","*",0,0.0,0,0.0,0,0.0
"Hartford School District","=""0640011""","EDP - McDonough Expeditionary Learning School","=""0648111""","ELA",10,10,"*",9,"*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","EDP - McDonough Expeditionary Learning School","=""0648111""","Math",10,10,"*",9,"*","*","*","*","*","*","*","*","*","*"
"Hartford School District","=""0640011""","Environmental Sciences Magnet School at Mary M Hooker","=""0640911""","ELA",357,355,99.4,355,103,29.0,86,24.2,96,27.0,70,19.7,166,46.8
"Hartford School District","=""0640011""","Environmental Sciences Magnet School at Mary M Hooker","=""0640911""","Math",357,355,99.4,355,102,28.7,116,32.7,69,19.4,68,19.2,137,38.6
"Hartford School District","=""0640011""","Expeditionary Learning Academy at Moylan School","=""0643211""","ELA",265,265,100.0,265,148,55.8,65,24.5,38,14.3,14,5.3,52,19.6
"Hartford School District","=""0640011""","Expeditionary Learning Academy at Moylan School","=""0643211""","Math",264,264,100.0,264,143,54.2,82,31.1,33,12.5,6,2.3,39,14.8
"Hartford School District","=""0640011""","Fred D. Wish Museum School","=""0642211""","ELA",173,173,100.0,173,113,65.3,38,22.0,16,9.2,6,3.5,22,12.7
"Hartford School District","=""0640011""","Fred D. Wish Museum School","=""0642211""","Math",174,170,97.7,170,133,78.2,27,15.9,"*","*","*","*",10,5.9
"Hartford School District","=""0640011""","Global Communications Academy","=""0643611""","ELA",317,314,99.1,314,156,49.7,94,29.9,48,15.3,16,5.1,64,20.4
"Hartford School District","=""0640011""","Global Communications Academy","=""0643611""","Math",317,313,98.7,313,191,61.0,90,28.8,26,8.3,6,1.9,32,10.2
"Hartford School District","=""0640011""","Hartford Magnet Trinity College Academy","=""0645411""","ELA",616,615,99.8,615,209,34.0,142,23.1,188,30.6,76,12.4,264,42.9
"Hartford School District","=""0640011""","Hartford Magnet Trinity College Academy","=""0645411""","Math",616,614,99.7,614,299,48.7,175,28.5,79,12.9,61,9.9,140,22.8
"Hartford School District","=""0640011""","Kennelly School","=""0641011""","ELA",388,385,99.2,385,206,53.5,101,26.2,62,16.1,16,4.2,78,20.3
"Hartford School District","=""0640011""","Kennelly School","=""0641011""","Math",388,385,99.2,385,199,51.7,139,36.1,39,10.1,8,2.1,47,12.2
"Hartford School District","=""0640011""","LC - Burns","=""0649611""","ELA","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
