"Student Counts by School and Special Education Status"
"All Districts, All Schools"
"2015-16"

"",,,,"Special Education Status",,
"District","District Code","School","School Code","No","Yes","Total"
"Capitol Region Education Council","=""2410014""","Soundbridge","=""2419114""",30,12,42
"Capitol Region Education Council","=""2410014""","Soundbridge @ Academy of Aerospace & Engineering Elementary","=""2411114""",0,7,7
"Capitol Region Education Council","=""2410014""","Soundbridge @ Museum Academy","=""2411214""",0,8,8
"Capitol Region Education Council","=""2410014""","Soundbridge @ Wethersfield High School","=""2411014""",0,9,9
"Capitol Region Education Council","=""2410014""","Strive (Southern Transition Real-World and Independent Vocational Education Program","=""2419714""",0,8,8
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""",337,62,399
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""",581,73,654
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""",378,79,457
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""",148,28,176
"Cheshire School District","=""0250011""","Chapman School","=""0250111""",312,32,344
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",1316,165,1481
"Cheshire School District","=""0250011""","Cheshire Quinnipiac University Transition Collaborative","=""0250311""",0,10,10
"Cheshire School District","=""0250011""","Darcey School","=""0250211""",102,45,147
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""",655,64,719
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""",439,41,480
"Cheshire School District","=""0250011""","Highland School","=""0250411""",683,68,751
"Cheshire School District","=""0250011""","Humiston Alternative School","=""0250911""",7,11,18
"Cheshire School District","=""0250011""","Norton School","=""0250511""",401,44,445
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""",177,34,211
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""",265,47,312
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""",395,57,452
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""",470,52,522
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",486,47,533
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",726,109,835
"Colchester School District","=""0280011""","Bacon Academy Alternative Education","=""0280511""",8,7,15
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""",478,92,570
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""",458,73,531
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""",515,85,600
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""",67,17,84
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""",392,53,445
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",150,36,186
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",707,61,768
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",748,36,784
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",589,47,636
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",487,64,551
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",430,75,505
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",499,74,573
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",711,49,760
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",580,43,623
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",565,75,640
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",575,78,653
"Connecticut Technical High School System","=""9000016""","J. M. Wright Technical High School","=""9002116""",221,29,250
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",602,55,657
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",594,63,657
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",741,70,811
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",483,105,588
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",723,35,758
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",438,58,496
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","=""2439214""",0,87,87
"Cooperative Educational Services","=""2430014""","Preschool-Primary Learning Center (PLC)","=""2439114""",0,57,57
"Cooperative Educational Services","=""2430014""","RISE Transitional Program","=""2439314""",0,17,17
"Cooperative Educational Services","=""2430014""","School Readiness","=""2438014""","*","*",90
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""",422,46,468
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""",0,150,150
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""",78,14,92
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""",349,48,397
"Coventry School District","=""0320011""","Coventry Academy","=""0320111""","*","*",12
"Coventry School District","=""0320011""","Coventry Grammar School","=""0320211""",312,36,348
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",402,63,465
"Coventry School District","=""0320011""","Coventry Smart Start Program","=""0320311""",16,22,38
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""",327,38,365
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",507,71,578
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""",401,46,447
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""",427,50,477
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""",432,48,480
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",73,21,94
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""",879,160,1039
"Danbury School District","=""0340011""","DPS Early Childhood Center","=""0340111""",85,56,141
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",2562,379,2941
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""",403,29,432
"Danbury School District","=""0340011""","Great Plain School","=""0341111""",305,49,354
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""",384,86,470
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""",331,38,369
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""",359,50,409
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""",322,28,350
"Danbury School District","=""0340011""","Morris Street School","=""0340611""",319,38,357
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""",549,46,595
"Danbury School District","=""0340011""","Pembroke School","=""0341511""",288,80,368
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""",805,133,938
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""",478,42,520
"Danbury School District","=""0340011""","South Street School","=""0341011""",348,30,378
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""",451,45,496
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""",362,28,390
"Danbury School District","=""0340011""","Westside Middle School Academy","=""0340311""",457,39,496
"Darien School District","=""0350011""","Darien High School","=""0356111""",1189,167,1356
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""",456,45,501
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""",423,39,462
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""",997,170,1167
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""",396,62,458
"Darien School District","=""0350011""","Royle Elementary School","=""0350511""",381,52,433
"Darien School District","=""0350011""","Tokeneke Elementary School","=""0350611""",419,60,479
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""",263,41,304
"Department of Mental Health and Addiction Services","=""3370015""","Connecticut Valley Hospital","=""3370215""",0,"*","*"
"Derby School District","=""0370011""","Bradley School","=""0370611""",304,43,347
"Derby School District","=""0370011""","Derby Alternative Education Center","=""0370511""",0,"*","*"
"Derby School District","=""0370011""","Derby High School","=""0376111""",303,41,344
"Derby School District","=""0370011""","Derby Middle School","=""0375011""",289,43,332
"Derby School District","=""0370011""","Irving School","=""0370411""",276,52,328
"Derby School District","=""0370011""","Little Raiders University","=""0370111""",22,11,33
"East Granby School District","=""0400011""","Allgrove School","=""0400111""",184,22,206
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",234,30,264
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""",171,25,196
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""",178,24,202
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""",263,46,309
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",279,42,321
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""",363,68,431
"East Hampton School District","=""0420011""","Center School","=""0420311""",274,23,297
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",482,33,515
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""",393,40,433
"East Hampton School District","=""0420011""","Memorial School","=""0420111""",571,66,637
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","=""0429011""","*","*",6
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""",270,42,312
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",192,0,192
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""",311,45,356
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""",281,41,322
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""",455,54,509
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",1425,224,1649
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""",887,187,1074
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""",311,33,344
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""",309,27,336
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""",234,64,298
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""",416,59,475
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""",230,44,274
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""",88,22,110
"East Hartford School District","=""0430011""","Sunset Ridge School Elementary Academy for Arts and World Languages","=""0432411""",171,33,204
"East Hartford School District","=""0430011""","Willowbrook Early Childhood","=""0438011""",158,71,229
"East Hartford School District","=""0430011""","Woodland School","=""0439011""","*","*",182
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""",231,33,264
"East Haven School District","=""0440011""","D. C. Moore School","=""0441411""",184,23,207
"East Haven School District","=""0440011""","Deer Run School","=""0440111""",268,40,308
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""",166,23,189
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",776,113,889
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""",155,17,172
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""",509,80,589
"East Haven School District","=""0440011""","Momauguin School","=""0440711""",155,31,186
