"Student Counts by School and Special Education Status"
"All Districts, All Schools"
"2015-16"

"",,,,"Special Education Status",,
"District","District Code","School","School Code","No","Yes","Total"
"Naugatuck School District","=""0880011""","Maple Hill School","=""0880311""",396,54,450
"Naugatuck School District","=""0880011""","Naugatuck High School","=""0886111""",973,225,1198
"Naugatuck School District","=""0880011""","Salem School","=""0880611""",241,25,266
"Naugatuck School District","=""0880011""","Western School","=""0880711""",239,42,281
"New Beginnings Inc., Family Academy District","=""2800013""","New Beginnings Inc Family Academy","=""2800113""",458,41,499
"New Beginnings Inc., Family Academy District","=""2800013""","New Beginnings Inc. Family Academy","=""2800113""",458,41,499
"New Beginnings Inc., Family Academy District","=""2800013""","New Beginnings Inc., Family Academy","=""2800113""",458,41,499
"New Britain School District","=""0890011""","Alternative Center School","=""0899111""",28,23,51
"New Britain School District","=""0890011""","Behavior Support","=""0891011""",11,0,11
"New Britain School District","=""0890011""","CLIMB","=""0899411""",0,18,18
"New Britain School District","=""0890011""","Chamberlain  Elementary School","=""0890311""",408,59,467
"New Britain School District","=""0890011""","Frank J. DiLoreto School","=""0891111""",716,75,791
"New Britain School District","=""0890011""","Gaffney School","=""0890511""",448,130,578
"New Britain School District","=""0890011""","Holmes School","=""0890611""",411,50,461
"New Britain School District","=""0890011""","House of Arts Letters and Science (HALS)  Academy","=""0895411""","*","*",149
"New Britain School District","=""0890011""","Jefferson School","=""0890711""",389,53,442
"New Britain School District","=""0890011""","KEY Elementary","=""0891611""","*","*",44
"New Britain School District","=""0890011""","KEY Middle","=""0891711""",0,12,12
"New Britain School District","=""0890011""","Lincoln School","=""0890811""",576,112,688
"New Britain School District","=""0890011""","New Britain High School","=""0896111""",2118,342,2460
"New Britain School District","=""0890011""","New Britain Transition Center","=""0899011""",8,30,38
"New Britain School District","=""0890011""","Northend School","=""0890911""",254,31,285
"New Britain School District","=""0890011""","Preschool at Roosevelt","=""0890111""",85,52,137
"New Britain School District","=""0890011""","Pulaski Middle School","=""0895311""",615,151,766
"New Britain School District","=""0890011""","STEPS","=""0891811""",7,29,36
"New Britain School District","=""0890011""","Slade Middle School","=""0895211""",618,115,733
"New Britain School District","=""0890011""","Smalley Academy","=""0891211""",571,107,678
"New Britain School District","=""0890011""","Smith School","=""0891311""",501,79,580
"New Britain School District","=""0890011""","Sunrise Intermediate","=""0890411""",0,12,12
"New Britain School District","=""0890011""","Sunrise Primary","=""0890211""",0,22,22
"New Britain School District","=""0890011""","Vance School","=""0891511""",459,64,523
"New Canaan School District","=""0900011""","East School","=""0900411""",507,36,543
"New Canaan School District","=""0900011""","New Canaan High School","=""0906111""",1102,149,1251
"New Canaan School District","=""0900011""","Saxe Middle School","=""0905111""",1194,133,1327
"New Canaan School District","=""0900011""","South School","=""0900211""",507,35,542
"New Canaan School District","=""0900011""","West School","=""0900311""",496,51,547
"New Fairfield School District","=""0910011""","Alternative Learning Center","=""0910311""","*","*",8
"New Fairfield School District","=""0910011""","Consolidated School","=""0910111""",443,58,501
"New Fairfield School District","=""0910011""","Meeting House Hill School","=""0910211""",446,44,490
"New Fairfield School District","=""0910011""","New Fairfield High School","=""0916111""",825,79,904
"New Fairfield School District","=""0910011""","New Fairfield Middle School","=""0915211""",534,53,587
"New Hartford School District","=""0920011""","Ann Antolini School","=""0920311""",260,36,296
"New Hartford School District","=""0920011""","Bakerville Consolidated School","=""0920111""",99,14,113
"New Hartford School District","=""0920011""","New Hartford Elementary School","=""0920211""",51,10,61
"New Haven School District","=""0930011""","Edgewood School","=""0931211""",393,44,437
"New Haven School District","=""0930011""","Nathan Hale School","=""0931411""",469,55,524
"New Haven School District","=""0930011""","Augusta Lewis Troup School","=""0931511""",423,59,482
"New Haven School District","=""0930011""","Barnard Environmental Magnet School","=""0930211""",506,57,563
"New Haven School District","=""0930011""","Beecher School","=""0930311""",465,40,505
"New Haven School District","=""0930011""","Benjamin Jepson Magnet School","=""0931811""",460,70,530
"New Haven School District","=""0930011""","Betsy Ross Arts Magnet School","=""0935511""",417,39,456
"New Haven School District","=""0930011""","Bishop Woods School","=""0934311""",417,64,481
"New Haven School District","=""0930011""","Blake Street Leadership Academy (STEP)","=""0932411""",0,16,16
"New Haven School District","=""0930011""","Celentano BioTech, Health and Medical Magnet School","=""0934811""",311,57,368
"New Haven School District","=""0930011""","Christopher Columbus Academy","=""0934111""",415,46,461
"New Haven School District","=""0930011""","Clemente Leadership Academy","=""0934211""",452,68,520
"New Haven School District","=""0930011""","Clinton Avenue School","=""0930611""",501,76,577
"New Haven School District","=""0930011""","Columbus Family Academy","=""0934111""",415,46,461
"New Haven School District","=""0930011""","Conte/West Hills Magnet School","=""0933111""",581,56,637
"New Haven School District","=""0930011""","Cooperative High School","=""0936411""",561,86,647
"New Haven School District","=""0930011""","Davis 21st Century Magnet Elementary School","=""0930911""",445,52,497
"New Haven School District","=""0930011""","Domus Academy","=""0935611""",12,17,29
"New Haven School District","=""0930011""","Early Learning Center","=""0938111""",97,26,123
"New Haven School District","=""0930011""","East Rock Community Magnet School","=""0934611""",416,60,476
"New Haven School District","=""0930011""","Engineering - Science University Magnet School","=""0931711""",559,45,604
"New Haven School District","=""0930011""","Fair Haven School","=""0931611""",682,83,765
"New Haven School District","=""0930011""","Headstart","=""0938011""",358,9,367
"New Haven School District","=""0930011""","Helene Grant Headstart","=""0938311""",220,46,266
"New Haven School District","=""0930011""","High School In The Community","=""0936611""",198,53,251
"New Haven School District","=""0930011""","Hill Central Music Academy","=""0930711""",445,50,495
"New Haven School District","=""0930011""","Hill Regional Career High School","=""0936311""",612,53,665
"New Haven School District","=""0930011""","Hyde School of Health, Science and Sports Medicine","=""0936811""",160,34,194
"New Haven School District","=""0930011""","James Hillhouse High School","=""0936211""",773,172,945
"New Haven School District","=""0930011""","John C. Daniels","=""0931311""",472,56,528
"New Haven School District","=""0930011""","John S. Martinez School","=""0930811""",486,39,525
"New Haven School District","=""0930011""","Katherine Brennan/Clarence Rogers School","=""0932111""",408,84,492
"New Haven School District","=""0930011""","King/Robinson Magnet School","=""0933011""",491,68,559
"New Haven School District","=""0930011""","Lincoln-Bassett School","=""0932011""",323,55,378
"New Haven School District","=""0930011""","Mauro-Sheridan Magnet School","=""0931911""",483,56,539
"New Haven School District","=""0930011""","Metropolitan Business Academy","=""0936011""",355,48,403
"New Haven School District","=""0930011""","NHPS Self Contained Autism","=""0934411""","*","*",40
"New Haven School District","=""0930011""","NHPS Self Contained Intellectually Disabled","=""0935011""",0,30,30
"New Haven School District","=""0930011""","NHPS Self Contained Multi-Handicapped","=""0934511""","*","*",42
"New Haven School District","=""0930011""","New Haven Academy","=""0937011""",226,29,255
"New Haven School District","=""0930011""","New Horizons High School","=""0932211""",51,29,80
"New Haven School District","=""0930011""","New Light High School","=""0932611""",26,11,37
"New Haven School District","=""0930011""","Polly T. McCabe Center","=""0939211""","*",0,"*"
"New Haven School District","=""0930011""","Quinnipiac Real World Math STEM School","=""0933511""",282,24,306
"New Haven School District","=""0930011""","Riverside Education Academy","=""0939111""",49,31,80
"New Haven School District","=""0930011""","Ross/Woodward School","=""0931011""",623,46,669
"New Haven School District","=""0930011""","Sound School","=""0936711""",278,62,340
"New Haven School District","=""0930011""","Strong 21st Century Communications Magnet and SCSU Lab School","=""0932811""",355,42,397
"New Haven School District","=""0930011""","Truman School","=""0932911""",435,58,493
"New Haven School District","=""0930011""","West Rock Authors Academy","=""0934911""",222,19,241
"New Haven School District","=""0930011""","Wexler/Grant Community School","=""0933211""",364,61,425
"New Haven School District","=""0930011""","Wilbur Cross High School","=""0936111""",1208,238,1446
"New Haven School District","=""0930011""","Worthington Hooker School","=""0933811""",414,27,441
"New London School District","=""0950011""","Jennings School","=""0950311""",496,63,559
"New London School District","=""0950011""","Bennie Dover Jackson Middle School","=""0955111""",508,94,602
"New London School District","=""0950011""","Early Childhood Center at Harbor","=""0950611""",102,13,115
"New London School District","=""0950011""","Natha Hale Magnet Elementary School for the Performing &amp; Visual Arts","=""0950911""",428,75,503
"New London School District","=""0950011""","Nathan Hale Arts Magnet School","=""0950911""",428,75,503
"New London School District","=""0950011""","New London High School","=""0956111""",765,198,963
"New London School District","=""0950011""","Winthrop STEM Elementary Magnet School","=""0950811""",484,96,580
"New Milford School District","=""0960011""","Hill And Plain School","=""0960511""",386,48,434
"New Milford School District","=""0960011""","John Pettibone School","=""0960511""",386,48,434
"New Milford School District","=""0960011""","Litchfield Hills Transition Center","=""0969011""",0,17,17
"New Milford School District","=""0960011""","New Milford High School","=""0966111""",1189,156,1345
"New Milford School District","=""0960011""","Northville Elementary School","=""0960811""",386,55,441
"New Milford School District","=""0960011""","Sarah Noble Intermediate School","=""0960911""",846,113,959
"New Milford School District","=""0960011""","Schaghticoke Middle School","=""0965211""",868,163,1031
"Newington School District","=""0940011""","Anna Reynolds School","=""0940611""",418,55,473
"Newington School District","=""0940011""","Elizabeth Green School","=""0940211""",256,38,294
"Newington School District","=""0940011""","John Paterson School","=""0940811""",341,43,384
"Newington School District","=""0940011""","John Wallace Middle School","=""0945311""",593,81,674
"Newington School District","=""0940011""","Martin Kellogg Middle School","=""0945111""",552,68,620
"Newington School District","=""0940011""","Newington High School","=""0946111""",1080,186,1266
"Newington School District","=""0940011""","Ruth Chaffee School","=""0940711""",291,40,331
"Newtown School District","=""0970011""","Hawley Elementary School","=""0970111""",290,30,320
"Newtown School District","=""0970011""","Head O'Meadow Elementary School","=""0970411""",253,44,297
"Newtown School District","=""0970011""","Middle Gate Elementary School","=""0970311""",318,50,368
"Newtown School District","=""0970011""","Newtown High School","=""0976111""",1544,135,1679
"Newtown School District","=""0970011""","Newtown Middle School","=""0975111""",757,55,812
"Newtown School District","=""0970011""","Newtown Preschool","=""0978011""",17,31,48
"Newtown School District","=""0970011""","Reed Intermediate School","=""0970511""",613,88,701
"Newtown School District","=""0970011""","STARR","=""0979011""",0,"*","*"
"Newtown School District","=""0970011""","Sandy Hook Elementary School","=""0970211""",304,33,337
"Norfolk School District","=""0980011""","Botelle Elementary School","=""0980111""",98,18,116
"North Branford School District","=""0990011""","Jerome Harrison School","=""0990411""",359,43,402
"North Branford School District","=""0990011""","North Branford High School","=""0996111""",483,96,579
"North Branford School District","=""0990011""","North Branford Intermediate School","=""0995111""",419,73,492
"North Branford School District","=""0990011""","School to Work Program","=""0999011""",0,"*","*"
"North Branford School District","=""0990011""","Totoket Valley Elementary School","=""0990611""",352,53,405
"North Canaan School District","=""1000011""","North Canaan Elementary School","=""1000111""",222,38,260
"North Haven School District","=""1010011""","Clintonville Elementary School","=""1010811""",278,24,302
"North Haven School District","=""1010011""","Green Acres Elementary School","=""1010711""",318,59,377
"North Haven School District","=""1010011""","Montowese Elementary School","=""1010211""",257,31,288
"North Haven School District","=""1010011""","North Haven High School","=""1016111""",919,81,1000
"North Haven School District","=""1010011""","North Haven Middle School","=""1015211""",704,81,785
"North Haven School District","=""1010011""","North Haven Transition Partnership","=""1010111""",0,9,9
"North Haven School District","=""1010011""","Ridge Road Elementary School","=""1010311""",358,41,399
"North Stonington School District","=""1020011""","North Stonington Elementary School","=""1020111""",326,40,366
"North Stonington School District","=""1020011""","Wheeler High School","=""1026111""",171,18,189
"North Stonington School District","=""1020011""","Wheeler Middle School","=""1025111""",158,15,173
"Norwalk School District","=""1030011""","Brien McMahon High School","=""1036211""",1504,159,1663
"Norwalk School District","=""1030011""","Brookside Elementary School","=""1030211""",429,64,493
"Norwalk School District","=""1030011""","Columbus Magnet School","=""1030311""",311,37,348
"Norwalk School District","=""1030011""","Cranbury Elementary School","=""1030411""",409,71,480
"Norwalk School District","=""1030011""","Fox Run Elementary School","=""1032011""",373,71,444
"Norwalk School District","=""1030011""","Jefferson Magnet School","=""1030711""",565,46,611
"Norwalk School District","=""1030011""","Kendall Elementary School","=""1030811""",506,53,559
"Norwalk School District","=""1030011""","Marvin Elementary School","=""1032211""",428,58,486
"Norwalk School District","=""1030011""","Naramake Elementary School","=""1032111""",406,49,455
"Norwalk School District","=""1030011""","Nathan Hale Middle School","=""1035211""",572,105,677
"Norwalk School District","=""1030011""","Norwalk High School","=""1036111""",1393,177,1570
"Norwalk School District","=""1030011""","Norwalk Pathways Academy at Briggs","=""1036311""",39,14,53
"Norwalk School District","=""1030011""","Ponus Ridge Middle School","=""1035311""",563,103,666
"Norwalk School District","=""1030011""","Roton Middle School","=""1035511""",421,55,476
"Norwalk School District","=""1030011""","Rowayton School","=""1031311""",396,47,443
"Norwalk School District","=""1030011""","Silvermine Elementary School","=""1032311""",448,50,498
"Norwalk School District","=""1030011""","Tracey School","=""1031411""",315,67,382
"Norwalk School District","=""1030011""","West Rocks Middle School","=""1035411""",578,92,670
"Norwalk School District","=""1030011""","Wolfpit School","=""1032411""",287,45,332
"Norwich Free Academy District","=""9010022""","Alternative Pathways to Success","=""9010322""",12,0,12
"Norwich Free Academy District","=""9010022""","LEAD (Life Skills, Education and Adult Development)","=""9010122""",0,12,12
"Norwich Free Academy District","=""9010022""","Night School","=""9010222""","*","*",11
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","=""9016122""",2002,245,2247
"Norwich School District","=""1040011""","Virtual Learning Academy","=""1049211""","*","*",11
"Norwich School District","=""1040011""","ABA Autism Program","=""1040411""",0,16,16
"Norwich School District","=""1040011""","Bishop School Early Learning Center","=""1040111""",152,74,226
"Norwich School District","=""1040011""","Case Street Early Learning Center at DTZ","=""1040211""","*","*",60
"Norwich School District","=""1040011""","IRS Program at Moriarty","=""1040911""",0,"*","*"
"Norwich School District","=""1040011""","IRS Program at Uncas","=""1040711""",0,"*","*"
"Norwich School District","=""1040011""","John B. Stanton Network School","=""1041411""",318,39,357
"Norwich School District","=""1040011""","Kelly Middle School","=""1045111""",633,121,754
"Norwich School District","=""1040011""","Moriarty Magnet School","=""1042011""",359,46,405
"Norwich School District","=""1040011""","Samuel Huntington School","=""1040811""",299,42,341
"Norwich School District","=""1040011""","Special Needs Program","=""1040511""",0,23,23
"Norwich School District","=""1040011""","Teachers' Memorial Middle School","=""1045211""",280,57,337
"Norwich School District","=""1040011""","Thomas W. Mahan School","=""1041711""",246,21,267
"Norwich School District","=""1040011""","Uncas Network School","=""1041911""",199,31,230
"Norwich School District","=""1040011""","Veterans' Memorial School","=""1041811""",279,41,320
"Norwich School District","=""1040011""","Wequonnoc Magnet School","=""1041511""",210,35,245
"Odyssey Community School District","=""2630013""","Odyssey Community School","=""2635113""",303,25,328
"Old Saybrook School District","=""1060011""","Kathleen E. Goodwin School","=""1060211""",324,48,372
"Old Saybrook School District","=""1060011""","Old Saybrook Middle School","=""1065211""",447,74,521
"Old Saybrook School District","=""1060011""","Old Saybrook Senior High School","=""1066111""",396,48,444
"Orange School District","=""1070011""","Mary L. Tracy School","=""1070211""",149,14,163
"Orange School District","=""1070011""","Peck Place School","=""1070511""",335,20,355
"Orange School District","=""1070011""","Race Brook School","=""1070311""",333,33,366
"Orange School District","=""1070011""","Turkey Hill School","=""1070411""",265,27,292
"Oxford School District","=""1080011""","Alternative Education","=""1080411""","*","*",12
"Oxford School District","=""1080011""","Great Oak School","=""1085111""",431,60,491
"Oxford School District","=""1080011""","Oxford Center School","=""1080111""",407,65,472
"Oxford School District","=""1080011""","Oxford High School","=""1086011""",536,56,592
"Oxford School District","=""1080011""","Quaker Farms School","=""1080311""",343,49,392
"Park City Prep Charter School District","=""2830013""","Park City Prep Charter School","=""2835113""",333,27,360
"Path Academy District","=""2930013""","Path Academy","=""2930113""",110,33,143
"Plainfield School District","=""1090011""","Early Childhood Center","=""1098011""",18,0,18
"Plainfield School District","=""1090011""","Moosup Elementary School","=""1090111""",293,19,312
"Plainfield School District","=""1090011""","Plainfield Central School","=""1095111""",474,58,532
"Plainfield School District","=""1090011""","Plainfield High School","=""1096111""",589,106,695
"Plainfield School District","=""1090011""","Plainfield Memorial School","=""1090311""",277,49,326
"Plainfield School District","=""1090011""","Shepard Hill Elementary School","=""1090411""",361,67,428
"Plainville School District","=""1100011""","Frank T. Wheeler School","=""1100411""",273,36,309
"Plainville School District","=""1100011""","Linden Street School","=""1100211""",356,67,423
"Plainville School District","=""1100011""","Louis Toffolon School","=""1100511""",321,48,369
"Plainville School District","=""1100011""","Middle School of Plainville","=""1105211""",481,64,545
"Plainville School District","=""1100011""","Plainville High School","=""1106111""",659,85,744
"Plymouth School District","=""1110011""","Eli Terry Jr. Middle School","=""1115111""",293,44,337
"Plymouth School District","=""1110011""","Harry S. Fisher Elementary School","=""1110411""",319,58,377
"Plymouth School District","=""1110011""","Plymouth Alternative High School","=""1117111""","*","*","*"
"Plymouth School District","=""1110011""","Plymouth Center School","=""1110211""",274,39,313
"Plymouth School District","=""1110011""","Terryville High School","=""1116111""",403,73,476
"Pomfret School District","=""1120011""","Pomfret Community School","=""1120111""",349,51,400
"Portland School District","=""1130011""","Brownstone Intermediate School","=""1130511""",197,22,219
"Portland School District","=""1130011""","Gildersleeve School","=""1130411""",186,20,206
"Portland School District","=""1130011""","Portland High School","=""1136111""",356,28,384
"Portland School District","=""1130011""","Portland Middle School","=""1135111""",195,25,220
"Portland School District","=""1130011""","Valley View School","=""1130211""",274,49,323
"Preston School District","=""1140011""","Preston Plains School","=""1145111""",123,29,152
"Preston School District","=""1140011""","Preston Veterans' Memorial School","=""1140411""",243,43,286
"Putnam School District","=""1160011""","Helping Hands","=""1169011""",0,"*","*"
"Putnam School District","=""1160011""","PALS - Putnam Alternative Learning System","=""1160111""","*","*",9
"Putnam School District","=""1160011""","Putnam Elementary School","=""1160311""",536,81,617
"Putnam School District","=""1160011""","Putnam High School","=""1166111""",224,52,276
"Putnam School District","=""1160011""","Putnam Middle School","=""1165111""",229,43,272
"Redding School District","=""1170011""","John Read Middle School","=""1175111""",408,65,473
"Redding School District","=""1170011""","Redding Elementary School","=""1170111""",406,74,480
"Regional School District 01","=""2010012""","Housatonic Valley Regional High School","=""2016112""",366,64,430
"Regional School District 01","=""2010012""","LEAPSS","=""2010412""",0,"*","*"
"Regional School District 01","=""2010012""","SELC","=""2010312""",0,"*","*"
"Regional School District 01","=""2010012""","TOTAL","=""2010212""",0,"*","*"
"Regional School District 04","=""2040012""","John Winthrop Middle School","=""2045112""",267,48,315
"Regional School District 04","=""2040012""","Region 4 Transition Academy","=""2040112""",0,"*","*"
"Regional School District 04","=""2040012""","Valley Regional High School","=""2046112""",527,73,600
"Regional School District 05","=""2050012""","Amity Middle School: Bethany","=""2055112""",342,41,383
"Regional School District 05","=""2050012""","Amity Middle School: Orange","=""2055212""",328,47,375
"Regional School District 05","=""2050012""","Amity Regional High School","=""2056112""",1331,155,1486
"Regional School District 06","=""2060012""","Early Childhood Learning Center","=""2068112""",57,7,64
"Regional School District 06","=""2060012""","Goshen Center School","=""2060112""",128,21,149
"Regional School District 06","=""2060012""","James Morris School","=""2060212""",95,21,116
"Regional School District 06","=""2060012""","Wamogo Regional High School","=""2066112""",493,83,576
"Regional School District 06","=""2060012""","Warren Elementary School","=""2060312""",66,12,78
"Regional School District 07","=""2070012""","AIM","=""2079112""",0,9,9
"Regional School District 07","=""2070012""","FLEX","=""2079012""",0,"*","*"
"Regional School District 07","=""2070012""","LINKS","=""2079212""",0,17,17
"Regional School District 07","=""2070012""","Northwestern Regional High School","=""2076112""",680,39,719
"Regional School District 07","=""2070012""","Northwestern Regional Middle School","=""2075112""",282,33,315
"Regional School District 07","=""2070012""","STEP","=""2079312""",10,11,21
"Regional School District 08","=""2080012""","RHAM High School","=""2086112""",912,111,1023
"Regional School District 08","=""2080012""","RHAM Middle School","=""2085112""",502,65,567
"Regional School District 09","=""2090012""","Joel Barlow High School","=""2096112""",904,104,1008
"Regional School District 10","=""2100012""","Har-Bur Middle School","=""2105112""",698,88,786
"Regional School District 10","=""2100012""","Harwinton Consolidated School","=""2100312""",357,42,399
"Regional School District 10","=""2100012""","Lake Garda Elementary School","=""2100212""",401,41,442
"Regional School District 10","=""2100012""","Lewis S. Mills High School","=""2106112""",704,74,778
"Regional School District 11","=""2110012""","Parish Hill High School","=""2116112""",195,50,245
"Regional School District 12","=""2120012""","Booth Free School","=""2120212""",64,13,77
"Regional School District 12","=""2120012""","Shepaug Valley School","=""2120312""",373,66,439
"Regional School District 12","=""2120012""","The Burnham School","=""2120112""","*","*",53
"Regional School District 12","=""2120012""","Washington Primary School","=""2120412""",138,21,159
"Regional School District 13","=""2130012""","Coginchaug Regional High School","=""2136112""",477,79,556
"Regional School District 13","=""2130012""","Francis E. Korn School","=""2130212""",126,17,143
"Regional School District 13","=""2130012""","Frank Ward Strong School","=""2135112""",271,47,318
"Regional School District 13","=""2130012""","Frederick Brewster School","=""2130112""",165,31,196
"Regional School District 13","=""2130012""","John Lyman School","=""2130512""",214,24,238
"Regional School District 13","=""2130012""","Middlefield Memorial School","=""2130412""",216,50,266
"Regional School District 13","=""2130012""","Middlesex Transition Academy","=""2130312""",0,26,26
"Regional School District 14","=""2140012""","Bethlehem Elementary School","=""2140112""",232,24,256
"Regional School District 14","=""2140012""","Integrated Star Preschool Program","=""2148012""",41,7,48
"Regional School District 14","=""2140012""","Mitchell Elementary School","=""2140212""",334,31,365
"Regional School District 14","=""2140012""","Nonnewaug Chiefs Alternative Program","=""2140312""",0,"*","*"
"Regional School District 14","=""2140012""","Nonnewaug High School","=""2146112""",675,75,750
"Regional School District 14","=""2140012""","Region 14 Transition Academy","=""2140412""",0,"*","*"
"Regional School District 14","=""2140012""","Woodbury Middle School","=""2145112""",296,43,339
"Regional School District 15","=""2150012""","Gainfield Elementary School","=""2150412""",335,37,372
"Regional School District 15","=""2150012""","Long Meadow Elementary School","=""2150712""",402,115,517
"Regional School District 15","=""2150012""","MIJ Program","=""2150112""","*","*",15
"Regional School District 15","=""2150012""","Memorial Middle School","=""2155212""",399,47,446
"Regional School District 15","=""2150012""","Middlebury Elementary School","=""2150612""",297,32,329
"Regional School District 15","=""2150012""","Pomperaug Regional High School","=""2156212""",1036,149,1185
"Regional School District 15","=""2150012""","Pomperaug School","=""2150512""",313,40,353
"Regional School District 15","=""2150012""","Rochambeau Middle School","=""2155112""",464,85,549
"Regional School District 16","=""2160012""","Laurel Ledge School","=""2160112""",320,60,380
"Regional School District 16","=""2160012""","Long River Middle School","=""2165112""",481,87,568
"Regional School District 16","=""2160012""","Prospect Elementary School","=""2160512""",521,95,616
"Regional School District 16","=""2160012""","WRHS Alternative Education Program","=""2160412""","*","*",10
"Regional School District 16","=""2160012""","Woodland Regional High School","=""2166012""",606,79,685
"Regional School District 17","=""2170012""","Burr District Elementary School","=""2170212""",215,63,278
"Regional School District 17","=""2170012""","Haddam Elementary School","=""2170112""",188,32,220
"Regional School District 17","=""2170012""","Haddam-Killingworth High School","=""2176112""",535,83,618
"Regional School District 17","=""2170012""","Haddam-Killingworth Middle School","=""2175112""",613,133,746
"Regional School District 17","=""2170012""","Killingworth Elementary School","=""2170312""",216,40,256
"Regional School District 18","=""2180012""","Center School","=""2180312""",31,15,46
"Regional School District 18","=""2180012""","Alternative Program","=""2180412""","*","*","*"
"Regional School District 18","=""2180012""","Lyme Consolidated School","=""2180112""",177,27,204
"Regional School District 18","=""2180012""","Lyme-Old Lyme High School","=""2186112""",417,43,460
"Regional School District 18","=""2180012""","Lyme-Old Lyme Middle School","=""2185112""",307,44,351
"Regional School District 18","=""2180012""","Mile Creek School","=""2180212""",237,29,266
"Regional School District 19","=""2190012""","E. O. Smith High School","=""2196112""",991,162,1153
"Regional School District 19","=""2190012""","E.O. Smith High School at the Depot Campus","=""2190112""",19,9,28
"Regional School District 19","=""2190012""","PM Panthers","=""2190212""",7,18,25
"Ridgefield School District","=""1180011""","Alternative High School","=""1188011""","*","*",13
"Ridgefield School District","=""1180011""","Barlow Mountain Elementary School","=""1180811""",295,36,331
"Ridgefield School District","=""1180011""","Branchville Elementary School","=""1180611""",351,33,384
"Ridgefield School District","=""1180011""","District Program BMES","=""1180111""",0,"*","*"
"Ridgefield School District","=""1180011""","District Program ERMS","=""1181011""",0,"*","*"
"Ridgefield School District","=""1180011""","District Program RES","=""1180711""",0,9,9
"Ridgefield School District","=""1180011""","District Program SES","=""1180911""",0,"*","*"
"Ridgefield School District","=""1180011""","East Ridge Middle School","=""1185111""",691,66,757
"Ridgefield School District","=""1180011""","Farmingville Elementary School","=""1180411""",305,26,331
"Ridgefield School District","=""1180011""","Ridgebury Elementary School","=""1180311""",312,30,342
"Ridgefield School District","=""1180011""","Ridgefield 18-21 Transition Program","=""1189011""",0,7,7
"Ridgefield School District","=""1180011""","Ridgefield High School","=""1186111""",1561,132,1693
"Ridgefield School District","=""1180011""","Ridgefield Transition Program","=""1189011""",0,7,7
"Ridgefield School District","=""1180011""","Scotland Elementary School","=""1180511""",342,22,364
"Ridgefield School District","=""1180011""","Scotts Ridge Middle School","=""1185211""",450,46,496
"Ridgefield School District","=""1180011""","Veterans Park Elementary School","=""1180211""",279,24,303
"Rocky Hill School District","=""1190011""","Albert D. Griswold Middle School","=""1195111""",571,65,636
"Rocky Hill School District","=""1190011""","Alternative Learning Program","=""1190111""","*","*","*"
"Rocky Hill School District","=""1190011""","Myrtle H. Stevens School","=""1190411""",471,50,521
"Rocky Hill School District","=""1190011""","Pathways","=""1190311""",0,7,7
"Rocky Hill School District","=""1190011""","Rocky Hill High School","=""1196111""",631,74,705
"Rocky Hill School District","=""1190011""","West Hill School","=""1190511""",673,58,731
"Salem School District","=""1210011""","Salem Elementary School","=""1210111""",316,60,376
"Salisbury School District","=""1220011""","Salisbury Central School","=""1220111""",246,28,274
"Scotland School District","=""1230011""","Scotland Elementary School","=""1230111""",104,15,119
"Seymour School District","=""1240011""","Bungay School","=""1240111""",407,41,448
"Seymour School District","=""1240011""","Chatfield-LoPresti School","=""1240211""",444,86,530
"Seymour School District","=""1240011""","Seymour High School","=""1246111""",591,73,664
"Seymour School District","=""1240011""","Seymour Middle School","=""1245111""",491,71,562
"Sharon School District","=""1250011""","Sharon Center School","=""1250111""",133,27,160
"Shelton School District","=""1260011""","Mohegan School","=""1260911""",247,40,287
"Shelton School District","=""1260011""","Alternative Learning Center 1","=""1260211""",0,10,10
"Shelton School District","=""1260011""","Booth Hill School","=""1261011""",294,37,331
"Shelton School District","=""1260011""","Elizabeth Shelton School","=""1260511""",394,39,433
"Shelton School District","=""1260011""","Intermediate School","=""1265111""",745,123,868
"Shelton School District","=""1260011""","Life Skills","=""1260311""",0,"*","*"
"Shelton School District","=""1260011""","Long Hill School","=""1260811""",362,44,406
"Shelton School District","=""1260011""","Perry Hill Elementary School","=""1261111""",624,115,739
"Shelton School District","=""1260011""","Pre-Kindergarten","=""1260111""",21,38,59
"Shelton School District","=""1260011""","Shelton High School","=""1266111""",1368,145,1513
"Shelton School District","=""1260011""","Sunnyside School","=""1260611""",208,26,234
"Shelton School District","=""1260011""","Work Experience","=""1260711""",0,21,21
"Sherman School District","=""1270011""","Sherman School","=""1270111""",288,45,333
"Side By Side Charter School District","=""2700013""","Side By Side Charter School","=""2700113""",217,19,236
"Simsbury School District","=""1280011""","Central School","=""1280111""",336,56,392
"Simsbury School District","=""1280011""","Henry James Memorial School","=""1285111""",615,95,710
"Simsbury School District","=""1280011""","Latimer Lane School","=""1280611""",340,31,371
"Simsbury School District","=""1280011""","Simsbury High School","=""1286111""",1251,172,1423
"Simsbury School District","=""1280011""","Squadron Line School","=""1280711""",528,81,609
"Simsbury School District","=""1280011""","Tariffville School","=""1280311""",256,28,284
"Simsbury School District","=""1280011""","Tootin' Hills School","=""1280411""",324,46,370
"Somers School District","=""1290011""","Aspire","=""1290511""","*","*",7
"Somers School District","=""1290011""","Mabelle B. Avery Middle School","=""1295111""",324,35,359
"Somers School District","=""1290011""","Somers Elementary School","=""1290411""",520,65,585
