"Student Counts by School and Free/Reduced Lunch Eligibility"
"All Districts, All Schools"
"2012-13"

"",,,,"Free/Reduced Lunch Eligibility",,,
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",52,119,11,182
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""",157,146,32,335
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""",0,10,0,10
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",107,109,21,237
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""",48,266,8,322
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",47,471,15,533
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",40,311,8,359
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",36,189,16,241
"Branford School District","=""0140011""","Branford High School","=""0146111""",161,844,44,1049
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",193,739,57,989
"Branford School District","=""0140011""","Indian Neck School","=""0148011""",0,47,0,47
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""",78,272,21,371
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""",41,323,9,373
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""",94,301,34,429
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",476,125,101,702
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",625,0,0,625
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",1143,0,34,1177
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",377,0,0,377
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",348,0,0,348
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",1121,0,9,1130
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","*",0,"*",52
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",412,0,0,412
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",2054,0,83,2137
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","*",0,"*",1115
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""","*",0,"*",310
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","*",0,"*",877
"Bridgeport School District","=""0150011""","Cross School","=""0153911""","*",0,"*",420
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""","*",0,"*",773
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""","*",0,"*",313
"Bridgeport School District","=""0150011""","Edison School","=""0150711""",244,0,0,244
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""","*",0,"*",818
"Bridgeport School District","=""0150011""","Hall School","=""0151111""",308,0,0,308
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""",336,0,0,336
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",1272,0,25,1297
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""","*",0,"*",433
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""",381,0,0,381
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""",457,0,0,457
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""","*",0,"*",629
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""","*",0,"*",871
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",506,0,0,506
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""","*",0,"*",456
"Bridgeport School District","=""0150011""","Park City Academy","=""0159211""",6,0,0,6
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""","*",0,"*",526
"Bridgeport School District","=""0150011""","Read School","=""0152511""",857,0,0,857
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""","*","*",0,524
"Bridgeport School District","=""0150011""","Skane Center","=""0154411""","*","*",0,231
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""","*",0,"*",514
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""","*",0,"*",686
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""",14,"*","*",19
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",432,739,91,1262
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",341,844,120,1305
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",267,429,62,758
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""","*","*",0,10
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",131,222,12,365
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""",171,226,39,436
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",362,446,85,893
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",127,280,16,423
"Bristol School District","=""0170011""","Mountain View School","=""0171711""",109,285,37,431
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""",141,313,46,500
"Bristol School District","=""0170011""","South Side School","=""0171111""",172,273,44,489
"Bristol School District","=""0170011""","Stafford School","=""0171211""",184,275,44,503
"Bristol School District","=""0170011""","West Bristol School","=""0172011""",415,421,65,901
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",57,844,17,918
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""",30,377,9,416
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""",41,550,14,605
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""",74,758,19,851
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""",128,401,14,543
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""",98,270,26,394
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""",11,64,0,75
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""",33,210,16,259
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""",43,167,21,231
"Canton School District","=""0230011""","Canton High School","=""0236111""",33,462,16,511
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""",31,392,7,430
"Canton School District","=""0230011""","Canton Middle School","=""0235111""",14,245,11,270
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""",48,473,16,537
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",175,280,36,491
"Capitol Region Education Council","=""2410014""","Academy of Science and Innovation","=""2416514""",133,171,31,335
"Capitol Region Education Council","=""2410014""","Ana Grace Academy of the Arts Elementary School","=""2410614""",55,93,16,164
"Capitol Region Education Council","=""2410014""","Discovery Academy","=""2418114""",58,146,17,221
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","*",16,"*",21
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""",103,270,14,387
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",177,221,25,423
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""",89,67,28,184
"Capitol Region Education Council","=""2410014""","Integrated Program Models","=""2419414""","*","*",0,6
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""",135,200,22,357
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""",47,"*","*",58
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","*","*",0,11
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",213,406,97,716
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""",115,192,33,340
"Capitol Region Education Council","=""2410014""","Museum Academy","=""2410514""",110,171,30,311
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""",211,126,40,377
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""",113,222,21,356
"Capitol Region Education Council","=""2410014""","River Street Early Learning Center (Site 2)","=""2419514""","*","*",0,64
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""",11,140,0,151
"Capitol Region Education Council","=""2410014""","Soundbridge","=""2419114""","*",74,"*",86
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""",44,31,21,96
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""",246,358,59,663
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""",179,202,59,440
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""",51,125,9,185
"Cheshire School District","=""0250011""","Chapman School","=""0250111""",10,262,11,283
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",72,1417,25,1514
"Cheshire School District","=""0250011""","Darcey School","=""0250211""",0,306,0,306
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""",48,694,15,757
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""",36,495,8,539
"Cheshire School District","=""0250011""","Highland School","=""0250411""",46,716,14,776
"Cheshire School District","=""0250011""","Humiston School","=""0259011""","*",16,"*",25
"Cheshire School District","=""0250011""","Norton School","=""0250511""",27,415,13,455
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""","*",222,"*",251
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""",49,245,17,311
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""",60,366,20,446
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""",100,514,31,645
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",77,472,30,579
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",90,825,22,937
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""",79,520,13,612
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""",78,535,17,630
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""",86,594,21,701
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""","*",86,"*",104
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""",45,439,19,503
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",81,71,17,169
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",489,241,48,778
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",384,391,53,828
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",343,257,35,635
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",323,151,26,500
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",184,359,30,573
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",160,365,32,557
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",226,511,31,768
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",130,382,19,531
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",188,406,47,641
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",229,415,41,685
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",195,451,30,676
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",99,543,17,659
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",192,616,44,852
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",143,470,27,640
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",274,430,54,758
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",181,372,17,570
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","=""2439214""",24,60,7,91
"Cooperative Educational Services","=""2430014""","Preschool-Primary Learning Center (PLC)","=""2439114""","*",29,"*",54
"Cooperative Educational Services","=""2430014""","RISE Transitional Program","=""2439314""",0,14,0,14
"Cooperative Educational Services","=""2430014""","School Readiness","=""2438014""",10,34,10,54
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""",83,340,50,473
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""",49,86,17,152
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""",21,82,0,103
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""",56,339,13,408
"Coventry School District","=""0320011""","Coventry Early Intervention Services","=""0328011""","*",11,"*",16
"Coventry School District","=""0320011""","Coventry Grammar School","=""0320211""",51,320,9,380
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",68,429,14,511
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""",65,331,12,408
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",59,455,21,535
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""",87,386,36,509
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""",63,405,18,486
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""",63,358,20,441
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",51,17,10,78
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""",414,553,127,1094
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",1003,1612,272,2887
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""",215,114,76,405
"Danbury School District","=""0340011""","Great Plain School","=""0341111""",134,165,28,327
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""",203,140,68,411
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""",105,217,41,363
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""",145,221,38,404
"Danbury School District","=""0340011""","Mill Ridge Educational Center","=""0341811""","*",135,"*",165
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""",140,235,26,401
"Danbury School District","=""0340011""","Morris Street School","=""0340611""",264,88,68,420
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""",261,115,55,431
"Danbury School District","=""0340011""","Pembroke School","=""0341511""",138,192,32,362
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""",559,492,149,1200
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""",171,199,46,416
"Danbury School District","=""0340011""","South Street School","=""0341011""",230,85,53,368
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""",180,227,42,449
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""",63,340,28,431
"Darien School District","=""0350011""","Darien High School","=""0356111""",0,"*","*",1329
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""",0,579,0,579
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""","*",426,"*",433
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""",13,1114,8,1135
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""",0,474,0,474
"Darien School District","=""0350011""","Royle Elementary School","=""0350511""",0,413,0,413
"Darien School District","=""0350011""","Tokeneke Elementary School","=""0350611""",0,496,0,496
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""",40,299,8,347
"Department of Mental Health and Addiction Services","=""3370015""","Connecticut Valley Hospital","=""3370215""","*",0,0,"*"
"Derby School District","=""0370011""","Bradley School","=""0370611""",118,213,14,345
"Derby School District","=""0370011""","Derby High School","=""0376111""",155,178,28,361
"Derby School District","=""0370011""","Derby Middle School","=""0375011""",158,176,32,366
"Derby School District","=""0370011""","Irving School","=""0370411""",251,132,37,420
"East Granby School District","=""0400011""","Allgrove School","=""0400111""",6,235,0,241
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",9,262,0,271
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""",11,202,0,213
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""",18,119,0,137
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""",28,302,7,337
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",20,362,17,399
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""",44,444,20,508
"East Hampton School District","=""0420011""","Center School","=""0420311""",27,250,8,285
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",48,461,14,523
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""",57,365,27,449
"East Hampton School District","=""0420011""","Memorial School","=""0420111""",58,565,8,631
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","=""0429011""","*","*","*",6
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""",191,72,17,280
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",32,141,15,188
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""",267,85,19,371
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""",238,127,22,387
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""",183,278,43,504
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",789,708,145,1642
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""",598,336,110,1044
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""",111,187,25,323
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""",168,99,26,293
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""",144,130,40,314
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""",291,179,36,506
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""",189,70,16,275
"East Hartford School District","=""0430011""","Stevens Alternate High School","=""0436411""",101,64,8,173
"East Hartford School District","=""0430011""","Sunset Ridge Middle School","=""0432411""",172,101,35,308
"East Hartford School District","=""0430011""","Willowbrook Early Childhood","=""0438011""",154,"*","*",237
"East Hartford School District","=""0430011""","Woodland School","=""0439011""",89,92,10,191
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""",52,197,30,279
"East Haven School District","=""0440011""","D. C. Moore School","=""0441411""",88,165,16,269
"East Haven School District","=""0440011""","Deer Run School","=""0440111""",55,245,29,329
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""",76,130,22,228
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",261,519,143,923
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""",84,83,20,187
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""",229,268,97,594
"East Haven School District","=""0440011""","Momauguin School","=""0440711""",102,72,6,180
"East Haven School District","=""0440011""","Overbrook Elementary School","=""0441811""",63,108,19,190
"East Haven School District","=""0440011""","Pathways","=""0449011""","*",20,"*",39
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",74,1028,27,1129
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""",78,763,30,871
"East Lyme School District","=""0450011""","Flanders School","=""0450111""",30,318,13,361
"East Lyme School District","=""0450011""","Integrated Preschool","=""0458011""",0,40,0,40
"East Lyme School District","=""0450011""","Lillie B. Haynes School","=""0450411""",53,268,14,335
"East Lyme School District","=""0450011""","Niantic Center School","=""0450211""",20,171,7,198
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""",151,329,34,514
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",108,236,18,362
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""",127,227,24,378
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","*",127,"*",136
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EastConn Special Education","=""2539014""",42,31,10,83
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""","*",80,"*",111
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""",29,139,0,168
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""","*",383,"*",390
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""","*",616,"*",629
"EdAdvance","=""2420014""","EdAdvance Headstart","=""2428014""",216,0,0,216
"EdAdvance","=""2420014""","The ACCESS School at The Danuta M. Thibodeau Education Center","=""2429014""",22,"*","*",33
"Ellington School District","=""0480011""","Center School","=""0480111""","*",388,"*",432
"Ellington School District","=""0480011""","Crystal Lake School","=""0480211""","*",192,"*",210
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",60,711,18,789
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""",39,380,9,428
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""",35,379,8,422
"Ellington School District","=""0480011""","Windermere School","=""0480611""",32,395,6,433
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""",371,157,76,604
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""",103,237,19,359
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""",125,242,29,396
"Enfield School District","=""0490011""","Enfield High School","=""0496111""",197,465,65,727
"Enfield School District","=""0490011""","Enfield Street School","=""0490211""",125,164,13,302
"Enfield School District","=""0490011""","Enfield Transitional Learning Academy","=""0499011""","*","*",0,21
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""",164,743,81,988
"Enfield School District","=""0490011""","Hazardville Memorial School","=""0490411""",137,230,14,381
"Enfield School District","=""0490011""","Head Start Program","=""0498011""",104,0,0,104
"Enfield School District","=""0490011""","Henry Barnard School","=""0491811""",135,232,18,385
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""",290,753,105,1148
"Enfield School District","=""0490011""","Nathan Hale School","=""0491111""",25,189,8,222
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""",133,259,34,426
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""",44,467,17,528
"Explorations District","=""2720013""","Explorations","=""2726113""",22,51,0,73
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""",27,405,13,445
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""","*",269,"*",278
"Fairfield School District","=""0510011""","Early Childhood Center","=""0518011""","*",119,"*",132
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""",88,1417,47,1552
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""",155,1217,46,1418
"Fairfield School District","=""0510011""","Fairfield Woods Middle School","=""0515211""",48,771,32,851
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""",50,318,12,380
"Fairfield School District","=""0510011""","Jennings School","=""0511711""",18,309,7,334
"Fairfield School District","=""0510011""","McKinley School","=""0510611""",114,293,33,440
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""","*",422,"*",445
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""",13,434,7,454
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""","*",503,"*",518
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""",18,384,7,409
"Fairfield School District","=""0510011""","Roger Ludlowe Middle School","=""0515311""",60,853,27,940
"Fairfield School District","=""0510011""","Sherman School","=""0511311""","*",432,"*",449
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""","*",485,"*",505
"Fairfield School District","=""0510011""","Tomlinson Middle School","=""0515111""",67,644,33,744
"Farmington School District","=""0520011""","East Farms School","=""0520411""",25,410,0,435
"Farmington School District","=""0520011""","Farmington Collaborative PK","=""0528011""","*","*",0,61
"Farmington School District","=""0520011""","Farmington High School","=""0526111""",120,1176,26,1322
"Farmington School District","=""0520011""","Irving A. Robbins Middle School","=""0525111""",52,546,12,610
"Farmington School District","=""0520011""","Noah Wallace School","=""0520211""",24,328,6,358
"Farmington School District","=""0520011""","Union School","=""0520111""",44,267,9,320
"Farmington School District","=""0520011""","West District School","=""0520311""",28,331,6,365
"Farmington School District","=""0520011""","West Woods Upper Elementary School","=""0520511""",42,526,10,578
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""","*",169,"*",200
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""","*",456,"*",486
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""","*",315,"*",319
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""",41,469,15,525
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""",140,2056,43,2239
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""","*",460,"*",471
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""",16,434,6,456
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""",94,312,36,442
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""",31,577,15,623
