"Student Counts by School and Race"
"All Districts, All Schools"
"2012-13"

"",,,,"Race",,,,,,,
"District","District Code","School","School Code","American Indian or Alaska Native","Asian","Black or African American","Hispanic/Latino of any race","Native Hawaiian or Other Pacific Islander","Two or More Races","White","Total"
"East Hampton School District","=""0420011""","Memorial School","=""0420111""",0,"*","*",26,0,18,581,631
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","=""0429011""",0,0,0,0,0,0,6,6
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""","*","*",87,155,0,0,24,280
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""","*","*",59,33,0,0,73,188
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""","*",14,118,190,0,"*",47,371
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""","*",23,151,180,"*",0,28,387
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""","*",16,149,182,0,"*",153,504
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""","*","*",576,682,0,0,299,1642
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""","*","*",396,443,0,0,145,1044
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""","*",53,90,100,"*","*",76,323
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""",0,"*",89,139,0,"*",46,293
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""","*","*",97,114,0,0,90,314
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""","*",34,195,216,"*",0,59,506
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""","*","*",96,143,0,"*",30,275
"East Hartford School District","=""0430011""","Stevens Alternate High School","=""0436411""","*","*",66,73,0,0,31,173
"East Hartford School District","=""0430011""","Sunset Ridge Middle School","=""0432411""","*","*",140,111,0,0,44,308
"East Hartford School District","=""0430011""","Willowbrook Early Childhood","=""0438011""",0,"*",77,123,0,"*",28,237
"East Hartford School District","=""0430011""","Woodland School","=""0439011""","*","*",61,87,0,0,40,191
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""","*",15,"*",32,0,7,220,279
"East Haven School District","=""0440011""","D. C. Moore School","=""0441411""","*",14,9,69,0,"*",174,269
"East Haven School District","=""0440011""","Deer Run School","=""0440111""",0,22,14,61,0,7,225,329
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""","*",6,15,39,0,"*",163,228
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",0,27,22,162,0,8,704,923
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""",0,10,7,44,0,6,120,187
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""",0,29,21,113,"*","*",425,594
"East Haven School District","=""0440011""","Momauguin School","=""0440711""",0,13,"*",51,0,"*",105,180
"East Haven School District","=""0440011""","Overbrook Elementary School","=""0441811""",0,9,"*",51,0,"*",119,190
"East Haven School District","=""0440011""","Pathways","=""0449011""",0,0,"*",7,0,"*",26,39
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",6,107,25,35,0,11,945,1129
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""","*",81,25,41,"*","*",716,871
"East Lyme School District","=""0450011""","Flanders School","=""0450111""",0,54,"*",15,0,"*",281,361
"East Lyme School District","=""0450011""","Integrated Preschool","=""0458011""",0,"*",0,"*",0,0,33,40
"East Lyme School District","=""0450011""","Lillie B. Haynes School","=""0450411""","*",22,7,25,0,"*",275,335
"East Lyme School District","=""0450011""","Niantic Center School","=""0450211""",0,8,"*",12,0,"*",168,198
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""","*",48,45,75,0,"*",320,514
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",0,"*",51,35,"*",12,252,362
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""","*","*",37,46,0,19,260,378
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","*",0,6,22,0,"*",102,136
