"CT School Day SAT, 2015-16"
"All Districts, All Subjects, All Students"

"",,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","School","School Code","Subject","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Path Academy District","=""2930013""","Path Academy","=""2930113""","ELA",6,"*","*","*","*","*","*","*","*","*","*","*"
"Path Academy District","=""2930013""","Path Academy","=""2930113""","Math",6,"*","*","*","*","*","*","*","*","*","*","*"
"Plainfield School District","=""1090011""","Plainfield High School","=""1096111""","ELA",146,22,15.1,33,22.6,77,52.7,14,9.6,91,62.3,508
"Plainfield School District","=""1090011""","Plainfield High School","=""1096111""","Math",146,"*","*",75,51.4,33,22.6,"*","*","*","*",478
"Plainville School District","=""1100011""","Plainville High School","=""1106111""","ELA",181,26,14.4,43,23.8,92,50.8,20,11.0,112,61.9,508
"Plainville School District","=""1100011""","Plainville High School","=""1106111""","Math",181,42,23.2,73,40.3,54,29.8,12,6.6,66,36.5,495
"Plymouth School District","=""1110011""","Terryville High School","=""1116111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Plymouth School District","=""1110011""","Terryville High School","=""1116111""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Portland School District","=""1130011""","Portland High School","=""1136111""","ELA",92,"*","*","*","*",55,59.8,23,25.0,78,84.8,563
"Portland School District","=""1130011""","Portland High School","=""1136111""","Math",92,10,10.9,36,39.1,32,34.8,14,15.2,46,50.0,544
"Putnam School District","=""1160011""","PALS - Putnam Alternative Learning System","=""1160111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Putnam School District","=""1160011""","PALS - Putnam Alternative Learning System","=""1160111""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Putnam School District","=""1160011""","Putnam High School","=""1166111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Putnam School District","=""1160011""","Putnam High School","=""1166111""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 01","=""2010012""","Housatonic Valley Regional High School","=""2016112""","ELA",107,13,12.1,14,13.1,57,53.3,23,21.5,80,74.8,537
"Regional School District 01","=""2010012""","Housatonic Valley Regional High School","=""2016112""","Math",107,"*","*",46,43.0,39,36.4,"*","*","*","*",503
"Regional School District 04","=""2040012""","Valley Regional High School","=""2046112""","ELA",144,10,6.9,20,13.9,66,45.8,48,33.3,114,79.2,568
"Regional School District 04","=""2040012""","Valley Regional High School","=""2046112""","Math",144,23,16.0,52,36.1,48,33.3,21,14.6,69,47.9,525
"Regional School District 05","=""2050012""","Amity Regional High School","=""2056112""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 05","=""2050012""","Amity Regional High School","=""2056112""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 06","=""2060012""","Wamogo Regional High School","=""2066112""","ELA",113,9,8.0,19,16.8,70,61.9,15,13.3,85,75.2,536
"Regional School District 06","=""2060012""","Wamogo Regional High School","=""2066112""","Math",113,"*","*",45,39.8,45,39.8,"*","*","*","*",508
"Regional School District 07","=""2070012""","AIM","=""2079112""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 07","=""2070012""","AIM","=""2079112""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 07","=""2070012""","Northwestern Regional High School","=""2076112""","ELA",182,14,7.7,15,8.2,108,59.3,45,24.7,153,84.1,561
"Regional School District 07","=""2070012""","Northwestern Regional High School","=""2076112""","Math",182,17,9.3,59,32.4,83,45.6,23,12.6,106,58.2,541
"Regional School District 07","=""2070012""","STEP","=""2079312""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 07","=""2070012""","STEP","=""2079312""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 08","=""2080012""","RHAM High School","=""2086112""","ELA",241,16,6.6,17,7.1,141,58.5,67,27.8,208,86.3,566
"Regional School District 08","=""2080012""","RHAM High School","=""2086112""","Math",240,18,7.5,68,28.3,101,42.1,53,22.1,154,64.2,564
"Regional School District 09","=""2090012""","Joel Barlow High School","=""2096112""","ELA",261,"*","*","*","*",150,57.5,87,33.3,237,90.8,588
"Regional School District 09","=""2090012""","Joel Barlow High School","=""2096112""","Math",261,12,4.6,58,22.2,135,51.7,56,21.5,191,73.2,575
"Regional School District 10","=""2100012""","Lewis S. Mills High School","=""2106112""","ELA",186,12,6.5,9,4.8,120,64.5,45,24.2,165,88.7,565
"Regional School District 10","=""2100012""","Lewis S. Mills High School","=""2106112""","Math",186,9,4.8,64,34.4,88,47.3,25,13.4,113,60.8,550
"Regional School District 11","=""2110012""","Parish Hill High School","=""2116112""","ELA",42,"*","*",9,21.4,27,64.3,"*","*","*","*",518
"Regional School District 11","=""2110012""","Parish Hill High School","=""2116112""","Math",42,"*","*",24,57.1,10,23.8,"*","*","*","*",493
"Regional School District 12","=""2120012""","Shepaug Valley School","=""2120312""","ELA",49,"*","*","*","*",26,53.1,13,26.5,39,79.6,553
"Regional School District 12","=""2120012""","Shepaug Valley School","=""2120312""","Math",49,"*","*",16,32.7,20,40.8,"*","*","*","*",542
"Regional School District 13","=""2130012""","Coginchaug Regional High School","=""2136112""","ELA",140,13,9.3,8,5.7,82,58.6,37,26.4,119,85.0,558
"Regional School District 13","=""2130012""","Coginchaug Regional High School","=""2136112""","Math",140,15,10.7,53,37.9,57,40.7,15,10.7,72,51.4,528
"Regional School District 14","=""2140012""","Nonnewaug High School","=""2146112""","ELA",171,17,9.9,23,13.5,102,59.6,29,17.0,131,76.6,538
"Regional School District 14","=""2140012""","Nonnewaug High School","=""2146112""","Math",171,14,8.2,72,42.1,64,37.4,21,12.3,85,49.7,531
"Regional School District 15","=""2150012""","MIJ Program","=""2150112""","ELA",6,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 15","=""2150012""","MIJ Program","=""2150112""","Math",6,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 15","=""2150012""","Pomperaug Regional High School","=""2156212""","ELA",301,"*","*","*","*","*","*","*","*","*","*",566
"Regional School District 15","=""2150012""","Pomperaug Regional High School","=""2156212""","Math",301,"*","*","*","*","*","*","*","*","*","*",553
"Regional School District 16","=""2160012""","WRHS Alternative Education Program","=""2160412""","ELA",7,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 16","=""2160012""","WRHS Alternative Education Program","=""2160412""","Math",7,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 16","=""2160012""","Woodland Regional High School","=""2166012""","ELA",157,"*","*","*","*","*","*","*","*","*","*",544
"Regional School District 16","=""2160012""","Woodland Regional High School","=""2166012""","Math",157,"*","*","*","*","*","*","*","*","*","*",504
"Regional School District 17","=""2170012""","Haddam-Killingworth High School","=""2176112""","ELA",146,9,6.2,11,7.5,88,60.3,38,26.0,126,86.3,563
"Regional School District 17","=""2170012""","Haddam-Killingworth High School","=""2176112""","Math",146,14,9.6,53,36.3,64,43.8,15,10.3,79,54.1,531
"Regional School District 18","=""2180012""","Alternative Program","=""2180412""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 18","=""2180012""","Alternative Program","=""2180412""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 18","=""2180012""","Lyme-Old Lyme High School","=""2186112""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 18","=""2180012""","Lyme-Old Lyme High School","=""2186112""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 19","=""2190012""","E. O. Smith High School","=""2196112""","ELA",258,15,5.8,31,12.0,145,56.2,67,26.0,212,82.2,562
"Regional School District 19","=""2190012""","E. O. Smith High School","=""2196112""","Math",258,23,8.9,92,35.7,97,37.6,46,17.8,143,55.4,549
"Regional School District 19","=""2190012""","E.O. Smith High School at the Depot Campus","=""2190112""","ELA",8,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 19","=""2190012""","E.O. Smith High School at the Depot Campus","=""2190112""","Math",8,"*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 19","=""2190012""","PM Panthers","=""2190212""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 19","=""2190012""","PM Panthers","=""2190212""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Ridgefield School District","=""1180011""","Alternative High School","=""1188011""","ELA",8,"*","*","*","*","*","*","*","*","*","*","*"
"Ridgefield School District","=""1180011""","Alternative High School","=""1188011""","Math",8,"*","*","*","*","*","*","*","*","*","*","*"
"Ridgefield School District","=""1180011""","Ridgefield High School","=""1186111""","ELA",410,"*","*","*","*","*","*","*","*","*","*",611
"Ridgefield School District","=""1180011""","Ridgefield High School","=""1186111""","Math",410,"*","*","*","*","*","*","*","*","*","*",607
"Rocky Hill School District","=""1190011""","Alternative Learning Program","=""1190111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Rocky Hill School District","=""1190011""","Alternative Learning Program","=""1190111""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Rocky Hill School District","=""1190011""","Pathways","=""1190311""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Rocky Hill School District","=""1190011""","Pathways","=""1190311""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Rocky Hill School District","=""1190011""","Rocky Hill High School","=""1196111""","ELA",168,10,6.0,29,17.3,100,59.5,29,17.3,129,76.8,542
"Rocky Hill School District","=""1190011""","Rocky Hill High School","=""1196111""","Math",168,19,11.3,57,33.9,67,39.9,25,14.9,92,54.8,534
"Seymour School District","=""1240011""","Seymour High School","=""1246111""","ELA",151,27,17.9,33,21.9,76,50.3,15,9.9,91,60.3,502
"Seymour School District","=""1240011""","Seymour High School","=""1246111""","Math",151,30,19.9,66,43.7,44,29.1,11,7.3,55,36.4,496
"Shelton School District","=""1260011""","Shelton High School","=""1266111""","ELA",371,35,9.4,59,15.9,214,57.7,63,17.0,277,74.7,540
"Shelton School District","=""1260011""","Shelton High School","=""1266111""","Math",371,52,14.0,119,32.1,164,44.2,36,9.7,200,53.9,524
"Simsbury School District","=""1280011""","Simsbury High School","=""1286111""","ELA",356,17,4.8,26,7.3,176,49.4,137,38.5,313,87.9,589
"Simsbury School District","=""1280011""","Simsbury High School","=""1286111""","Math",356,21,5.9,76,21.3,145,40.7,114,32.0,259,72.8,589
"Somers School District","=""1290011""","Aspire","=""1290511""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Somers School District","=""1290011""","Aspire","=""1290511""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Somers School District","=""1290011""","Somers High School","=""1296111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Somers School District","=""1290011""","Somers High School","=""1296111""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"South Windsor School District","=""1320011""","South Windsor High School","=""1326211""","ELA",326,17,5.2,40,12.3,197,60.4,72,22.1,269,82.5,557
"South Windsor School District","=""1320011""","South Windsor High School","=""1326211""","Math",326,32,9.8,99,30.4,138,42.3,57,17.5,195,59.8,550
"Southington School District","=""1310011""","Alta","=""1310111""","ELA",13,"*","*","*","*","*","*","*","*","*","*","*"
"Southington School District","=""1310011""","Alta","=""1310111""","Math",13,"*","*","*","*","*","*","*","*","*","*","*"
"Southington School District","=""1310011""","Southington High School","=""1316211""","ELA",457,"*","*","*","*","*","*","*","*","*","*",544
"Southington School District","=""1310011""","Southington High School","=""1316211""","Math",457,"*","*","*","*","*","*","*","*","*","*",538
"Stafford School District","=""1340011""","Stafford High School","=""1346111""","ELA",99,11,11.1,13,13.1,56,56.6,19,19.2,75,75.8,537
"Stafford School District","=""1340011""","Stafford High School","=""1346111""","Math",99,12,12.1,40,40.4,36,36.4,11,11.1,47,47.5,528
"Stafford School District","=""1340011""","Stafford Tutoring Program","=""1340211""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Stafford School District","=""1340011""","Stafford Tutoring Program","=""1340211""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Stamford Academy District","=""2820013""","Stamford Academy","=""2826013""","ELA",25,17,68.0,"*","*","*","*",0,0.0,"*","*",384
"Stamford Academy District","=""2820013""","Stamford Academy","=""2826013""","Math",25,19,76.0,6,24.0,0,0.0,0,0.0,0,0.0,370
"Stamford School District","=""1350011""","Alternate Routes To Success","=""1350411""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Stamford School District","=""1350011""","Alternate Routes To Success","=""1350411""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Stamford School District","=""1350011""","Stamford High School","=""1356111""","ELA",432,110,25.5,100,23.1,195,45.1,27,6.3,222,51.4,483
"Stamford School District","=""1350011""","Stamford High School","=""1356111""","Math",432,134,31.0,178,41.2,97,22.5,23,5.3,120,27.8,470
"Stamford School District","=""1350011""","The Academy of Information Technology","=""1356411""","ELA",162,19,11.7,28,17.3,90,55.6,25,15.4,115,71.0,529
"Stamford School District","=""1350011""","The Academy of Information Technology","=""1356411""","Math",162,30,18.5,66,40.7,46,28.4,20,12.3,66,40.7,510
"Stamford School District","=""1350011""","Westhill High School","=""1356311""","ELA",488,116,23.8,105,21.5,189,38.7,78,16.0,267,54.7,500
"Stamford School District","=""1350011""","Westhill High School","=""1356311""","Math",488,155,31.8,166,34.0,99,20.3,68,13.9,167,34.2,489
"Stonington School District","=""1370011""","SAILS","=""1370711""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Stonington School District","=""1370011""","SAILS","=""1370711""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Stonington School District","=""1370011""","Stonington High School","=""1376111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Stonington School District","=""1370011""","Stonington High School","=""1376111""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Stratford School District","=""1380011""","ALPHA","=""1380511""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Stratford School District","=""1380011""","ALPHA","=""1380511""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Stratford School District","=""1380011""","Bunnell High School","=""1386211""","ELA",225,37,16.4,49,21.8,125,55.6,14,6.2,139,61.8,501
"Stratford School District","=""1380011""","Bunnell High School","=""1386211""","Math",225,57,25.3,107,47.6,53,23.6,8,3.6,61,27.1,476
"Stratford School District","=""1380011""","High School STEPS 9-12","=""1382011""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Stratford School District","=""1380011""","High School STEPS 9-12","=""1382011""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Stratford School District","=""1380011""","Stratford High School","=""1386111""","ELA",232,46,19.8,42,18.1,112,48.3,32,13.8,144,62.1,508
"Stratford School District","=""1380011""","Stratford High School","=""1386111""","Math",232,72,31.0,91,39.2,51,22.0,18,7.8,69,29.7,478
"Suffield School District","=""1390011""","Suffield High School","=""1396111""","ELA",180,13,7.2,19,10.6,105,58.3,43,23.9,148,82.2,556
"Suffield School District","=""1390011""","Suffield High School","=""1396111""","Math",180,18,10.0,64,35.6,77,42.8,21,11.7,98,54.4,534
"The Bridge Academy District","=""2690013""","The Bridge Academy","=""2696113""","ELA",40,14,35.0,14,35.0,12,30.0,0,0.0,12,30.0,438
"The Bridge Academy District","=""2690013""","The Bridge Academy","=""2696113""","Math",40,"*","*",21,52.5,"*","*",0,0.0,"*","*",431
"The Gilbert School District","=""9020022""","The Gilbert School","=""9026122""","ELA",102,22,21.6,17,16.7,52,51.0,11,10.8,63,61.8,499
"The Gilbert School District","=""9020022""","The Gilbert School","=""9026122""","Math",101,28,27.7,36,35.6,24,23.8,13,12.9,37,36.6,499
"Thomaston School District","=""1400011""","Thomaston High School","=""1406211""","ELA",62,"*","*",11,17.7,37,59.7,"*","*","*","*",502
"Thomaston School District","=""1400011""","Thomaston High School","=""1406211""","Math",62,"*","*",32,51.6,17,27.4,"*","*","*","*",478
"Thompson School District","=""1410011""","Tourtellotte Memorial High School","=""1416111""","ELA",44,"*","*",11,25.0,24,54.5,"*","*","*","*",506
"Thompson School District","=""1410011""","Tourtellotte Memorial High School","=""1416111""","Math",44,15,34.1,17,38.6,12,27.3,0,0.0,12,27.3,471
"Tolland School District","=""1420011""","Tolland High School","=""1426111""","ELA",199,8,4.0,19,9.5,115,57.8,57,28.6,172,86.4,570
"Tolland School District","=""1420011""","Tolland High School","=""1426111""","Math",199,11,5.5,50,25.1,93,46.7,45,22.6,138,69.3,570
"Torrington School District","=""1430011""","Migeon Academy","=""1431411""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Torrington School District","=""1430011""","Migeon Academy","=""1431411""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Torrington School District","=""1430011""","Torrington High School","=""1436111""","ELA",191,35,18.3,46,24.1,97,50.8,13,6.8,110,57.6,493
"Torrington School District","=""1430011""","Torrington High School","=""1436111""","Math",191,52,27.2,90,47.1,41,21.5,8,4.2,49,25.7,470
"Trumbull School District","=""1440011""","REACH","=""1440511""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Trumbull School District","=""1440011""","REACH","=""1440511""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Trumbull School District","=""1440011""","Trumbull Alternative School","=""1440211""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Trumbull School District","=""1440011""","Trumbull Alternative School","=""1440211""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Trumbull School District","=""1440011""","Trumbull High School","=""1446111""","ELA",486,26,5.3,54,11.1,286,58.8,120,24.7,406,83.5,559
"Trumbull School District","=""1440011""","Trumbull High School","=""1446111""","Math",486,33,6.8,164,33.7,182,37.4,107,22.0,289,59.5,561
"Unified School District #2","=""3470015""","Children's Place School","=""3470115""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Unified School District #2","=""3470015""","Children's Place School","=""3470115""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Unified School District #2","=""3470015""","Riverview School","=""3470315""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Unified School District #2","=""3470015""","Riverview School","=""3470315""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Unified School District #2","=""3470015""","Walter G. Cady School","=""3476715""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Unified School District #2","=""3470015""","Walter G. Cady School","=""3476715""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Vernon School District","=""1460011""","Hartford Detention Center","=""3480315""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Vernon School District","=""1460011""","Hartford Detention Center","=""3480315""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Vernon School District","=""1460011""","Rockville High School","=""1466111""","ELA",187,27,14.4,36,19.3,99,52.9,25,13.4,124,66.3,521
"Vernon School District","=""1460011""","Rockville High School","=""1466111""","Math",187,37,19.8,77,41.2,64,34.2,9,4.8,73,39.0,497
"Wallingford School District","=""1480011""","Education Enhancement Program","=""1480511""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Wallingford School District","=""1480011""","Education Enhancement Program","=""1480511""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Wallingford School District","=""1480011""","Lyman Hall High School","=""1486111""","ELA",251,38,15.1,44,17.5,144,57.4,25,10.0,169,67.3,511
"Wallingford School District","=""1480011""","Lyman Hall High School","=""1486111""","Math",251,52,20.7,128,51.0,63,25.1,8,3.2,71,28.3,484
"Wallingford School District","=""1480011""","Mark T. Sheehan High School","=""1486211""","ELA",205,15,7.3,23,11.2,136,66.3,31,15.1,167,81.5,540
"Wallingford School District","=""1480011""","Mark T. Sheehan High School","=""1486211""","Math",205,26,12.7,97,47.3,72,35.1,10,4.9,82,40.0,506
"Waterbury School District","=""1510011""","Crosby High School","=""1516211""","ELA",238,119,50.0,61,25.6,49,20.6,9,3.8,58,24.4,431
"Waterbury School District","=""1510011""","Crosby High School","=""1516211""","Math",237,149,62.9,67,28.3,"*","*","*","*",21,8.9,404
"Waterbury School District","=""1510011""","Enlightenment School","=""1519111""","ELA",12,"*","*","*","*","*","*","*","*","*","*","*"
"Waterbury School District","=""1510011""","Enlightenment School","=""1519111""","Math",12,"*","*","*","*","*","*","*","*","*","*","*"
"Waterbury School District","=""1510011""","Excel III","=""1513911""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Waterbury School District","=""1510011""","Excel III","=""1513911""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Waterbury School District","=""1510011""","John F. Kennedy High School","=""1516411""","ELA",246,114,46.3,54,22.0,68,27.6,10,4.1,78,31.7,442
"Waterbury School District","=""1510011""","John F. Kennedy High School","=""1516411""","Math",244,134,54.9,92,37.7,"*","*","*","*",18,7.4,413
"Waterbury School District","=""1510011""","State Street School","=""1519011""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Waterbury School District","=""1510011""","State Street School","=""1519011""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (High)","=""1516011""","ELA",112,20,17.9,28,25.0,55,49.1,9,8.0,64,57.1,496
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (High)","=""1516011""","Math",112,30,26.8,62,55.4,"*","*","*","*",20,17.9,461
"Waterbury School District","=""1510011""","Waterbury Career Academy","=""1516711""","ELA",204,43,21.1,70,34.3,81,39.7,10,4.9,91,44.6,473
"Waterbury School District","=""1510011""","Waterbury Career Academy","=""1516711""","Math",204,75,36.8,101,49.5,28,13.7,0,0.0,28,13.7,440
"Waterbury School District","=""1510011""","Wilby High School","=""1516311""","ELA",234,107,45.7,65,27.8,55,23.5,7,3.0,62,26.5,433
"Waterbury School District","=""1510011""","Wilby High School","=""1516311""","Math",233,150,64.4,72,30.9,"*","*","*","*",11,4.7,400
"Waterford School District","=""1520011""","Waterford High School","=""1526111""","ELA",203,15,7.4,34,16.7,124,61.1,30,14.8,154,75.9,533
"Waterford School District","=""1520011""","Waterford High School","=""1526111""","Math",203,32,15.8,86,42.4,60,29.6,25,12.3,85,41.9,513
"Watertown School District","=""1530011""","Watertown High School","=""1536111""","ELA",197,29,14.7,32,16.2,116,58.9,20,10.2,136,69.0,516
"Watertown School District","=""1530011""","Watertown High School","=""1536111""","Math",197,39,19.8,103,52.3,44,22.3,11,5.6,55,27.9,486
"West Hartford School District","=""1550011""","REACH","=""1557311""","ELA",20,13,65.0,"*","*","*","*",0,0.0,"*","*",395
"West Hartford School District","=""1550011""","REACH","=""1557311""","Math",19,"*","*","*","*","*","*","*","*","*","*","*"
"West Hartford School District","=""1550011""","Conard High School","=""1556111""","ELA",357,38,10.6,47,13.2,181,50.7,91,25.5,272,76.2,553
"West Hartford School District","=""1550011""","Conard High School","=""1556111""","Math",357,48,13.4,112,31.4,131,36.7,66,18.5,197,55.2,542
"West Hartford School District","=""1550011""","Hall High School","=""1556211""","ELA",365,26,7.1,41,11.2,163,44.7,135,37.0,298,81.6,576
"West Hartford School District","=""1550011""","Hall High School","=""1556211""","Math",365,40,11.0,101,27.7,129,35.3,95,26.0,224,61.4,562
"West Hartford School District","=""1550011""","STRIVE-West Hartford","=""1559211""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"West Hartford School District","=""1550011""","STRIVE-West Hartford","=""1559211""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"West Haven School District","=""1560011""","Blended","=""1560711""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"West Haven School District","=""1560011""","Blended","=""1560711""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"West Haven School District","=""1560011""","Blended (Molloy)","=""1560511""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"West Haven School District","=""1560011""","Blended (Molloy)","=""1560511""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"West Haven School District","=""1560011""","West Haven High School","=""1566111""","ELA",295,82,27.8,78,26.4,118,40.0,17,5.8,135,45.8,472
"West Haven School District","=""1560011""","West Haven High School","=""1566111""","Math",295,99,33.6,145,49.2,45,15.3,6,2.0,51,17.3,455
"Westbrook School District","=""1540011""","Westbrook High School","=""1546111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Westbrook School District","=""1540011""","Westbrook High School","=""1546111""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Weston School District","=""1570011""","Weston High School","=""1576111""","ELA",197,19,9.6,12,6.1,90,45.7,76,38.6,166,84.3,585
"Weston School District","=""1570011""","Weston High School","=""1576111""","Math",197,25,12.7,32,16.2,69,35.0,71,36.0,140,71.1,582
"Westport School District","=""1580011""","Staples High School","=""1586111""","ELA",431,23,5.3,17,3.9,199,46.2,192,44.5,391,90.7,598
"Westport School District","=""1580011""","Staples High School","=""1586111""","Math",431,32,7.4,73,16.9,163,37.8,163,37.8,326,75.6,599
"Wethersfield School District","=""1590011""","Wethersfield High School","=""1596111""","ELA",250,33,13.2,40,16.0,145,58.0,32,12.8,177,70.8,522
"Wethersfield School District","=""1590011""","Wethersfield High School","=""1596111""","Math",250,40,16.0,91,36.4,95,38.0,24,9.6,119,47.6,519
"Wilton School District","=""1610011""","Wilton High School","=""1616111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Wilton School District","=""1610011""","Wilton High School","=""1616111""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Windham School District","=""1630011""","Windham High School","=""1636111""","ELA",101,47,46.5,28,27.7,"*","*","*","*",26,25.7,433
"Windham School District","=""1630011""","Windham High School","=""1636111""","Math",101,62,61.4,28,27.7,11,10.9,0,0.0,11,10.9,410
"Windsor Locks School District","=""1650011""","Pine Meadow Academy","=""1650611""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Windsor Locks School District","=""1650011""","Pine Meadow Academy","=""1650611""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Windsor Locks School District","=""1650011""","Windsor Locks High School","=""1656111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Windsor Locks School District","=""1650011""","Windsor Locks High School","=""1656111""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Windsor School District","=""1640011""","Spark","=""1640311""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Windsor School District","=""1640011""","Spark","=""1640311""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Windsor School District","=""1640011""","Windsor High School","=""1646111""","ELA",257,44,17.1,69,26.8,120,46.7,24,9.3,144,56.0,503
"Windsor School District","=""1640011""","Windsor High School","=""1646111""","Math",257,63,24.5,120,46.7,54,21.0,20,7.8,74,28.8,483
"Wolcott School District","=""1660011""","Phoenix Program","=""1660411""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Wolcott School District","=""1660011""","Phoenix Program","=""1660411""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Wolcott School District","=""1660011""","Wolcott High School","=""1666111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Wolcott School District","=""1660011""","Wolcott High School","=""1666111""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Woodstock Academy District","=""9030022""","Woodstock Academy","=""9036122""","ELA",258,21,8.1,39,15.1,153,59.3,45,17.4,198,76.7,540
"Woodstock Academy District","=""9030022""","Woodstock Academy","=""9036122""","Math",258,34,13.2,93,36.0,76,29.5,55,21.3,131,50.8,538

