"CT School Day SAT, 2015-16"
"All Districts, All Subjects, All Students"

"",,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","School","School Code","Subject","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Math",87,36,41.4,36,41.4,"*","*","*","*",15,17.2,449
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""","ELA",73,30,41.1,23,31.5,"*","*","*","*",20,27.4,432
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""","Math",73,38,52.1,29,39.7,6,8.2,0,0.0,6,8.2,412
"Capitol Region Education Council","=""2410014""","Soundbridge @ Wethersfield High School","=""2411014""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Wethersfield High School","=""2411014""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""","ELA",94,17,18.1,22,23.4,40,42.6,15,16.0,55,58.5,511
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""","Math",94,27,28.7,44,46.8,"*","*","*","*",23,24.5,471
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","ELA",368,16,4.3,36,9.8,216,58.7,100,27.2,316,85.9,569
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Math",368,29,7.9,105,28.5,152,41.3,82,22.3,234,63.6,564
"Cheshire School District","=""0250011""","Humiston Alternative School","=""0250911""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""","Humiston Alternative School","=""0250911""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","Math","*","*","*","*","*","*","*","*","*","*","*","*"
"Colchester School District","=""0280011""","Bacon Academy Alternative Education","=""0280511""","ELA","*","*","*","*","*","*","*","*","*","*","*","*"
