"Student Counts by School and English Learner Status"
"All Districts, All Schools"
"2013-14"

"",,,,"English Learner Status",,
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","*","*",901
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""",359,21,380
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""",610,14,624
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""",852,7,859
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""",538,7,545
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""","*","*",374
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""",71,6,77
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""","*","*",225
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""",233,0,233
"Canton School District","=""0230011""","Canton High School","=""0236111""","*","*",499
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""",434,0,434
"Canton School District","=""0230011""","Canton Middle School","=""0235111""",265,0,265
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""",480,10,490
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",545,17,562
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering Elementary","=""2410714""",206,16,222
"Capitol Region Education Council","=""2410014""","Academy of Science and Innovation","=""2416514""",351,10,361
"Capitol Region Education Council","=""2410014""","Ana Grace Academy of the Arts Elementary School","=""2410614""",203,14,217
"Capitol Region Education Council","=""2410014""","Discovery Academy","=""2418114""","*","*",282
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""",22,0,22
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""",389,21,410
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",425,13,438
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""",320,7,327
"Capitol Region Education Council","=""2410014""","Integrated Program Models","=""2419414""","*",0,"*"
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""",398,17,415
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","*","*",53
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""",8,0,8
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","*","*",722
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""",320,22,342
"Capitol Region Education Council","=""2410014""","Museum Academy","=""2410514""",389,16,405
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""",396,8,404
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""",382,10,392
"Capitol Region Education Council","=""2410014""","River Street Early Learning Center (Site 2)","=""2419514""",64,0,64
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""",145,0,145
"Capitol Region Education Council","=""2410014""","Soundbridge","=""2419114""",83,0,83
"Capitol Region Education Council","=""2410014""","Strive (Southern Transition Real-World and Independent Vocational Education Program","=""2419714""",8,0,8
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""",181,8,189
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""",645,15,660
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""",426,15,441
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""","*","*",183
"Cheshire School District","=""0250011""","Chapman School","=""0250111""","*","*",298
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",1527,11,1538
"Cheshire School District","=""0250011""","Darcey School","=""0250211""","*","*",293
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""","*","*",747
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""",523,6,529
"Cheshire School District","=""0250011""","Highland School","=""0250411""",734,6,740
"Cheshire School District","=""0250011""","Humiston School","=""0259011""",20,0,20
"Cheshire School District","=""0250011""","Norton School","=""0250511""","*","*",429
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""",228,0,228
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""",290,6,296
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""",451,11,462
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""",603,35,638
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",545,13,558
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","*","*",900
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""",540,11,551
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""","*","*",614
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""","*","*",668
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""",99,0,99
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""",467,0,467
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","*","*",180
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",757,44,801
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",786,19,805
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",602,44,646
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",480,62,542
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",508,27,535
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","*","*",567
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",792,9,801
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","*","*",585
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",610,27,637
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",657,10,667
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""","*","*",680
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",647,0,647
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""","*","*",836
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""","*","*",656
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""","*","*",743
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",528,22,550
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","=""2439214""",94,0,94
"Cooperative Educational Services","=""2430014""","Preschool-Primary Learning Center (PLC)","=""2439114""",51,0,51
"Cooperative Educational Services","=""2430014""","RISE Transitional Program","=""2439314""",12,0,12
"Cooperative Educational Services","=""2430014""","School Readiness","=""2438014""",54,0,54
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""",471,0,471
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""",140,0,140
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""","*","*",105
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""",393,0,393
"Coventry School District","=""0320011""","Coventry Early Intervention Services","=""0328011""",20,0,20
"Coventry School District","=""0320011""","Coventry Grammar School","=""0320211""","*","*",377
"Coventry School District","=""0320011""","Coventry High School","=""0326111""","*","*",518
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""",377,0,377
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",543,6,549
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""","*","*",454
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""",441,27,468
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""",465,12,477
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",73,10,83
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""",975,117,1092
"Danbury School District","=""0340011""","DPS Early Childhood Center","=""0340111""",139,0,139
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",2494,384,2878
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""",227,208,435
"Danbury School District","=""0340011""","Great Plain School","=""0341111""",244,112,356
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""",352,117,469
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""",321,49,370
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""",290,127,417
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""",340,72,412
"Danbury School District","=""0340011""","Morris Street School","=""0340611""",262,206,468
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""",248,185,433
"Danbury School District","=""0340011""","Pembroke School","=""0341511""",315,61,376
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""",1034,166,1200
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""",292,124,416
"Danbury School District","=""0340011""","South Street School","=""0341011""",239,136,375
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""",339,93,432
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""",391,32,423
"Darien School District","=""0350011""","Darien High School","=""0356111""","*","*",1354
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""","*","*",565
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""","*","*",454
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""","*","*",1128
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""",458,0,458
"Darien School District","=""0350011""","Royle Elementary School","=""0350511""","*","*",452
"Darien School District","=""0350011""","Tokeneke Elementary School","=""0350611""",492,0,492
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""",316,14,330
"Department of Mental Health and Addiction Services","=""3370015""","Connecticut Valley Hospital","=""3370215""","*",0,"*"
"Department of Mental Health and Addiction Services","=""3370015""","Greater Bridgeport Community Mental Health Center","=""3370515""","*",0,"*"
"Derby School District","=""0370011""","Bradley School","=""0370611""",362,14,376
"Derby School District","=""0370011""","Derby High School","=""0376111""",359,22,381
"Derby School District","=""0370011""","Derby Middle School","=""0375011""",348,16,364
"Derby School District","=""0370011""","Irving School","=""0370411""",340,38,378
"East Granby School District","=""0400011""","Allgrove School","=""0400111""",183,11,194
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",259,0,259
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""",208,0,208
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""","*","*",207
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""","*","*",326
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",372,0,372
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""",488,0,488
"East Hampton School District","=""0420011""","Center School","=""0420311""","*","*",295
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""","*","*",520
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""","*","*",423
"East Hampton School District","=""0420011""","Memorial School","=""0420111""","*","*",626
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","=""0429011""",7,0,7
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""",244,52,296
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",197,0,197
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""",311,53,364
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""",341,61,402
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""",506,27,533
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",1557,125,1682
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""",995,106,1101
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""",320,23,343
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""",300,22,322
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""",285,16,301
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""",412,86,498
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""",284,20,304
"East Hartford School District","=""0430011""","Stevens Alternate High School","=""0436411""",94,11,105
"East Hartford School District","=""0430011""","Sunset Ridge Middle School","=""0432411""",237,16,253
"East Hartford School District","=""0430011""","Willowbrook Early Childhood","=""0438011""",231,0,231
"East Hartford School District","=""0430011""","Woodland School","=""0439011""",189,10,199
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""",259,10,269
"East Haven School District","=""0440011""","D. C. Moore School","=""0441411""",198,17,215
"East Haven School District","=""0440011""","Deer Run School","=""0440111""",291,38,329
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""",186,16,202
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",883,24,907
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""",159,14,173
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""",531,40,571
"East Haven School District","=""0440011""","Momauguin School","=""0440711""",139,13,152
"East Haven School District","=""0440011""","Overbrook Elementary School","=""0441811""",164,29,193
"East Haven School District","=""0440011""","Pathways","=""0449011""",40,0,40
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""","*","*",1063
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""","*","*",875
"East Lyme School District","=""0450011""","Flanders School","=""0450111""",338,16,354
"East Lyme School District","=""0450011""","Integrated Preschool","=""0458011""",41,0,41
"East Lyme School District","=""0450011""","Lillie B. Haynes School","=""0450411""",330,9,339
"East Lyme School District","=""0450011""","Niantic Center School","=""0450211""","*","*",190
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""",483,23,506
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""","*","*",348
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""",336,9,345
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","*","*",144
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EastConn Special Education","=""2539014""","*","*",95
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""","*","*",127
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""",152,0,152
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""","*","*",351
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""","*","*",610
"EdAdvance","=""2420014""","EdAdvance Headstart","=""2428014""",189,0,189
"EdAdvance","=""2420014""","The ACCESS School at The Danuta M. Thibodeau Education Center","=""2429014""",40,0,40
"Ellington School District","=""0480011""","Center School","=""0480111""",393,0,393
"Ellington School District","=""0480011""","Crystal Lake School","=""0480211""","*","*",203
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",791,6,797
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""","*","*",409
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""",410,6,416
"Ellington School District","=""0480011""","Windermere School","=""0480611""",414,25,439
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""",579,45,624
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""",329,7,336
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""",373,11,384
"Enfield School District","=""0490011""","Enfield High School","=""0496111""","*","*",707
"Enfield School District","=""0490011""","Enfield Street School","=""0490211""",268,20,288
"Enfield School District","=""0490011""","Enfield Transitional Learning Academy","=""0499011""",15,0,15
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""","*","*",918
"Enfield School District","=""0490011""","Hazardville Memorial School","=""0490411""",329,25,354
"Enfield School District","=""0490011""","Head Start Program","=""0498011""",104,0,104
"Enfield School District","=""0490011""","Henry Barnard School","=""0491811""",329,11,340
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""",1105,16,1121
"Enfield School District","=""0490011""","Nathan Hale School","=""0491111""","*","*",221
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""",412,6,418
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""","*","*",508
"Explorations District","=""2720013""","Explorations","=""2726113""",83,0,83
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""",445,8,453
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""",306,0,306
"Fairfield School District","=""0510011""","Early Childhood Center","=""0518011""",110,0,110
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""",1498,11,1509
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""",1424,35,1459
"Fairfield School District","=""0510011""","Fairfield Woods Middle School","=""0515211""",914,12,926
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""",377,21,398
"Fairfield School District","=""0510011""","Jennings School","=""0511711""","*","*",327
"Fairfield School District","=""0510011""","McKinley School","=""0510611""",405,53,458
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""",422,7,429
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""",437,7,444
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""","*","*",526
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""","*","*",399
"Fairfield School District","=""0510011""","Roger Ludlowe Middle School","=""0515311""","*","*",860
"Fairfield School District","=""0510011""","Sherman School","=""0511311""",451,6,457
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""",484,13,497
"Fairfield School District","=""0510011""","Tomlinson Middle School","=""0515111""",672,26,698
"Farmington School District","=""0520011""","East Farms School","=""0520411""",414,19,433
"Farmington School District","=""0520011""","Farmington Collaborative PK","=""0528011""",76,0,76
"Farmington School District","=""0520011""","Farmington High School","=""0526111""",1305,9,1314
"Farmington School District","=""0520011""","Irving A. Robbins Middle School","=""0525111""","*","*",571
"Farmington School District","=""0520011""","Noah Wallace School","=""0520211""",317,21,338
"Farmington School District","=""0520011""","Union School","=""0520111""",316,0,316
"Farmington School District","=""0520011""","West District School","=""0520311""",327,14,341
"Farmington School District","=""0520011""","West Woods Upper Elementary School","=""0520511""","*","*",620
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""",181,0,181
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""",468,11,479
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""",294,0,294
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""",502,7,509
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""",2122,18,2140
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""",433,8,441
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""","*","*",438
"Glastonbury School District","=""0540011""","Links Academy","=""0540111""",38,0,38
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""",398,15,413
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""",603,6,609
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""",1027,7,1034
"Granby School District","=""0560011""","Frank M. Kearns Primary School","=""0560111""",384,6,390
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""","*","*",724
"Granby School District","=""0560011""","Granby Memorial Middle School","=""0565111""","*","*",332
"Granby School District","=""0560011""","Kelly Lane Primary School","=""0560411""",316,0,316
"Granby School District","=""0560011""","Wells Road Intermediate School","=""0560311""","*","*",288
"Greenwich School District","=""0570011""","Central Middle School","=""0575111""",578,17,595
