"Student Counts by School and Grade"
"All Districts, All Schools"
"2009-10"

"",,,,"Grade",,,,,,,,,,,,,,
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""",221,33,0,0,0,0,0,0,0,0,0,0,0,0,254
"Bloomfield School District","=""0110011""","J. P. Vincent School","=""0110311""",0,42,50,49,63,50,0,0,0,0,0,0,0,0,254
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""",0,49,50,42,57,66,0,0,0,0,0,0,0,0,264
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",0,26,34,47,34,41,0,0,0,0,0,0,0,0,182
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",0,0,0,0,0,0,170,124,0,0,0,0,0,0,294
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",0,0,0,0,0,0,0,0,159,155,0,0,0,0,314
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",0,0,0,0,0,0,0,0,0,0,143,181,150,155,629
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""",0,0,0,0,0,0,0,0,0,0,36,27,14,11,88
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",14,53,54,47,57,60,59,75,68,96,0,0,0,0,583
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",0,0,0,0,0,0,0,0,0,0,88,68,70,71,297
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",21,24,23,24,22,26,30,21,29,36,0,0,0,0,256
"Branford School District","=""0140011""","Indian Neck School","=""0148011""",58,0,0,0,0,0,0,0,0,0,0,0,0,0,58
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""",27,76,79,94,86,71,0,0,0,0,0,0,0,0,433
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""",0,72,77,74,57,81,0,0,0,0,0,0,0,0,361
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""",0,80,75,86,95,92,0,0,0,0,0,0,0,0,428
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",0,0,0,0,0,0,275,267,259,312,0,0,0,0,1113
"Branford School District","=""0140011""","Branford High School","=""0146111""",0,0,0,0,0,0,0,0,0,0,269,253,279,308,1109
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",35,89,74,72,64,67,70,53,55,52,0,0,0,0,631
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",44,52,46,54,47,44,48,40,0,0,0,0,0,0,375
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",35,86,124,98,81,109,97,93,151,195,0,0,0,0,1069
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",53,61,68,61,36,56,29,37,0,0,0,0,0,0,401
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""","*",117,117,109,111,125,136,132,77,100,"*",0,0,0,1061
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",35,88,87,86,88,82,56,60,52,48,0,0,0,0,682
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""",17,105,106,93,90,92,83,76,91,86,0,0,0,0,839
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""",17,46,51,54,41,37,54,40,0,0,0,0,0,0,340
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",43,70,70,60,58,52,54,65,76,72,0,0,0,0,620
"Bridgeport School District","=""0150011""","Longfellow School","=""0151911""",18,53,54,50,45,42,30,36,46,48,0,0,0,0,422
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",17,77,82,92,91,88,72,100,116,132,0,0,0,0,867
"Bridgeport School District","=""0150011""","Parent-Children Program","=""0158011""","*",0,0,0,0,0,0,0,0,0,0,0,0,0,"*"
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",25,58,62,56,65,49,50,50,50,47,0,0,0,0,512
"Bridgeport School District","=""0150011""","Read School","=""0152511""",35,99,103,82,91,100,90,73,92,98,0,0,0,0,863
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",45,73,78,59,49,41,28,51,49,53,0,0,0,0,526
"Bridgeport School District","=""0150011""","Skane Center","=""0154411""",212,31,0,0,0,0,0,0,0,0,0,0,0,0,243
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",18,54,73,65,56,44,51,49,53,59,0,0,0,0,522
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",0,45,51,51,38,33,19,20,0,0,0,0,0,0,257
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""",0,47,47,46,52,50,51,35,0,0,0,0,0,0,328
"Bridgeport School District","=""0150011""","Cross School","=""0153911""",0,46,45,37,41,40,27,39,51,54,0,0,0,0,380
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""",0,67,75,56,60,67,42,49,97,66,0,0,0,0,579
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""",0,35,39,37,27,38,36,38,31,43,0,0,0,0,324
"Bridgeport School District","=""0150011""","Edison School","=""0150711""",0,44,27,51,48,37,31,28,0,0,0,0,0,0,266
"Bridgeport School District","=""0150011""","Hall School","=""0151111""",0,40,43,51,38,36,36,33,0,0,0,0,0,0,277
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""",0,51,49,46,46,49,48,49,47,47,0,0,0,0,432
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""",0,50,48,53,47,57,42,50,67,47,0,0,0,0,461
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",0,80,85,89,72,89,78,69,0,0,0,0,0,0,562
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",0,47,45,50,49,53,51,55,52,49,0,0,0,0,451
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",0,63,79,71,74,80,78,88,94,97,0,0,0,0,724
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",0,0,"*","*","*",7,"*",9,"*","*","*","*","*","*",53
"Bridgeport School District","=""0150011""","Make The Grade","=""0159511""",0,0,0,0,0,0,0,0,21,33,0,0,0,0,54
"Bridgeport School District","=""0150011""","Park City Academy","=""0159211""",0,0,0,0,0,0,0,0,0,8,"*","*","*","*",17
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",0,0,0,0,0,0,0,0,0,0,292,365,280,216,1153
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",0,0,0,0,0,0,0,0,0,0,557,611,564,485,2217
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",0,0,0,0,0,0,0,0,0,0,331,402,415,397,1545
"Bridgeport School District","=""0150011""","New Start Program","=""0159411""",0,0,0,0,0,0,0,0,0,0,"*",13,18,"*",46
"Bridgeport School District","=""0150011""","The University School","=""0159111""",0,0,0,0,0,0,0,0,0,0,"*",10,9,"*",28
"Bristol School District","=""0170011""","Clara T. O'Connell School","=""0170711""",30,71,54,57,61,46,56,0,0,0,0,0,0,0,375
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""",80,74,76,64,83,69,65,0,0,0,0,0,0,0,511
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",30,50,57,40,59,63,63,0,0,0,0,0,0,0,362
"Bristol School District","=""0170011""","Mountain View School","=""0171711""",79,40,51,39,45,61,52,0,0,0,0,0,0,0,367
"Bristol School District","=""0170011""","South Side School","=""0171111""",29,81,97,96,101,79,83,0,0,0,0,0,0,0,566
"Bristol School District","=""0170011""","Stafford School","=""0171211""",78,66,67,58,66,68,77,0,0,0,0,0,0,0,480
"Bristol School District","=""0170011""","Clarence A. Bingham School","=""0170111""",0,37,41,39,39,33,47,0,0,0,0,0,0,0,236
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",0,50,75,45,64,59,62,0,0,0,0,0,0,0,355
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",0,54,68,51,51,68,67,0,0,0,0,0,0,0,359
"Bristol School District","=""0170011""","John J. Jennings School","=""0170611""",0,55,59,50,65,48,64,0,0,0,0,0,0,0,341
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""",0,0,0,0,0,0,"*","*",6,"*","*","*","*",0,19
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",0,0,0,0,0,0,0,299,295,316,0,0,0,0,910
"Bristol School District","=""0170011""","Memorial Boulevard Middle School","=""0175311""",0,0,0,0,0,0,0,177,175,192,0,0,0,0,544
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""",0,0,0,0,0,0,0,198,185,202,0,0,0,0,585
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",0,0,0,0,0,0,0,0,0,0,389,362,290,323,1364
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",0,0,0,0,0,0,0,0,0,0,345,315,355,290,1305
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""",0,0,0,0,0,0,0,0,0,0,0,0,0,13,13
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""",34,188,197,0,0,0,0,0,0,0,0,0,0,0,419
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""",0,0,0,155,200,191,0,0,0,0,0,0,0,0,546
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""",0,0,0,0,0,0,231,212,229,245,0,0,0,0,917
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",0,0,0,0,0,0,0,0,0,0,239,246,258,273,1016
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""",120,68,91,99,110,88,0,0,0,0,0,0,0,0,576
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""",0,0,0,0,0,0,101,102,92,91,0,0,0,0,386
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""",42,38,69,71,62,47,0,0,0,0,0,0,0,0,329
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""",0,0,0,0,0,0,54,51,63,54,0,0,0,0,222
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""",33,121,144,141,130,0,0,0,0,0,0,0,0,0,569
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""",0,0,0,0,0,131,134,123,0,0,0,0,0,0,388
"Canton School District","=""0230011""","Canton Middle School","=""0235111""",0,0,0,0,0,0,0,0,142,149,0,0,0,0,291
"Canton School District","=""0230011""","Canton High School","=""0236111""",0,0,0,0,0,0,0,0,0,0,124,124,130,136,514
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""",98,61,23,0,0,0,0,0,0,0,0,0,0,0,182
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""",79,45,41,46,37,42,34,12,0,0,0,0,0,0,336
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""",88,60,23,0,0,0,0,0,0,0,0,0,0,0,171
"Capitol Region Education Council","=""2410014""","River Street Early Learning Center (Site 2)","=""2419514""",12,9,"*","*","*",7,"*","*","*","*",0,0,0,0,52
"Capitol Region Education Council","=""2410014""","Soundbridge","=""2419114""",50,"*",6,0,"*","*",0,"*","*","*","*","*",6,"*",89
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""",72,59,61,56,59,57,54,0,0,0,0,0,0,0,418
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""",0,41,42,45,45,45,43,0,0,0,0,0,0,0,261
"Capitol Region Education Council","=""2410014""","Integrated Program Models","=""2419414""",0,"*",0,"*",0,"*","*",0,"*",0,0,"*",0,"*",9
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""",0,0,"*",7,"*",11,"*",8,10,12,15,18,16,42,152
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",0,0,0,0,0,0,0,118,106,112,111,86,92,88,713
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""",0,0,0,0,0,0,0,63,45,49,39,20,0,0,216
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""",0,0,0,0,0,0,0,208,212,172,0,0,0,0,592
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",0,0,0,0,0,0,0,0,41,40,52,35,0,0,168
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""",0,0,0,0,0,0,0,0,"*","*","*","*","*",9,25
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""",0,0,0,0,0,0,0,0,"*","*",8,9,16,9,53
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""",0,0,0,0,0,0,0,0,"*","*","*",0,0,0,"*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",0,0,0,0,0,0,0,0,0,0,114,100,60,0,274
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""",0,0,0,0,0,0,0,0,0,0,0,45,105,84,234
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""",26,19,18,25,17,20,32,16,0,0,0,0,0,0,173
"Charter School for Young Children on Asylum Hill District","=""2870013""","Charter School for Young Children on Asylum Hill  Inc.","=""2870113""",96,48,41,0,0,0,0,0,0,0,0,0,0,0,185
"Cheshire School District","=""0250011""","Darcey School","=""0250211""",82,313,0,0,0,0,0,0,0,0,0,0,0,0,395
"Cheshire School District","=""0250011""","Highland School","=""0250411""",0,0,132,127,141,146,152,142,0,0,0,0,0,0,840
"Cheshire School District","=""0250011""","Chapman School","=""0250111""",0,0,48,48,56,41,63,69,0,0,0,0,0,0,325
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""",0,0,87,108,73,77,79,92,0,0,0,0,0,0,516
"Cheshire School District","=""0250011""","Norton School","=""0250511""",0,0,75,76,89,82,93,77,0,0,0,0,0,0,492
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""",0,0,0,0,0,0,0,0,400,415,0,0,0,0,815
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",0,0,0,0,0,0,0,0,0,0,380,407,362,400,1549
"Cheshire School District","=""0250011""","Humiston School","=""0259011""",0,0,0,0,0,0,0,0,0,0,"*",6,"*","*",17
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""",48,148,154,165,156,0,0,0,0,0,0,0,0,0,671
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""",0,0,0,0,0,150,150,0,0,0,0,0,0,0,300
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""",0,0,0,0,0,0,0,165,174,156,0,0,0,0,495
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",0,0,0,0,0,0,0,0,0,0,136,128,142,152,558
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""",70,237,215,212,0,0,0,0,0,0,0,0,0,0,734
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""",0,0,0,0,238,246,222,0,0,0,0,0,0,0,706
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""",0,0,0,0,0,0,0,251,244,266,0,0,0,0,761
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",0,0,0,0,0,0,0,0,0,0,253,242,250,258,1003
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""",27,42,52,59,59,69,67,58,52,69,0,0,0,0,554
"Cooperative Educational Services","=""2430014""","Preschool-Primary Learning Center (PLC)","=""2439114""","*","*",8,6,8,"*","*",13,8,"*",0,0,0,0,58
"Cooperative Educational Services","=""2430014""","School Readiness","=""2438014""",53,0,0,0,0,0,0,0,0,0,0,0,0,0,53
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""",80,47,40,48,50,35,35,39,35,30,0,0,0,0,439
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""",0,"*","*",7,12,11,16,10,9,16,18,11,18,9,142
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","=""2439214""",0,0,0,0,0,0,0,"*","*",6,10,11,8,30,76
"Cooperative Educational Services","=""2430014""","RISE Transitional Program","=""2439314""",0,0,0,0,0,0,0,0,0,0,0,0,0,10,10
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""","*","*",13,16,15,14,16,12,14,13,0,0,0,0,122
"Coventry School District","=""0320011""","Coventry Early Intervention Services","=""0328011""",11,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"Coventry School District","=""0320011""","Coventry Grammar School","=""0320211""",0,131,137,146,0,0,0,0,0,0,0,0,0,0,414
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""",0,0,0,0,126,154,160,0,0,0,0,0,0,0,440
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""",0,0,0,0,0,0,0,152,158,171,0,0,0,0,481
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",0,0,0,0,0,0,0,0,0,0,140,141,154,128,563
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""",29,145,157,146,0,0,0,0,0,0,0,0,0,0,477
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""",0,0,0,0,169,162,170,0,0,0,0,0,0,0,501
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""",0,0,0,0,0,0,0,164,154,147,0,0,0,0,465
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",0,0,0,0,0,0,0,0,0,0,151,145,169,140,605
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""",87,63,63,67,45,61,53,0,0,0,0,0,0,0,439
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""","*","*",107,103,0,0,0,0,0,0,0,0,0,0,300
"Danbury School District","=""0340011""","Mill Ridge Educational Center","=""0341811""",84,0,0,0,84,89,95,0,0,0,0,0,0,0,352
"Danbury School District","=""0340011""","Morris Street School","=""0340611""",39,53,83,42,66,40,46,0,0,0,0,0,0,0,369
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""","*",70,74,70,69,"*",68,0,0,0,0,0,0,0,408
"Danbury School District","=""0340011""","Pembroke School","=""0341511""","*",51,53,55,58,"*",57,0,0,0,0,0,0,0,325
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""","*","*",81,71,68,65,55,0,0,0,0,0,0,0,396
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""","*",75,84,82,73,"*",85,0,0,0,0,0,0,0,467
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""",0,69,69,73,64,66,54,0,0,0,0,0,0,0,395
"Danbury School District","=""0340011""","Great Plain School","=""0341111""",0,57,60,49,47,50,44,0,0,0,0,0,0,0,307
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""",0,95,103,98,0,0,0,0,0,0,0,0,0,0,296
"Danbury School District","=""0340011""","South Street School","=""0341011""",0,45,73,70,52,63,41,0,0,0,0,0,0,0,344
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""",0,65,63,64,66,67,58,0,0,0,0,0,0,0,383
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""",0,0,0,0,103,99,105,0,0,0,0,0,0,0,307
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""",0,0,0,0,0,0,0,358,378,372,0,0,0,0,1108
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""",0,0,0,0,0,0,0,342,336,358,0,0,0,0,1036
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",0,0,0,0,0,0,0,0,0,0,26,24,19,19,88
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",0,0,0,0,0,0,0,0,0,0,819,697,682,656,2854
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""",43,101,83,69,89,92,69,0,0,0,0,0,0,0,546
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""","*",95,72,86,84,81,"*",0,0,0,0,0,0,0,484
"Darien School District","=""0350011""","Tokeneke Elementary School","=""0350611""",32,65,60,58,67,59,68,0,0,0,0,0,0,0,409
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""",0,87,73,83,64,88,83,0,0,0,0,0,0,0,478
"Darien School District","=""0350011""","Royle Elementary School","=""0350511""",0,74,67,93,63,72,74,0,0,0,0,0,0,0,443
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""",0,0,0,0,0,0,0,398,381,377,0,0,0,0,1156
"Darien School District","=""0350011""","Darien High School","=""0356111""",0,0,0,0,0,0,0,0,0,0,340,322,324,278,1264
"Derby School District","=""0370011""","Bradley School","=""0370611""","*",63,64,45,51,67,"*",51,0,0,0,0,0,0,386
"Derby School District","=""0370011""","Irving School","=""0370411""",19,73,65,57,61,61,57,46,0,0,0,0,0,0,439
"Derby School District","=""0370011""","Derby High School","=""0376111""",0,0,0,0,0,0,0,0,125,109,106,102,97,85,624
"East Granby School District","=""0400011""","Allgrove School","=""0400111""",11,57,72,60,81,0,0,0,0,0,0,0,0,0,281
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""",0,0,0,0,0,74,63,0,0,0,0,0,0,0,137
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""",0,0,0,0,0,0,0,87,68,75,0,0,0,0,230
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",0,0,0,0,0,0,0,0,0,0,67,60,83,46,256
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""",26,85,107,109,94,0,0,0,0,0,0,0,0,0,421
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""",0,0,0,0,0,108,100,104,132,115,0,0,0,0,559
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",0,0,0,0,0,0,0,0,0,0,100,105,91,110,406
"East Hampton School District","=""0420011""","Memorial School","=""0420111""",44,152,143,157,152,0,0,0,0,0,0,0,0,0,648
"East Hampton School District","=""0420011""","Center School","=""0420311""",0,0,0,0,0,132,169,0,0,0,0,0,0,0,301
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""",0,0,0,0,0,0,0,182,160,157,0,0,0,0,499
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",0,0,0,0,0,0,0,0,0,0,137,156,134,143,570
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","=""0429011""",0,0,0,0,0,0,0,0,0,0,0,"*",0,"*",8
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""",18,53,57,57,61,39,55,0,0,0,0,0,0,0,340
"East Hartford School District","=""0430011""","Willowbrook Early Childhood","=""0438011""",285,0,0,0,0,0,0,0,0,0,0,0,0,0,285
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""",0,47,74,46,45,48,59,0,0,0,0,0,0,0,319
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""",0,72,63,63,78,81,51,0,0,0,0,0,0,0,408
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""",0,55,63,48,69,42,68,0,0,0,0,0,0,0,345
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""",0,55,56,51,47,65,57,0,0,0,0,0,0,0,331
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""",0,77,59,64,73,59,44,0,0,0,0,0,0,0,376
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""",0,48,51,57,66,67,66,0,0,0,0,0,0,0,355
