"Physical Fitness Tests: Students Reaching Health Standard, Trend"
"All Districts, All Schools, Sit and Reach"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,,,"Students Reaching Health Standard (%)",,,,
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""","All Grades","Sit and Reach",87.3,98.1,100.0,100.0,100.0
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""","All Grades","Sit and Reach",95.7,100.0,97.7,97.6,97.1
"Cheshire School District","=""0250011""","Chapman School","=""0250111""","All Grades","Sit and Reach",88.6,66.0,63.5,69.5,64.2
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","All Grades","Sit and Reach",88.7,92.0,88.5,86.1,89.7
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""","All Grades","Sit and Reach",75.0,78.3,74.0,78.5,70.8
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""","All Grades","Sit and Reach",58.4,71.7,64.6,63.4,60.3
"Cheshire School District","=""0250011""","Highland School","=""0250411""","All Grades","Sit and Reach",87.5,90.7,93.1,85.7,81.2
"Cheshire School District","=""0250011""","Humiston Alternative School","=""0250911""","All Grades","Sit and Reach","N/A","N/A","N/A","N/A","*"
"Cheshire School District","=""0250011""","Norton School","=""0250511""","All Grades","Sit and Reach",50.0,42.9,49.1,59.2,38.0
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""","All Grades","Sit and Reach",77.8,73.4,83.3,80.3,69.0
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""","All Grades","Sit and Reach",70.6,89.0,79.9,84.5,73.4
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""","All Grades","Sit and Reach",86.0,79.4,79.5,75.3,76.2
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","All Grades","Sit and Reach",96.7,96.4,86.5,94.5,88.1
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","All Grades","Sit and Reach",87.5,84.4,86.4,84.9,88.4
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""","All Grades","Sit and Reach",87.3,82.1,81.9,85.2,92.7
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""","All Grades","Sit and Reach",76.9,78.2,77.4,68.3,88.4
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""","All Grades","Sit and Reach",76.9,63.9,88.0,70.4,84.0
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""","All Grades","Sit and Reach",94.9,97.0,97.5,98.1,99.2
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","All Grades","Sit and Reach",63.3,61.9,50.0,72.5,49.0
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","All Grades","Sit and Reach",95.8,95.7,96.2,92.7,88.6
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","All Grades","Sit and Reach",70.8,79.6,80.5,83.1,81.6
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","All Grades","Sit and Reach",79.3,84.5,75.2,79.9,85.3
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","All Grades","Sit and Reach",65.9,85.7,68.3,81.6,64.9
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","All Grades","Sit and Reach",93.2,89.7,91.0,92.0,96.3
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","All Grades","Sit and Reach",95.2,93.4,91.4,88.0,88.4
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","All Grades","Sit and Reach",80.1,80.3,76.5,75.1,84.6
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","All Grades","Sit and Reach",81.5,86.8,85.0,76.5,81.5
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","All Grades","Sit and Reach",84.1,82.6,85.6,88.1,82.8
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""","All Grades","Sit and Reach",83.4,84.3,74.5,78.8,75.2
"Connecticut Technical High School System","=""9000016""","J. M. Wright Technical High School","=""9002116""","All Grades","Sit and Reach","N/A","N/A","N/A","N/A",89.7
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""","All Grades","Sit and Reach",84.9,88.8,92.8,92.1,95.7
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""","All Grades","Sit and Reach",38.8,53.8,50.6,37.6,87.3
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""","All Grades","Sit and Reach",86.0,86.7,91.8,92.7,93.0
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""","All Grades","Sit and Reach",68.4,68.9,69.6,75.5,72.2
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""","All Grades","Sit and Reach",76.3,92.4,78.3,79.4,75.1
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""","All Grades","Sit and Reach",82.9,81.0,88.2,88.1,76.6
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","=""2439214""","All Grades","Sit and Reach","N/A","N/A","N/A","N/A","*"
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""","All Grades","Sit and Reach",68.4,80.3,70.1,92.2,87.9
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""","All Grades","Sit and Reach","N/A","N/A","N/A","N/A",66.7
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""","All Grades","Sit and Reach",88.1,91.4,91.7,97.2,85.2
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""","All Grades","Sit and Reach",77.6,74.9,82.7,71.8,78.2
"Coventry School District","=""0320011""","Coventry Academy","=""0320111""","All Grades","Sit and Reach","N/A","N/A","N/A","N/A","*"
