"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades, Free/Reduced Price Meal Eligibility ("

"",,,,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","School","SchoolCode","Grade","Free/Reduced Price Meal Eligibility (3-level)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Ashford School District","=""0030011""","Ashford School","=""0030111""",05,"N",28,28,100.0,28,0,0.0,0,0.0,"*","*","*","*","*","*","*","*",286
"Ashford School District","=""0030011""","Ashford School","=""0030111""",08,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""",08,"N",18,18,"*",18,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""",08,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",05,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",05,"N",254,254,100.0,254,0,0.0,14,5.5,25,9.8,116,45.7,99,39.0,215,84.6,285
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""",05,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",08,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",08,"N",261,258,98.9,258,12,4.7,9,3.5,24,9.3,126,48.8,87,33.7,213,82.6,279
"Avon School District","=""0040011""","Avon Middle School","=""0045111""",08,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""",10,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""",10,"N",271,269,99.3,268,"*","*","*","*",53,19.8,69,25.7,133,49.6,202,75.4,292
"Avon School District","=""0040011""","Avon High School","=""0046111""",10,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",05,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",05,"N",44,42,95.5,42,"*","*","*","*",6,14.3,24,57.1,8,19.0,32,76.2,273
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""",05,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",05,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",05,"N",47,46,97.9,46,0,0.0,"*","*","*","*",21,45.7,13,28.3,34,73.9,274
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",05,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",05,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",05,"N",74,74,100.0,74,"*","*","*","*",12,16.2,32,43.2,25,33.8,57,77.0,279
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",05,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",05,"F","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",05,"N",94,94,100.0,94,"*","*","*","*",18,19.1,53,56.4,17,18.1,70,74.5,268
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",05,"R","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",08,"F",26,26,100.0,26,"*","*","*","*","*","*","*","*","*","*","*","*",237
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",08,"N",183,183,100.0,183,"*","*","*","*",19,10.4,97,53.0,54,29.5,151,82.5,276
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",08,"R",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",10,"F",28,27,96.4,27,"*","*","*","*","*","*","*","*","*","*","*","*",243
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",10,"N",180,178,98.9,178,"*","*","*","*",54,30.3,43,24.2,65,36.5,108,60.7,275
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",10,"R",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
