"Student Counts by School and English Learner Status"
"All Districts, All Schools"
"2011-12"

"",,,,"English Learner Status",,
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""",524,0,524
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","*","*",165
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",715,40,755
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",853,21,874
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",573,45,618
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",456,65,521
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",543,26,569
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",538,8,546
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",765,7,772
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","*","*",540
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",616,22,638
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",659,14,673
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""","*","*",656
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""","*","*",669
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""","*","*",885
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",607,0,607
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""","*","*",761
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",556,16,572
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","=""2439214""",90,0,90
"Cooperative Educational Services","=""2430014""","Preschool-Primary Learning Center (PLC)","=""2439114""",51,0,51
"Cooperative Educational Services","=""2430014""","RISE Transitional Program","=""2439314""",11,0,11
"Cooperative Educational Services","=""2430014""","School Readiness","=""2438014""",51,0,51
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""",463,0,463
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""",147,0,147
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""",106,0,106
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""",452,0,452
"Coventry School District","=""0320011""","Coventry Early Intervention Services","=""0328011""",23,0,23
"Coventry School District","=""0320011""","Coventry Grammar School","=""0320211""",380,0,380
"Coventry School District","=""0320011""","Coventry High School","=""0326111""","*","*",524
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""",401,0,401
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""","*","*",546
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""",493,7,500
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""",454,26,480
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""","*","*",456
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",85,6,91
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""",1049,73,1122
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",2490,399,2889
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""",242,136,378
"Danbury School District","=""0340011""","Great Plain School","=""0341111""",236,78,314
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""",297,99,396
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""",315,57,372
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""",282,133,415
"Danbury School District","=""0340011""","Mill Ridge Educational Center","=""0341811""",148,0,148
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""",351,75,426
"Danbury School District","=""0340011""","Morris Street School","=""0340611""",248,158,406
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""",242,184,426
"Danbury School District","=""0340011""","Pembroke School","=""0341511""",312,54,366
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""",945,165,1110
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""",321,98,419
"Danbury School District","=""0340011""","South Street School","=""0341011""",241,102,343
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""",359,108,467
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""",366,23,389
"Darien School District","=""0350011""","Darien High School","=""0356111""","*","*",1315
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""","*","*",570
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""","*","*",419
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""","*","*",1154
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""","*","*",465
"Darien School District","=""0350011""","Royle Elementary School","=""0350511""","*","*",409
"Darien School District","=""0350011""","Tokeneke Elementary School","=""0350611""","*","*",483
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""",346,11,357
"Department of Mental Health and Addiction Services","=""3370015""","Connecticut Valley Hospital","=""3370215""","*",0,"*"
"Derby School District","=""0370011""","Bradley School","=""0370611""",320,31,351
"Derby School District","=""0370011""","Derby High School","=""0376111""",343,16,359
"Derby School District","=""0370011""","Derby Middle School","=""0375011""",308,26,334
"Derby School District","=""0370011""","Irving School","=""0370411""",372,30,402
"East Granby School District","=""0400011""","Allgrove School","=""0400111""",232,6,238
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",263,0,263
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""","*","*",216
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""",129,0,129
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""","*","*",371
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",406,0,406
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""",497,0,497
"East Hampton School District","=""0420011""","Center School","=""0420311""",303,0,303
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""","*","*",550
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""","*","*",469
"East Hampton School District","=""0420011""","Memorial School","=""0420111""",614,7,621
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","=""0429011""","*",0,"*"
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""",227,47,274
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""","*","*",188
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""",343,58,401
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""",336,45,381
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""",296,17,313
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",1617,115,1732
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""",977,74,1051
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""",324,37,361
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""",268,29,297
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""",332,16,348
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""",462,85,547
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""",267,20,287
"East Hartford School District","=""0430011""","Stevens Alternate High School","=""0436411""","*","*",151
"East Hartford School District","=""0430011""","Sunset Ridge Middle School","=""0432411""",379,25,404
"East Hartford School District","=""0430011""","Willowbrook Early Childhood","=""0438011""",233,0,233
"East Hartford School District","=""0430011""","Woodland School","=""0439011""",177,9,186
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""",278,7,285
"East Haven School District","=""0440011""","D. C. Moore School","=""0441411""",237,29,266
"East Haven School District","=""0440011""","Deer Run School","=""0440111""",276,29,305
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""",226,25,251
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",860,25,885
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""",174,22,196
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""",617,30,647
"East Haven School District","=""0440011""","Momauguin School","=""0440711""",149,17,166
"East Haven School District","=""0440011""","Overbrook Elementary School","=""0441811""",206,30,236
"East Haven School District","=""0440011""","Pathways","=""0449011""",36,0,36
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""","*","*",1162
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""","*","*",854
"East Lyme School District","=""0450011""","Flanders School","=""0450111""",346,16,362
"East Lyme School District","=""0450011""","Integrated Preschool","=""0458011""",51,0,51
"East Lyme School District","=""0450011""","Lillie B. Haynes School","=""0450411""",331,7,338
"East Lyme School District","=""0450011""","Niantic Center School","=""0450211""","*","*",211
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""",497,35,532
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""","*","*",374
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""",370,8,378
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","*","*",126
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EastConn Special Education","=""2539014""","*","*",59
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""",110,0,110
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""",176,0,176
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""","*","*",391
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""","*","*",666
"EdAdvance","=""2420014""","EdAdvance Headstart","=""2428014""",197,0,197
"EdAdvance","=""2420014""","The ACCESS School at The Danuta M. Thibodeau Education Center","=""2429014""",24,0,24
"Ellington School District","=""0480011""","Center School","=""0480111""","*","*",448
"Ellington School District","=""0480011""","Crystal Lake School","=""0480211""",217,0,217
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",792,8,800
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""","*","*",421
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""","*","*",419
"Ellington School District","=""0480011""","Windermere School","=""0480611""",423,19,442
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""",586,14,600
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""","*","*",401
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""",406,10,416
"Enfield School District","=""0490011""","Enfield High School","=""0496111""","*","*",744
"Enfield School District","=""0490011""","Enfield Street School","=""0490211""",281,19,300
"Enfield School District","=""0490011""","Enfield Transitional Learning Academy","=""0499011""",10,0,10
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""","*","*",1058
"Enfield School District","=""0490011""","Hazardville Memorial School","=""0490411""",347,19,366
"Enfield School District","=""0490011""","Head Start Program","=""0498011""",104,0,104
"Enfield School District","=""0490011""","Henry Barnard School","=""0491811""",350,12,362
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""",1190,11,1201
"Enfield School District","=""0490011""","Nathan Hale School","=""0491111""",252,6,258
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""",423,10,433
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""","*","*",558
"Explorations District","=""2720013""","Explorations","=""2726113""","*","*",74
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""",430,13,443
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""",291,0,291
"Fairfield School District","=""0510011""","Early Childhood Center","=""0518011""",130,0,130
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""",1524,13,1537
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""",1334,19,1353
"Fairfield School District","=""0510011""","Fairfield Woods Middle School","=""0515211""",762,7,769
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""",328,24,352
"Fairfield School District","=""0510011""","Jennings School","=""0511711""","*","*",361
"Fairfield School District","=""0510011""","McKinley School","=""0510611""",386,67,453
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""",451,8,459
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""",479,6,485
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""",535,7,542
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""","*","*",419
"Fairfield School District","=""0510011""","Roger Ludlowe Middle School","=""0515311""",987,10,997
"Fairfield School District","=""0510011""","Sherman School","=""0511311""",450,6,456
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""",501,10,511
"Fairfield School District","=""0510011""","Tomlinson Middle School","=""0515111""",748,8,756
"Farmington School District","=""0520011""","East Farms School","=""0520411""",448,16,464
"Farmington School District","=""0520011""","Farmington Collaborative PK","=""0528011""",69,0,69
"Farmington School District","=""0520011""","Farmington High School","=""0526111""",1285,8,1293
"Farmington School District","=""0520011""","Irving A. Robbins Middle School","=""0525111""","*","*",652
"Farmington School District","=""0520011""","Noah Wallace School","=""0520211""",323,18,341
"Farmington School District","=""0520011""","Union School","=""0520111""","*","*",307
"Farmington School District","=""0520011""","West District School","=""0520311""",336,11,347
"Farmington School District","=""0520011""","West Woods Upper Elementary School","=""0520511""","*","*",575
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""",204,0,204
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""","*","*",545
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""","*","*",320
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""","*","*",506
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""",2190,14,2204
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""","*","*",466
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""","*","*",481
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""",426,25,451
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""","*","*",646
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""",1061,15,1076
"Granby School District","=""0560011""","Frank M. Kearns Primary School","=""0560111""",384,8,392
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""","*","*",756
"Granby School District","=""0560011""","Granby Memorial Middle School","=""0565111""",356,0,356
"Granby School District","=""0560011""","Kelly Lane Primary School","=""0560411""","*","*",327
"Granby School District","=""0560011""","Wells Road Intermediate School","=""0560311""","*","*",327
"Greenwich School District","=""0570011""","Central Middle School","=""0575111""",585,19,604
"Greenwich School District","=""0570011""","Cos Cob School","=""0570211""",383,19,402
"Greenwich School District","=""0570011""","Eastern Middle School","=""0575211""",754,20,774
"Greenwich School District","=""0570011""","Glenville School","=""0570411""",360,25,385
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""",2588,68,2656
"Greenwich School District","=""0570011""","Hamilton Avenue School","=""0570511""",372,41,413
"Greenwich School District","=""0570011""","International School At Dundee","=""0571311""",347,19,366
"Greenwich School District","=""0570011""","Julian Curtiss School","=""0570311""",308,35,343
"Greenwich School District","=""0570011""","New Lebanon School","=""0570611""",216,45,261
"Greenwich School District","=""0570011""","North Mianus School","=""0570711""",429,32,461
"Greenwich School District","=""0570011""","North Street School","=""0570811""",423,15,438
"Greenwich School District","=""0570011""","Old Greenwich School","=""0570911""",408,20,428
"Greenwich School District","=""0570011""","Parkway School","=""0571111""",259,9,268
"Greenwich School District","=""0570011""","Riverside School","=""0571011""",479,43,522
