"Student Counts by School and Free/Reduced Lunch Eligibility"
"All Districts, All Schools"
"2011-12"

"",,,,"Free/Reduced Lunch Eligibility",,,
"District","District Code","School","School Code","Free","Non-Subsidized","Reduced","Total"
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","=""2439214""","*",59,"*",90
"Cooperative Educational Services","=""2430014""","Preschool-Primary Learning Center (PLC)","=""2439114""",18,27,6,51
"Cooperative Educational Services","=""2430014""","RISE Transitional Program","=""2439314""",0,11,0,11
"Cooperative Educational Services","=""2430014""","School Readiness","=""2438014""",18,19,14,51
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""",74,341,48,463
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""",48,77,22,147
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""",19,87,0,106
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""",75,365,12,452
"Coventry School District","=""0320011""","Coventry Early Intervention Services","=""0328011""","*","*",0,23
"Coventry School District","=""0320011""","Coventry Grammar School","=""0320211""",46,327,7,380
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",60,446,18,524
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""",62,322,17,401
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",62,467,17,546
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""",75,399,26,500
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""",53,404,23,480
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""",65,370,21,456
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",52,28,11,91
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""",404,590,128,1122
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",1031,1625,233,2889
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""",208,109,61,378
"Danbury School District","=""0340011""","Great Plain School","=""0341111""",108,177,29,314
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""",178,176,42,396
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""",107,219,46,372
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""",133,252,30,415
"Danbury School District","=""0340011""","Mill Ridge Educational Center","=""0341811""",18,130,0,148
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""",143,244,39,426
"Danbury School District","=""0340011""","Morris Street School","=""0340611""",259,69,78,406
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""",270,107,49,426
"Danbury School District","=""0340011""","Pembroke School","=""0341511""",124,206,36,366
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""",511,467,132,1110
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""",174,198,47,419
"Danbury School District","=""0340011""","South Street School","=""0341011""",214,94,35,343
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""",171,258,38,467
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""",36,335,18,389
"Darien School District","=""0350011""","Darien High School","=""0356111""",0,1315,0,1315
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""",0,570,0,570
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""","*",413,"*",419
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""",0,1154,0,1154
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""",0,465,0,465
"Darien School District","=""0350011""","Royle Elementary School","=""0350511""",0,409,0,409
"Darien School District","=""0350011""","Tokeneke Elementary School","=""0350611""",0,483,0,483
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""",41,310,6,357
"Department of Mental Health and Addiction Services","=""3370015""","Connecticut Valley Hospital","=""3370215""",0,"*",0,"*"
"Derby School District","=""0370011""","Bradley School","=""0370611""",96,234,21,351
"Derby School District","=""0370011""","Derby High School","=""0376111""",122,204,33,359
"Derby School District","=""0370011""","Derby Middle School","=""0375011""",144,156,34,334
"Derby School District","=""0370011""","Irving School","=""0370411""",245,125,32,402
"East Granby School District","=""0400011""","Allgrove School","=""0400111""",9,229,0,238
"East Granby School District","=""0400011""","East Granby High School","=""0406111""","*","*",0,263
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""",12,204,0,216
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""",6,123,0,129
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""",25,335,11,371
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",24,373,9,406
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""",35,444,18,497
"East Hampton School District","=""0420011""","Center School","=""0420311""",21,275,7,303
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",29,504,17,550
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""",44,408,17,469
"East Hampton School District","=""0420011""","Memorial School","=""0420111""",37,572,12,621
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","=""0429011""","*","*","*","*"
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""",177,79,18,274
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",23,151,14,188
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""",275,106,20,401
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""",216,147,18,381
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""",98,193,22,313
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",759,791,182,1732
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""",566,366,119,1051
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""",125,201,35,361
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""",162,108,27,297
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""",139,172,37,348
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""",327,179,41,547
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""",193,74,20,287
"East Hartford School District","=""0430011""","Stevens Alternate High School","=""0436411""",88,"*","*",151
"East Hartford School District","=""0430011""","Sunset Ridge Middle School","=""0432411""",201,156,47,404
"East Hartford School District","=""0430011""","Willowbrook Early Childhood","=""0438011""",153,"*","*",233
"East Hartford School District","=""0430011""","Woodland School","=""0439011""",88,89,9,186
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""",47,205,33,285
"East Haven School District","=""0440011""","D. C. Moore School","=""0441411""",109,140,17,266
"East Haven School District","=""0440011""","Deer Run School","=""0440111""",79,185,41,305
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""",80,134,37,251
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",260,491,134,885
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""",86,78,32,196
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""",256,288,103,647
"East Haven School District","=""0440011""","Momauguin School","=""0440711""",75,66,25,166
"East Haven School District","=""0440011""","Overbrook Elementary School","=""0441811""",76,137,23,236
"East Haven School District","=""0440011""","Pathways","=""0449011""",21,"*","*",36
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",58,1089,15,1162
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""",72,752,30,854
"East Lyme School District","=""0450011""","Flanders School","=""0450111""",21,330,11,362
"East Lyme School District","=""0450011""","Integrated Preschool","=""0458011""",0,51,0,51
"East Lyme School District","=""0450011""","Lillie B. Haynes School","=""0450411""",36,288,14,338
"East Lyme School District","=""0450011""","Niantic Center School","=""0450211""",22,178,11,211
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""",155,355,22,532
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",104,242,28,374
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""",125,230,23,378
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""",7,112,7,126
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EastConn Special Education","=""2539014""",22,29,8,59
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""","*",93,"*",110
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""",27,149,0,176
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""","*",386,"*",391
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""",8,652,6,666
"EdAdvance","=""2420014""","EdAdvance Headstart","=""2428014""",184,13,0,197
"EdAdvance","=""2420014""","The ACCESS School at The Danuta M. Thibodeau Education Center","=""2429014""",13,11,0,24
"Ellington School District","=""0480011""","Center School","=""0480111""",39,403,6,448
"Ellington School District","=""0480011""","Crystal Lake School","=""0480211""","*",202,"*",217
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",61,725,14,800
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""",34,377,10,421
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""",31,378,10,419
"Ellington School District","=""0480011""","Windermere School","=""0480611""",33,403,6,442
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""",364,145,91,600
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""",112,262,27,401
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""",128,259,29,416
"Enfield School District","=""0490011""","Enfield High School","=""0496111""",189,496,59,744
"Enfield School District","=""0490011""","Enfield Street School","=""0490211""",118,159,23,300
"Enfield School District","=""0490011""","Enfield Transitional Learning Academy","=""0499011""","*","*",0,10
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""",177,802,79,1058
"Enfield School District","=""0490011""","Hazardville Memorial School","=""0490411""",126,229,11,366
"Enfield School District","=""0490011""","Head Start Program","=""0498011""",104,0,0,104
"Enfield School District","=""0490011""","Henry Barnard School","=""0491811""",109,235,18,362
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""",314,798,89,1201
"Enfield School District","=""0490011""","Nathan Hale School","=""0491111""",39,211,8,258
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""",125,275,33,433
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""",29,511,18,558
"Explorations District","=""2720013""","Explorations","=""2726113""",27,47,0,74
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""",9,428,6,443
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""","*",285,"*",291
"Fairfield School District","=""0510011""","Early Childhood Center","=""0518011""",6,124,0,130
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""",90,1409,38,1537
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""",132,1176,45,1353
"Fairfield School District","=""0510011""","Fairfield Woods Middle School","=""0515211""",42,714,13,769
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""",43,291,18,352
"Fairfield School District","=""0510011""","Jennings School","=""0511711""","*",330,"*",361
"Fairfield School District","=""0510011""","McKinley School","=""0510611""",113,291,49,453
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""",18,433,8,459
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""",17,458,10,485
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""","*",529,"*",542
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""",16,397,6,419
"Fairfield School District","=""0510011""","Roger Ludlowe Middle School","=""0515311""",80,882,35,997
"Fairfield School District","=""0510011""","Sherman School","=""0511311""","*",441,"*",456
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""","*",497,"*",511
"Fairfield School District","=""0510011""","Tomlinson Middle School","=""0515111""",63,668,25,756
"Farmington School District","=""0520011""","East Farms School","=""0520411""","*",443,"*",464
"Farmington School District","=""0520011""","Farmington Collaborative PK","=""0528011""","*","*",0,69
"Farmington School District","=""0520011""","Farmington High School","=""0526111""",87,1185,21,1293
"Farmington School District","=""0520011""","Irving A. Robbins Middle School","=""0525111""",42,598,12,652
"Farmington School District","=""0520011""","Noah Wallace School","=""0520211""","*",321,"*",341
"Farmington School District","=""0520011""","Union School","=""0520111""",35,264,8,307
"Farmington School District","=""0520011""","West District School","=""0520311""",15,326,6,347
"Farmington School District","=""0520011""","West Woods Upper Elementary School","=""0520511""",43,524,8,575
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""","*",173,"*",204
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""",31,505,9,545
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""",0,"*","*",320
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""",24,469,13,506
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""",136,2028,40,2204
