"Student Counts by School and Year"
"All Districts, All Schools"
"2014-15"

"District","District Code","School","School Code","Count"
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",413
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",889
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",695
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",546
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",386
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",538
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",208
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",214
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",220
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""",345
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""",13
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",248
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""",321
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",520
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",318
"Booker T. Washington Academy District","=""2950013""","Booker T. Washington Academy","=""2950113""",91
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""",209
"Branford School District","=""0140011""","Branford High School","=""0146111""",961
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""",9
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",916
"Branford School District","=""0140011""","Indian Neck School","=""0148011""",39
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""",355
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""",388
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""",413
"Brass City Charter School District","=""2900013""","Brass City Charter School","=""2900113""",150
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",977
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""",356
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",635
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",1008
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",370
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""",348
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",413
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",1114
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",65
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""",233
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",406
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",1673
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",1204
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""",371
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",861
"Bridgeport School District","=""0150011""","Cross School","=""0153911""",386
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""",769
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""",377
"Bridgeport School District","=""0150011""","Edison School","=""0150711""",274
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""",824
"Bridgeport School District","=""0150011""","Hall School","=""0151111""",262
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""",302
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",1134
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""",414
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""",371
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""",365
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""",518
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",679
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",920
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",533
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",457
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",465
"Bridgeport School District","=""0150011""","Read School","=""0152511""",884
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",562
"Bridgeport School District","=""0150011""","Skane Center","=""0154411""",387
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",491
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",652
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""",17
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",1180
"Bristol School District","=""0170011""","Bristol Early Childhood Center-BECC","=""0170411""",74
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",1247
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""",44
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",760
"Bristol School District","=""0170011""","Chippens Hill Middle School Functional Program","=""0171011""",8
"Bristol School District","=""0170011""","Chms Goal","=""0173411""",7
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""",11
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",340
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""",422
"Bristol School District","=""0170011""","Greene-Hills GOAL","=""0170911""","*"
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",892
"Bristol School District","=""0170011""","Hubbell/Extended Resource","=""0172111""","*"
"Bristol School District","=""0170011""","Ivy Drive GOAL","=""0172611""","*"
"Bristol School District","=""0170011""","Ivy Drive Medically Fragile","=""0172311""",6
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",396
"Bristol School District","=""0170011""","Mountain View School","=""0171711""",382
"Bristol School District","=""0170011""","Mt. View GOAL","=""0172511""","*"
"Bristol School District","=""0170011""","Northeast MS/Extended Resource","=""0172711""","*"
"Bristol School District","=""0170011""","Northeast MS/GOAL","=""0172811""","*"
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""",430
"Bristol School District","=""0170011""","PreK Autism","=""0172911""","*"
"Bristol School District","=""0170011""","South Side Extended Resource","=""0173011""","*"
"Bristol School District","=""0170011""","South Side GOAL","=""0173111""",6
"Bristol School District","=""0170011""","South Side School","=""0171111""",529
"Bristol School District","=""0170011""","Stafford Autism","=""0173211""",11
"Bristol School District","=""0170011""","Stafford School","=""0171211""",443
"Bristol School District","=""0170011""","West Bristol School","=""0172011""",919
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",895
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""",334
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""",599
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""",882
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""",536
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""",373
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""",78
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""",243
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""",228
"Canton School District","=""0230011""","Canton Academy","=""0230411""","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""",485
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""",410
"Canton School District","=""0230011""","Canton Middle School","=""0235111""",272
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""",449
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",636
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering Elementary","=""2410714""",297
"Capitol Region Education Council","=""2410014""","Academy of Science and Innovation","=""2416514""",529
"Capitol Region Education Council","=""2410014""","Ana Grace Academy of the Arts Elementary School","=""2410614""",313
"Capitol Region Education Council","=""2410014""","Discovery Academy","=""2418114""",356
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""",20
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""",435
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",457
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""",328
"Capitol Region Education Council","=""2410014""","Integrated Program Models","=""2419414""","*"
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""",465
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""",57
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""",15
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",736
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""",357
"Capitol Region Education Council","=""2410014""","Museum Academy","=""2410514""",459
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""",519
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""",468
"Capitol Region Education Council","=""2410014""","River Street Early Learning Center (Site 2)","=""2419514""",64
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""",151
"Capitol Region Education Council","=""2410014""","Soundbridge","=""2419114""",46
"Capitol Region Education Council","=""2410014""","Soundbridge @ Academy of Aerospace & Engineering Elementary","=""2411114""",8
"Capitol Region Education Council","=""2410014""","Soundbridge @ Museum Academy","=""2411214""",9
"Capitol Region Education Council","=""2410014""","Soundbridge @ Samuel B Webb Elementary School","=""2410814""","*"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Silas Deane Middle School","=""2410914""","*"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Wethersfield High School","=""2411014""",9
"Capitol Region Education Council","=""2410014""","Strive (Southern Transition Real-World and Independent Vocational Education Program","=""2419714""",12
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""",303
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""",664
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""",446
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""",178
"Cheshire School District","=""0250011""","Chapman School","=""0250111""",350
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",1512
"Cheshire School District","=""0250011""","Cheshire Quinnipiac University Transition Collaborative","=""0250311""",8
"Cheshire School District","=""0250011""","Darcey School","=""0250211""",170
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""",755
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""",502
"Cheshire School District","=""0250011""","Highland School","=""0250411""",768
"Cheshire School District","=""0250011""","Humiston Alternative School","=""0250911""",19
"Cheshire School District","=""0250011""","Norton School","=""0250511""",447
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""",219
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""",315
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""",461
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""",556
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",550
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",886
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""",542
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""",585
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""",626
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""",91
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""",453
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",180
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",807
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",801
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",628
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",566
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",513
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",568
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",785
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",619
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",649
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",654
"Connecticut Technical High School System","=""9000016""","J. M. Wright Technical High School","=""9002116""",145
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",673
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",660
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",826
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",630
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",741
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",525
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","=""2439214""",90
"Cooperative Educational Services","=""2430014""","Preschool-Primary Learning Center (PLC)","=""2439114""",50
"Cooperative Educational Services","=""2430014""","RISE Transitional Program","=""2439314""",11
"Cooperative Educational Services","=""2430014""","School Readiness","=""2438014""",85
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""",459
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""",154
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""",91
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""",385
"Coventry School District","=""0320011""","Coventry Academy","=""0320111""",10
"Coventry School District","=""0320011""","Coventry Early Intervention Services","=""0328011""",27
"Coventry School District","=""0320011""","Coventry Grammar School","=""0320211""",363
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",490
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""",368
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",566
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""",455
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""",466
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""",481
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",98
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""",1083
"Danbury School District","=""0340011""","DPS Early Childhood Center","=""0340111""",130
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",2885
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""",429
"Danbury School District","=""0340011""","Great Plain School","=""0341111""",355
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""",458
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""",366
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""",390
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""",334
"Danbury School District","=""0340011""","Morris Street School","=""0340611""",371
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""",563
"Danbury School District","=""0340011""","Pembroke School","=""0341511""",375
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""",932
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""",497
"Danbury School District","=""0340011""","South Street School","=""0341011""",369
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""",472
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""",413
"Danbury School District","=""0340011""","Westside Middle School Academy","=""0340311""",400
"Darien School District","=""0350011""","Darien High School","=""0356111""",1365
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""",556
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""",473
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""",1125
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""",449
"Darien School District","=""0350011""","Royle Elementary School","=""0350511""",442
"Darien School District","=""0350011""","Tokeneke Elementary School","=""0350611""",493
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""",312
"Department of Mental Health and Addiction Services","=""3370015""","Connecticut Valley Hospital","=""3370215""",6
"Department of Mental Health and Addiction Services","=""3370015""","Greater Bridgeport Community Mental Health Center","=""3370515""","*"
"Derby School District","=""0370011""","Bradley School","=""0370611""",365
"Derby School District","=""0370011""","Derby High School","=""0376111""",372
"Derby School District","=""0370011""","Derby Middle School","=""0375011""",339
"Derby School District","=""0370011""","Irving School","=""0370411""",370
"East Granby School District","=""0400011""","Allgrove School","=""0400111""",222
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",257
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""",211
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""",185
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""",319
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",351
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""",455
"East Hampton School District","=""0420011""","Center School","=""0420311""",283
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",502
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""",432
"East Hampton School District","=""0420011""","Memorial School","=""0420111""",605
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","=""0429011""",8
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""",284
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",203
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""",364
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""",375
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""",557
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",1674
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""",1158
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""",342
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""",337
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""",298
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""",494
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""",284
"East Hartford School District","=""0430011""","Stevens Alternate High School","=""0436411""",119
"East Hartford School District","=""0430011""","Sunset Ridge Middle School","=""0432411""",146
"East Hartford School District","=""0430011""","Willowbrook Early Childhood","=""0438011""",229
"East Hartford School District","=""0430011""","Woodland School","=""0439011""",170
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""",265
"East Haven School District","=""0440011""","D. C. Moore School","=""0441411""",208
"East Haven School District","=""0440011""","Deer Run School","=""0440111""",312
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""",178
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",880
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""",178
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""",582
"East Haven School District","=""0440011""","Momauguin School","=""0440711""",147
"East Haven School District","=""0440011""","Overbrook Elementary School","=""0441811""",183
"East Lyme School District","=""0450011""","Abilities in Motion (AIM) Program","=""0450511""",16
"East Lyme School District","=""0450011""","Coastal Connections","=""0450611""",16
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",1053
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""",861
"East Lyme School District","=""0450011""","Flanders School","=""0450111""",348
"East Lyme School District","=""0450011""","Integrated Preschool","=""0458011""",46
"East Lyme School District","=""0450011""","Lillie B. Haynes School","=""0450411""",314
"East Lyme School District","=""0450011""","Niantic Center School","=""0450211""",179
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""",480
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",332
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""",313
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""",141
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EastConn Special Education","=""2539014""",110
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""",160
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""",139
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""",323
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""",612
"EdAdvance","=""2420014""","EdAdvance Headstart","=""2428014""",220
"EdAdvance","=""2420014""","The ACCESS School at The Danuta M. Thibodeau Education Center","=""2429014""",30
"Ellington School District","=""0480011""","Center School","=""0480111""",376
"Ellington School District","=""0480011""","Crystal Lake School","=""0480211""",198
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",773
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""",434
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""",435
"Ellington School District","=""0480011""","Windermere School","=""0480611""",439
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""",635
"Elm City Montessori School District","=""2910013""","Elm City Montessori School","=""2910113""",70
"Enfield School District","=""0490011""","Edgar H. Parkman - Autism Spectrum Disorder (ASD)","=""0490511""",6
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""",326
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""",377
"Enfield School District","=""0490011""","Enfield High School","=""0496111""",709
"Enfield School District","=""0490011""","Enfield Street - Autism Spectrum Disorder (ASD)","=""0490311""",6
"Enfield School District","=""0490011""","Enfield Street School","=""0490211""",286
"Enfield School District","=""0490011""","Enfield Transitional Learning Academy","=""0499011""",10
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""",887
"Enfield School District","=""0490011""","Hazardville Memorial School","=""0490411""",360
"Enfield School District","=""0490011""","Head Start Program","=""0498011""",104
"Enfield School District","=""0490011""","Henry Barnard - Educational Counseling Program (ECP)","=""0490611""","*"
"Enfield School District","=""0490011""","Henry Barnard School","=""0491811""",356
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""",1099
"Enfield School District","=""0490011""","Nathan Hale - Primary Adaptive Learning (PAL)","=""0490811""",6
"Enfield School District","=""0490011""","Nathan Hale School","=""0491111""",223
"Enfield School District","=""0490011""","Prudence Crandall - Educational Counseling Program (ECP)","=""0490711""",6
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""",389
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""",451
"Explorations District","=""2720013""","Explorations","=""2726113""",88
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""",428
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""",319
"Fairfield School District","=""0510011""","Early Childhood Center","=""0518011""",111
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""",1541
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""",1442
"Fairfield School District","=""0510011""","Fairfield Woods Middle School","=""0515211""",915
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""",407
"Fairfield School District","=""0510011""","Jennings School","=""0511711""",324
"Fairfield School District","=""0510011""","McKinley School","=""0510611""",442
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""",413
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""",441
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""",503
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""",398
"Fairfield School District","=""0510011""","Roger Ludlowe Middle School","=""0515311""",805
"Fairfield School District","=""0510011""","Sherman School","=""0511311""",475
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""",460
"Fairfield School District","=""0510011""","Tomlinson Middle School","=""0515111""",720
"Fairfield School District","=""0510011""","Walter Fitzgerald Campus","=""0510311""",33
"Farmington School District","=""0520011""","East Farms School","=""0520411""",445
"Farmington School District","=""0520011""","Farmington Alternative High School","=""0520611""",13
"Farmington School District","=""0520011""","Farmington Collaborative PK","=""0528011""",78
"Farmington School District","=""0520011""","Farmington High School","=""0526111""",1264
"Farmington School District","=""0520011""","Irving A. Robbins Middle School","=""0525111""",570
"Farmington School District","=""0520011""","Noah Wallace School","=""0520211""",334
"Farmington School District","=""0520011""","Union School","=""0520111""",305
"Farmington School District","=""0520011""","West District School","=""0520311""",315
"Farmington School District","=""0520011""","West Woods Upper Elementary School","=""0520511""",673
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""",167
"Glastonbury School District","=""0540011""","Alternate Program","=""0541311""","*"
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""",450
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""",260
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""",519
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""",2038
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""",397
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""",411
"Glastonbury School District","=""0540011""","Links Academy","=""0540111""",16
"Glastonbury School District","=""0540011""","Links Transition","=""0541411""",17
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""",387
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""",550
"Glastonbury School District","=""0540011""","PreK-Eastbury","=""0540511""",18
"Glastonbury School District","=""0540011""","PreK-Nayaug","=""0541011""",20
