"Student Counts by School and Grade"
"All Districts, All Schools"
"2010-11"

"",,,,"Grade",,,,,,,,,,,,,,
"District","District Code","School","School Code","Pre-Kindergarten","Kindergarten","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","Total"
"Bridgeport School District","=""0150011""","Read School","=""0152511""",34,102,100,91,78,81,94,70,80,92,0,0,0,0,822
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",48,56,60,60,49,42,33,34,46,34,0,0,0,0,462
"Bridgeport School District","=""0150011""","Skane Center","=""0154411""",213,33,0,0,0,0,0,0,0,0,0,0,0,0,246
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",18,52,74,65,63,57,49,58,49,52,0,0,0,0,537
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",0,57,42,47,51,38,29,19,0,0,0,0,0,0,283
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",0,"*","*","*","*",6,6,6,"*","*","*","*","*","*",50
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""",0,45,44,52,56,56,47,34,0,0,0,0,0,0,334
"Bridgeport School District","=""0150011""","Cross School","=""0153911""",0,54,48,37,38,38,41,27,68,57,0,0,0,0,408
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""",0,64,67,61,59,59,73,42,82,89,0,0,0,0,596
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""",0,39,35,39,33,30,32,31,41,35,0,0,0,0,315
"Bridgeport School District","=""0150011""","Edison School","=""0150711""",0,43,39,30,44,38,36,25,0,0,0,0,0,0,255
"Bridgeport School District","=""0150011""","Hall School","=""0151111""",0,46,38,49,45,50,44,34,0,0,0,0,0,0,306
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""",0,45,49,49,49,47,49,44,50,49,0,0,0,0,431
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""",0,46,46,45,53,53,53,39,61,67,0,0,0,0,463
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",0,89,76,76,85,69,82,"*","*",0,0,0,0,0,543
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",0,45,51,49,51,50,53,53,55,50,0,0,0,0,457
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",0,76,73,72,71,79,82,71,100,95,0,0,0,0,719
"Bridgeport School District","=""0150011""","Make The Grade","=""0159511""",0,0,0,0,0,0,0,0,18,9,0,0,0,0,27
"Bridgeport School District","=""0150011""","Park City Academy","=""0159211""",0,0,0,0,0,0,0,0,"*",0,"*","*","*","*",10
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",0,0,0,0,0,0,0,0,0,0,321,303,280,267,1171
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",0,0,0,0,0,0,0,0,0,0,674,561,582,486,2303
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",0,0,0,0,0,0,0,0,0,0,306,349,368,371,1394
"Bristol School District","=""0170011""","Clara T. O'Connell School","=""0170711""",23,68,50,56,52,58,36,0,0,0,0,0,0,0,343
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""",54,79,69,76,71,90,81,0,0,0,0,0,0,0,520
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",29,60,51,55,42,58,59,0,0,0,0,0,0,0,354
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",20,69,67,72,58,62,72,0,0,0,0,0,0,0,420
"Bristol School District","=""0170011""","Mountain View School","=""0171711""",60,58,50,57,48,45,62,0,0,0,0,0,0,0,380
"Bristol School District","=""0170011""","South Side School","=""0171111""",30,80,103,96,98,111,92,0,0,0,0,0,0,0,610
"Bristol School District","=""0170011""","Stafford School","=""0171211""",93,81,82,72,64,74,78,0,0,0,0,0,0,0,544
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",0,77,58,81,57,60,63,0,0,0,0,0,0,0,396
"Bristol School District","=""0170011""","John J. Jennings School","=""0170611""",0,68,60,62,55,67,54,0,0,0,0,0,0,0,366
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""",0,0,0,0,0,"*","*","*","*","*","*","*","*",0,27
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",0,0,0,0,0,0,0,288,296,297,0,0,0,0,881
"Bristol School District","=""0170011""","Memorial Boulevard Middle School","=""0175311""",0,0,0,0,0,0,0,169,168,178,0,0,0,0,515
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""",0,0,0,0,0,0,0,182,197,184,0,0,0,0,563
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",0,0,0,0,0,0,0,0,0,0,393,327,318,272,1310
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",0,0,0,0,0,0,0,0,0,0,400,297,295,360,1352
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""",0,0,0,0,0,0,0,0,0,0,0,0,0,16,16
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""",42,162,196,0,0,0,0,0,0,0,0,0,0,0,400
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""",0,0,0,207,167,209,0,0,0,0,0,0,0,0,583
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""",0,0,0,0,0,0,200,240,214,236,0,0,0,0,890
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",0,0,0,0,0,0,0,0,0,0,242,243,255,256,996
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""",100,97,76,87,96,106,0,0,0,0,0,0,0,0,562
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""",0,0,0,0,0,0,"*",104,99,94,"*",0,0,0,385
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""",36,46,41,67,69,59,0,0,0,0,0,0,0,0,318
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""",0,0,0,0,0,0,46,53,49,58,0,0,0,0,206
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""",29,135,131,154,142,0,0,0,0,0,0,0,0,0,591
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""",0,0,0,0,0,135,133,137,0,0,0,0,0,0,405
"Canton School District","=""0230011""","Canton Middle School","=""0235111""",0,0,0,0,0,0,0,0,120,146,0,0,0,0,266
"Canton School District","=""0230011""","Canton High School","=""0236111""",0,0,0,0,0,0,0,0,0,0,147,126,123,119,515
"Capitol Region Education Council","=""2410014""","Academy of Science and Innovation","=""2416514""",34,0,0,0,0,0,0,31,24,27,63,0,0,0,179
"Capitol Region Education Council","=""2410014""","CREC Early Learning Center at Asylum Hill","=""2418014""",20,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""",101,60,61,22,0,0,0,0,0,0,0,0,0,0,244
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""",82,46,49,36,44,35,36,9,0,0,0,0,0,0,337
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""",122,57,57,19,0,0,0,0,0,0,0,0,0,0,255
"Capitol Region Education Council","=""2410014""","River Street Early Learning Center (Site 2)","=""2419514""",9,9,"*","*","*",7,9,"*","*","*","*",0,0,0,52
"Capitol Region Education Council","=""2410014""","Soundbridge","=""2419114""",64,"*","*","*",0,"*","*",0,"*",6,"*","*","*",6,103
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""",75,61,62,62,62,58,50,0,0,0,0,0,0,0,430
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""",0,43,42,45,44,45,43,0,0,0,0,0,0,0,262
"Capitol Region Education Council","=""2410014""","Integrated Program Models","=""2419414""",0,"*",0,0,0,0,0,"*",0,0,0,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""",0,0,"*","*",10,6,12,6,8,11,13,13,20,45,151
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",0,0,0,0,0,0,0,114,116,112,109,93,71,96,711
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""",0,0,0,0,0,0,0,54,72,43,81,27,16,0,293
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""",0,0,0,0,0,0,0,232,233,193,0,0,0,0,658
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",0,0,0,0,0,0,0,0,38,41,56,50,29,0,214
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""",0,0,0,0,0,0,0,0,"*","*","*",8,"*","*",21
