"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA and Math, All Grades, All Students"

"",,,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","School","School Code","Grade","Subject","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%","AverageVSS"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",11,"Math",31,31,100.0,31,9,29.0,"*","*",11,35.5,"*","*","*","*",2584
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",03,"ELA",89,88,98.9,88,20,22.7,27,30.7,14,15.9,27,30.7,41,46.6,2434
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",03,"Math",89,88,98.9,88,21,23.9,22,25.0,30,34.1,15,17.0,45,51.1,2435
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",04,"ELA",76,76,100.0,76,22,28.9,16,21.1,19,25.0,19,25.0,38,50.0,2471
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",04,"Math",76,76,100.0,76,11,14.5,30,39.5,19,25.0,16,21.1,35,46.1,2485
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",05,"ELA",90,89,98.9,89,28,31.5,"*","*",29,32.6,"*","*","*","*",2475
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",05,"Math",90,88,97.8,88,42,47.7,37,42.0,"*","*","*","*",9,10.2,2454
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",06,"ELA",99,99,100.0,99,26,26.3,22,22.2,38,38.4,13,13.1,51,51.5,2522
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",06,"Math",99,99,100.0,99,31,31.3,32,32.3,27,27.3,9,9.1,36,36.4,2507
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",07,"ELA",78,78,100.0,78,"*","*",27,34.6,28,35.9,"*","*","*","*",2549
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",07,"Math",78,78,100.0,78,30,38.5,28,35.9,"*","*","*","*",20,25.6,2506
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",08,"ELA",79,79,100.0,79,11,13.9,24,30.4,28,35.4,16,20.3,44,55.7,2584
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",08,"Math",79,79,100.0,79,24,30.4,22,27.8,11,13.9,22,27.8,33,41.8,2556
