"Student Counts by School and Gender"
"All Districts, All Schools"
"2007-08"

"",,,,"Gender",,
"District","District Code","School","School Code","Female","Male","Total"
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",460,522,982
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""",376,398,774
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""",347,334,681
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""",429,372,801
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""",66,56,122
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""",293,293,586
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",78,74,152
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",316,265,581
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",444,434,878
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",193,268,461
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",268,261,529
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",246,343,589
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",176,354,530
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",256,440,696
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",156,407,563
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",176,394,570
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",84,480,564
"Connecticut Technical High School System","=""9000016""","J. M. Wright Technical High School","=""9002116""",105,150,255
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",116,294,410
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",237,483,720
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",258,595,853
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",158,429,587
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",268,436,704
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",167,316,483
"Cooperative Educational Services","=""2430014""","C. E. S. Special Education","=""2439014""",56,184,240
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""",231,204,435
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""",63,66,129
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""",261,278,539
"Coventry School District","=""0320011""","Coventry Early Intervention Services","=""0328011""","*","*",11
"Coventry School District","=""0320011""","Coventry Grammar School","=""0320211""",191,234,425
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",272,287,559
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""",240,234,474
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",298,261,559
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""",245,228,473
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""",227,258,485
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""",214,258,472
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",56,41,97
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""",555,589,1144
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",1443,1392,2835
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""",171,162,333
"Danbury School District","=""0340011""","Great Plain School","=""0341111""",153,162,315
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""",180,220,400
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""",157,160,317
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""",142,152,294
"Danbury School District","=""0340011""","Mill Ridge Educational Center","=""0341811""",148,199,347
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""",148,150,298
"Danbury School District","=""0340011""","Morris Street School","=""0340611""",148,195,343
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""",199,177,376
"Danbury School District","=""0340011""","Pembroke School","=""0341511""",151,185,336
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""",483,548,1031
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""",164,174,338
"Danbury School District","=""0340011""","South Street School","=""0341011""",166,140,306
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""",223,232,455
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""",161,156,317
"Darien School District","=""0350011""","Darien High School","=""0356111""",601,579,1180
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""",257,262,519
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""",237,247,484
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""",547,570,1117
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""",252,260,512
"Darien School District","=""0350011""","Royle Elementary School","=""0350511""",193,258,451
"Darien School District","=""0350011""","Tokeneke Elementary School","=""0350611""",169,221,390
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""",192,197,389
"Department of Mental Health and Addiction Services","=""3370015""","Cedarcrest Regional Hosp - Blue Hills Hosp. Substance Ab","=""3370315""","*","*",7
"Department of Mental Health and Addiction Services","=""3370015""","Connecticut Mental Health Center","=""3370415""","*","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","Connecticut Valley Hospital","=""3370215""",0,"*","*"
"Department of Mental Health and Addiction Services","=""3370015""","Greater Bridgeport Community Mental Health Center","=""3370515""",0,"*","*"
"Derby School District","=""0370011""","Bradley School","=""0370611""",183,181,364
"Derby School District","=""0370011""","Derby High School","=""0376111""",313,356,669
"Derby School District","=""0370011""","Irving School","=""0370411""",199,218,417
"East Granby School District","=""0400011""","Allgrove School","=""0400111""",157,137,294
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",125,133,258
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""",96,122,218
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""",71,70,141
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""",260,276,536
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",207,199,406
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""",236,241,477
"East Hampton School District","=""0420011""","Center School","=""0420311""",182,167,349
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",308,272,580
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""",238,270,508
"East Hampton School District","=""0420011""","Memorial School","=""0420111""",293,340,633
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""",132,166,298
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",111,55,166
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""",197,211,408
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""",176,171,347
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""",165,149,314
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",991,1031,2022
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""",459,543,1002
