"Student Counts by School and Grade"
"All Districts, All Schools"
"2007-08"

"",,,,"Grade",,,,,,,,,,,,,,
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",34,96,105,109,99,88,123,109,0,0,0,0,0,0,763
"Bridgeport School District","=""0150011""","Edison School","=""0150711""",33,47,69,56,54,54,43,52,0,0,0,0,0,0,408
"Bridgeport School District","=""0150011""","Garfield School","=""0150911""",27,54,50,37,29,26,28,27,0,0,0,0,0,0,278
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""",16,44,38,51,40,52,39,42,0,0,0,0,0,0,322
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",18,45,42,48,38,57,35,46,0,0,0,0,0,0,329
"Bridgeport School District","=""0150011""","Longfellow School","=""0151911""",15,63,58,52,48,35,37,32,59,76,0,0,0,0,475
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",35,43,58,61,55,71,69,40,194,220,0,0,0,0,846
"Bridgeport School District","=""0150011""","Maplewood Annex","=""0154311""",18,51,33,25,15,45,0,0,0,0,0,0,0,0,187
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",40,50,61,51,51,50,50,50,50,48,0,0,0,0,501
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",18,82,86,65,50,52,49,88,126,111,0,0,0,0,727
"Bridgeport School District","=""0150011""","Skane Center","=""0154411""",167,52,0,0,0,0,0,0,0,0,0,0,0,0,219
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",37,64,66,52,70,58,51,58,0,0,0,0,0,0,456
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",0,49,39,49,30,32,42,31,0,0,0,0,0,0,272
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",0,"*","*","*","*",8,"*",0,"*","*",8,0,"*",7,54
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""",0,50,48,60,53,57,56,51,0,0,0,0,0,0,375
"Bridgeport School District","=""0150011""","Cross School","=""0153911""",0,53,39,35,35,26,31,31,83,73,0,0,0,0,406
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""",0,50,45,62,51,45,61,51,84,143,0,0,0,0,592
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""",0,22,26,30,26,30,16,26,85,102,0,0,0,0,363
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""",0,57,58,45,36,0,0,0,0,0,0,0,0,0,196
"Bridgeport School District","=""0150011""","Hall School","=""0151111""",0,68,54,44,41,59,38,40,0,0,0,0,0,0,344
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""",0,50,47,51,49,50,49,49,49,50,0,0,0,0,444
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""",0,41,50,42,44,47,56,53,62,55,0,0,0,0,450
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",0,77,88,113,101,91,92,0,0,0,0,0,0,0,562
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",0,52,50,50,49,53,52,55,56,58,0,0,0,0,475
"Bridgeport School District","=""0150011""","Read School","=""0152511""",0,89,93,87,85,78,89,104,132,147,0,0,0,0,904
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",0,64,69,65,65,82,82,89,107,135,0,0,0,0,758
"Bridgeport School District","=""0150011""","Make The Grade","=""0159511""",0,0,0,0,0,0,0,"*","*",27,"*",0,0,0,37
"Bridgeport School District","=""0150011""","Park City Academy","=""0159211""",0,0,0,0,0,0,0,0,"*","*","*",11,"*","*",30
"Bridgeport School District","=""0150011""","The University School","=""0159111""",0,0,0,0,0,0,0,0,0,"*",8,23,12,"*",46
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",0,0,0,0,0,0,0,0,0,0,504,338,271,172,1285
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",0,0,0,0,0,0,0,0,0,0,716,625,493,505,2339
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",0,0,0,0,0,0,0,0,0,0,440,527,431,324,1722
"Bridgeport School District","=""0150011""","New Start Program","=""0159411""",0,0,0,0,0,0,0,0,0,0,"*",7,"*",0,14
"Bristol School District","=""0170011""","Clara T. O'Connell School","=""0170711""",30,38,72,47,52,57,59,0,0,0,0,0,0,0,355
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""",76,57,73,74,74,65,71,0,0,0,0,0,0,0,490
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",30,45,62,63,65,67,64,0,0,0,0,0,0,0,396
"Bristol School District","=""0170011""","Mountain View School","=""0171711""",55,37,46,64,53,58,56,0,0,0,0,0,0,0,369
"Bristol School District","=""0170011""","South Side School","=""0171111""",30,103,102,73,80,98,94,0,0,0,0,0,0,0,580
"Bristol School District","=""0170011""","Stafford School","=""0171211""",76,55,67,73,75,83,68,0,0,0,0,0,0,0,497
"Bristol School District","=""0170011""","Clarence A. Bingham School","=""0170111""",0,29,50,33,54,42,45,0,0,0,0,0,0,0,253
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",0,50,69,59,65,55,58,0,0,0,0,0,0,0,356
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",0,55,58,68,76,78,67,0,0,0,0,0,0,0,402
"Bristol School District","=""0170011""","John J. Jennings School","=""0170611""",0,50,63,51,56,77,77,0,0,0,0,0,0,0,374
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""",0,0,0,0,0,"*","*",6,"*","*","*","*","*",0,23
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",0,0,0,0,0,0,0,329,272,328,0,0,0,0,929
"Bristol School District","=""0170011""","Memorial Boulevard Middle School","=""0175311""",0,0,0,0,0,0,0,189,171,182,0,0,0,0,542
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""",0,0,0,0,0,0,0,201,194,163,0,0,0,0,558
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",0,0,0,0,0,0,0,0,0,0,413,323,369,360,1465
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",0,0,0,0,0,0,0,0,0,0,422,308,314,289,1333
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""",40,130,204,0,0,0,0,0,0,0,0,0,0,0,374
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""",0,0,0,179,229,196,0,0,0,0,0,0,0,0,604
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""",0,0,0,0,0,0,210,239,244,258,0,0,0,0,951
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",0,0,0,0,0,0,0,0,0,0,260,272,247,241,1020
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""",98,95,106,89,100,92,0,0,0,0,0,0,0,0,580
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""",0,0,0,0,0,"*","*",97,113,102,0,0,0,0,406
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""",19,78,59,51,56,53,0,0,0,0,0,0,0,0,316
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""",0,0,0,0,0,0,71,61,70,60,0,0,0,0,262
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""",30,126,122,125,135,0,0,0,0,0,0,0,0,0,538
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""",0,0,0,0,0,121,136,148,0,0,0,0,0,0,405
"Canton School District","=""0230011""","Canton Middle School","=""0235111""",0,0,0,0,0,0,0,0,130,140,0,0,0,0,270
"Canton School District","=""0230011""","Canton High School","=""0236111""",0,0,0,0,0,0,0,0,0,0,127,138,129,120,514
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""",27,12,14,12,11,14,16,14,30,44,52,47,41,55,389
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""",79,52,38,44,36,35,36,9,0,0,0,0,0,0,329
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""",53,58,64,65,62,60,44,0,0,0,0,0,0,0,406
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""",0,40,42,43,45,44,43,0,0,0,0,0,0,0,257
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",0,0,0,0,0,0,0,111,108,106,105,94,75,77,676
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""",0,0,0,0,0,0,0,198,202,182,0,0,0,0,582
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",0,0,0,0,0,0,0,0,0,0,43,0,0,0,43
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""",0,0,0,0,0,0,0,0,0,0,0,26,50,35,111
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""",30,23,19,22,29,18,34,35,0,0,0,0,0,0,210
"Cheshire School District","=""0250011""","Darcey School","=""0250211""",97,296,0,0,0,0,0,0,0,0,0,0,0,0,393
"Cheshire School District","=""0250011""","Highland School","=""0250411""",0,0,136,148,149,151,165,159,0,0,0,0,0,0,908
"Cheshire School District","=""0250011""","Chapman School","=""0250111""",0,0,50,39,58,70,58,57,0,0,0,0,0,0,332
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""",0,0,80,77,79,92,104,105,0,0,0,0,0,0,537
"Cheshire School District","=""0250011""","Norton School","=""0250511""",0,0,86,78,85,77,73,94,0,0,0,0,0,0,493
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""",0,0,0,0,0,0,0,0,396,428,0,0,0,0,824
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",0,0,0,0,0,0,0,0,0,0,377,418,393,424,1612
"Cheshire School District","=""0250011""","Humiston School","=""0259011""",0,0,0,0,0,0,0,0,0,0,"*","*",12,6,23
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""",44,171,150,154,148,0,0,0,0,0,0,0,0,0,667
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""",0,0,0,0,0,163,175,0,0,0,0,0,0,0,338
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""",0,0,0,0,0,0,0,160,159,143,0,0,0,0,462
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",0,0,0,0,0,0,0,0,0,0,147,157,169,165,638
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""",77,225,230,242,0,0,0,0,0,0,0,0,0,0,774
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""",0,0,0,0,215,239,227,0,0,0,0,0,0,0,681
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""",0,0,0,0,0,0,"*","*",272,264,0,0,0,0,801
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",0,0,0,0,0,0,0,0,0,0,240,247,241,254,982
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""",18,55,64,63,67,59,55,68,69,68,0,0,0,0,586
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""",80,53,52,39,38,38,39,32,31,33,0,0,0,0,435
"Cooperative Educational Services","=""2430014""","C. E. S. Special Education","=""2439014""",0,"*","*",11,9,22,27,18,19,24,22,17,21,37,240
"Coventry School District","=""0320011""","Coventry Early Intervention Services","=""0328011""",11,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"Coventry School District","=""0320011""","Coventry Grammar School","=""0320211""",0,151,125,149,0,0,0,0,0,0,0,0,0,0,425
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""",0,0,0,0,156,155,163,0,0,0,0,0,0,0,474
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""",0,0,0,0,0,0,0,172,184,183,0,0,0,0,539
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",0,0,0,0,0,0,0,0,0,0,176,119,121,143,559
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""",28,137,160,160,0,0,0,0,0,0,0,0,0,0,485
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""",0,0,0,0,159,162,151,0,0,0,0,0,0,0,472
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""",0,0,0,0,0,0,0,149,171,153,0,0,0,0,473
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",0,0,0,0,0,0,0,0,0,0,169,140,125,125,559
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""","*",58,66,57,52,"*",53,0,0,0,0,0,0,0,333
"Danbury School District","=""0340011""","Great Plain School","=""0341111""","*",60,54,60,51,"*",51,0,0,0,0,0,0,0,315
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""",64,75,54,63,52,47,45,0,0,0,0,0,0,0,400
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""","*",0,0,0,119,"*",102,0,0,0,0,0,0,0,317
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""","*",98,103,"*",0,0,0,0,0,0,0,0,0,0,294
"Danbury School District","=""0340011""","Mill Ridge Educational Center","=""0341811""",79,0,0,0,96,91,81,0,0,0,0,0,0,0,347
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""","*",116,"*",91,0,0,0,0,0,0,0,0,0,0,298
"Danbury School District","=""0340011""","Morris Street School","=""0340611""",40,57,58,44,49,52,43,0,0,0,0,0,0,0,343
"Danbury School District","=""0340011""","Pembroke School","=""0341511""","*",53,63,"*",61,52,55,0,0,0,0,0,0,0,336
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""","*","*",81,71,71,81,78,0,0,0,0,0,0,0,455
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""",0,76,68,64,67,55,46,0,0,0,0,0,0,0,376
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""",0,61,51,61,55,47,63,0,0,0,0,0,0,0,338
"Danbury School District","=""0340011""","South Street School","=""0341011""",0,57,52,54,38,46,59,0,0,0,0,0,0,0,306
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""",0,44,64,62,52,50,45,0,0,0,0,0,0,0,317
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""",0,0,0,0,0,0,0,394,361,389,0,0,0,0,1144
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""",0,0,0,0,0,0,0,324,340,367,0,0,0,0,1031
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",0,0,0,0,0,0,0,0,0,0,22,30,29,16,97
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",0,0,0,0,0,0,0,0,0,0,815,692,670,658,2835
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""",53,77,82,86,70,80,71,0,0,0,0,0,0,0,519
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""",0,89,85,84,72,85,69,0,0,0,0,0,0,0,484
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""",0,86,72,89,82,88,95,0,0,0,0,0,0,0,512
"Darien School District","=""0350011""","Royle Elementary School","=""0350511""",0,90,66,77,75,65,78,0,0,0,0,0,0,0,451
"Darien School District","=""0350011""","Tokeneke Elementary School","=""0350611""",0,52,68,60,73,76,61,0,0,0,0,0,0,0,390
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""",0,0,0,0,0,0,"*",389,"*",371,0,0,0,0,1117
"Darien School District","=""0350011""","Darien High School","=""0356111""",0,0,0,0,0,0,0,0,0,0,330,295,305,250,1180
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""",38,45,58,60,44,52,53,39,0,0,0,0,0,0,389
"Derby School District","=""0370011""","Bradley School","=""0370611""","*","*",51,67,45,45,52,58,0,0,0,0,0,0,364
"Derby School District","=""0370011""","Irving School","=""0370411""",15,50,70,66,53,43,65,55,0,0,0,0,0,0,417
"Derby School District","=""0370011""","Derby High School","=""0376111""",0,0,0,0,0,0,0,0,107,131,112,108,107,104,669
"East Granby School District","=""0400011""","Allgrove School","=""0400111""",12,58,90,70,64,0,0,0,0,0,0,0,0,0,294
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""",0,0,0,0,0,79,62,0,0,0,0,0,0,0,141
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""",0,0,0,0,0,0,0,75,79,64,0,0,0,0,218
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",0,0,0,0,0,0,0,0,0,0,82,50,59,67,258
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""",18,111,90,111,104,102,0,0,0,0,0,0,0,0,536
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""",0,0,0,0,0,0,126,115,116,120,0,0,0,0,477
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",0,0,0,0,0,0,0,0,0,0,96,119,113,78,406
"East Hampton School District","=""0420011""","Memorial School","=""0420111""",35,156,152,125,165,0,0,0,0,0,0,0,0,0,633
"East Hampton School District","=""0420011""","Center School","=""0420311""",0,0,0,0,0,183,166,0,0,0,0,0,0,0,349
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""",0,0,0,0,0,0,0,151,155,202,0,0,0,0,508
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",0,0,0,0,0,0,0,0,0,0,136,146,155,143,580
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""",17,69,68,39,66,49,46,0,0,0,0,0,0,0,354
"East Hartford School District","=""0430011""","Willowbrook Early Childhood","=""0438011""",288,0,0,0,0,0,0,0,0,0,0,0,0,0,288
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""",0,48,43,41,53,56,57,0,0,0,0,0,0,0,298
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""",0,53,71,70,68,71,75,0,0,0,0,0,0,0,408
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""",0,53,70,51,58,52,63,0,0,0,0,0,0,0,347
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""",0,41,51,61,52,51,58,0,0,0,0,0,0,0,314
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""",0,59,67,63,47,60,56,0,0,0,0,0,0,0,352
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""",0,44,45,48,60,62,61,0,0,0,0,0,0,0,320
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""",0,79,83,73,79,65,85,0,0,0,0,0,0,0,464
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""",0,50,62,52,59,58,42,0,0,0,0,0,0,0,323
"East Hartford School District","=""0430011""","Woodland School","=""0439011""",0,"*","*",9,6,11,13,17,13,28,19,22,24,12,180
"East Hartford School District","=""0430011""","Sunset Ridge Middle School","=""0432411""",0,0,0,0,0,0,0,452,0,0,0,0,0,0,452
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""",0,0,0,0,0,0,0,0,531,468,"*","*",0,0,1002
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",0,0,0,0,0,0,0,0,0,"*",573,536,"*",458,2022
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",0,0,0,0,0,0,0,0,0,0,49,40,37,40,166
"East Hartford School District","=""0430011""","Stevens Alternate High School","=""0436411""",0,0,0,0,0,0,0,0,0,0,23,41,63,24,151
"East Haven School District","=""0440011""","D. C. Moore School","=""0441411""",14,0,37,37,46,37,28,40,0,0,0,0,0,0,239
"East Haven School District","=""0440011""","Hays School","=""0441911""",40,138,0,0,0,0,0,0,0,0,0,0,0,0,178
"East Haven School District","=""0440011""","Overbrook Elementary School","=""0441811""",44,121,0,0,0,0,0,0,0,0,0,0,0,0,165
"East Haven School District","=""0440011""","Deer Run School","=""0440111""",0,0,50,66,59,56,49,55,0,0,0,0,0,0,335
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""",0,0,34,38,27,35,32,20,0,0,0,0,0,0,186
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""",0,0,33,38,35,40,32,34,0,0,0,0,0,0,212
"East Haven School District","=""0440011""","Momauguin School","=""0440711""",0,0,35,38,40,32,24,40,0,0,0,0,0,0,209
"East Haven School District","=""0440011""","Robert W. Carbone School","=""0441611""",0,0,51,48,52,53,59,56,0,0,0,0,0,0,319
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""",0,0,0,0,24,40,43,43,38,33,0,0,0,0,221
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""",0,0,0,0,0,0,0,0,250,232,0,0,0,0,482
