"Smarter Balanced Assessments, 2014-15"
"All Districts, ELA and Math, All Grades Combined, Free/Reduced Price Meal Eligibility (3-level)"

"",,,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","School","School Code","Subject","Free/Reduced Price Meal Eligibility (3-level)","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Math","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","ELA","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","ELA","N",523,520,99.4,520,14,2.7,65,12.5,225,43.3,216,41.5,441,84.8
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","ELA","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Math","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Math","N",523,523,100.0,523,30,5.7,91,17.4,144,27.5,258,49.3,402,76.9
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Math","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","ELA","F",17,16,"*",16,"*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","ELA","N",239,233,97.5,233,"*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Math","F",17,17,"*",17,"*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Math","N",239,239,100.0,239,"*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","ELA","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","ELA","N",223,223,100.0,223,11,4.9,28,12.6,42,18.8,142,63.7,184,82.5
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","ELA","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Math","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Math","N",223,223,100.0,223,"*","*","*","*",78,35.0,105,47.1,183,82.1
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Math","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","ELA","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","ELA","N",533,528,99.1,527,24,4.6,49,9.3,201,38.1,253,48.0,454,86.1
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","ELA","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","Math","F","*","*","*","*","*","*","*","*","*","*",0,0.0,"*","*"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","Math","N",533,530,99.4,530,"*","*",105,19.8,168,31.7,"*","*","*","*"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","Math","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","ELA","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","ELA","N",185,178,96.2,177,18,10.2,28,15.8,69,39.0,62,35.0,131,74.0
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","ELA","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Math","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Math","N",185,177,95.7,177,34,19.2,64,36.2,54,30.5,25,14.1,79,44.6
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Math","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","ELA","F",30,27,90.0,"*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","ELA","N",212,205,96.7,181,52,28.7,59,32.6,45,24.9,25,13.8,70,38.7
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","ELA","R",6,6,"*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Math","F",30,26,86.7,23,"*","*","*","*",0,0.0,"*","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Math","N",212,206,97.2,192,49,25.5,62,32.3,"*","*","*","*",81,42.2
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Math","R",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","ELA","F",82,82,100.0,82,"*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","ELA","N",604,604,100.0,604,47,7.8,141,23.3,282,46.7,134,22.2,416,68.9
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","ELA","R",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","Math","F",82,82,100.0,82,"*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","Math","N",603,602,99.8,602,94,15.6,205,34.1,168,27.9,135,22.4,303,50.3
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","Math","R",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","ELA","F",27,27,100.0,27,"*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","ELA","N",190,190,100.0,190,18,9.5,37,19.5,68,35.8,67,35.3,135,71.1
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","ELA","R",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","Math","F",27,27,100.0,27,"*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","Math","N",190,190,100.0,190,22,11.6,47,24.7,66,34.7,55,28.9,121,63.7
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","Math","R",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","ELA","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","ELA","N",265,265,100.0,263,25,9.5,51,19.4,110,41.8,77,29.3,187,71.1
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","ELA","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","Math","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","Math","N",265,265,100.0,263,32,12.2,82,31.2,100,38.0,49,18.6,149,56.7
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","Math","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","ELA","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","ELA","N",107,107,100.0,107,11,10.3,19,17.8,44,41.1,33,30.8,77,72.0
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","ELA","R","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","Math","F","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
