"Chronic Absenteeism, Trend"
"All Districts, All Schools, All Students"

"",,,,"% Chronically Absent",,,,
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",17.9,11.6,11.8,15.4,18.1
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",14.3,14.2,14.7,14.4,20.9
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",9.0,8.1,12.8,15.6,10.8
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",18.6,24.8,30.9,31.9,29.2
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",8.9,17.6,19.9,19.6,14.2
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",17.3,19.1,19.4,19.3,17.7
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",6.7,10.9,13.1,12.2,8.7
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",10.6,13.4,13.3,13.7,10.2
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",2.4,7.6,9.3,9.7,8.0
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",11.5,12.2,11.6,12.0,11.8
"Connecticut Technical High School System","=""9000016""","J. M. Wright Technical High School","=""9002116""","N/A","N/A","N/A",11.4,13.9
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",5.5,7.2,4.8,4.1,4.3
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",12.9,11.4,13.7,14.9,13.7
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",7.6,10.2,9.0,11.5,9.4
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",11.6,13.6,12.0,15.9,14.1
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",4.7,6.4,7.9,7.6,7.0
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",6.0,10.8,9.1,6.5,6.7
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","=""2439214""",13.2,22.8,17.2,18.7,20.9
"Cooperative Educational Services","=""2430014""","Preschool-Primary Learning Center (PLC)","=""2439114""","*","*","*","*","*"
"Cooperative Educational Services","=""2430014""","RISE Transitional Program","=""2439314""","*","*","*","*","*"
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""",9.2,7.0,5.0,7.2,6.8
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""",39.8,42.6,39.4,41.9,36.0
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""",5.7,"*","*","*","*"
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""",4.8,2.9,5.9,6.2,6.8
"Coventry School District","=""0320011""","Coventry Academy","=""0320111""","N/A","N/A","N/A","*","*"
"Coventry School District","=""0320011""","Coventry Grammar School","=""0320211""",5.5,5.1,3.8,4.6,3.7
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",10.3,14.2,7.3,9.7,7.3
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""","*",3.0,3.1,4.4,2.2
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",7.8,10.3,11.1,1.4,2.3
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""",6.2,6.5,4.1,3.3,2.5
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""",5.4,0.0,2.7,3.0,"*"
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""",5.0,0.0,1.9,2.7,"*"
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",66.2,75.6,21.4,62.4,60.2
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""",10.4,9.0,6.4,5.1,3.8
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",25.2,18.4,5.1,11.4,11.9
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""","*",3.2,3.8,4.1,1.6
"Danbury School District","=""0340011""","Great Plain School","=""0341111""",5.3,4.8,3.6,5.2,6.9
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""",7.9,11.0,8.2,5.5,8.6
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""","*",4.7,6.4,7.0,7.4
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""",4.9,5.3,4.9,5.2,6.5
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""",7.0,7.4,6.3,5.1,2.0
"Danbury School District","=""0340011""","Morris Street School","=""0340611""",4.4,6.3,5.6,2.7,2.2
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""",7.9,7.9,6.2,6.4,8.4
"Danbury School District","=""0340011""","Pembroke School","=""0341511""",6.5,8.1,7.5,5.6,7.4
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""",11.0,10.8,8.1,3.0,4.9
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""",7.4,5.8,6.3,4.7,6.3
"Danbury School District","=""0340011""","South Street School","=""0341011""",5.1,5.0,5.7,7.1,2.6
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""",6.3,7.5,7.0,7.0,7.1
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""",3.6,6.1,2.2,4.2,3.4
