"Smarter Balanced Assessments, 2015-16"
"All Districts, ELA and Math, All Grades Combined, Special Education Status (SWD)"

"",,,,,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",
"District","District Code","School","School Code","Subject","Special Education","Total Numberof Students","Total NumberTested","Smarter BalancedParticipationRate","Total Number with Scored Tests","Level 1 Not Met  Count","%","Level 2 Approaching  Count","%","Level 3 Met  Count","%","Level 4 Exceeded  Count","%","Level 3&4 Met or Exceeded Count","%"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","ELA","Y",28,27,96.4,27,"*","*",8,29.6,"*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Math","N",147,141,95.9,141,25,17.7,56,39.7,"*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Math","Y",28,27,96.4,27,17,63.0,"*","*","*","*",0,0.0,"*","*"
"Barkhamsted School District","=""0050011""","Bridges at Barkhamsted Elementary School","=""0050211""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Barkhamsted School District","=""0050011""","Bridges at Barkhamsted Elementary School","=""0050211""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","ELA","N",602,601,99.8,601,"*","*",120,20.0,288,47.9,"*","*","*","*"
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","ELA","Y",73,73,100.0,73,34,46.6,26,35.6,"*","*","*","*",13,17.8
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","Math","N",602,601,99.8,600,93,15.5,200,33.3,"*","*","*","*","*","*"
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","Math","Y",73,73,100.0,73,55,75.3,13,17.8,"*","*","*","*","*","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","ELA","N",201,200,99.5,200,10,5.0,46,23.0,"*","*","*","*",144,72.0
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","ELA","Y",26,26,100.0,26,14,53.8,6,23.1,"*","*","*","*",6,23.1
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","Math","N",201,200,99.5,200,7,3.5,59,29.5,"*","*","*","*","*","*"
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","Math","Y",26,26,100.0,26,14,53.8,7,26.9,"*","*","*","*","*","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","ELA","N",257,256,99.6,255,"*","*",45,17.6,"*","*",98,38.4,"*","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","ELA","Y",27,27,100.0,27,"*","*",14,51.9,"*","*",0,0.0,"*","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","Math","N",257,254,98.8,253,24,9.5,67,26.5,"*","*","*","*","*","*"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","Math","Y",27,27,100.0,27,16,59.3,9,33.3,"*","*","*","*","*","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","ELA","N",110,110,100.0,110,"*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","ELA","Y",20,19,95.0,19,"*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","Math","N",110,110,100.0,110,"*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","Math","Y",20,18,90.0,18,"*","*","*","*","*","*","*","*","*","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","ELA","N",196,188,95.9,188,"*","*",36,19.1,63,33.5,"*","*","*","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","ELA","Y",36,36,100.0,36,15,41.7,13,36.1,"*","*","*","*",8,22.2
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","Math","N",196,188,95.9,188,"*","*",44,23.4,58,30.9,"*","*","*","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","Math","Y",36,36,100.0,36,12,33.3,14,38.9,"*","*","*","*",10,27.8
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","ELA","N",113,112,99.1,112,"*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","ELA","Y",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","Math","N",113,112,99.1,112,"*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","Math","Y",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","ELA","N",580,578,99.7,578,"*","*",81,14.0,253,43.8,"*","*","*","*"
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","ELA","Y",70,70,100.0,70,"*","*",23,32.9,23,32.9,"*","*","*","*"
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","Math","N",580,577,99.5,577,"*","*",179,31.0,172,29.8,"*","*","*","*"
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","Math","Y",70,70,100.0,70,39,55.7,21,30.0,"*","*","*","*",10,14.3
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","ELA","N",381,379,99.5,379,"*","*",62,16.4,136,35.9,"*","*","*","*"
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","ELA","Y",42,41,97.6,41,22,53.7,"*","*",10,24.4,"*","*","*","*"
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","Math","N",381,378,99.2,378,"*","*",133,35.2,112,29.6,"*","*","*","*"
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","Math","Y",42,41,97.6,41,18,43.9,14,34.1,"*","*","*","*",9,22.0
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","ELA","N",185,185,100.0,185,"*","*",46,24.9,82,44.3,"*","*","*","*"
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","ELA","Y",37,37,100.0,37,23,62.2,7,18.9,"*","*","*","*",7,18.9
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","Math","N",185,185,100.0,185,45,24.3,"*","*","*","*",22,11.9,"*","*"
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","Math","Y",37,37,100.0,37,31,83.8,"*","*","*","*",0,0.0,"*","*"
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","ELA","N",173,173,100.0,173,37,21.4,61,35.3,"*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","ELA","Y",28,28,100.0,28,18,64.3,"*","*","*","*",0,0.0,"*","*"
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","Math","N",173,173,100.0,173,59,34.1,"*","*","*","*",10,5.8,"*","*"
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","Math","Y",28,28,100.0,28,26,92.9,"*","*","*","*",0,0.0,"*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","ELA","N",79,76,96.2,76,"*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","ELA","Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Math","N",79,76,96.2,76,"*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Math","Y",8,8,"*",8,"*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""","ELA","N",225,225,100.0,225,55,24.4,"*","*","*","*",52,23.1,"*","*"
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""","ELA","Y",29,29,100.0,29,22,75.9,"*","*","*","*",0,0.0,"*","*"
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""","Math","N",225,225,100.0,225,59,26.2,"*","*","*","*",19,8.4,"*","*"
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""","Math","Y",29,28,96.6,28,25,89.3,"*","*","*","*",0,0.0,"*","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","ELA","N",314,306,97.5,306,"*","*",30,9.8,119,38.9,"*","*","*","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","ELA","Y",40,39,97.5,39,19,48.7,"*","*",9,23.1,"*","*","*","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","Math","N",314,306,97.5,306,"*","*",70,22.9,103,33.7,"*","*","*","*"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","Math","Y",40,39,97.5,39,23,59.0,7,17.9,"*","*","*","*",9,23.1
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","ELA","N",113,113,100.0,113,"*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","ELA","Y",21,20,95.2,19,"*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","Math","N",113,113,100.0,113,"*","*","*","*","*","*","*","*","*","*"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","Math","Y",21,20,95.2,19,"*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","ELA","N",783,770,98.3,768,"*","*",169,22.0,316,41.1,"*","*","*","*"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","ELA","Y",113,113,100.0,113,61,54.0,35,31.0,"*","*","*","*",17,15.0
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","Math","N",781,766,98.1,765,"*","*",234,30.6,202,26.4,"*","*","*","*"
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","Math","Y",113,113,100.0,113,87,77.0,17,15.0,"*","*","*","*",9,8.0
