"CT School Day SAT, 2015-16"
"All Districts, All Subjects, English Learner Status (EL)"

"",,,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","School","School Code","Subject","ELL","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","ELA","Y",6,"*","*","*","*","*","*","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","Math","N",168,"*","*","*","*","*","*","*","*","*","*",441
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","Math","Y",6,"*","*","*","*","*","*","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","ELA","N",135,"*","*","*","*","*","*","*","*","*","*",455
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","ELA","Y",6,"*","*","*","*","*","*","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","Math","N",135,"*","*","*","*","*","*",0,0.0,"*","*",437
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","Math","Y",6,"*","*","*","*","*","*","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","ELA","N",128,"*","*","*","*","*","*",0,0.0,"*","*",422
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","ELA","Y",12,"*","*","*","*","*","*","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","Math","N",128,"*","*","*","*","*","*",0,0.0,"*","*",409
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","Math","Y",12,"*","*","*","*","*","*","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","Math","N","*","*","*","*","*","*","*",0,0.0,"*","*","*"
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","ELA","N",131,"*","*",46,35.1,44,33.6,"*","*","*","*",456
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","Math","N",131,58,44.3,62,47.3,11,8.4,0,0.0,11,8.4,427
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","Math","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","ELA","N",138,"*","*","*","*","*","*","*","*","*","*",495
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","ELA","Y",7,"*","*","*","*","*","*","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","Math","N",138,"*","*","*","*","*","*",0,0.0,"*","*",468
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","Math","Y",7,"*","*","*","*","*","*","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""","ELA","N",148,"*","*",57,38.5,59,39.9,"*","*","*","*",475
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""","Math","N",148,49,33.1,76,51.4,"*","*","*","*",23,15.5,458
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""","ELA","N",158,20,12.7,49,31.0,83,52.5,6,3.8,89,56.3,494
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""","Math","N",158,"*","*",95,60.1,37,23.4,"*","*","*","*",477
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""","ELA","N",157,18,11.5,47,29.9,76,48.4,16,10.2,92,58.6,502
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""","Math","N",157,36,22.9,87,55.4,"*","*","*","*",34,21.7,471
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""","ELA","N",184,36,19.6,55,29.9,87,47.3,6,3.3,93,50.5,478
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""","Math","N",184,64,34.8,92,50.0,"*","*","*","*",28,15.2,450
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""","ELA","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""","Math","N","*","*","*","*","*","*","*",0,0.0,"*","*","*"
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""","Math","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""","ELA","N","*","*","*","*","*","*","*","*","*","*","*","*"
