"Student Counts by School and English Learner Status"
"All Districts, All Schools"
"2007-08"

"",,,,"English Learner Status",,
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",433,21,454
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",625,0,625
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","*","*",348
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",342,0,342
"Bloomfield School District","=""0110011""","J. P. Vincent School","=""0110311""","*","*",315
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""","*","*",268
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""","*","*",238
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""",79,0,79
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",597,0,597
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",275,0,275
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","*","*",264
"Branford School District","=""0140011""","Branford High School","=""0146111""",1137,9,1146
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",1061,21,1082
"Branford School District","=""0140011""","Indian Neck School","=""0148011""",58,0,58
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""",335,10,345
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""",422,8,430
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""",383,33,416
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",85,0,85
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",252,27,279
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",1118,167,1285
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",542,65,607
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",216,56,272
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",1035,142,1177
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","*","*",54
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",337,76,413
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",2166,173,2339
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",752,410,1162
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""",368,7,375
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""",506,257,763
"Bridgeport School District","=""0150011""","Cross School","=""0153911""",391,15,406
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""",508,84,592
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""",350,13,363
"Bridgeport School District","=""0150011""","Edison School","=""0150711""",393,15,408
"Bridgeport School District","=""0150011""","Garfield School","=""0150911""",215,63,278
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""",155,41,196
"Bridgeport School District","=""0150011""","Hall School","=""0151111""",331,13,344
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""",314,8,322
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",1395,327,1722
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""","*","*",444
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""",435,15,450
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",323,6,329
"Bridgeport School District","=""0150011""","Longfellow School","=""0151911""",406,69,475
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",575,271,846
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",511,51,562
"Bridgeport School District","=""0150011""","Make The Grade","=""0159511""",28,9,37
"Bridgeport School District","=""0150011""","Maplewood Annex","=""0154311""","*","*",187
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",400,75,475
"Bridgeport School District","=""0150011""","New Start Program","=""0159411""","*","*",14
"Bridgeport School District","=""0150011""","Park City Academy","=""0159211""","*","*",30
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""","*","*",501
"Bridgeport School District","=""0150011""","Read School","=""0152511""",812,92,904
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",561,166,727
"Bridgeport School District","=""0150011""","Skane Center","=""0154411""",213,6,219
"Bridgeport School District","=""0150011""","The University School","=""0159111""","*","*",46
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",409,47,456
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",708,50,758
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""",23,0,23
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",1443,22,1465
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",1318,15,1333
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",894,35,929
"Bristol School District","=""0170011""","Clara T. O'Connell School","=""0170711""",315,40,355
"Bristol School District","=""0170011""","Clarence A. Bingham School","=""0170111""",238,15,253
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",328,28,356
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""",478,12,490
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",372,24,396
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",395,7,402
"Bristol School District","=""0170011""","John J. Jennings School","=""0170611""",365,9,374
"Bristol School District","=""0170011""","Memorial Boulevard Middle School","=""0175311""",531,11,542
"Bristol School District","=""0170011""","Mountain View School","=""0171711""",359,10,369
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""",550,8,558
"Bristol School District","=""0170011""","South Side School","=""0171111""",558,22,580
"Bristol School District","=""0170011""","Stafford School","=""0171211""",481,16,497
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",1009,11,1020
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""",366,8,374
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""","*","*",604
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""",936,15,951
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""",580,0,580
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""",406,0,406
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""",101,0,101
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""","*","*",316
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""",262,0,262
"Canton School District","=""0230011""","Canton High School","=""0236111""","*","*",514
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""","*","*",405
"Canton School District","=""0230011""","Canton Middle School","=""0235111""","*","*",270
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""",530,8,538
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""","*","*",257
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""","*","*",111
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",43,0,43
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""",383,6,389
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","*","*",676
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""",312,17,329
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""",564,18,582
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""",398,8,406
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""",210,0,210
"Cheshire School District","=""0250011""","Chapman School","=""0250111""","*","*",332
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","*","*",1612
"Cheshire School District","=""0250011""","Darcey School","=""0250211""",381,12,393
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""","*","*",824
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""",529,8,537
"Cheshire School District","=""0250011""","Highland School","=""0250411""",898,10,908
"Cheshire School District","=""0250011""","Humiston School","=""0259011""",23,0,23
"Cheshire School District","=""0250011""","Norton School","=""0250511""","*","*",493
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""",341,0,341
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""","*","*",338
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""",453,9,462
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""",648,19,667
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","*","*",638
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","*","*",982
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""","*","*",774
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""",674,7,681
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""",794,7,801
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""",122,0,122
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""","*","*",586
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",152,0,152
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",526,55,581
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",854,24,878
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",422,39,461
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",481,48,529
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",576,13,589
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",518,12,530
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",672,24,696
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",563,0,563
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",535,35,570
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",556,8,564
"Connecticut Technical High School System","=""9000016""","J. M. Wright Technical High School","=""9002116""",226,29,255
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""","*","*",410
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",720,0,720
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",845,8,853
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""","*","*",587
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",689,15,704
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",473,10,483
"Cooperative Educational Services","=""2430014""","C. E. S. Special Education","=""2439014""",240,0,240
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""",435,0,435
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""",129,0,129
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""",539,0,539
"Coventry School District","=""0320011""","Coventry Early Intervention Services","=""0328011""",11,0,11
"Coventry School District","=""0320011""","Coventry Grammar School","=""0320211""",425,0,425
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",559,0,559
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""",474,0,474
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",552,7,559
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""",466,7,473
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""",449,36,485
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""",459,13,472
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""","*","*",97
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""",1023,121,1144
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",2433,402,2835
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""",207,126,333
"Danbury School District","=""0340011""","Great Plain School","=""0341111""",232,83,315
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""",320,80,400
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""",271,46,317
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""",217,77,294
"Danbury School District","=""0340011""","Mill Ridge Educational Center","=""0341811""",319,28,347
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""",252,46,298
"Danbury School District","=""0340011""","Morris Street School","=""0340611""",228,115,343
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""",232,144,376
"Danbury School District","=""0340011""","Pembroke School","=""0341511""",278,58,336
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""",843,188,1031
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""",258,80,338
"Danbury School District","=""0340011""","South Street School","=""0341011""",199,107,306
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""",358,97,455
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""",306,11,317
"Darien School District","=""0350011""","Darien High School","=""0356111""","*","*",1180
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""",519,0,519
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""",468,16,484
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""","*","*",1117
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""","*","*",512
"Darien School District","=""0350011""","Royle Elementary School","=""0350511""",441,10,451
"Darien School District","=""0350011""","Tokeneke Elementary School","=""0350611""","*","*",390
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""",375,14,389
"Department of Mental Health and Addiction Services","=""3370015""","Cedarcrest Regional Hosp - Blue Hills Hosp. Substance Ab","=""3370315""",7,0,7
"Department of Mental Health and Addiction Services","=""3370015""","Connecticut Mental Health Center","=""3370415""","*",0,"*"
"Department of Mental Health and Addiction Services","=""3370015""","Connecticut Valley Hospital","=""3370215""","*",0,"*"
"Department of Mental Health and Addiction Services","=""3370015""","Greater Bridgeport Community Mental Health Center","=""3370515""","*",0,"*"
"Derby School District","=""0370011""","Bradley School","=""0370611""",328,36,364
"Derby School District","=""0370011""","Derby High School","=""0376111""",642,27,669
"Derby School District","=""0370011""","Irving School","=""0370411""",369,48,417
"East Granby School District","=""0400011""","Allgrove School","=""0400111""","*","*",294
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",258,0,258
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""","*","*",218
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""","*","*",141
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""","*","*",536
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",406,0,406
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""",477,0,477
"East Hampton School District","=""0420011""","Center School","=""0420311""","*","*",349
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""","*","*",580
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""","*","*",508
"East Hampton School District","=""0420011""","Memorial School","=""0420111""","*","*",633
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""",261,37,298
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",166,0,166
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""",348,60,408
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""",312,35,347
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""",299,15,314
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",1941,81,2022
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""",947,55,1002
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""",313,39,352
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""",334,20,354
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""",302,18,320
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""",394,70,464
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""",308,15,323
"East Hartford School District","=""0430011""","Stevens Alternate High School","=""0436411""","*","*",151
"East Hartford School District","=""0430011""","Sunset Ridge Middle School","=""0432411""",421,31,452
"East Hartford School District","=""0430011""","Willowbrook Early Childhood","=""0438011""",288,0,288
"East Hartford School District","=""0430011""","Woodland School","=""0439011""","*","*",180
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""","*","*",221
"East Haven School District","=""0440011""","D. C. Moore School","=""0441411""",219,20,239
"East Haven School District","=""0440011""","Deer Run School","=""0440111""",316,19,335
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""","*","*",186
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",1072,25,1097
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""",200,12,212
"East Haven School District","=""0440011""","Hays School","=""0441911""",160,18,178
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""",468,14,482
"East Haven School District","=""0440011""","Momauguin School","=""0440711""",190,19,209
"East Haven School District","=""0440011""","Overbrook Elementary School","=""0441811""",146,19,165
"East Haven School District","=""0440011""","Pathways","=""0449011""",35,0,35
"East Haven School District","=""0440011""","Robert W. Carbone School","=""0441611""",294,25,319
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",1304,0,1304
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""","*","*",913
"East Lyme School District","=""0450011""","Flanders School","=""0450111""",387,12,399
"East Lyme School District","=""0450011""","Integrated Preschool","=""0458011""",53,0,53
"East Lyme School District","=""0450011""","Lillie B. Haynes School","=""0450411""",334,6,340
"East Lyme School District","=""0450011""","Niantic Center School","=""0450211""","*","*",241
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""",580,40,620
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",446,10,456
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""",393,7,400
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""",20,0,20
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EastConn Special Education","=""2539014""",44,0,44
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""",187,0,187
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""","*","*",377
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""","*","*",801
"EdAdvance","=""2420014""","EdAdvance Headstart","=""2428014""",156,0,156
"EdAdvance","=""2420014""","The ACCESS School at The Danuta M. Thibodeau Education Center","=""2429014""",23,0,23
"Ellington School District","=""0480011""","Center School","=""0480111""","*","*",408
"Ellington School District","=""0480011""","Crystal Lake School","=""0480211""",207,0,207
"Ellington School District","=""0480011""","Ellington High School","=""0486111""","*","*",770
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""","*","*",408
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""",401,0,401
"Ellington School District","=""0480011""","Windermere School","=""0480611""",387,17,404
"Elm City College Preparatory School","=""2810013""","Elm City College Preparatory School","=""2810113""",476,0,476
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""","*","*",363
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""","*","*",387
"Enfield School District","=""0490011""","Enfield High School","=""0496111""",919,7,926
"Enfield School District","=""0490011""","Enfield Street School","=""0490211""",321,12,333
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""",1149,7,1156
"Enfield School District","=""0490011""","Harriet Beecher Stowe School","=""0491211""","*","*",282
"Enfield School District","=""0490011""","Hazardville Memorial School","=""0490411""",406,7,413
"Enfield School District","=""0490011""","Head Start Program","=""0498011""",104,0,104
"Enfield School District","=""0490011""","Henry Barnard School","=""0491811""",422,7,429
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""",984,8,992
"Enfield School District","=""0490011""","Nathan Hale School","=""0491111""","*","*",272
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""",410,6,416
"Enfield School District","=""0490011""","Thomas G. Alcorn School","=""0491711""",262,21,283
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""","*","*",551
"Explorations District","=""2720013""","Explorations","=""2726113""",86,0,86
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""","*","*",445
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""","*","*",340
"Fairfield School District","=""0510011""","Early Childhood Center","=""0518011""",121,0,121
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""","*","*",1380
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""",1206,25,1231
"Fairfield School District","=""0510011""","Fairfield Woods Middle School","=""0515211""","*","*",597
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""",325,33,358
"Fairfield School District","=""0510011""","Jennings School","=""0511711""","*","*",353
"Fairfield School District","=""0510011""","McKinley School","=""0510611""",383,79,462
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""",457,8,465
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""",487,8,495
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""","*","*",519
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""","*","*",473
"Fairfield School District","=""0510011""","Roger Ludlowe Middle School","=""0515311""",854,33,887
"Fairfield School District","=""0510011""","Sherman School","=""0511311""",439,14,453
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""","*","*",460
"Fairfield School District","=""0510011""","Tomlinson Middle School","=""0515111""",731,6,737
"Farmington School District","=""0520011""","East Farms School","=""0520411""",421,9,430
"Farmington School District","=""0520011""","Farmington Collaborative PK","=""0528011""",57,0,57
"Farmington School District","=""0520011""","Farmington High School","=""0526111""",1381,8,1389
"Farmington School District","=""0520011""","Irving A. Robbins Middle School","=""0525111""","*","*",652
"Farmington School District","=""0520011""","Noah Wallace School","=""0520211""",306,24,330
"Farmington School District","=""0520011""","Union School","=""0520111""",292,6,298
"Farmington School District","=""0520011""","West District School","=""0520311""","*","*",350
"Farmington School District","=""0520011""","West Woods Upper Elementary School","=""0520511""",679,8,687
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""",233,0,233
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""",558,17,575
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""","*","*",357
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""","*","*",551
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""",2058,7,2065
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""",516,9,525
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""",526,16,542
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""",453,28,481
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""",667,8,675
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""",1063,7,1070
"Granby School District","=""0560011""","Frank M. Kearns Primary School","=""0560111""",497,0,497
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""","*","*",749
"Granby School District","=""0560011""","Granby Memorial Middle School","=""0565111""","*","*",374
"Granby School District","=""0560011""","Kelly Lane Primary School","=""0560411""",363,0,363
"Granby School District","=""0560011""","Wells Road Intermediate School","=""0560311""",344,0,344
"Greenwich School District","=""0570011""","Central Middle School","=""0575111""",686,27,713
"Greenwich School District","=""0570011""","Cos Cob School","=""0570211""",367,40,407
"Greenwich School District","=""0570011""","Eastern Middle School","=""0575211""",704,21,725
"Greenwich School District","=""0570011""","Glenville School","=""0570411""",318,26,344
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""",2569,124,2693
"Greenwich School District","=""0570011""","Hamilton Avenue School","=""0570511""",325,52,377
"Greenwich School District","=""0570011""","International School At Dundee","=""0571311""",333,39,372
"Greenwich School District","=""0570011""","Julian Curtiss School","=""0570311""",285,42,327
"Greenwich School District","=""0570011""","New Lebanon School","=""0570611""",179,50,229
"Greenwich School District","=""0570011""","North Mianus School","=""0570711""",421,33,454
"Greenwich School District","=""0570011""","North Street School","=""0570811""",486,29,515
"Greenwich School District","=""0570011""","Old Greenwich School","=""0570911""",436,18,454
"Greenwich School District","=""0570011""","Parkway School","=""0571111""",319,13,332
"Greenwich School District","=""0570011""","Riverside School","=""0571011""",462,37,499
"Greenwich School District","=""0570011""","Western Middle School","=""0575311""",481,46,527
"Griswold School District","=""0580011""","Griswold Elementary School","=""0580311""",890,16,906
"Griswold School District","=""0580011""","Griswold High School","=""0586211""","*","*",792
"Griswold School District","=""0580011""","Griswold Middle School","=""0585111""","*","*",439
"Groton School District","=""0590011""","Carl C. Cutler Middle School","=""0595311""","*","*",376
"Groton School District","=""0590011""","Charles Barnum School","=""0591811""","*","*",367
"Groton School District","=""0590011""","Claude Chester School","=""0590311""",338,15,353
"Groton School District","=""0590011""","Colonel Ledyard School","=""0590411""","*","*",139
"Groton School District","=""0590011""","Eastern Point School","=""0590511""",472,26,498
"Groton School District","=""0590011""","Fitch Middle School","=""0595111""",443,12,455
"Groton School District","=""0590011""","Mary Morrisson School","=""0591711""","*","*",282
"Groton School District","=""0590011""","Noank School","=""0590911""",240,0,240
"Groton School District","=""0590011""","Pleasant Valley School","=""0591211""","*","*",429
