"Student Counts by School and Gender"
"All Districts, All Schools"
"2014-15"

"",,,,"Gender",,
"Department of Mental Health and Addiction Services","=""3370015""","Greater Bridgeport Community Mental Health Center","=""3370515""",0,"*","*"
"Derby School District","=""0370011""","Bradley School","=""0370611""",176,189,365
"Derby School District","=""0370011""","Derby High School","=""0376111""",176,196,372
"Derby School District","=""0370011""","Derby Middle School","=""0375011""",169,170,339
"Derby School District","=""0370011""","Irving School","=""0370411""",179,191,370
"East Granby School District","=""0400011""","Allgrove School","=""0400111""",115,107,222
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",127,130,257
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""",114,97,211
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""",77,108,185
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""",156,163,319
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",185,166,351
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""",213,242,455
"East Hampton School District","=""0420011""","Center School","=""0420311""",132,151,283
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",273,229,502
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""",204,228,432
"East Hampton School District","=""0420011""","Memorial School","=""0420111""",308,297,605
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","=""0429011""","*","*",8
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""",131,153,284
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",132,71,203
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""",180,184,364
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""",159,216,375
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""",272,285,557
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",851,823,1674
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""",541,617,1158
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""",169,173,342
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""",170,167,337
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""",142,156,298
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""",239,255,494
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""",150,134,284
"East Hartford School District","=""0430011""","Stevens Alternate High School","=""0436411""",44,75,119
"East Hartford School District","=""0430011""","Sunset Ridge Middle School","=""0432411""",93,53,146
"East Hartford School District","=""0430011""","Willowbrook Early Childhood","=""0438011""",108,121,229
"East Hartford School District","=""0430011""","Woodland School","=""0439011""",26,144,170
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""",135,130,265
"East Haven School District","=""0440011""","D. C. Moore School","=""0441411""",106,102,208
"East Haven School District","=""0440011""","Deer Run School","=""0440111""",154,158,312
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""",98,80,178
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",435,445,880
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""",105,73,178
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""",257,325,582
"East Haven School District","=""0440011""","Momauguin School","=""0440711""",74,73,147
"East Haven School District","=""0440011""","Overbrook Elementary School","=""0441811""",76,107,183
"East Lyme School District","=""0450011""","Abilities in Motion (AIM) Program","=""0450511""","*","*",16
"East Lyme School District","=""0450011""","Coastal Connections","=""0450611""",8,8,16
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",523,530,1053
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""",414,447,861
"East Lyme School District","=""0450011""","Flanders School","=""0450111""",159,189,348
"East Lyme School District","=""0450011""","Integrated Preschool","=""0458011""",23,23,46
"East Lyme School District","=""0450011""","Lillie B. Haynes School","=""0450411""",161,153,314
"East Lyme School District","=""0450011""","Niantic Center School","=""0450211""",93,86,179
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""",236,244,480
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",156,176,332
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""",143,170,313
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""",108,33,141
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EastConn Special Education","=""2539014""",26,84,110
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""",94,66,160
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""",66,73,139
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""",135,188,323
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""",305,307,612
"EdAdvance","=""2420014""","EdAdvance Headstart","=""2428014""",122,98,220
"EdAdvance","=""2420014""","The ACCESS School at The Danuta M. Thibodeau Education Center","=""2429014""",13,17,30
"Ellington School District","=""0480011""","Center School","=""0480111""",185,191,376
"Ellington School District","=""0480011""","Crystal Lake School","=""0480211""",90,108,198
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",393,380,773
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""",212,222,434
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""",216,219,435
"Ellington School District","=""0480011""","Windermere School","=""0480611""",219,220,439
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""",346,289,635
"Elm City Montessori School District","=""2910013""","Elm City Montessori School","=""2910113""",29,41,70
"Enfield School District","=""0490011""","Edgar H. Parkman - Autism Spectrum Disorder (ASD)","=""0490511""","*","*",6
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""",167,159,326
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""",188,189,377
"Enfield School District","=""0490011""","Enfield High School","=""0496111""",361,348,709
"Enfield School District","=""0490011""","Enfield Street - Autism Spectrum Disorder (ASD)","=""0490311""","*","*",6
"Enfield School District","=""0490011""","Enfield Street School","=""0490211""",138,148,286
"Enfield School District","=""0490011""","Enfield Transitional Learning Academy","=""0499011""","*","*",10
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""",437,450,887
"Enfield School District","=""0490011""","Hazardville Memorial School","=""0490411""",168,192,360
"Enfield School District","=""0490011""","Head Start Program","=""0498011""",57,47,104
"Enfield School District","=""0490011""","Henry Barnard - Educational Counseling Program (ECP)","=""0490611""",0,"*","*"
"Enfield School District","=""0490011""","Henry Barnard School","=""0491811""",160,196,356
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""",530,569,1099
"Enfield School District","=""0490011""","Nathan Hale - Primary Adaptive Learning (PAL)","=""0490811""",6,0,6
"Enfield School District","=""0490011""","Nathan Hale School","=""0491111""",115,108,223
"Enfield School District","=""0490011""","Prudence Crandall - Educational Counseling Program (ECP)","=""0490711""","*","*",6
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""",196,193,389
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""",213,238,451
"Explorations District","=""2720013""","Explorations","=""2726113""",52,36,88
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""",202,226,428
