"Physical Fitness Tests: Students Reaching Health Standard, Trend"
"All Districts, All Schools, Push Up"
"Notes:"
"The Connecticut Physical Fitness Assessment (CPFA) is administered to all students in Grades 4, 6, 8 and 10."
"Only students assessed in all four areas are included in this calculation."

"",,,,,,"Students Reaching Health Standard (%)",,,,
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""","All Grades","Push Up",53.3,63.4,64.6,76.6,77.9
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""","All Grades","Push Up",61.7,"N/A","N/A","N/A","N/A"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Tim","=""2416414""","All Grades","Push Up","*","*",65.9,60.5,"*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""","All Grades","Push Up","N/A",62.4,69.9,53.6,"*"
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""","All Grades","Push Up","N/A",68.2,65.3,54.7,64.5
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""","All Grades","Push Up",60.2,67.6,75.7,59.6,64.6
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International St","=""2416114""","All Grades","Push Up",71.9,79.0,89.2,74.8,77.8
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""","All Grades","Push Up",44.6,78.4,59.6,64.8,66.7
"Capitol Region Education Council","=""2410014""","Museum Academy","=""2410514""","All Grades","Push Up","N/A",88.6,60.9,60.9,77.1
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""","All Grades","Push Up",66.7,68.9,57.3,59.7,69.6
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""","All Grades","Push Up","N/A","*",85.0,26.9,49.0
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""","All Grades","Push Up","N/A","N/A",50.6,66.0,46.0
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""","All Grades","Push Up",70.0,78.5,65.4,68.7,64.7
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""","All Grades","Push Up",87.3,86.8,75.9,62.3,77.6
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""","All Grades","Push Up",71.7,68.4,72.1,70.7,67.6
"Cheshire School District","=""0250011""","Chapman School","=""0250111""","All Grades","Push Up",83.0,78.4,65.6,73.3,71.7
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","All Grades","Push Up",91.3,93.7,92.3,92.8,88.7
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""","All Grades","Push Up",86.4,86.9,88.6,85.6,85.7
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""","All Grades","Push Up",73.0,80.7,77.8,73.3,70.9
"Cheshire School District","=""0250011""","Highland School","=""0250411""","All Grades","Push Up",82.3,89.6,90.0,84.5,86.4
"Cheshire School District","=""0250011""","Humiston Alternative School","=""0250911""","All Grades","Push Up","N/A","N/A","N/A","N/A","*"
"Cheshire School District","=""0250011""","Norton School","=""0250511""","All Grades","Push Up",66.7,55.2,51.5,46.7,51.8
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""","All Grades","Push Up",76.4,75.9,66.7,71.2,71.8
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""","All Grades","Push Up",82.2,92.5,81.9,79.9,88.5
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""","All Grades","Push Up",65.1,64.8,64.6,57.2,59.5
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","All Grades","Push Up",75.8,56.9,72.2,87.2,83.1
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","All Grades","Push Up",82.5,80.5,82.9,79.5,75.8
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""","All Grades","Push Up",59.0,61.5,61.5,76.0,77.6
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""","All Grades","Push Up",63.5,73.2,67.3,67.3,86.3
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""","All Grades","Push Up",73.1,52.8,80.0,70.4,84.0
