"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades, All Students"

"",,,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","School","SchoolCode","Grade","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Montville School District","=""0860011""","Montville High School","=""0866111""",10,181,178,98.3,178,10,5.6,10,5.6,56,31.5,41,23.0,61,34.3,102,57.3,274
"Montville School District","=""0860011""","Palmer Academy","=""0869011""",10,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Naugatuck School District","=""0880011""","Cross Street Intermediate School","=""0880211""",05,145,145,100.0,145,18,12.4,24,16.6,49,33.8,47,32.4,7,4.8,54,37.2,233
"Naugatuck School District","=""0880011""","Hillside Intermediate School","=""0880411""",05,156,156,100.0,156,"*","*",24,15.4,41,26.3,67,42.9,"*","*","*","*",238
"Naugatuck School District","=""0880011""","Genesis Academy","=""0880911""",10,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Naugatuck School District","=""0880011""","City Hill Middle School","=""0885111""",08,334,332,99.4,332,49,14.8,55,16.6,59,17.8,142,42.8,27,8.1,169,50.9,242
"Naugatuck School District","=""0880011""","Naugatuck High School","=""0886111""",10,287,278,96.9,277,37,13.4,63,22.7,106,38.3,39,14.1,32,11.6,71,25.6,236
"New Beginnings Inc., Family Academy District","=""2800013""","New Beginnings Inc., Family Academy","=""2800113""",05,45,45,100.0,45,12,26.7,"*","*","*","*",8,17.8,"*","*","*","*",221
"New Beginnings Inc., Family Academy District","=""2800013""","New Beginnings Inc., Family Academy","=""2800113""",08,29,28,96.6,28,11,39.3,"*","*","*","*",10,35.7,0,0.0,10,35.7,222
"New Britain School District","=""0890011""","Hartford Detention Center","=""3480315""",10,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Britain School District","=""0890011""","Chamberlain  Elementary School","=""0890311""",05,74,72,97.3,72,26,36.1,19,26.4,13,18.1,"*","*","*","*",14,19.4,206
"New Britain School District","=""0890011""","Sunrise Intermediate","=""0890411""",05,7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Britain School District","=""0890011""","Gaffney School","=""0890511""",05,54,54,100.0,54,13,24.1,13,24.1,"*","*",15,27.8,"*","*","*","*",225
"New Britain School District","=""0890011""","Holmes School","=""0890611""",05,68,67,98.5,67,12,17.9,10,14.9,18,26.9,21,31.3,6,9.0,27,40.3,233
"New Britain School District","=""0890011""","Jefferson School","=""0890711""",05,66,65,98.5,65,"*","*",17,26.2,16,24.6,15,23.1,"*","*","*","*",218
"New Britain School District","=""0890011""","Lincoln School","=""0890811""",05,95,94,98.9,94,31,33.0,"*","*",25,26.6,20,21.3,"*","*","*","*",214
"New Britain School District","=""0890011""","Northend School","=""0890911""",05,53,52,98.1,52,21,40.4,19,36.5,"*","*","*","*",0,0.0,"*","*",195
"New Britain School District","=""0890011""","Behavior Support","=""0891011""",05,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Britain School District","=""0890011""","Frank J. DiLoreto School","=""0891111""",05,71,70,98.6,70,"*","*",18,25.7,28,40.0,12,17.1,"*","*","*","*",223
"New Britain School District","=""0890011""","Frank J. DiLoreto School","=""0891111""",08,66,66,100.0,66,27,40.9,17,25.8,13,19.7,9,13.6,0,0.0,9,13.6,211
"New Britain School District","=""0890011""","Smalley Academy","=""0891211""",05,95,92,96.8,92,45,48.9,15,16.3,19,20.7,13,14.1,0,0.0,13,14.1,195
"New Britain School District","=""0890011""","Smith School","=""0891311""",05,104,104,100.0,104,34,32.7,14,13.5,34,32.7,21,20.2,"*","*","*","*",211
"New Britain School District","=""0890011""","Vance School","=""0891511""",05,89,89,100.0,89,24,27.0,"*","*",23,25.8,20,22.5,"*","*","*","*",212
"New Britain School District","=""0890011""","Steps","=""0891811""",08,8,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Britain School District","=""0890011""","Slade Middle School","=""0895211""",08,228,227,99.6,227,83,36.6,"*","*",47,20.7,54,23.8,"*","*","*","*",215
"New Britain School District","=""0890011""","Pulaski Middle School","=""0895311""",08,247,245,99.2,245,132,53.9,38,15.5,39,15.9,36,14.7,0,0.0,36,14.7,201
"New Britain School District","=""0890011""","House of Arts Letters and Science (HALS)  Academy","=""0895411""",08,50,49,98.0,49,0,0.0,0,0.0,"*","*",38,77.6,"*","*","*","*",276
"New Britain School District","=""0890011""","New Britain High School","=""0896111""",10,518,481,92.9,475,183,38.5,113,23.8,113,23.8,44,9.3,22,4.6,66,13.9,210
"New Britain School District","=""0890011""","New Britain Transition Center","=""0899011""",05,6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Britain School District","=""0890011""","New Britain Transition Center","=""0899011""",08,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Britain School District","=""0890011""","New Britain Transition Center","=""0899011""",10,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Britain School District","=""0890011""","Alternative Center School","=""0899111""",08,10,8,"*",8,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Britain School District","=""0890011""","Alternative Center School","=""0899111""",10,9,9,"*",9,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Canaan School District","=""0900011""","Saxe Middle School","=""0905111""",05,342,341,99.7,341,"*","*","*","*",27,7.9,133,39.0,174,51.0,307,90.0,300
"New Canaan School District","=""0900011""","Saxe Middle School","=""0905111""",08,302,301,99.7,301,"*","*","*","*",20,6.6,140,46.5,129,42.9,269,89.4,288
"New Canaan School District","=""0900011""","New Canaan High School","=""0906111""",10,314,310,98.7,310,"*","*","*","*",56,18.1,85,27.4,162,52.3,247,79.7,296
"New Fairfield School District","=""0910011""","Meeting House Hill School","=""0910211""",05,"*","*","*","*","*","*","*","*",35,23.6,68,45.9,"*","*","*","*","*"
"New Fairfield School District","=""0910011""","Alternative Learning Center","=""0910311""",10,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Fairfield School District","=""0910011""","New Fairfield Middle School","=""0915211""",08,195,192,98.5,192,"*","*",9,4.7,"*","*",90,46.9,59,30.7,149,77.6,274
"New Fairfield School District","=""0910011""","New Fairfield High School","=""0916111""",10,217,216,99.5,216,"*","*",13,6.0,69,31.9,"*","*",71,32.9,"*","*",276
"New Hartford School District","=""0920011""","Ann Antolini School","=""0920311""",05,68,68,100.0,68,"*","*","*","*",14,20.6,34,50.0,17,25.0,51,75.0,273
"New Haven School District","=""0930011""","Edgewood School","=""0931211""",05,50,50,100.0,50,12,24.0,13,26.0,"*","*",11,22.0,10,20.0,21,42.0,232
"New Haven School District","=""0930011""","Edgewood School","=""0931211""",08,49,49,100.0,49,14,28.6,"*","*",13,26.5,11,22.4,"*","*","*","*",224
"New Haven School District","=""0930011""","Nathan Hale School","=""0931411""",05,53,53,100.0,53,12,22.6,16,30.2,14,26.4,9,17.0,"*","*","*","*",216
"New Haven School District","=""0930011""","Nathan Hale School","=""0931411""",08,53,53,100.0,53,8,15.1,"*","*",10,18.9,26,49.1,"*","*","*","*",249
"New Haven School District","=""0930011""","Barnard Environmental Magnet School","=""0930211""",05,43,43,100.0,43,16,37.2,10,23.3,"*","*",8,18.6,"*","*","*","*",208
"New Haven School District","=""0930011""","Barnard Environmental Magnet School","=""0930211""",08,37,37,100.0,37,12,32.4,"*","*",6,16.2,10,27.0,"*","*","*","*",228
"New Haven School District","=""0930011""","Beecher School","=""0930311""",05,50,49,98.0,49,16,32.7,"*","*",15,30.6,8,16.3,"*","*","*","*",209
"New Haven School District","=""0930011""","Beecher School","=""0930311""",08,44,44,100.0,44,17,38.6,9,20.5,13,29.5,"*","*","*","*","*","*",213
"New Haven School District","=""0930011""","Clinton Avenue School","=""0930611""",05,63,63,100.0,63,26,41.3,19,30.2,12,19.0,6,9.5,0,0.0,6,9.5,197
"New Haven School District","=""0930011""","Clinton Avenue School","=""0930611""",08,45,45,100.0,45,16,35.6,"*","*",7,15.6,14,31.1,"*","*","*","*",223
"New Haven School District","=""0930011""","Hill Central Music Academy","=""0930711""",05,51,51,100.0,51,"*","*",15,29.4,14,27.5,10,19.6,"*","*","*","*",219
"New Haven School District","=""0930011""","Hill Central Music Academy","=""0930711""",08,53,53,100.0,53,31,58.5,9,17.0,7,13.2,"*","*","*","*",6,11.3,204
"New Haven School District","=""0930011""","John S. Martinez School","=""0930811""",05,53,53,100.0,53,18,34.0,17,32.1,"*","*","*","*",0,0.0,"*","*",201
"New Haven School District","=""0930011""","John S. Martinez School","=""0930811""",08,54,54,100.0,54,16,29.6,13,24.1,10,18.5,15,27.8,0,0.0,15,27.8,223
"New Haven School District","=""0930011""","Davis 21st Century Magnet Elementary School","=""0930911""",05,53,53,100.0,53,10,18.9,"*","*",12,22.6,17,32.1,"*","*","*","*",233
"New Haven School District","=""0930011""","Davis 21st Century Magnet Elementary School","=""0930911""",08,41,41,100.0,41,17,41.5,7,17.1,"*","*",10,24.4,"*","*","*","*",214
"New Haven School District","=""0930011""","Ross/Woodward School","=""0931011""",05,67,67,100.0,67,15,22.4,"*","*",23,34.3,16,23.9,"*","*","*","*",221
"New Haven School District","=""0930011""","Ross/Woodward School","=""0931011""",08,63,63,100.0,63,21,33.3,10,15.9,17,27.0,15,23.8,0,0.0,15,23.8,221
"New Haven School District","=""0930011""","John C. Daniels","=""0931311""",05,49,49,100.0,49,"*","*",11,22.4,"*","*",16,32.7,12,24.5,28,57.1,252
"New Haven School District","=""0930011""","John C. Daniels","=""0931311""",08,42,42,100.0,42,14,33.3,"*","*",14,33.3,"*","*",0,0.0,"*","*",222
"New Haven School District","=""0930011""","Augusta Lewis Troup School","=""0931511""",05,49,48,98.0,48,21,43.8,13,27.1,"*","*","*","*",0,0.0,"*","*",197
"New Haven School District","=""0930011""","Augusta Lewis Troup School","=""0931511""",08,53,51,96.2,51,27,52.9,11,21.6,"*","*","*","*",0,0.0,"*","*",198
"New Haven School District","=""0930011""","Fair Haven School","=""0931611""",05,90,89,98.9,89,45,50.6,25,28.1,"*","*","*","*",0,0.0,"*","*",185
"New Haven School District","=""0930011""","Fair Haven School","=""0931611""",08,87,84,96.6,84,47,56.0,13,15.5,13,15.5,"*","*","*","*",11,13.1,200
"New Haven School District","=""0930011""","Engineering - Science University Magnet School","=""0931711""",08,96,96,100.0,96,9,9.4,9,9.4,14,14.6,42,43.8,22,22.9,64,66.7,264
"New Haven School District","=""0930011""","Engineering - Science University Magnet School","=""0931711""",10,89,89,100.0,88,"*","*","*","*",25,28.4,23,26.1,26,29.5,49,55.7,272
"New Haven School District","=""0930011""","Benjamin Jepson Magnet School","=""0931811""",05,54,54,100.0,54,"*","*",16,29.6,12,22.2,13,24.1,"*","*","*","*",219
"New Haven School District","=""0930011""","Benjamin Jepson Magnet School","=""0931811""",08,46,46,100.0,46,14,30.4,10,21.7,7,15.2,15,32.6,0,0.0,15,32.6,223
"New Haven School District","=""0930011""","Mauro-Sheridan Magnet School","=""0931911""",05,47,47,100.0,47,0,0.0,10,21.3,11,23.4,17,36.2,9,19.1,26,55.3,259
"New Haven School District","=""0930011""","Mauro-Sheridan Magnet School","=""0931911""",08,44,44,100.0,44,"*","*","*","*",12,27.3,19,43.2,6,13.6,25,56.8,257
"New Haven School District","=""0930011""","Lincoln-Bassett School","=""0932011""",05,32,32,100.0,32,"*","*",11,34.4,10,31.3,"*","*",0,0.0,"*","*",198
"New Haven School District","=""0930011""","Katherine Brennan/Clarence Rogers School","=""0932111""",05,44,44,100.0,44,17,38.6,9,20.5,"*","*",9,20.5,"*","*","*","*",208
"New Haven School District","=""0930011""","Katherine Brennan/Clarence Rogers School","=""0932111""",08,20,20,100.0,20,11,55.0,"*","*","*","*","*","*",0,0.0,"*","*",196
"New Haven School District","=""0930011""","New Horizons High School","=""0932211""",10,23,9,39.1,7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Haven School District","=""0930011""","Blake Street Leadership Academy (STEP)","=""0932411""",10,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Haven School District","=""0930011""","New Light High School","=""0932611""",10,14,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Haven School District","=""0930011""","Truman School","=""0932911""",05,66,65,98.5,65,23,35.4,15,23.1,15,23.1,"*","*","*","*",12,18.5,204
"New Haven School District","=""0930011""","Truman School","=""0932911""",08,51,51,100.0,51,21,41.2,10,19.6,13,25.5,"*","*","*","*",7,13.7,214
"New Haven School District","=""0930011""","King/Robinson Magnet School","=""0933011""",05,47,47,100.0,47,16,34.0,16,34.0,"*","*",6,12.8,"*","*","*","*",207
"New Haven School District","=""0930011""","King/Robinson Magnet School","=""0933011""",08,54,54,100.0,54,19,35.2,13,24.1,11,20.4,"*","*","*","*",11,20.4,216
"New Haven School District","=""0930011""","Conte/West Hills Magnet School","=""0933111""",05,67,67,100.0,67,"*","*",22,32.8,15,22.4,15,22.4,"*","*","*","*",221
"New Haven School District","=""0930011""","Conte/West Hills Magnet School","=""0933111""",08,63,63,100.0,63,18,28.6,15,23.8,"*","*",14,22.2,"*","*","*","*",221
"New Haven School District","=""0930011""","Wexler/Grant Community School","=""0933211""",05,46,46,100.0,46,15,32.6,14,30.4,12,26.1,"*","*","*","*","*","*",207
"New Haven School District","=""0930011""","Wexler/Grant Community School","=""0933211""",08,37,35,94.6,35,15,42.9,"*","*",8,22.9,"*","*",0,0.0,"*","*",209
"New Haven School District","=""0930011""","Worthington Hooker School","=""0933811""",05,53,53,100.0,53,"*","*","*","*",6,11.3,18,34.0,23,43.4,41,77.4,282
"New Haven School District","=""0930011""","Worthington Hooker School","=""0933811""",08,39,38,97.4,38,0,0.0,"*","*","*","*",15,39.5,12,31.6,27,71.1,275
"New Haven School District","=""0930011""","Columbus Family Academy","=""0934111""",05,49,49,100.0,49,11,22.4,11,22.4,17,34.7,10,20.4,0,0.0,10,20.4,216
"New Haven School District","=""0930011""","Columbus Family Academy","=""0934111""",08,36,36,100.0,36,"*","*","*","*",13,36.1,10,27.8,0,0.0,10,27.8,226
"New Haven School District","=""0930011""","Clemente Leadership Academy","=""0934211""",05,47,47,100.0,47,13,27.7,13,27.7,15,31.9,6,12.8,0,0.0,6,12.8,209
"New Haven School District","=""0930011""","Clemente Leadership Academy","=""0934211""",08,60,60,100.0,60,42,70.0,10,16.7,"*","*","*","*",0,0.0,"*","*",188
"New Haven School District","=""0930011""","Bishop Woods School","=""0934311""",05,51,50,98.0,50,"*","*",16,32.0,14,28.0,9,18.0,"*","*","*","*",220
"New Haven School District","=""0930011""","Bishop Woods School","=""0934311""",08,50,50,100.0,50,21,42.0,8,16.0,11,22.0,10,20.0,0,0.0,10,20.0,213
"New Haven School District","=""0930011""","East Rock Community Magnet School","=""0934611""",05,50,50,100.0,50,9,18.0,20,40.0,13,26.0,8,16.0,0,0.0,8,16.0,214
"New Haven School District","=""0930011""","East Rock Community Magnet School","=""0934611""",08,42,41,97.6,41,20,48.8,"*","*",8,19.5,8,19.5,"*","*","*","*",215
"New Haven School District","=""0930011""","Celentano BioTech, Health and Medical Magnet School","=""0934811""",05,37,36,97.3,36,10,27.8,9,25.0,10,27.8,"*","*","*","*",7,19.4,212
"New Haven School District","=""0930011""","Celentano BioTech, Health and Medical Magnet School","=""0934811""",08,30,30,100.0,30,11,36.7,6,20.0,7,23.3,"*","*","*","*",6,20.0,217
"New Haven School District","=""0930011""","Betsy Ross Arts Magnet School","=""0935511""",05,100,100,100.0,100,17,17.0,23,23.0,25,25.0,23,23.0,12,12.0,35,35.0,232
"New Haven School District","=""0930011""","Betsy Ross Arts Magnet School","=""0935511""",08,114,114,100.0,114,31,27.2,"*","*",25,21.9,35,30.7,"*","*","*","*",226
"New Haven School District","=""0930011""","Domus Academy","=""0935611""",08,13,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Haven School District","=""0930011""","Metropolitan Business Academy","=""0936011""",10,102,96,94.1,96,23,24.0,30,31.3,31,32.3,"*","*","*","*",12,12.5,218
"New Haven School District","=""0930011""","Wilbur Cross High School","=""0936111""",10,372,300,80.6,288,104,36.1,59,20.5,78,27.1,19,6.6,28,9.7,47,16.3,215
"New Haven School District","=""0930011""","James Hillhouse High School","=""0936211""",10,234,188,80.3,182,88,48.4,53,29.1,37,20.3,"*","*","*","*","*","*",193
"New Haven School District","=""0930011""","Hill Regional Career High School","=""0936311""",10,172,170,98.8,169,20,11.8,56,33.1,54,32.0,20,11.8,19,11.2,39,23.1,233
"New Haven School District","=""0930011""","Cooperative High School","=""0936411""",10,168,163,97.0,162,23,14.2,36,22.2,64,39.5,18,11.1,21,13.0,39,24.1,237
"New Haven School District","=""0930011""","High School In The Community","=""0936611""",10,72,71,98.6,71,22,31.0,21,29.6,20,28.2,"*","*","*","*",8,11.3,211
"New Haven School District","=""0930011""","Sound School","=""0936711""",10,91,86,94.5,84,"*","*","*","*",24,28.6,34,40.5,14,16.7,48,57.1,260
"New Haven School District","=""0930011""","Hyde School of Health, Science and Sports Medicine","=""0936811""",10,54,52,96.3,52,14,26.9,16,30.8,15,28.8,"*","*","*","*",7,13.5,212
"New Haven School District","=""0930011""","New Haven Academy","=""0937011""",10,66,65,98.5,60,15,25.0,16,26.7,22,36.7,"*","*","*","*",7,11.7,216
"New Haven School District","=""0930011""","Riverside Education Academy","=""0939111""",08,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Haven School District","=""0930011""","Riverside Education Academy","=""0939111""",10,11,7,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Haven School District","=""0930011""","Polly T. McCabe Center","=""0939211""",08,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Haven School District","=""0930011""","Polly T. McCabe Center","=""0939211""",10,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"New London School District","=""0950011""","Jennings School","=""0950311""",05,86,86,100.0,86,23,26.7,26,30.2,20,23.3,15,17.4,"*","*","*","*",208
"New London School District","=""0950011""","Winthrop STEM Elementary Magnet School","=""0950811""",05,78,77,98.7,77,13,16.9,13,16.9,13,16.9,24,31.2,14,18.2,38,49.4,244
"New London School District","=""0950011""","Nathan Hale Arts Magnet School","=""0950911""",05,90,89,98.9,89,"*","*",20,22.5,23,25.8,31,34.8,"*","*","*","*",233
"New London School District","=""0950011""","Bennie Dover Jackson Middle School","=""0955111""",05,20,20,100.0,20,0,0.0,0,0.0,0,0.0,8,40.0,12,60.0,20,100.0,316
"New London School District","=""0950011""","Bennie Dover Jackson Middle School","=""0955111""",08,179,174,97.2,174,63,36.2,"*","*",31,17.8,49,28.2,"*","*","*","*",222
"New London School District","=""0950011""","New London High School","=""0956111""",10,235,218,92.8,216,54,25.0,43,19.9,65,30.1,24,11.1,30,13.9,54,25.0,228
"New Milford School District","=""0960011""","Sarah Noble Intermediate School","=""0960911""",05,334,332,99.4,332,17,5.1,22,6.6,76,22.9,157,47.3,60,18.1,217,65.4,261
"New Milford School District","=""0960011""","Schaghticoke Middle School","=""0965211""",08,354,354,100.0,353,20,5.7,26,7.4,56,15.9,190,53.8,61,17.3,251,71.1,264
"New Milford School District","=""0960011""","New Milford High School","=""0966111""",10,361,343,95.0,342,12,3.5,21,6.1,110,32.2,86,25.1,113,33.0,199,58.2,275
"Newington School District","=""0940011""","Martin Kellogg Middle School","=""0945111""",05,146,146,100.0,146,"*","*","*","*",35,24.0,72,49.3,22,15.1,94,64.4,260
"Newington School District","=""0940011""","Martin Kellogg Middle School","=""0945111""",08,159,158,99.4,158,12,7.6,8,5.1,36,22.8,80,50.6,22,13.9,102,64.6,259
"Newington School District","=""0940011""","John Wallace Middle School","=""0945311""",05,161,161,100.0,161,8,5.0,12,7.5,38,23.6,68,42.2,35,21.7,103,64.0,262
"Newington School District","=""0940011""","John Wallace Middle School","=""0945311""",08,160,160,100.0,160,6,3.8,9,5.6,21,13.1,83,51.9,41,25.6,124,77.5,274
"Newington School District","=""0940011""","Newington High School","=""0946111""",10,297,295,99.3,295,22,7.5,29,9.8,108,36.6,70,23.7,66,22.4,136,46.1,259
"Newtown School District","=""0970011""","Reed Intermediate School","=""0970511""",05,339,338,99.7,338,6,1.8,21,6.2,53,15.7,199,58.9,59,17.5,258,76.3,269
"Newtown School District","=""0970011""","Newtown Middle School","=""0975111""",08,412,410,99.5,410,"*","*","*","*",42,10.2,227,55.4,119,29.0,346,84.4,280
"Newtown School District","=""0970011""","Newtown High School","=""0976111""",10,415,411,99.0,411,"*","*","*","*",70,17.0,91,22.1,233,56.7,324,78.8,298
"Norfolk School District","=""0980011""","Botelle Elementary School","=""0980111""",05,11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"North Branford School District","=""0990011""","Totoket Valley Elementary School","=""0990611""",05,143,143,100.0,143,"*","*","*","*",31,21.7,74,51.7,19,13.3,93,65.0,259
"North Branford School District","=""0990011""","North Branford Intermediate School","=""0995111""",08,156,153,98.1,153,14,9.2,9,5.9,22,14.4,82,53.6,26,17.0,108,70.6,262
"North Branford School District","=""0990011""","North Branford High School","=""0996111""",10,149,146,98.0,146,"*","*","*","*",36,24.7,41,28.1,54,37.0,95,65.1,282
"North Canaan School District","=""1000011""","North Canaan Elementary School","=""1000111""",05,20,20,100.0,20,0,0.0,"*","*","*","*",11,55.0,"*","*","*","*",264
"North Canaan School District","=""1000011""","North Canaan Elementary School","=""1000111""",08,21,20,95.2,20,"*","*","*","*","*","*",9,45.0,"*","*","*","*",248
"North Haven School District","=""1010011""","Montowese Elementary School","=""1010211""",05,56,55,98.2,55,"*","*","*","*",10,18.2,28,50.9,11,20.0,39,70.9,265
"North Haven School District","=""1010011""","Ridge Road Elementary School","=""1010311""",05,59,59,100.0,59,"*","*","*","*",12,20.3,27,45.8,9,15.3,36,61.0,257
"North Haven School District","=""1010011""","Green Acres Elementary School","=""1010711""",05,59,59,100.0,59,"*","*","*","*",9,15.3,30,50.8,14,23.7,44,74.6,271
"North Haven School District","=""1010011""","Clintonville Elementary School","=""1010811""",05,54,54,100.0,54,"*","*",7,13.0,19,35.2,21,38.9,"*","*","*","*",242
"North Haven School District","=""1010011""","North Haven Middle School","=""1015211""",08,274,273,99.6,273,15,5.5,26,9.5,58,21.2,134,49.1,40,14.7,174,63.7,259
"North Haven School District","=""1010011""","North Haven High School","=""1016111""",10,246,239,97.2,239,8,3.3,18,7.5,74,31.0,53,22.2,86,36.0,139,58.2,277
"North Stonington School District","=""1020011""","North Stonington Elementary School","=""1020111""",05,56,55,98.2,55,0,0.0,0,0.0,"*","*","*","*",32,58.2,"*","*",308
"North Stonington School District","=""1020011""","Wheeler Middle School","=""1025111""",08,52,52,100.0,52,0,0.0,"*","*","*","*",25,48.1,18,34.6,43,82.7,282
"North Stonington School District","=""1020011""","Wheeler High School","=""1026111""",10,46,46,100.0,46,"*","*","*","*",14,30.4,10,21.7,18,39.1,28,60.9,277
"Norwalk School District","=""1030011""","Brookside Elementary School","=""1030211""",05,63,63,100.0,63,12,19.0,6,9.5,14,22.2,21,33.3,10,15.9,31,49.2,241
"Norwalk School District","=""1030011""","Columbus Magnet School","=""1030311""",05,41,41,100.0,41,"*","*","*","*",8,19.5,13,31.7,13,31.7,26,63.4,268
"Norwalk School District","=""1030011""","Cranbury Elementary School","=""1030411""",05,67,67,100.0,67,6,9.0,8,11.9,10,14.9,30,44.8,13,19.4,43,64.2,259
"Norwalk School District","=""1030011""","Jefferson Magnet School","=""1030711""",05,105,104,99.0,104,11,10.6,11,10.6,23,22.1,44,42.3,15,14.4,59,56.7,250
"Norwalk School District","=""1030011""","Kendall Elementary School","=""1030811""",05,87,87,100.0,87,12,13.8,14,16.1,26,29.9,25,28.7,10,11.5,35,40.2,236
"Norwalk School District","=""1030011""","Rowayton School","=""1031311""",05,73,73,100.0,73,"*","*","*","*",8,11.0,31,42.5,22,30.1,53,72.6,266
"Norwalk School District","=""1030011""","Tracey School","=""1031411""",05,63,62,98.4,62,8,12.9,11,17.7,13,21.0,23,37.1,7,11.3,30,48.4,244
"Norwalk School District","=""1030011""","Fox Run Elementary School","=""1032011""",05,66,66,100.0,66,"*","*","*","*",15,22.7,26,39.4,14,21.2,40,60.6,259
"Norwalk School District","=""1030011""","Naramake Elementary School","=""1032111""",05,58,58,100.0,58,"*","*","*","*",14,24.1,31,53.4,"*","*","*","*",255
"Norwalk School District","=""1030011""","Marvin Elementary School","=""1032211""",05,71,71,100.0,71,9,12.7,6,8.5,22,31.0,26,36.6,8,11.3,34,47.9,243
"Norwalk School District","=""1030011""","Silvermine Elementary School","=""1032311""",05,77,77,100.0,77,12,15.6,19,24.7,20,26.0,19,24.7,7,9.1,26,33.8,226
"Norwalk School District","=""1030011""","Wolfpit School","=""1032411""",05,47,47,100.0,47,"*","*","*","*",15,31.9,14,29.8,7,14.9,21,44.7,247
"Norwalk School District","=""1030011""","Nathan Hale Middle School","=""1035211""",08,212,212,100.0,212,30,14.2,21,9.9,23,10.8,98,46.2,40,18.9,138,65.1,257
"Norwalk School District","=""1030011""","Ponus Ridge Middle School","=""1035311""",08,223,223,100.0,223,52,23.3,37,16.6,45,20.2,74,33.2,15,6.7,89,39.9,234
"Norwalk School District","=""1030011""","West Rocks Middle School","=""1035411""",08,207,206,99.5,206,30,14.6,24,11.7,45,21.8,80,38.8,27,13.1,107,51.9,247
"Norwalk School District","=""1030011""","Roton Middle School","=""1035511""",08,155,154,99.4,154,23,14.9,15,9.7,34,22.1,62,40.3,20,13.0,82,53.2,251
"Norwalk School District","=""1030011""","Norwalk High School","=""1036111""",10,413,400,96.9,399,54,13.5,57,14.3,148,37.1,71,17.8,69,17.3,140,35.1,248
"Norwalk School District","=""1030011""","Brien McMahon High School","=""1036211""",10,423,413,97.6,411,53,12.9,66,16.1,140,34.1,87,21.2,65,15.8,152,37.0,245
"Norwalk School District","=""1030011""","Norwalk Pathways Academy at Briggs","=""1036311""",10,20,15,75.0,15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Norwich Free Academy District","=""9010022""","Night School","=""9010222""",10,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","=""9016122""",10,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Norwich School District","=""1040011""","Virtual Learning Academy","=""1049211""",10,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Norwich School District","=""1040011""","IRS Program at Uncas","=""1040711""",05,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Norwich School District","=""1040011""","Samuel Huntington School","=""1040811""",05,53,52,98.1,52,"*","*","*","*",11,21.2,23,44.2,7,13.5,30,57.7,250
"Norwich School District","=""1040011""","IRS Program at Moriarty","=""1040911""",05,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Norwich School District","=""1040011""","John B. Stanton Network School","=""1041411""",05,61,61,100.0,61,12,19.7,"*","*",14,23.0,23,37.7,"*","*","*","*",233
"Norwich School District","=""1040011""","Wequonnoc Magnet School","=""1041511""",05,39,39,100.0,39,"*","*",13,33.3,10,25.6,9,23.1,"*","*","*","*",220
"Norwich School District","=""1040011""","Thomas W. Mahan School","=""1041711""",05,36,36,100.0,36,"*","*","*","*","*","*",19,52.8,6,16.7,25,69.4,262
"Norwich School District","=""1040011""","Veterans' Memorial School","=""1041811""",05,56,56,100.0,56,14,25.0,"*","*",17,30.4,13,23.2,"*","*","*","*",219
