"Student Counts by School and Free/Reduced Lunch Eligibility"
"All Districts, All Schools"
"2007-08"

"",,,,"Free/Reduced Lunch Eligibility",,,
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""",12,89,0,101
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""",37,267,12,316
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""",27,221,14,262
"Canton School District","=""0230011""","Canton High School","=""0236111""","*",497,"*",514
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""","*",395,"*",405
"Canton School District","=""0230011""","Canton Middle School","=""0235111""","*",259,"*",270
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""","*",529,"*",538
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""",19,220,18,257
"Capitol Region Education Council","=""2410014""","Great Path Academy at MCC","=""2416314""",25,80,6,111
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",18,25,0,43
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","*",284,"*",389
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",133,479,64,676
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""",26,234,69,329
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""",126,406,50,582
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""",78,284,44,406
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""",28,169,13,210
"Cheshire School District","=""0250011""","Chapman School","=""0250111""","*",323,"*",332
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",24,1571,17,1612
"Cheshire School District","=""0250011""","Darcey School","=""0250211""",0,393,0,393
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""",20,791,13,824
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""",21,505,11,537
"Cheshire School District","=""0250011""","Highland School","=""0250411""",21,867,20,908
"Cheshire School District","=""0250011""","Humiston School","=""0259011""","*","*",0,23
"Cheshire School District","=""0250011""","Norton School","=""0250511""","*",477,"*",493
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""","*",323,"*",341
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""",18,309,11,338
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""",25,418,19,462
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""",40,609,18,667
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",19,599,20,638
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",43,924,15,982
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""",27,739,8,774
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""",57,594,30,681
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""",53,718,30,801
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""","*",109,"*",122
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""",22,553,11,586
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",78,53,21,152
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",256,281,44,581
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",285,487,106,878
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",147,276,38,461
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",203,286,40,529
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",115,433,41,589
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",56,450,24,530
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",122,515,59,696
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",65,461,37,563
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",60,471,39,570
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",51,485,28,564
"Connecticut Technical High School System","=""9000016""","J. M. Wright Technical High School","=""9002116""",68,162,25,255
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",49,326,35,410
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",56,623,41,720
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",117,677,59,853
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",56,507,24,587
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",171,476,57,704
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",80,374,29,483
"Cooperative Educational Services","=""2430014""","C. E. S. Special Education","=""2439014""",107,122,11,240
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""",79,298,58,435
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""",7,122,0,129
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""",29,496,14,539
"Coventry School District","=""0320011""","Coventry Early Intervention Services","=""0328011""",0,11,0,11
"Coventry School District","=""0320011""","Coventry Grammar School","=""0320211""",22,390,13,425
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",31,501,27,559
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""",28,421,25,474
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",29,505,25,559
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""",31,419,23,473
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""",41,430,14,485
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""",34,411,27,472
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",38,53,6,97
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""",234,824,86,1144
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",548,2112,175,2835
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""",139,147,47,333
"Danbury School District","=""0340011""","Great Plain School","=""0341111""",71,212,32,315
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""",94,260,46,400
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""",59,237,21,317
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""",52,221,21,294
"Danbury School District","=""0340011""","Mill Ridge Educational Center","=""0341811""",76,237,34,347
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""",77,192,29,298
"Danbury School District","=""0340011""","Morris Street School","=""0340611""",151,122,70,343
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""",182,162,32,376
"Danbury School District","=""0340011""","Pembroke School","=""0341511""",80,229,27,336
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""",285,636,110,1031
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""",100,199,39,338
"Danbury School District","=""0340011""","South Street School","=""0341011""",134,137,35,306
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""",100,322,33,455
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""",19,288,10,317
"Darien School District","=""0350011""","Darien High School","=""0356111""","*",1140,"*",1180
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""",0,519,0,519
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""","*",476,"*",484
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""",10,1096,11,1117
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""","*","*",0,512
"Darien School District","=""0350011""","Royle Elementary School","=""0350511""","*",441,"*",451
"Darien School District","=""0350011""","Tokeneke Elementary School","=""0350611""",0,"*","*",390
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""",24,351,14,389
"Department of Mental Health and Addiction Services","=""3370015""","Cedarcrest Regional Hosp - Blue Hills Hosp. Substance Ab","=""3370315""",0,7,0,7
"Department of Mental Health and Addiction Services","=""3370015""","Connecticut Mental Health Center","=""3370415""",0,"*",0,"*"
"Department of Mental Health and Addiction Services","=""3370015""","Connecticut Valley Hospital","=""3370215""",0,"*",0,"*"
"Department of Mental Health and Addiction Services","=""3370015""","Greater Bridgeport Community Mental Health Center","=""3370515""",0,"*",0,"*"
"Derby School District","=""0370011""","Bradley School","=""0370611""",85,255,24,364
"Derby School District","=""0370011""","Derby High School","=""0376111""",170,448,51,669
"Derby School District","=""0370011""","Irving School","=""0370411""",203,156,58,417
"East Granby School District","=""0400011""","Allgrove School","=""0400111""","*","*",0,294
"East Granby School District","=""0400011""","East Granby High School","=""0406111""","*","*",0,258
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""","*","*",0,218
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""","*","*",0,141
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""",17,504,15,536
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",15,379,12,406
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""",18,453,6,477
"East Hampton School District","=""0420011""","Center School","=""0420311""",22,316,11,349
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",34,540,6,580
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""",32,466,10,508
"East Hampton School District","=""0420011""","Memorial School","=""0420111""",25,594,14,633
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""",138,121,39,298
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",20,131,15,166
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""",197,164,47,408
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""",130,191,26,347
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""",55,212,47,314
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",633,1176,213,2022
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""",349,524,129,1002
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""",68,251,33,352
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""",170,156,28,354
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""",82,194,44,320
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""",223,208,33,464
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""",151,134,38,323
"East Hartford School District","=""0430011""","Stevens Alternate High School","=""0436411""",40,101,10,151
"East Hartford School District","=""0430011""","Sunset Ridge Middle School","=""0432411""",169,227,56,452
"East Hartford School District","=""0430011""","Willowbrook Early Childhood","=""0438011""","*",193,"*",288
"East Hartford School District","=""0430011""","Woodland School","=""0439011""",67,95,18,180
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""",16,188,17,221
"East Haven School District","=""0440011""","D. C. Moore School","=""0441411""",87,128,24,239
"East Haven School District","=""0440011""","Deer Run School","=""0440111""",78,227,30,335
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""",29,131,26,186
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",126,891,80,1097
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""",44,138,30,212
"East Haven School District","=""0440011""","Hays School","=""0441911""",22,147,9,178
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""",98,331,53,482
"East Haven School District","=""0440011""","Momauguin School","=""0440711""",89,96,24,209
"East Haven School District","=""0440011""","Overbrook Elementary School","=""0441811""",40,113,12,165
"East Haven School District","=""0440011""","Pathways","=""0449011""","*",19,"*",35
"East Haven School District","=""0440011""","Robert W. Carbone School","=""0441611""",65,206,48,319
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",21,1272,11,1304
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""",39,848,26,913
"East Lyme School District","=""0450011""","Flanders School","=""0450111""","*",387,"*",399
"East Lyme School District","=""0450011""","Integrated Preschool","=""0458011""",0,53,0,53
"East Lyme School District","=""0450011""","Lillie B. Haynes School","=""0450411""",22,302,16,340
"East Lyme School District","=""0450011""","Niantic Center School","=""0450211""",15,217,9,241
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""",128,460,32,620
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",69,354,33,456
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""",79,281,40,400
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","*","*",0,20
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EastConn Special Education","=""2539014""",9,28,7,44
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""",7,173,7,187
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""","*",375,"*",377
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""","*",797,"*",801
"EdAdvance","=""2420014""","EdAdvance Headstart","=""2428014""",156,0,0,156
"EdAdvance","=""2420014""","The ACCESS School at The Danuta M. Thibodeau Education Center","=""2429014""","*","*",0,23
"Ellington School District","=""0480011""","Center School","=""0480111""",13,386,9,408
"Ellington School District","=""0480011""","Crystal Lake School","=""0480211""","*",195,"*",207
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",16,741,13,770
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""",13,388,7,408
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""",12,379,10,401
"Ellington School District","=""0480011""","Windermere School","=""0480611""","*",387,"*",404
"Elm City College Preparatory School","=""2810013""","Elm City College Preparatory School","=""2810113""",261,131,84,476
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""",22,332,9,363
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""",66,288,33,387
"Enfield School District","=""0490011""","Enfield High School","=""0496111""",135,727,64,926
"Enfield School District","=""0490011""","Enfield Street School","=""0490211""",89,209,35,333
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""",82,1016,58,1156
"Enfield School District","=""0490011""","Harriet Beecher Stowe School","=""0491211""",42,224,16,282
"Enfield School District","=""0490011""","Hazardville Memorial School","=""0490411""",45,350,18,413
"Enfield School District","=""0490011""","Head Start Program","=""0498011""",85,8,11,104
"Enfield School District","=""0490011""","Henry Barnard School","=""0491811""",106,286,37,429
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""",158,769,65,992
"Enfield School District","=""0490011""","Nathan Hale School","=""0491111""",27,228,17,272
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""",56,334,26,416
"Enfield School District","=""0490011""","Thomas G. Alcorn School","=""0491711""",178,73,32,283
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""",10,533,8,551
"Explorations District","=""2720013""","Explorations","=""2726113""",18,60,8,86
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""","*",439,"*",445
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""","*","*",0,340
"Fairfield School District","=""0510011""","Early Childhood Center","=""0518011""","*","*",0,121
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""",31,1332,17,1380
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""",47,1162,22,1231
"Fairfield School District","=""0510011""","Fairfield Woods Middle School","=""0515211""","*",580,"*",597
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""",22,316,20,358
"Fairfield School District","=""0510011""","Jennings School","=""0511711""",7,339,7,353
"Fairfield School District","=""0510011""","McKinley School","=""0510611""",63,360,39,462
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""","*",459,"*",465
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""",7,478,10,495
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""","*",510,"*",519
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""","*",463,"*",473
"Fairfield School District","=""0510011""","Roger Ludlowe Middle School","=""0515311""",56,797,34,887
"Fairfield School District","=""0510011""","Sherman School","=""0511311""",10,433,10,453
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""","*",450,"*",460
"Fairfield School District","=""0510011""","Tomlinson Middle School","=""0515111""",20,707,10,737
"Farmington School District","=""0520011""","East Farms School","=""0520411""","*",417,"*",430
"Farmington School District","=""0520011""","Farmington Collaborative PK","=""0528011""","*",55,"*",57
"Farmington School District","=""0520011""","Farmington High School","=""0526111""",52,1320,17,1389
"Farmington School District","=""0520011""","Irving A. Robbins Middle School","=""0525111""",25,617,10,652
"Farmington School District","=""0520011""","Noah Wallace School","=""0520211""","*",312,"*",330
"Farmington School District","=""0520011""","Union School","=""0520111""","*",272,"*",298
"Farmington School District","=""0520011""","West District School","=""0520311""","*",334,"*",350
"Farmington School District","=""0520011""","West Woods Upper Elementary School","=""0520511""",35,640,12,687
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""",12,211,10,233
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""","*",548,"*",575
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""","*","*",0,357
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""",15,526,10,551
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""",65,1962,38,2065
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""","*",514,"*",525
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""",6,529,7,542
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""",61,407,13,481
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""","*",664,"*",675
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""",29,1024,17,1070
"Granby School District","=""0560011""","Frank M. Kearns Primary School","=""0560111""",11,479,7,497
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""",16,726,7,749
"Granby School District","=""0560011""","Granby Memorial Middle School","=""0565111""",11,357,6,374
"Granby School District","=""0560011""","Kelly Lane Primary School","=""0560411""",16,340,7,363
"Granby School District","=""0560011""","Wells Road Intermediate School","=""0560311""",14,321,9,344
"Greenwich School District","=""0570011""","Central Middle School","=""0575111""",44,655,14,713
"Greenwich School District","=""0570011""","Cos Cob School","=""0570211""",14,387,6,407
"Greenwich School District","=""0570011""","Eastern Middle School","=""0575211""","*",708,"*",725
"Greenwich School District","=""0570011""","Glenville School","=""0570411""","*",331,"*",344
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""",161,2459,73,2693
