"District","District Code","School","School Code","Gender","Count","%"
"Hartford School District","=""0640011""","Milner Elementary School","=""0641911""","Female",42,21.5
"Hartford School District","=""0640011""","Milner Elementary School","=""0641911""","Male",90,41.9
"Hartford School District","=""0640011""","Montessori Magnet School at Annie Fisher","=""0643711""","Female","N/A","N/A"
"Hartford School District","=""0640011""","Montessori Magnet School at Annie Fisher","=""0643711""","Male","N/A","N/A"
"Hartford School District","=""0640011""","Noah Webster Micro Society School","=""0642011""","Female",21,7.2
"Hartford School District","=""0640011""","Noah Webster Micro Society School","=""0642011""","Male",45,14.0
"Hartford School District","=""0640011""","OPPortunity High School","=""0647811""","Female",7,16.7
"Hartford School District","=""0640011""","OPPortunity High School","=""0647811""","Male",9,25.7
"Hartford School District","=""0640011""","Parkville Community School","=""0641511""","Female",22,8.9
"Hartford School District","=""0640011""","Parkville Community School","=""0641511""","Male",33,12.4
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","=""0646611""","Female",28,19.2
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","=""0646611""","Male",43,21.5
"Hartford School District","=""0640011""","Quirk Middle School","=""0645211""","Female",28,25.0
"Hartford School District","=""0640011""","Quirk Middle School","=""0645211""","Male",49,43.0
"Hartford School District","=""0640011""","R.J. Kinsella Magnet School of Performing Arts","=""0641111""","Female",26,7.3
"Hartford School District","=""0640011""","R.J. Kinsella Magnet School of Performing Arts","=""0641111""","Male",60,23.4
"Hartford School District","=""0640011""","SAND School","=""0640111""","Female",17,7.7
"Hartford School District","=""0640011""","SAND School","=""0640111""","Male",43,21.7
"Hartford School District","=""0640011""","STEM Magnet School at Annie Fisher","=""0642511""","Female",12,10.8
"Hartford School District","=""0640011""","STEM Magnet School at Annie Fisher","=""0642511""","Male",34,25.2
"Hartford School District","=""0640011""","Sanchez School","=""0643011""","Female",20,8.1
"Hartford School District","=""0640011""","Sanchez School","=""0643011""","Male",72,27.8
"Hartford School District","=""0640011""","Sarah J. Rawson Elementary School","=""0641711""","Female",68,19.7
"Hartford School District","=""0640011""","Sarah J. Rawson Elementary School","=""0641711""","Male",138,33.1
"Hartford School District","=""0640011""","Simpson-Waverly School","=""0642611""","Female",41,18.2
"Hartford School District","=""0640011""","Simpson-Waverly School","=""0642611""","Male",53,23.8
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","=""0646511""","Female",49,16.2
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","=""0646511""","Male",75,26.2
"Hartford School District","=""0640011""","University High of Science and Engineering","=""0646711""","Female",18,13.0
"Hartford School District","=""0640011""","University High of Science and Engineering","=""0646711""","Male",27,12.5
"Hartford School District","=""0640011""","Weaver High School","=""0646311""","Female",26,16.6
"Hartford School District","=""0640011""","Weaver High School","=""0646311""","Male",51,32.5
"Hartford School District","=""0640011""","West Middle School","=""0642111""","Female",64,18.1
"Hartford School District","=""0640011""","West Middle School","=""0642111""","Male",110,30.3
"Meriden School District","=""0800011""","Benjamin Franklin School","=""0800111""","Female","*","*"
"Meriden School District","=""0800011""","Benjamin Franklin School","=""0800111""","Male","*","*"
"Meriden School District","=""0800011""","Casimir Pulaski School","=""0801111""","Female",10,2.9
"Meriden School District","=""0800011""","Casimir Pulaski School","=""0801111""","Male",42,12.1
"Meriden School District","=""0800011""","Francis T. Maloney High School","=""0806111""","Female",154,25.2
"Meriden School District","=""0800011""","Francis T. Maloney High School","=""0806111""","Male",232,37.0
"Meriden School District","=""0800011""","Hanover School","=""0800311""","Female","*","*"
"Meriden School District","=""0800011""","Hanover School","=""0800311""","Male","*","*"
"Meriden School District","=""0800011""","Israel Putnam School","=""0800411""","Female",42,17.1
"Meriden School District","=""0800011""","Israel Putnam School","=""0800411""","Male",127,39.8
"Meriden School District","=""0800011""","John Barry School","=""0800511""","Female",9,3.7
"Meriden School District","=""0800011""","John Barry School","=""0800511""","Male",39,14.9
"Meriden School District","=""0800011""","Lincoln Middle School","=""0805211""","Female",67,18.8
"Meriden School District","=""0800011""","Lincoln Middle School","=""0805211""","Male",153,37.4
"Meriden School District","=""0800011""","Nathan Hale School","=""0800711""","Female","N/A","N/A"
"Meriden School District","=""0800011""","Nathan Hale School","=""0800711""","Male","N/A","N/A"
"Meriden School District","=""0800011""","Orville H. Platt High School","=""0806211""","Female",204,36.2
"Meriden School District","=""0800011""","Orville H. Platt High School","=""0806211""","Male",247,45.9
"Meriden School District","=""0800011""","Roger Sherman School","=""0800811""","Female","*","*"
"Meriden School District","=""0800011""","Roger Sherman School","=""0800811""","Male","*","*"
"Meriden School District","=""0800011""","Thomas Hooker School","=""0801011""","Female","N/A","N/A"
"Meriden School District","=""0800011""","Thomas Hooker School","=""0801011""","Male",11,4.3
"Meriden School District","=""0800011""","Washington Middle School","=""0805411""","Female",94,22.3
"Meriden School District","=""0800011""","Washington Middle School","=""0805411""","Male",179,37.9
"Middletown School District","=""0830011""","Bielefield School","=""0830211""","Female","N/A","N/A"
"Middletown School District","=""0830011""","Bielefield School","=""0830211""","Male","N/A","N/A"
"Middletown School District","=""0830011""","Comm Based PreK","=""0838741""","Female","N/A","*"
"Middletown School District","=""0830011""","Comm Based PreK","=""0838741""","Male","N/A","*"
"Middletown School District","=""0830011""","DEAL Program","=""0839011""","Female","N/A","*"
"Middletown School District","=""0830011""","DEAL Program","=""0839011""","Male","N/A","*"
"Middletown School District","=""0830011""","Farm Hill School","=""0830511""","Female","N/A","N/A"
"Middletown School District","=""0830011""","Farm Hill School","=""0830511""","Male","*","*"
"Middletown School District","=""0830011""","Keigwin Middle School","=""0831511""","Female",18,9.9
"Middletown School District","=""0830011""","Keigwin Middle School","=""0831511""","Male",51,27.3
"Middletown School District","=""0830011""","Lawrence School","=""0831311""","Female","*","*"
"Middletown School District","=""0830011""","Lawrence School","=""0831311""","Male","*","*"
"Middletown School District","=""0830011""","MacDonough School","=""0830911""","Female","N/A","N/A"
