"Four-Year Graduation Rates, Trend"
"All Districts, All Schools, All Students"

"",,"Graduates",,,,
"",,"Four-Year Graduation Rate by Year",,,,
"District","School","2010-11","2011-12","2012-13","2013-14","2014-15"
"Naugatuck School District","Naugatuck High School",82.7,84.7,78.4,81.9,85.6
"New Britain School District","New Britain High School",52.3,63.3,63.7,65.5,70.0
"New Canaan School District","New Canaan High School",97.7,97.9,97.6,98.7,99.0
"New Fairfield School District","New Fairfield High School",90.9,97.8,96.1,98.3,99.2
"New Haven School District","Cooperative High School",83.5,90.4,89.6,93.9,94.5
"New Haven School District","Engineering - Science University Magnet School","N/A","N/A","N/A","N/A",94.8
"New Haven School District","High School In The Community",60.5,53.9,56.9,47.5,45.8
"New Haven School District","Hill Regional Career High School",85.5,88.5,92.2,87.9,91.0
"New Haven School District","Hyde School of Health, Science and Sports Medicine",75.0,79.2,77.8,89.2,90.0
"New Haven School District","James Hillhouse High School",51.4,54.9,57.7,69.4,70.6
"New Haven School District","Metropolitan Business Academy",81.8,81.8,81.1,90.2,85.9
"New Haven School District","New Haven Academy",63.2,68.2,66.7,84.6,73.8
"New Haven School District","Sound School",87.3,92.9,92.5,92.9,88.9
"New Haven School District","Wilbur Cross High School",58.1,69.0,64.3,65.1,66.2
"New London School District","New London High School",63.9,64.9,64.8,72.6,76.7
"New Milford School District","New Milford High School",88.0,92.1,89.2,91.0,93.0
"Newington School District","Newington High School",84.6,90.3,90.6,93.1,92.7
"Newtown School District","Newtown High School",94.1,95.1,94.4,96.9,96.6
"North Branford School District","North Branford High School",94.3,94.3,95.9,92.5,95.0
"North Haven School District","North Haven High School",88.1,95.4,88.3,91.6,94.7
"North Stonington School District","Wheeler High School",89.6,87.0,95.8,96.4,92.2
"Norwalk School District","Brien McMahon High School",87.4,88.8,88.8,"*",95.0
"Norwalk School District","Norwalk High School",85.3,84.8,89.4,91.7,91.0
"Norwalk School District","Norwalk Pathways Academy at Briggs",55.8,31.3,15.8,"*",40.5
"Norwich Free Academy District","Norwich Free Academy",83.1,86.0,85.5,87.7,88.5
"Norwich School District","Thames River Academy","*","*","N/A","N/A","N/A"
"Old Saybrook School District","Old Saybrook Senior High School",94.2,95.8,94.9,94.0,96.0
"Oxford School District","Oxford High School",95.5,91.8,98.0,97.1,95.8
"Plainfield School District","Plainfield High School",86.7,87.3,84.7,84.8,81.9
"Plainville School District","Plainville High School",88.8,93.7,90.1,91.2,89.8
"Plymouth School District","Terryville High School",91.9,84.2,87.8,92.1,89.7
"Portland School District","Portland High School",83.5,91.3,87.0,92.9,91.2
"Putnam School District","Putnam High School",79.7,88.3,80.4,86.2,92.7
"Regional School District 01","Housatonic Valley Regional High School",83.2,95.6,90.7,89.2,94.2
"Regional School District 04","Valley Regional High School",88.8,91.9,95.7,97.8,97.8
"Regional School District 05","Amity Regional High School",93.1,96.8,96.4,97.3,97.1
"Regional School District 06","Wamogo Regional High School",88.3,96.5,95.9,93.5,96.5
"Regional School District 07","Northwestern Regional High School",96.3,98.3,97.1,98.4,99.2
"Regional School District 08","RHAM High School",84.6,91.2,"*",94.1,92.9
"Regional School District 08","Region Alternative High School","N/A","N/A","*","N/A","N/A"
"Regional School District 09","Joel Barlow High School",95.5,98.3,95.7,96.8,98.0
"Regional School District 10","Lewis S. Mills High School",96.6,96.5,92.4,94.8,97.3
"Regional School District 11","Parish Hill High School",77.1,95.1,92.3,92.3,100.0
"Regional School District 12","Shepaug Valley High School",86.0,84.9,94.0,"N/A","N/A"
"Regional School District 12","Shepaug Valley School","N/A","N/A","N/A",98.7,97.1
"Regional School District 13","Coginchaug Regional High School",93.5,97.9,97.9,96.2,100.0
"Regional School District 14","Nonnewaug High School",94.9,97.9,93.9,97.6,98.9
"Regional School District 15","Pomperaug Regional High School",92.0,93.6,94.9,96.9,95.5
"Regional School District 16","Woodland Regional High School",88.3,92.3,90.2,94.9,96.3
"Regional School District 17","Haddam-Killingworth High School",92.8,93.7,96.9,98.7,97.0
"Regional School District 18","Lyme-Old Lyme High School",98.5,98.1,95.6,97.2,95.5
"Regional School District 19","E. O. Smith High School",83.0,87.5,87.6,95.4,95.9
"Ridgefield School District","Ridgefield High School",96.5,98.4,97.3,97.8,98.1
"Rocky Hill School District","Rocky Hill High School",91.5,92.3,89.8,92.3,95.1
"Seymour School District","Seymour High School",83.0,89.3,87.0,88.2,91.0
"Shelton School District","Shelton High School",88.6,92.0,91.0,92.1,96.1
"Simsbury School District","Simsbury High School",95.2,97.0,98.0,96.9,97.6
