"District","District Code","School","School Code","English Learner Status","Count","%"
"New Haven School District","=""0930011""","Mauro-Sheridan Magnet School","=""0931911""","English Learner Status",8,12.7
"New Haven School District","=""0930011""","Metropolitan Business Academy","=""0936011""","English Learner Status","*","*"
"New Haven School District","=""0930011""","Nathan Hale School","=""0931411""","English Learner Status","N/A","N/A"
"New Haven School District","=""0930011""","New Haven Academy","=""0937011""","English Learner Status","*","*"
"New Haven School District","=""0930011""","Polly T. McCabe Center","=""0939211""","English Learner Status","*","*"
"New Haven School District","=""0930011""","Riverside Education Academy","=""0939111""","English Learner Status","*","*"
"New Haven School District","=""0930011""","Ross/Woodward School","=""0931011""","English Learner Status","*","*"
"New Haven School District","=""0930011""","Sound School","=""0936711""","English Learner Status","*","*"
"New Haven School District","=""0930011""","Strong 21st Century Communications Magnet and SCSU Lab School","=""0932811""","English Learner Status","N/A","N/A"
"New Haven School District","=""0930011""","Truman School","=""0932911""","English Learner Status",8,4.3
"New Haven School District","=""0930011""","Urban Youth Center Middle School","=""0939011""","English Learner Status","*","*"
"New Haven School District","=""0930011""","West Rock Authors Academy","=""0934911""","English Learner Status","*","*"
"New Haven School District","=""0930011""","Wexler/Grant Community School","=""0933211""","English Learner Status","*","*"
"New Haven School District","=""0930011""","Wilbur Cross High School","=""0936111""","English Learner Status",108,41.5
"New Haven School District","=""0930011""","Worthington Hooker School","=""0933811""","English Learner Status","*","*"
"Newington School District","=""0940011""","Anna Reynolds School","=""0940611""","English Learner Status","N/A","N/A"
"Newington School District","=""0940011""","Elizabeth Green School","=""0940211""","English Learner Status","N/A","*"
"Newington School District","=""0940011""","John Paterson School","=""0940811""","English Learner Status","N/A","N/A"
"Newington School District","=""0940011""","John Wallace Middle School","=""0945311""","English Learner Status","*","*"
"Newington School District","=""0940011""","Martin Kellogg Middle School","=""0945111""","English Learner Status","*","*"
"Newington School District","=""0940011""","Newington High School","=""0946111""","English Learner Status","N/A","N/A"
"Newington School District","=""0940011""","Ruth Chaffee School","=""0940711""","English Learner Status","N/A","N/A"
