"Student Counts by School and English Learner Status"
"All Districts, All Schools"
"2010-11"

"",,,,"English Learner Status",,
"District","District Code","School","School Code","No","Yes","Total"
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""","*","*",705
"EdAdvance","=""2420014""","EdAdvance Headstart","=""2428014""",183,0,183
"EdAdvance","=""2420014""","The ACCESS School at The Danuta M. Thibodeau Education Center","=""2429014""",34,0,34
"Ellington School District","=""0480011""","Center School","=""0480111""","*","*",432
"Ellington School District","=""0480011""","Crystal Lake School","=""0480211""","*","*",217
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",784,7,791
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""","*","*",410
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""","*","*",436
"Ellington School District","=""0480011""","Windermere School","=""0480611""",424,15,439
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""",559,26,585
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""","*","*",325
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""","*","*",418
"Enfield School District","=""0490011""","Enfield High School","=""0496111""",801,8,809
"Enfield School District","=""0490011""","Enfield Street School","=""0490211""",331,16,347
"Enfield School District","=""0490011""","Enfield Transitional Learning Academy","=""0499011""",10,0,10
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""","*","*",1102
"Enfield School District","=""0490011""","Harriet Beecher Stowe School","=""0491211""","*","*",234
"Enfield School District","=""0490011""","Hazardville Memorial School","=""0490411""",356,10,366
"Enfield School District","=""0490011""","Head Start Program","=""0498011""",104,0,104
"Enfield School District","=""0490011""","Henry Barnard School","=""0491811""",387,10,397
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""","*","*",848
"Enfield School District","=""0490011""","Nathan Hale School","=""0491111""",247,0,247
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""","*","*",379
"Enfield School District","=""0490011""","Thomas G. Alcorn School","=""0491711""",282,19,301
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""",585,8,593
"Explorations District","=""2720013""","Explorations","=""2726113""",80,0,80
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""",411,9,420
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""","*","*",314
"Fairfield School District","=""0510011""","Early Childhood Center","=""0518011""",118,0,118
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""",1493,10,1503
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""",1302,26,1328
"Fairfield School District","=""0510011""","Fairfield Woods Middle School","=""0515211""","*","*",668
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""",309,24,333
"Fairfield School District","=""0510011""","Jennings School","=""0511711""",341,6,347
"Fairfield School District","=""0510011""","McKinley School","=""0510611""",397,93,490
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""",467,7,474
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""",477,6,483
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""","*","*",538
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""","*","*",451
"Fairfield School District","=""0510011""","Roger Ludlowe Middle School","=""0515311""",973,12,985
"Fairfield School District","=""0510011""","Sherman School","=""0511311""",436,6,442
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""","*","*",504
"Fairfield School District","=""0510011""","Tomlinson Middle School","=""0515111""",775,9,784
"Farmington School District","=""0520011""","East Farms School","=""0520411""",455,14,469
"Farmington School District","=""0520011""","Farmington Collaborative PK","=""0528011""",76,0,76
"Farmington School District","=""0520011""","Farmington High School","=""0526111""","*","*",1309
"Farmington School District","=""0520011""","Irving A. Robbins Middle School","=""0525111""","*","*",688
"Farmington School District","=""0520011""","Noah Wallace School","=""0520211""",325,21,346
"Farmington School District","=""0520011""","Union School","=""0520111""",291,9,300
"Farmington School District","=""0520011""","West District School","=""0520311""",322,16,338
"Farmington School District","=""0520011""","West Woods Upper Elementary School","=""0520511""","*","*",603
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""",222,0,222
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""",507,11,518
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""","*","*",303
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""",495,11,506
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""",2192,9,2201
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""","*","*",505
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""",490,12,502
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""",473,24,497
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""","*","*",663
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""",1099,14,1113
"Granby School District","=""0560011""","Frank M. Kearns Primary School","=""0560111""","*","*",423
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""",785,0,785
"Granby School District","=""0560011""","Granby Memorial Middle School","=""0565111""","*","*",355
"Granby School District","=""0560011""","Kelly Lane Primary School","=""0560411""","*","*",330
"Granby School District","=""0560011""","Wells Road Intermediate School","=""0560311""","*","*",347
"Greenwich School District","=""0570011""","Central Middle School","=""0575111""",607,14,621
"Greenwich School District","=""0570011""","Cos Cob School","=""0570211""",387,31,418
"Greenwich School District","=""0570011""","Eastern Middle School","=""0575211""",768,25,793
"Greenwich School District","=""0570011""","Glenville School","=""0570411""",318,29,347
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""",2596,77,2673
"Greenwich School District","=""0570011""","Hamilton Avenue School","=""0570511""",379,37,416
"Greenwich School District","=""0570011""","International School At Dundee","=""0571311""",349,23,372
