"Student Counts by School and Year"
"All Districts, All Schools"
"2016-17"

"District","District Code","School","School Code","Count"
"Bristol School District","=""0170011""","Greene-Hills GOAL","=""0170911""","*"
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",924
"Bristol School District","=""0170011""","Hubbell Autism Program","=""0173711""",10
"Bristol School District","=""0170011""","Hubbell/Extended Resource","=""0172111""",13
"Bristol School District","=""0170011""","Ivy Drive GOAL","=""0172611""","*"
"Bristol School District","=""0170011""","Ivy Drive Medically Fragile","=""0172311""","*"
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",388
"Bristol School District","=""0170011""","Mountain View School","=""0171711""",362
"Bristol School District","=""0170011""","Mt. View GOAL","=""0172511""","*"
"Bristol School District","=""0170011""","Northeast MS/Extended Resource","=""0172711""","*"
"Bristol School District","=""0170011""","Northeast MS/GOAL","=""0172811""",9
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""",450
"Bristol School District","=""0170011""","PreK Autism","=""0172911""",8
"Bristol School District","=""0170011""","South Side Extended Resource","=""0173011""","*"
"Bristol School District","=""0170011""","South Side GOAL","=""0173111""",9
"Bristol School District","=""0170011""","South Side School","=""0171111""",468
"Bristol School District","=""0170011""","Stafford Autism","=""0173211""",8
"Bristol School District","=""0170011""","Stafford School","=""0171211""",448
"Bristol School District","=""0170011""","West Bristol School","=""0172011""",885
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",856
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""",359
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""",535
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""",915
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""",501
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""",352
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""",73
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""",260
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""",206
"Canton School District","=""0230011""","Canton Academy","=""0230411""","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""",496
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""",379
"Canton School District","=""0230011""","Canton Middle School","=""0235111""",282
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""",456
"Capital Preparatory Harbor School Inc. District","=""2970013""","Capital Preparatory Harbor School Inc.","=""2970113""",254
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",733
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering Elementary","=""2410714""",389
"Capitol Region Education Council","=""2410014""","Academy of Science and Innovation","=""2416514""",574
"Capitol Region Education Council","=""2410014""","Ana Grace Academy of the Arts Elementary School","=""2410614""",405
"Capitol Region Education Council","=""2410014""","Discovery Academy","=""2418114""",484
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""",15
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""",452
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",468
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""",327
"Capitol Region Education Council","=""2410014""","Integrated Program Models","=""2419414""","*"
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""",470
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""",58
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""",7
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",688
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""",349
"Capitol Region Education Council","=""2410014""","Museum Academy","=""2410514""",469
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""",474
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""",437
"Capitol Region Education Council","=""2410014""","River Street Early Learning Center (Site 2)","=""2419514""",65
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""",143
"Capitol Region Education Council","=""2410014""","Soundbridge","=""2419114""",32
"Capitol Region Education Council","=""2410014""","Soundbridge @ Academy of Aerospace & Engineering Elementary","=""2411114""",11
"Capitol Region Education Council","=""2410014""","Soundbridge @ Academy of Science and Innovation","=""2411314""",6
"Capitol Region Education Council","=""2410014""","Soundbridge @ Museum Academy","=""2411214""","*"
"Capitol Region Education Council","=""2410014""","Strive (Southern Transition Real-World and Independent Vocational Education Program","=""2419714""",7
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""",408
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""",658
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""",454
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""",158
"Cheshire School District","=""0250011""","Chapman School","=""0250111""",323
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",1445
"Cheshire School District","=""0250011""","Cheshire Quinnipiac University Transition Collaborative","=""0250311""",16
"Cheshire School District","=""0250011""","Darcey School","=""0250211""",157
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""",783
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""",464
"Cheshire School District","=""0250011""","Highland School","=""0250411""",722
"Cheshire School District","=""0250011""","Humiston Alternative School","=""0250911""",14
"Cheshire School District","=""0250011""","Norton School","=""0250511""",418
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""",206
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""",280
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""",451
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""",497
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",559
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",808
"Colchester School District","=""0280011""","Bacon Academy Alternative Education","=""0280511""",12
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""",549
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""",498
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""",605
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""",78
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""",424
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",200
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",720
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",780
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",624
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",546
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",484
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",570
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",750
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",644
