"Student Counts by School and Free/Reduced Lunch Eligibility"
"All Districts, All Schools"
"2014-15"

"",,,,"Free/Reduced Lunch Eligibility",,,
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""",84,597,21,702
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""",49,434,21,504
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""",49,491,7,547
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""",36,181,8,225
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""",16,382,9,407
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""",57,331,25,413
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",126,713,50,889
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""",117,539,39,695
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""",48,484,14,546
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""",64,301,21,386
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",211,269,58,538
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""",100,86,22,208
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""",103,85,26,214
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",85,110,25,220
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""",163,152,30,345
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""",10,"*","*",13
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""",104,113,31,248
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""",91,221,9,321
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""",82,428,10,520
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",45,264,9,318
"Booker T. Washington Academy District","=""2950013""","Booker T. Washington Academy","=""2950113""",71,13,7,91
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","*",165,"*",209
"Branford School District","=""0140011""","Branford High School","=""0146111""",157,753,51,961
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","*","*","*",9
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""",170,688,58,916
"Branford School District","=""0140011""","Indian Neck School","=""0148011""",0,39,0,39
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""",92,241,22,355
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""",48,330,10,388
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""",94,283,36,413
"Brass City Charter School District","=""2900013""","Brass City Charter School","=""2900113""",78,47,25,150
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",672,159,146,977
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""",356,0,0,356
"Bridgeport School District","=""0150011""","Barnum School","=""0150111""",635,0,0,635
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",1008,0,0,1008
"Bridgeport School District","=""0150011""","Beardsley School","=""0150211""",370,0,0,370
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""",348,0,0,348
"Bridgeport School District","=""0150011""","Black Rock School","=""0150311""",413,0,0,413
"Bridgeport School District","=""0150011""","Blackham School","=""0154011""",1114,0,0,1114
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""",65,0,0,65
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""",233,0,0,233
"Bridgeport School District","=""0150011""","Bryant School","=""0150411""",406,0,0,406
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",1673,0,0,1673
"Bridgeport School District","=""0150011""","Cesar Batalla School","=""0151411""",1204,0,0,1204
"Bridgeport School District","=""0150011""","Classical Studies Academy","=""0152111""",371,0,0,371
"Bridgeport School District","=""0150011""","Columbus School","=""0150511""","*","*",0,861
"Bridgeport School District","=""0150011""","Cross School","=""0153911""",386,0,0,386
"Bridgeport School District","=""0150011""","Curiale School","=""0154211""",769,0,0,769
"Bridgeport School District","=""0150011""","Dunbar School","=""0154111""",377,0,0,377
"Bridgeport School District","=""0150011""","Edison School","=""0150711""",274,0,0,274
"Bridgeport School District","=""0150011""","Geraldine Johnson School","=""0153211""",824,0,0,824
"Bridgeport School District","=""0150011""","Hall School","=""0151111""",262,0,0,262
"Bridgeport School District","=""0150011""","Hallen School","=""0151211""",302,0,0,302
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",1134,0,0,1134
"Bridgeport School District","=""0150011""","High Horizons Magnet School","=""0154511""",414,0,0,414
"Bridgeport School District","=""0150011""","Hooker School","=""0151311""",371,0,0,371
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""",365,0,0,365
"Bridgeport School District","=""0150011""","Interdistrict Discovery Magnet School","=""0153711""",518,0,0,518
"Bridgeport School District","=""0150011""","Jettie S. Tisdale School","=""0152211""",679,0,0,679
"Bridgeport School District","=""0150011""","Luis Munoz Marin School","=""0151011""",920,0,0,920
"Bridgeport School District","=""0150011""","Madison School","=""0152011""",533,0,0,533
"Bridgeport School District","=""0150011""","Multicultural Magnet School","=""0154611""",457,0,0,457
"Bridgeport School District","=""0150011""","Park City Magnet School","=""0151711""",465,0,0,465
"Bridgeport School District","=""0150011""","Read School","=""0152511""",884,0,0,884
"Bridgeport School District","=""0150011""","Roosevelt School","=""0152611""",562,0,0,562
"Bridgeport School District","=""0150011""","Skane Center","=""0154411""",387,0,0,387
"Bridgeport School District","=""0150011""","Waltersville School","=""0153011""",491,0,0,491
"Bridgeport School District","=""0150011""","Winthrop School","=""0153611""",652,0,0,652
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","*","*",0,17
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",454,646,80,1180
"Bristol School District","=""0170011""","Bristol Early Childhood Center-BECC","=""0170411""","*",48,"*",74
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",352,802,93,1247
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""",27,11,6,44
"Bristol School District","=""0170011""","Chippens Hill Middle School","=""0175111""",298,402,60,760
"Bristol School District","=""0170011""","Chippens Hill Middle School Functional Program","=""0171011""","*","*",0,8
"Bristol School District","=""0170011""","Chms Goal","=""0173411""","*","*",0,7
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""","*","*","*",11
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",127,203,10,340
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""",182,204,36,422
"Bristol School District","=""0170011""","Greene-Hills GOAL","=""0170911""","*",0,0,"*"
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",410,418,64,892
"Bristol School District","=""0170011""","Hubbell/Extended Resource","=""0172111""","*","*",0,"*"
"Bristol School District","=""0170011""","Ivy Drive GOAL","=""0172611""","*",0,0,"*"
"Bristol School District","=""0170011""","Ivy Drive Medically Fragile","=""0172311""","*","*",0,6
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",134,243,19,396
"Bristol School District","=""0170011""","Mountain View School","=""0171711""",115,239,28,382
"Bristol School District","=""0170011""","Mt. View GOAL","=""0172511""","*","*",0,"*"
"Bristol School District","=""0170011""","Northeast MS/Extended Resource","=""0172711""",0,"*","*","*"
"Bristol School District","=""0170011""","Northeast MS/GOAL","=""0172811""","*","*",0,"*"
"Bristol School District","=""0170011""","Northeast Middle School","=""0175211""",127,263,40,430
"Bristol School District","=""0170011""","PreK Autism","=""0172911""","*","*","*","*"
"Bristol School District","=""0170011""","South Side Extended Resource","=""0173011""","*","*",0,"*"
"Bristol School District","=""0170011""","South Side GOAL","=""0173111""","*","*","*",6
"Bristol School District","=""0170011""","South Side School","=""0171111""",215,278,36,529
"Bristol School District","=""0170011""","Stafford Autism","=""0173211""","*","*",0,11
"Bristol School District","=""0170011""","Stafford School","=""0171211""",217,198,28,443
"Bristol School District","=""0170011""","West Bristol School","=""0172011""",480,369,70,919
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",51,829,15,895
"Brookfield School District","=""0180011""","Center Elementary School","=""0180311""","*",304,"*",334
"Brookfield School District","=""0180011""","Huckleberry Hill Elementary School","=""0180411""",41,550,8,599
"Brookfield School District","=""0180011""","Whisconier Middle School","=""0185311""",41,823,18,882
"Brooklyn School District","=""0190011""","Brooklyn Elementary School","=""0190111""",135,381,20,536
"Brooklyn School District","=""0190011""","Brooklyn Middle School","=""0195111""",92,265,16,373
"Canaan School District","=""0210011""","Lee H. Kellogg School","=""0210111""",0,78,0,78
"Canterbury School District","=""0220011""","Canterbury Elementary School","=""0220211""",46,191,6,243
"Canterbury School District","=""0220011""","Dr. Helen Baldwin Middle School","=""0225111""",46,165,17,228
"Canton School District","=""0230011""","Canton Academy","=""0230411""",0,"*",0,"*"
"Canton School District","=""0230011""","Canton High School","=""0236111""",33,444,8,485
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""","*",368,"*",410
"Canton School District","=""0230011""","Canton Middle School","=""0235111""","*",254,"*",272
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""","*",387,"*",449
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",236,337,63,636
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering Elementary","=""2410714""",110,175,12,297
"Capitol Region Education Council","=""2410014""","Academy of Science and Innovation","=""2416514""",261,217,51,529
"Capitol Region Education Council","=""2410014""","Ana Grace Academy of the Arts Elementary School","=""2410614""",131,149,33,313
"Capitol Region Education Council","=""2410014""","Discovery Academy","=""2418114""",113,222,21,356
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","*","*",0,20
"Capitol Region Education Council","=""2410014""","Glastonbury/East Hartford Magnet School","=""2410114""",150,267,18,435
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",214,198,45,457
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of the Arts Magnet Middle","=""2415314""",158,138,32,328
"Capitol Region Education Council","=""2410014""","Integrated Program Models","=""2419414""","*","*",0,"*"
"Capitol Region Education Council","=""2410014""","International Magnet School for Global Citizenship","=""2410414""",189,247,29,465
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""",47,"*","*",57
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","*",7,"*",15
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",241,413,82,736
"Capitol Region Education Council","=""2410014""","Montessori Magnet School","=""2413114""",148,190,19,357
"Capitol Region Education Council","=""2410014""","Museum Academy","=""2410514""",183,235,41,459
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""",318,148,53,519
"Capitol Region Education Council","=""2410014""","Reggio Magnet School of the Arts","=""2410314""",203,229,36,468
"Capitol Region Education Council","=""2410014""","River Street Early Learning Center (Site 2)","=""2419514""",11,53,0,64
"Capitol Region Education Council","=""2410014""","River Street School","=""2419314""",28,123,0,151
"Capitol Region Education Council","=""2410014""","Soundbridge","=""2419114""",6,40,0,46
"Capitol Region Education Council","=""2410014""","Soundbridge @ Academy of Aerospace & Engineering Elementary","=""2411114""","*","*",0,8
"Capitol Region Education Council","=""2410014""","Soundbridge @ Museum Academy","=""2411214""","*","*",0,9
"Capitol Region Education Council","=""2410014""","Soundbridge @ Samuel B Webb Elementary School","=""2410814""",0,"*",0,"*"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Silas Deane Middle School","=""2410914""","*",0,0,"*"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Wethersfield High School","=""2411014""","*","*",0,9
"Capitol Region Education Council","=""2410014""","Strive (Southern Transition Real-World and Independent Vocational Education Program","=""2419714""","*","*",0,12
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""",155,113,35,303
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet Middle School","=""2415014""",253,351,60,664
"Capitol Region Education Council","=""2410014""","University of Hartford Magnet School","=""2410214""",182,193,71,446
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""",46,118,14,178
"Cheshire School District","=""0250011""","Chapman School","=""0250111""",25,318,7,350
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",97,1392,23,1512
"Cheshire School District","=""0250011""","Cheshire Quinnipiac University Transition Collaborative","=""0250311""",0,8,0,8
"Cheshire School District","=""0250011""","Darcey School","=""0250211""","*",158,"*",170
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""",39,702,14,755
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""",45,446,11,502
"Cheshire School District","=""0250011""","Highland School","=""0250411""",61,693,14,768
"Cheshire School District","=""0250011""","Humiston Alternative School","=""0250911""",0,"*","*",19
"Cheshire School District","=""0250011""","Norton School","=""0250511""","*",424,"*",447
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""",22,184,13,219
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""",48,251,16,315
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""",90,356,15,461
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""",115,408,33,556
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",85,439,26,550
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",122,734,30,886
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""",87,438,17,542
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""",91,472,22,585
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""",94,513,19,626
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""","*",71,"*",91
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""",74,366,13,453
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",78,85,17,180
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",485,269,53,807
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",408,348,45,801
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",299,298,31,628
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",346,184,36,566
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",252,232,29,513
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",176,367,25,568
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",246,487,52,785
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",162,425,32,619
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",173,423,53,649
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",203,415,36,654
"Connecticut Technical High School System","=""9000016""","J. M. Wright Technical High School","=""9002116""",79,54,12,145
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",163,460,50,673
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",112,523,25,660
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",219,558,49,826
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",186,425,19,630
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",293,391,57,741
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",176,309,40,525
"Cooperative Educational Services","=""2430014""","Developmental Learning Center (DLC)","=""2439214""",26,53,11,90
"Cooperative Educational Services","=""2430014""","Preschool-Primary Learning Center (PLC)","=""2439114""","*",30,"*",50
"Cooperative Educational Services","=""2430014""","RISE Transitional Program","=""2439314""","*","*",0,11
"Cooperative Educational Services","=""2430014""","School Readiness","=""2438014""",33,30,22,85
"Cooperative Educational Services","=""2430014""","Six-Six Magnet School","=""2430114""",69,352,38,459
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""",54,90,10,154
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""",16,75,0,91
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""",73,304,8,385
"Coventry School District","=""0320011""","Coventry Academy","=""0320111""","*","*",0,10
"Coventry School District","=""0320011""","Coventry Early Intervention Services","=""0328011""",0,27,0,27
"Coventry School District","=""0320011""","Coventry Grammar School","=""0320211""",64,293,6,363
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",76,396,18,490
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""",57,292,19,368
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",77,468,21,566
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""",83,355,17,455
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""",87,362,17,466
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""",75,386,20,481
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",68,17,13,98
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""",446,497,140,1083
"Danbury School District","=""0340011""","DPS Early Childhood Center","=""0340111""",38,82,10,130
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",1059,1527,299,2885
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""",244,105,80,429
"Danbury School District","=""0340011""","Great Plain School","=""0341111""",151,164,40,355
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""",214,176,68,458
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""",133,201,32,366
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""",167,188,35,390
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""",121,186,27,334
"Danbury School District","=""0340011""","Morris Street School","=""0340611""",235,57,79,371
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""",337,130,96,563
"Danbury School District","=""0340011""","Pembroke School","=""0341511""",145,186,44,375
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""",515,276,141,932
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""",198,225,74,497
"Danbury School District","=""0340011""","South Street School","=""0341011""",274,48,47,369
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""",208,209,55,472
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""",82,301,30,413
"Danbury School District","=""0340011""","Westside Middle School Academy","=""0340311""",83,264,53,400
"Darien School District","=""0350011""","Darien High School","=""0356111""",14,1344,7,1365
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""","*",542,"*",556
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""","*",468,"*",473
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""",22,1095,8,1125
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""",0,"*","*",449
"Darien School District","=""0350011""","Royle Elementary School","=""0350511""","*",424,"*",442
"Darien School District","=""0350011""","Tokeneke Elementary School","=""0350611""","*",485,"*",493
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""",43,251,18,312
"Department of Mental Health and Addiction Services","=""3370015""","Connecticut Valley Hospital","=""3370215""",6,0,0,6
"Department of Mental Health and Addiction Services","=""3370015""","Greater Bridgeport Community Mental Health Center","=""3370515""","*",0,0,"*"
"Derby School District","=""0370011""","Bradley School","=""0370611""",129,212,24,365
"Derby School District","=""0370011""","Derby High School","=""0376111""",178,149,45,372
"Derby School District","=""0370011""","Derby Middle School","=""0375011""",172,134,33,339
"Derby School District","=""0370011""","Irving School","=""0370411""",252,92,26,370
"East Granby School District","=""0400011""","Allgrove School","=""0400111""",29,193,0,222
"East Granby School District","=""0400011""","East Granby High School","=""0406111""","*",238,"*",257
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""",15,196,0,211
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""",16,169,0,185
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""",41,262,16,319
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",42,292,17,351
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""",52,388,15,455
"East Hampton School District","=""0420011""","Center School","=""0420311""",29,247,7,283
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",50,434,18,502
"East Hampton School District","=""0420011""","East Hampton Middle School","=""0425111""",42,374,16,432
"East Hampton School District","=""0420011""","Memorial School","=""0420111""",67,521,17,605
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","=""0429011""","*","*",0,8
"East Hartford School District","=""0430011""","Anna E. Norris School","=""0430911""",207,58,19,284
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",50,129,24,203
"East Hartford School District","=""0430011""","Dr. Franklin H. Mayberry School","=""0430611""",253,104,7,364
"East Hartford School District","=""0430011""","Dr. John A. Langford School","=""0432211""",245,109,21,375
"East Hartford School District","=""0430011""","Dr. Thomas S. O'Connell School","=""0431011""",240,262,55,557
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",868,647,159,1674
"East Hartford School District","=""0430011""","East Hartford Middle School","=""0435111""",689,369,100,1158
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""",132,185,25,342
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""",202,118,17,337
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""",128,136,34,298
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""",345,111,38,494
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""",214,60,10,284
"East Hartford School District","=""0430011""","Stevens Alternate High School","=""0436411""",80,29,10,119
"East Hartford School District","=""0430011""","Sunset Ridge Middle School","=""0432411""",91,38,17,146
"East Hartford School District","=""0430011""","Willowbrook Early Childhood","=""0438011""",159,"*","*",229
"East Hartford School District","=""0430011""","Woodland School","=""0439011""",96,66,8,170
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""",65,166,34,265
"East Haven School District","=""0440011""","D. C. Moore School","=""0441411""",91,99,18,208
"East Haven School District","=""0440011""","Deer Run School","=""0440111""",105,190,17,312
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""",67,96,15,178
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",316,466,98,880
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""",79,83,16,178
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""",271,236,75,582
"East Haven School District","=""0440011""","Momauguin School","=""0440711""",75,62,10,147
"East Haven School District","=""0440011""","Overbrook Elementary School","=""0441811""",92,72,19,183
"East Lyme School District","=""0450011""","Abilities in Motion (AIM) Program","=""0450511""",0,16,0,16
"East Lyme School District","=""0450011""","Coastal Connections","=""0450611""","*",8,"*",16
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",103,921,29,1053
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""",92,735,34,861
"East Lyme School District","=""0450011""","Flanders School","=""0450111""",37,296,15,348
"East Lyme School District","=""0450011""","Integrated Preschool","=""0458011""","*","*",0,46
"East Lyme School District","=""0450011""","Lillie B. Haynes School","=""0450411""",40,260,14,314
"East Lyme School District","=""0450011""","Niantic Center School","=""0450211""",21,150,8,179
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""",164,270,46,480
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",111,199,22,332
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""",104,191,18,313
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""",44,90,7,141
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EastConn Special Education","=""2539014""",55,"*","*",110
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""",66,87,7,160
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""",19,120,0,139
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""","*",313,"*",323
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""","*",588,"*",612
"EdAdvance","=""2420014""","EdAdvance Headstart","=""2428014""",220,0,0,220
"EdAdvance","=""2420014""","The ACCESS School at The Danuta M. Thibodeau Education Center","=""2429014""",17,13,0,30
"Ellington School District","=""0480011""","Center School","=""0480111""","*",346,"*",376
"Ellington School District","=""0480011""","Crystal Lake School","=""0480211""","*",178,"*",198
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",46,707,20,773
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""",40,385,9,434
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""",33,395,7,435
"Ellington School District","=""0480011""","Windermere School","=""0480611""","*",387,"*",439
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""",391,156,88,635
"Elm City Montessori School District","=""2910013""","Elm City Montessori School","=""2910113""",9,61,0,70
"Enfield School District","=""0490011""","Edgar H. Parkman - Autism Spectrum Disorder (ASD)","=""0490511""","*","*","*",6
