"Smarter Balanced Growth Report, 2015-16"
"All Districts, ELL"

"District Code","District","School Code","School","Subject","English Learner Status (EL)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0840011""","Milford School District","=""0841611""","Live Oaks School","Math","Non-ELL","*","37.6%","63.8%"
"=""0840011""","Milford School District","=""0841711""","Mathewson School","ELA","ELL","*","*","*"
"=""0840011""","Milford School District","=""0841711""","Mathewson School","ELA","Non-ELL","*","46.4%","68.6%"
"=""0840011""","Milford School District","=""0841711""","Mathewson School","Math","ELL","*","*","*"
"=""0840011""","Milford School District","=""0841711""","Mathewson School","Math","Non-ELL","*","41.8%","71.7%"
"=""0840011""","Milford School District","=""0840711""","Meadowside School","ELA","ELL","*","*","*"
"=""0840011""","Milford School District","=""0840711""","Meadowside School","ELA","Non-ELL","*","44.0%","73.3%"
"=""0840011""","Milford School District","=""0840711""","Meadowside School","Math","ELL","*","*","*"
"=""0840011""","Milford School District","=""0840711""","Meadowside School","Math","Non-ELL","*","47.6%","72.9%"
"=""0840011""","Milford School District","=""0840811""","Orange Avenue School","ELA","ELL","*","*","*"
"=""0840011""","Milford School District","=""0840811""","Orange Avenue School","ELA","Non-ELL","*","52.1%","78.5%"
"=""0840011""","Milford School District","=""0840811""","Orange Avenue School","Math","ELL","*","*","*"
"=""0840011""","Milford School District","=""0840811""","Orange Avenue School","Math","Non-ELL","*","74.8%","98.0%"
"=""0840011""","Milford School District","=""0841811""","Orchard Hills School","ELA","ELL","*","*","*"
"=""0840011""","Milford School District","=""0841811""","Orchard Hills School","ELA","Non-ELL","*","54.6%","75.9%"
"=""0840011""","Milford School District","=""0841811""","Orchard Hills School","Math","ELL","*","*","*"
"=""0840011""","Milford School District","=""0841811""","Orchard Hills School","Math","Non-ELL","*","37.0%","64.4%"
"=""0840011""","Milford School District","=""0841011""","Pumpkin Delight School","ELA","ELL","*","*","*"
"=""0840011""","Milford School District","=""0841011""","Pumpkin Delight School","ELA","Non-ELL","*","57.0%","85.3%"
"=""0840011""","Milford School District","=""0841011""","Pumpkin Delight School","Math","ELL","*","*","*"
"=""0840011""","Milford School District","=""0841011""","Pumpkin Delight School","Math","Non-ELL","*","64.7%","88.4%"
"=""0840011""","Milford School District","=""0845311""","West Shore Middle School","ELA","ELL","*","*","*"
"=""0840011""","Milford School District","=""0845311""","West Shore Middle School","ELA","Non-ELL","*","44.3%","63.5%"
"=""0840011""","Milford School District","=""0845311""","West Shore Middle School","Math","ELL","*","*","*"
"=""0840011""","Milford School District","=""0845311""","West Shore Middle School","Math","Non-ELL","*","41.0%","57.3%"
"=""0850011""","Monroe School District","=""0850511""","Fawn Hollow Elementary School","ELA","Non-ELL",170,"53.5%","74.1%"
"=""0850011""","Monroe School District","=""0850511""","Fawn Hollow Elementary School","Math","Non-ELL",170,"45.3%","70.8%"
"=""0850011""","Monroe School District","=""0855211""","Jockey Hollow School","ELA","ELL","*","*","*"
"=""0850011""","Monroe School District","=""0855211""","Jockey Hollow School","ELA","Non-ELL","*","44.9%","59.4%"
"=""0850011""","Monroe School District","=""0855211""","Jockey Hollow School","Math","ELL","*","*","*"
"=""0850011""","Monroe School District","=""0855211""","Jockey Hollow School","Math","Non-ELL","*","46.8%","66.6%"
"=""0850011""","Monroe School District","=""0850111""","Monroe Elementary School","ELA","Non-ELL",105,"61.0%","76.1%"
"=""0850011""","Monroe School District","=""0850111""","Monroe Elementary School","Math","Non-ELL",105,"64.8%","82.8%"
"=""0850011""","Monroe School District","=""0850311""","Stepney Elementary School","ELA","ELL","*","*","*"
"=""0850011""","Monroe School District","=""0850311""","Stepney Elementary School","ELA","Non-ELL","*","55.4%","70.9%"
"=""0850011""","Monroe School District","=""0850311""","Stepney Elementary School","Math","ELL","*","*","*"
"=""0850011""","Monroe School District","=""0850311""","Stepney Elementary School","Math","Non-ELL","*","58.8%","84.4%"
"=""0860011""","Montville School District","=""0860711""","Dr. Charles E. Murphy School","ELA","ELL","*","*","*"
"=""0860011""","Montville School District","=""0860711""","Dr. Charles E. Murphy School","ELA","Non-ELL","*","46.2%","70.4%"
"=""0860011""","Montville School District","=""0860711""","Dr. Charles E. Murphy School","Math","ELL","*","*","*"
"=""0860011""","Montville School District","=""0860711""","Dr. Charles E. Murphy School","Math","Non-ELL","*","48.1%","75.3%"
"=""0860011""","Montville School District","=""0865111""","Leonard J. Tyl Middle School","ELA","ELL","*","*","*"
"=""0860011""","Montville School District","=""0865111""","Leonard J. Tyl Middle School","ELA","Non-ELL","*","39.4%","58.8%"
"=""0860011""","Montville School District","=""0865111""","Leonard J. Tyl Middle School","Math","ELL","*","*","*"
"=""0860011""","Montville School District","=""0865111""","Leonard J. Tyl Middle School","Math","Non-ELL","*","36.7%","57.4%"
"=""0860011""","Montville School District","=""0860111""","Mohegan School","ELA","ELL",6,"*","*"
"=""0860011""","Montville School District","=""0860111""","Mohegan School","ELA","Non-ELL",98,"40.8%","65.3%"
"=""0860011""","Montville School District","=""0860111""","Mohegan School","Math","ELL",7,"*","*"
"=""0860011""","Montville School District","=""0860111""","Mohegan School","Math","Non-ELL",98,"57.1%","83.1%"
"=""0860011""","Montville School District","=""0860511""","Oakdale School","ELA","ELL","*","*","*"
"=""0860011""","Montville School District","=""0860511""","Oakdale School","ELA","Non-ELL","*","73.3%","93.0%"
"=""0860011""","Montville School District","=""0860511""","Oakdale School","Math","ELL","*","*","*"
"=""0860011""","Montville School District","=""0860511""","Oakdale School","Math","Non-ELL","*","78.2%","98.6%"
"=""0880011""","Naugatuck School District","=""0880811""","Andrew Avenue School","ELA","ELL","*","*","*"
"=""0880011""","Naugatuck School District","=""0880811""","Andrew Avenue School","ELA","Non-ELL","*","22.0%","45.1%"
"=""0880011""","Naugatuck School District","=""0880811""","Andrew Avenue School","Math","ELL","*","*","*"
"=""0880011""","Naugatuck School District","=""0880811""","Andrew Avenue School","Math","Non-ELL","*","30.0%","61.2%"
"=""0880011""","Naugatuck School District","=""0885111""","City Hill Middle School","ELA","ELL",13,"*","*"
"=""0880011""","Naugatuck School District","=""0885111""","City Hill Middle School","ELA","Non-ELL",621,"37.8%","57.6%"
"=""0880011""","Naugatuck School District","=""0885111""","City Hill Middle School","Math","ELL",13,"*","*"
"=""0880011""","Naugatuck School District","=""0885111""","City Hill Middle School","Math","Non-ELL",619,"25.4%","40.7%"
"=""0880011""","Naugatuck School District","=""0880211""","Cross Street Intermediate School","ELA","ELL",9,"*","*"
"=""0880011""","Naugatuck School District","=""0880211""","Cross Street Intermediate School","ELA","Non-ELL",281,"53.0%","76.9%"
"=""0880011""","Naugatuck School District","=""0880211""","Cross Street Intermediate School","Math","ELL",11,"*","*"
"=""0880011""","Naugatuck School District","=""0880211""","Cross Street Intermediate School","Math","Non-ELL",282,"49.3%","68.2%"
"=""0880011""","Naugatuck School District","=""0880411""","Hillside Intermediate School","ELA","ELL",10,"*","*"
"=""0880011""","Naugatuck School District","=""0880411""","Hillside Intermediate School","ELA","Non-ELL",287,"44.9%","69.1%"
"=""0880011""","Naugatuck School District","=""0880411""","Hillside Intermediate School","Math","ELL",14,"*","*"
"=""0880011""","Naugatuck School District","=""0880411""","Hillside Intermediate School","Math","Non-ELL",286,"29.7%","53.4%"
"=""0880011""","Naugatuck School District","=""0880511""","Hop Brook Elementary School","ELA","ELL","*","*","*"
"=""0880011""","Naugatuck School District","=""0880511""","Hop Brook Elementary School","ELA","Non-ELL","*","34.0%","58.9%"
"=""0880011""","Naugatuck School District","=""0880511""","Hop Brook Elementary School","Math","ELL","*","*","*"
"=""0880011""","Naugatuck School District","=""0880511""","Hop Brook Elementary School","Math","Non-ELL","*","31.9%","67.1%"
"=""0880011""","Naugatuck School District","=""0880311""","Maple Hill School","ELA","ELL","*","*","*"
"=""0880011""","Naugatuck School District","=""0880311""","Maple Hill School","ELA","Non-ELL","*","33.7%","61.8%"
"=""0880011""","Naugatuck School District","=""0880311""","Maple Hill School","Math","ELL",6,"*","*"
"=""0880011""","Naugatuck School District","=""0880311""","Maple Hill School","Math","Non-ELL",101,"18.8%","59.0%"
"=""0880011""","Naugatuck School District","=""0880611""","Salem School","ELA","ELL","*","*","*"
"=""0880011""","Naugatuck School District","=""0880611""","Salem School","ELA","Non-ELL","*","38.6%","73.5%"
"=""0880011""","Naugatuck School District","=""0880611""","Salem School","Math","ELL","*","*","*"
"=""0880011""","Naugatuck School District","=""0880611""","Salem School","Math","Non-ELL","*","47.7%","78.7%"
"=""0880011""","Naugatuck School District","=""0880711""","Western School","ELA","ELL","*","*","*"
"=""0880011""","Naugatuck School District","=""0880711""","Western School","ELA","Non-ELL","*","56.1%","75.1%"
"=""0880011""","Naugatuck School District","=""0880711""","Western School","Math","ELL","*","*","*"
"=""0880011""","Naugatuck School District","=""0880711""","Western School","Math","Non-ELL","*","57.9%","89.9%"
"=""2800013""","New Beginnings Inc Family Academy District","=""2800113""","New Beginnings Inc., Family Academy","ELA","Non-ELL",169,"34.3%","56.8%"
"=""2800013""","New Beginnings Inc Family Academy District","=""2800113""","New Beginnings Inc., Family Academy","Math","Non-ELL",169,"31.4%","54.3%"
"=""0890011""","New Britain School District","=""0899111""","Alternative Center School","ELA","ELL","*","*","*"
"=""0890011""","New Britain School District","=""0899111""","Alternative Center School","ELA","Non-ELL","*","*","*"
"=""0890011""","New Britain School District","=""0899111""","Alternative Center School","Math","ELL","*","*","*"
"=""0890011""","New Britain School District","=""0899111""","Alternative Center School","Math","Non-ELL","*","*","*"
"=""0890011""","New Britain School District","=""0891011""","Behavior Support","ELA","Non-ELL","*","*","*"
"=""0890011""","New Britain School District","=""0891011""","Behavior Support","Math","Non-ELL","*","*","*"
"=""0890011""","New Britain School District","=""0890311""","Chamberlain  Elementary School","ELA","ELL",10,"*","*"
"=""0890011""","New Britain School District","=""0890311""","Chamberlain  Elementary School","ELA","Non-ELL",108,"27.8%","54.3%"
"=""0890011""","New Britain School District","=""0890311""","Chamberlain  Elementary School","Math","ELL",12,"*","*"
"=""0890011""","New Britain School District","=""0890311""","Chamberlain  Elementary School","Math","Non-ELL",108,"9.3%","25.6%"
"=""0890011""","New Britain School District","=""0891111""","Frank J. DiLoreto School","ELA","ELL",115,"20.9%","52.3%"
"=""0890011""","New Britain School District","=""0891111""","Frank J. DiLoreto School","ELA","Non-ELL",275,"33.1%","53.6%"
"=""0890011""","New Britain School District","=""0891111""","Frank J. DiLoreto School","Math","ELL",116,"19.8%","39.5%"
"=""0890011""","New Britain School District","=""0891111""","Frank J. DiLoreto School","Math","Non-ELL",275,"20.0%","42.7%"
"=""0890011""","New Britain School District","=""0890511""","Gaffney School","ELA","ELL",7,"*","*"
"=""0890011""","New Britain School District","=""0890511""","Gaffney School","ELA","Non-ELL",98,"30.6%","58.2%"
"=""0890011""","New Britain School District","=""0890511""","Gaffney School","Math","ELL",9,"*","*"
"=""0890011""","New Britain School District","=""0890511""","Gaffney School","Math","Non-ELL",97,"17.5%","44.1%"
"=""0890011""","New Britain School District","=""0890611""","Holmes School","ELA","ELL",18,"*","*"
"=""0890011""","New Britain School District","=""0890611""","Holmes School","ELA","Non-ELL",95,"45.3%","73.9%"
"=""0890011""","New Britain School District","=""0890611""","Holmes School","Math","ELL",18,"*","*"
"=""0890011""","New Britain School District","=""0890611""","Holmes School","Math","Non-ELL",95,"48.4%","75.7%"
"=""0890011""","New Britain School District","=""0895411""","House of Arts Letters and Science (HALS)  Academy","ELA","Non-ELL",145,"49.0%","64.2%"
"=""0890011""","New Britain School District","=""0895411""","House of Arts Letters and Science (HALS)  Academy","Math","Non-ELL",146,"32.9%","48.9%"
"=""0890011""","New Britain School District","=""0890711""","Jefferson School","ELA","ELL",30,"36.7%","61.1%"
"=""0890011""","New Britain School District","=""0890711""","Jefferson School","ELA","Non-ELL",91,"34.1%","60.1%"
"=""0890011""","New Britain School District","=""0890711""","Jefferson School","Math","ELL",31,"29.0%","54.0%"
"=""0890011""","New Britain School District","=""0890711""","Jefferson School","Math","Non-ELL",91,"24.2%","48.5%"
"=""0890011""","New Britain School District","=""0890811""","Lincoln School","ELA","ELL",24,"41.7%","68.8%"
"=""0890011""","New Britain School District","=""0890811""","Lincoln School","ELA","Non-ELL",118,"22.0%","48.1%"
"=""0890011""","New Britain School District","=""0890811""","Lincoln School","Math","ELL",29,"31.0%","53.0%"
"=""0890011""","New Britain School District","=""0890811""","Lincoln School","Math","Non-ELL",118,"11.9%","35.8%"
"=""0890011""","New Britain School District","=""0899011""","New Britain Transition Center","ELA","ELL","*","*","*"
"=""0890011""","New Britain School District","=""0899011""","New Britain Transition Center","ELA","Non-ELL","*","*","*"
"=""0890011""","New Britain School District","=""0899011""","New Britain Transition Center","Math","ELL","*","*","*"
"=""0890011""","New Britain School District","=""0899011""","New Britain Transition Center","Math","Non-ELL","*","*","*"
"=""0890011""","New Britain School District","=""0890911""","Northend School","ELA","ELL","*","*","*"
"=""0890011""","New Britain School District","=""0890911""","Northend School","ELA","Non-ELL","*","32.5%","58.9%"
"=""0890011""","New Britain School District","=""0890911""","Northend School","Math","ELL","*","*","*"
"=""0890011""","New Britain School District","=""0890911""","Northend School","Math","Non-ELL","*","18.4%","44.0%"
"=""0890011""","New Britain School District","=""0895311""","Pulaski Middle School","ELA","ELL",92,"26.1%","40.6%"
"=""0890011""","New Britain School District","=""0895311""","Pulaski Middle School","ELA","Non-ELL",535,"30.5%","51.2%"
"=""0890011""","New Britain School District","=""0895311""","Pulaski Middle School","Math","ELL",105,"33.3%","53.5%"
"=""0890011""","New Britain School District","=""0895311""","Pulaski Middle School","Math","Non-ELL",532,"29.1%","46.5%"
"=""0890011""","New Britain School District","=""0895211""","Slade Middle School","ELA","ELL",63,"31.7%","50.5%"
"=""0890011""","New Britain School District","=""0895211""","Slade Middle School","ELA","Non-ELL",558,"24.2%","43.4%"
"=""0890011""","New Britain School District","=""0895211""","Slade Middle School","Math","ELL",69,"34.8%","56.1%"
"=""0890011""","New Britain School District","=""0895211""","Slade Middle School","Math","Non-ELL",556,"26.1%","42.4%"
"=""0890011""","New Britain School District","=""0891211""","Smalley Academy","ELA","ELL",30,"16.7%","65.4%"
"=""0890011""","New Britain School District","=""0891211""","Smalley Academy","ELA","Non-ELL",125,"24.0%","50.2%"
"=""0890011""","New Britain School District","=""0891211""","Smalley Academy","Math","ELL",36,"13.9%","44.3%"
"=""0890011""","New Britain School District","=""0891211""","Smalley Academy","Math","Non-ELL",123,"21.1%","44.1%"
"=""0890011""","New Britain School District","=""0891311""","Smith School","ELA","ELL",11,"*","*"
"=""0890011""","New Britain School District","=""0891311""","Smith School","ELA","Non-ELL",159,"20.1%","43.3%"
"=""0890011""","New Britain School District","=""0891311""","Smith School","Math","ELL",12,"*","*"
"=""0890011""","New Britain School District","=""0891311""","Smith School","Math","Non-ELL",160,"16.9%","34.6%"
"=""0890011""","New Britain School District","=""0891811""","Steps","ELA","ELL",6,"*","*"
"=""0890011""","New Britain School District","=""0891811""","Steps","ELA","Non-ELL",19,"*","*"
"=""0890011""","New Britain School District","=""0891811""","Steps","Math","ELL",6,"*","*"
"=""0890011""","New Britain School District","=""0891811""","Steps","Math","Non-ELL",19,"*","*"
"=""0890011""","New Britain School District","=""0890411""","Sunrise Intermediate","ELA","Non-ELL",7,"*","*"
"=""0890011""","New Britain School District","=""0890411""","Sunrise Intermediate","Math","Non-ELL",8,"*","*"
"=""0890011""","New Britain School District","=""0890211""","Sunrise Primary","ELA","ELL","*","*","*"
"=""0890011""","New Britain School District","=""0890211""","Sunrise Primary","Math","ELL","*","*","*"
"=""0890011""","New Britain School District","=""0891511""","Vance School","ELA","ELL",8,"*","*"
"=""0890011""","New Britain School District","=""0891511""","Vance School","ELA","Non-ELL",143,"30.8%","59.4%"
"=""0890011""","New Britain School District","=""0891511""","Vance School","Math","ELL",9,"*","*"
"=""0890011""","New Britain School District","=""0891511""","Vance School","Math","Non-ELL",140,"18.6%","44.2%"
"=""0900011""","New Canaan School District","=""0900411""","East School","ELA","ELL","*","*","*"
"=""0900011""","New Canaan School District","=""0900411""","East School","ELA","Non-ELL","*","81.1%","99.1%"
"=""0900011""","New Canaan School District","=""0900411""","East School","Math","ELL","*","*","*"
"=""0900011""","New Canaan School District","=""0900411""","East School","Math","Non-ELL","*","88.3%","100.0%"
"=""0900011""","New Canaan School District","=""0905111""","Saxe Middle School","ELA","ELL","*","*","*"
"=""0900011""","New Canaan School District","=""0905111""","Saxe Middle School","ELA","Non-ELL","*","48.3%","63.8%"
"=""0900011""","New Canaan School District","=""0905111""","Saxe Middle School","Math","ELL",8,"*","*"
"=""0900011""","New Canaan School District","=""0905111""","Saxe Middle School","Math","Non-ELL",1238,"55.3%","73.3%"
"=""0900011""","New Canaan School District","=""0900211""","South School","ELA","Non-ELL",117,"65.0%","80.5%"
"=""0900011""","New Canaan School District","=""0900211""","South School","Math","Non-ELL",117,"69.2%","89.9%"
"=""0900011""","New Canaan School District","=""0900311""","West School","ELA","ELL","*","*","*"
"=""0900011""","New Canaan School District","=""0900311""","West School","ELA","Non-ELL","*","70.0%","85.9%"
"=""0900011""","New Canaan School District","=""0900311""","West School","Math","ELL","*","*","*"
"=""0900011""","New Canaan School District","=""0900311""","West School","Math","Non-ELL","*","73.8%","93.3%"
"=""0910011""","New Fairfield School District","=""0910211""","Meeting House Hill School","ELA","ELL",6,"*","*"
"=""0910011""","New Fairfield School District","=""0910211""","Meeting House Hill School","ELA","Non-ELL",284,"51.8%","74.2%"
"=""0910011""","New Fairfield School District","=""0910211""","Meeting House Hill School","Math","ELL",6,"*","*"
"=""0910011""","New Fairfield School District","=""0910211""","Meeting House Hill School","Math","Non-ELL",278,"52.2%","78.1%"
"=""0910011""","New Fairfield School District","=""0915211""","New Fairfield Middle School","ELA","ELL","*","*","*"
"=""0910011""","New Fairfield School District","=""0915211""","New Fairfield Middle School","ELA","Non-ELL","*","50.8%","69.4%"
"=""0910011""","New Fairfield School District","=""0915211""","New Fairfield Middle School","Math","ELL","*","*","*"
"=""0910011""","New Fairfield School District","=""0915211""","New Fairfield Middle School","Math","Non-ELL","*","62.5%","80.6%"
"=""0920011""","New Hartford School District","=""0920311""","Ann Antolini School","ELA","Non-ELL",197,"43.1%","66.4%"
"=""0920011""","New Hartford School District","=""0920311""","Ann Antolini School","Math","Non-ELL",196,"32.1%","56.8%"
"=""0930011""","New Haven School District","=""0931511""","Augusta Lewis Troup School","ELA","ELL",24,"16.7%","38.9%"
"=""0930011""","New Haven School District","=""0931511""","Augusta Lewis Troup School","ELA","Non-ELL",193,"23.3%","49.5%"
"=""0930011""","New Haven School District","=""0931511""","Augusta Lewis Troup School","Math","ELL",23,"17.4%","45.0%"
"=""0930011""","New Haven School District","=""0931511""","Augusta Lewis Troup School","Math","Non-ELL",193,"31.6%","54.4%"
"=""0930011""","New Haven School District","=""0930211""","Barnard Environmental Magnet School","ELA","ELL",26,"34.6%","56.3%"
"=""0930011""","New Haven School District","=""0930211""","Barnard Environmental Magnet School","ELA","Non-ELL",216,"25.5%","46.6%"
"=""0930011""","New Haven School District","=""0930211""","Barnard Environmental Magnet School","Math","ELL",26,"30.8%","52.8%"
"=""0930011""","New Haven School District","=""0930211""","Barnard Environmental Magnet School","Math","Non-ELL",216,"36.6%","57.9%"
"=""0930011""","New Haven School District","=""0930311""","Beecher School","ELA","ELL","*","*","*"
"=""0930011""","New Haven School District","=""0930311""","Beecher School","ELA","Non-ELL","*","47.0%","71.5%"
"=""0930011""","New Haven School District","=""0930311""","Beecher School","Math","ELL","*","*","*"
"=""0930011""","New Haven School District","=""0930311""","Beecher School","Math","Non-ELL","*","32.7%","54.4%"
"=""0930011""","New Haven School District","=""0931811""","Benjamin Jepson Magnet School","ELA","ELL",20,"40.0%","65.6%"
"=""0930011""","New Haven School District","=""0931811""","Benjamin Jepson Magnet School","ELA","Non-ELL",210,"53.3%","78.2%"
"=""0930011""","New Haven School District","=""0931811""","Benjamin Jepson Magnet School","Math","ELL",20,"40.0%","60.1%"
"=""0930011""","New Haven School District","=""0931811""","Benjamin Jepson Magnet School","Math","Non-ELL",210,"38.1%","62.6%"
"=""0930011""","New Haven School District","=""0935511""","Betsy Ross Arts Magnet School","ELA","ELL",13,"*","*"
"=""0930011""","New Haven School District","=""0935511""","Betsy Ross Arts Magnet School","ELA","Non-ELL",419,"41.3%","65.1%"
"=""0930011""","New Haven School District","=""0935511""","Betsy Ross Arts Magnet School","Math","ELL",14,"*","*"
"=""0930011""","New Haven School District","=""0935511""","Betsy Ross Arts Magnet School","Math","Non-ELL",416,"49.3%","69.7%"
"=""0930011""","New Haven School District","=""0934311""","Bishop Woods School","ELA","ELL",13,"*","*"
"=""0930011""","New Haven School District","=""0934311""","Bishop Woods School","ELA","Non-ELL",196,"35.7%","59.7%"
"=""0930011""","New Haven School District","=""0934311""","Bishop Woods School","Math","ELL",13,"*","*"
"=""0930011""","New Haven School District","=""0934311""","Bishop Woods School","Math","Non-ELL",196,"37.2%","59.9%"
"=""0930011""","New Haven School District","=""0932111""","Brennan Rogers School","ELA","ELL",10,"*","*"
"=""0930011""","New Haven School District","=""0932111""","Brennan Rogers School","ELA","Non-ELL",167,"32.9%","57.9%"
"=""0930011""","New Haven School District","=""0932111""","Brennan Rogers School","Math","ELL",11,"*","*"
"=""0930011""","New Haven School District","=""0932111""","Brennan Rogers School","Math","Non-ELL",167,"39.5%","62.3%"
"=""0930011""","New Haven School District","=""0934811""","Celentano BioTech, Health and Medical Magnet School","ELA","ELL",8,"*","*"
"=""0930011""","New Haven School District","=""0934811""","Celentano BioTech, Health and Medical Magnet School","ELA","Non-ELL",153,"32.0%","57.9%"
"=""0930011""","New Haven School District","=""0934811""","Celentano BioTech, Health and Medical Magnet School","Math","ELL",10,"*","*"
"=""0930011""","New Haven School District","=""0934811""","Celentano BioTech, Health and Medical Magnet School","Math","Non-ELL",151,"26.5%","50.7%"
"=""0930011""","New Haven School District","=""0934211""","Clemente Leadership Academy","ELA","ELL",40,"42.5%","62.5%"
"=""0930011""","New Haven School District","=""0934211""","Clemente Leadership Academy","ELA","Non-ELL",194,"39.7%","67.9%"
"=""0930011""","New Haven School District","=""0934211""","Clemente Leadership Academy","Math","ELL",61,"47.5%","71.0%"
"=""0930011""","New Haven School District","=""0934211""","Clemente Leadership Academy","Math","Non-ELL",196,"44.4%","64.8%"
"=""0930011""","New Haven School District","=""0930611""","Clinton Avenue School","ELA","ELL",72,"34.7%","66.4%"
"=""0930011""","New Haven School District","=""0930611""","Clinton Avenue School","ELA","Non-ELL",188,"37.2%","64.3%"
"=""0930011""","New Haven School District","=""0930611""","Clinton Avenue School","Math","ELL",73,"45.2%","66.2%"
"=""0930011""","New Haven School District","=""0930611""","Clinton Avenue School","Math","Non-ELL",188,"42.6%","66.5%"
"=""0930011""","New Haven School District","=""0934111""","Columbus Family Academy","ELA","ELL",76,"36.8%","65.9%"
"=""0930011""","New Haven School District","=""0934111""","Columbus Family Academy","ELA","Non-ELL",128,"36.7%","60.0%"
"=""0930011""","New Haven School District","=""0934111""","Columbus Family Academy","Math","ELL",78,"37.2%","62.6%"
"=""0930011""","New Haven School District","=""0934111""","Columbus Family Academy","Math","Non-ELL",129,"38.0%","61.1%"
"=""0930011""","New Haven School District","=""0933111""","Conte/West Hills Magnet School","ELA","ELL",26,"42.3%","66.4%"
"=""0930011""","New Haven School District","=""0933111""","Conte/West Hills Magnet School","ELA","Non-ELL",291,"53.3%","77.8%"
"=""0930011""","New Haven School District","=""0933111""","Conte/West Hills Magnet School","Math","ELL",27,"44.4%","73.9%"
"=""0930011""","New Haven School District","=""0933111""","Conte/West Hills Magnet School","Math","Non-ELL",290,"54.8%","78.1%"
"=""0930011""","New Haven School District","=""0930911""","Davis 21st Century Magnet Elementary School","ELA","Non-ELL",217,"39.6%","65.6%"
"=""0930011""","New Haven School District","=""0930911""","Davis 21st Century Magnet Elementary School","Math","ELL","*","*","*"
"=""0930011""","New Haven School District","=""0930911""","Davis 21st Century Magnet Elementary School","Math","Non-ELL","*","33.8%","57.4%"
"=""0930011""","New Haven School District","=""0935611""","Domus Academy","ELA","ELL","*","*","*"
"=""0930011""","New Haven School District","=""0935611""","Domus Academy","ELA","Non-ELL","*","*","*"
"=""0930011""","New Haven School District","=""0935611""","Domus Academy","Math","ELL","*","*","*"
"=""0930011""","New Haven School District","=""0935611""","Domus Academy","Math","Non-ELL","*","*","*"
"=""0930011""","New Haven School District","=""0934611""","East Rock Community Magnet School","ELA","ELL",27,"33.3%","76.6%"
"=""0930011""","New Haven School District","=""0934611""","East Rock Community Magnet School","ELA","Non-ELL",192,"33.3%","56.2%"
"=""0930011""","New Haven School District","=""0934611""","East Rock Community Magnet School","Math","ELL",27,"29.6%","62.6%"
"=""0930011""","New Haven School District","=""0934611""","East Rock Community Magnet School","Math","Non-ELL",192,"39.6%","64.8%"
"=""0930011""","New Haven School District","=""0931211""","Edgewood School","ELA","ELL",7,"*","*"
"=""0930011""","New Haven School District","=""0931211""","Edgewood School","ELA","Non-ELL",217,"42.9%","63.8%"
"=""0930011""","New Haven School District","=""0931211""","Edgewood School","Math","ELL",8,"*","*"
"=""0930011""","New Haven School District","=""0931211""","Edgewood School","Math","Non-ELL",217,"37.3%","58.7%"
"=""0930011""","New Haven School District","=""0931711""","Engineering - Science University Magnet School","ELA","ELL","*","*","*"
"=""0930011""","New Haven School District","=""0931711""","Engineering - Science University Magnet School","ELA","Non-ELL","*","37.3%","57.8%"
"=""0930011""","New Haven School District","=""0931711""","Engineering - Science University Magnet School","Math","ELL","*","*","*"
"=""0930011""","New Haven School District","=""0931711""","Engineering - Science University Magnet School","Math","Non-ELL","*","47.4%","66.5%"
"=""0930011""","New Haven School District","=""0931611""","Fair Haven School","ELA","ELL",149,"34.2%","57.8%"
"=""0930011""","New Haven School District","=""0931611""","Fair Haven School","ELA","Non-ELL",181,"43.6%","66.3%"
"=""0930011""","New Haven School District","=""0931611""","Fair Haven School","Math","ELL",195,"40.5%","59.9%"
"=""0930011""","New Haven School District","=""0931611""","Fair Haven School","Math","Non-ELL",180,"31.1%","53.2%"
"=""0930011""","New Haven School District","=""0930711""","Hill Central Music Academy","ELA","ELL",68,"26.5%","54.4%"
"=""0930011""","New Haven School District","=""0930711""","Hill Central Music Academy","ELA","Non-ELL",165,"29.7%","53.8%"
"=""0930011""","New Haven School District","=""0930711""","Hill Central Music Academy","Math","ELL",69,"23.2%","56.8%"
"=""0930011""","New Haven School District","=""0930711""","Hill Central Music Academy","Math","Non-ELL",166,"36.7%","55.9%"
"=""0930011""","New Haven School District","=""0931311""","John C. Daniels","ELA","ELL",61,"39.3%","65.8%"
"=""0930011""","New Haven School District","=""0931311""","John C. Daniels","ELA","Non-ELL",156,"39.1%","64.0%"
"=""0930011""","New Haven School District","=""0931311""","John C. Daniels","Math","ELL",62,"35.5%","60.9%"
"=""0930011""","New Haven School District","=""0931311""","John C. Daniels","Math","Non-ELL",157,"45.2%","67.2%"
"=""0930011""","New Haven School District","=""0930811""","John S. Martinez School","ELA","ELL",115,"43.5%","71.6%"
"=""0930011""","New Haven School District","=""0930811""","John S. Martinez School","ELA","Non-ELL",162,"43.2%","68.1%"
"=""0930011""","New Haven School District","=""0930811""","John S. Martinez School","Math","ELL",115,"58.3%","76.1%"
"=""0930011""","New Haven School District","=""0930811""","John S. Martinez School","Math","Non-ELL",163,"55.2%","82.9%"
"=""0930011""","New Haven School District","=""0933011""","King/Robinson Magnet School","ELA","ELL",7,"*","*"
"=""0930011""","New Haven School District","=""0933011""","King/Robinson Magnet School","ELA","Non-ELL",225,"33.8%","58.9%"
"=""0930011""","New Haven School District","=""0933011""","King/Robinson Magnet School","Math","ELL",7,"*","*"
