"Smarter Balanced Growth Report, 2015-16"
"All Districts, ELL"

"District Code","District","School Code","School","Subject","English Learner Status (EL)","Number ofMatched Students","Growth Rate","Average Percentageof Target Achieved"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School","ELA","ELL",45,"28.9%","59.0%"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School","ELA","Non-ELL",281,"35.6%","59.2%"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School","Math","ELL",53,"34.0%","52.3%"
"=""0150011""","Bridgeport School District","=""0153211""","Geraldine Johnson School","Math","Non-ELL",281,"32.7%","57.5%"
"=""0150011""","Bridgeport School District","=""0151111""","Hall School","ELA","ELL","*","*","*"
"=""0150011""","Bridgeport School District","=""0151111""","Hall School","ELA","Non-ELL","*","29.1%","59.9%"
"=""0150011""","Bridgeport School District","=""0151111""","Hall School","Math","ELL","*","*","*"
"=""0150011""","Bridgeport School District","=""0151111""","Hall School","Math","Non-ELL","*","30.4%","50.4%"
"=""0150011""","Bridgeport School District","=""0151211""","Hallen School","ELA","ELL","*","*","*"
"=""0150011""","Bridgeport School District","=""0151211""","Hallen School","ELA","Non-ELL","*","26.4%","52.6%"
"=""0150011""","Bridgeport School District","=""0151211""","Hallen School","Math","ELL","*","*","*"
"=""0150011""","Bridgeport School District","=""0151211""","Hallen School","Math","Non-ELL","*","16.1%","45.0%"
"=""0150011""","Bridgeport School District","=""0154511""","High Horizons Magnet School","ELA","Non-ELL",213,"38.5%","60.1%"
"=""0150011""","Bridgeport School District","=""0154511""","High Horizons Magnet School","Math","Non-ELL",213,"24.4%","44.5%"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School","ELA","ELL","*","*","*"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School","ELA","Non-ELL","*","28.0%","54.1%"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School","Math","ELL",6,"*","*"
"=""0150011""","Bridgeport School District","=""0151311""","Hooker School","Math","Non-ELL",158,"24.7%","49.1%"
"=""0150011""","Bridgeport School District","=""0153711""","Interdistrict Discovery Magnet School","ELA","ELL","*","*","*"
"=""0150011""","Bridgeport School District","=""0153711""","Interdistrict Discovery Magnet School","ELA","Non-ELL","*","28.5%","52.2%"
"=""0150011""","Bridgeport School District","=""0153711""","Interdistrict Discovery Magnet School","Math","ELL","*","*","*"
"=""0150011""","Bridgeport School District","=""0153711""","Interdistrict Discovery Magnet School","Math","Non-ELL","*","28.0%","49.1%"
"=""0150011""","Bridgeport School District","=""0152211""","Jettie S. Tisdale School","ELA","ELL","*","*","*"
"=""0150011""","Bridgeport School District","=""0152211""","Jettie S. Tisdale School","ELA","Non-ELL","*","40.1%","64.5%"
"=""0150011""","Bridgeport School District","=""0152211""","Jettie S. Tisdale School","Math","ELL","*","*","*"
"=""0150011""","Bridgeport School District","=""0152211""","Jettie S. Tisdale School","Math","Non-ELL","*","37.7%","58.6%"
"=""0150011""","Bridgeport School District","=""0151011""","Luis Munoz Marin School","ELA","ELL",90,"21.1%","53.8%"
"=""0150011""","Bridgeport School District","=""0151011""","Luis Munoz Marin School","ELA","Non-ELL",270,"25.6%","48.4%"
"=""0150011""","Bridgeport School District","=""0151011""","Luis Munoz Marin School","Math","ELL",124,"26.6%","45.9%"
"=""0150011""","Bridgeport School District","=""0151011""","Luis Munoz Marin School","Math","Non-ELL",269,"25.3%","48.7%"
"=""0150011""","Bridgeport School District","=""0152011""","Madison School","ELA","ELL",28,"39.3%","62.3%"
"=""0150011""","Bridgeport School District","=""0152011""","Madison School","ELA","Non-ELL",171,"33.3%","59.2%"
"=""0150011""","Bridgeport School District","=""0152011""","Madison School","Math","ELL",28,"28.6%","48.6%"
"=""0150011""","Bridgeport School District","=""0152011""","Madison School","Math","Non-ELL",171,"22.2%","45.3%"
"=""0150011""","Bridgeport School District","=""0154611""","Multicultural Magnet School","ELA","ELL",6,"*","*"
"=""0150011""","Bridgeport School District","=""0154611""","Multicultural Magnet School","ELA","Non-ELL",227,"42.3%","60.7%"
"=""0150011""","Bridgeport School District","=""0154611""","Multicultural Magnet School","Math","ELL",6,"*","*"
"=""0150011""","Bridgeport School District","=""0154611""","Multicultural Magnet School","Math","Non-ELL",227,"47.1%","69.2%"
"=""0150011""","Bridgeport School District","=""0151711""","Park City Magnet School","ELA","Non-ELL",201,"38.3%","59.6%"
"=""0150011""","Bridgeport School District","=""0151711""","Park City Magnet School","Math","Non-ELL",201,"30.8%","57.4%"
"=""0150011""","Bridgeport School District","=""0152511""","Read School","ELA","ELL",29,"34.5%","51.2%"
"=""0150011""","Bridgeport School District","=""0152511""","Read School","ELA","Non-ELL",337,"25.5%","46.6%"
"=""0150011""","Bridgeport School District","=""0152511""","Read School","Math","ELL",30,"43.3%","59.0%"
"=""0150011""","Bridgeport School District","=""0152511""","Read School","Math","Non-ELL",338,"27.2%","47.4%"
"=""0150011""","Bridgeport School District","=""0152611""","Roosevelt School","ELA","ELL",22,"27.3%","54.1%"
"=""0150011""","Bridgeport School District","=""0152611""","Roosevelt School","ELA","Non-ELL",191,"21.5%","44.7%"
"=""0150011""","Bridgeport School District","=""0152611""","Roosevelt School","Math","ELL",26,"23.1%","40.7%"
"=""0150011""","Bridgeport School District","=""0152611""","Roosevelt School","Math","Non-ELL",192,"29.7%","50.3%"
"=""0150011""","Bridgeport School District","=""0153011""","Waltersville School","ELA","ELL",19,"*","*"
"=""0150011""","Bridgeport School District","=""0153011""","Waltersville School","ELA","Non-ELL",192,"28.6%","51.0%"
"=""0150011""","Bridgeport School District","=""0153011""","Waltersville School","Math","ELL",20,"15.0%","53.9%"
"=""0150011""","Bridgeport School District","=""0153011""","Waltersville School","Math","Non-ELL",191,"23.6%","43.6%"
"=""0150011""","Bridgeport School District","=""0153611""","Winthrop School","ELA","ELL",18,"*","*"
"=""0150011""","Bridgeport School District","=""0153611""","Winthrop School","ELA","Non-ELL",313,"39.9%","63.5%"
"=""0150011""","Bridgeport School District","=""0153611""","Winthrop School","Math","ELL",19,"*","*"
"=""0150011""","Bridgeport School District","=""0153611""","Winthrop School","Math","Non-ELL",313,"27.8%","49.1%"
"=""0170011""","Bristol School District","=""0179011""","Alternative Special Education Program (ASEP)","ELA","Non-ELL",9,"*","*"
"=""0170011""","Bristol School District","=""0179011""","Alternative Special Education Program (ASEP)","Math","Non-ELL",9,"*","*"
"=""0170011""","Bristol School District","=""0175111""","Chippens Hill Middle School","ELA","ELL",13,"*","*"
"=""0170011""","Bristol School District","=""0175111""","Chippens Hill Middle School","ELA","Non-ELL",647,"35.7%","55.5%"
"=""0170011""","Bristol School District","=""0175111""","Chippens Hill Middle School","Math","ELL",16,"*","*"
"=""0170011""","Bristol School District","=""0175111""","Chippens Hill Middle School","Math","Non-ELL",648,"42.4%","61.8%"
"=""0170011""","Bristol School District","=""0173411""","Chms Goal","ELA","Non-ELL",7,"*","*"
"=""0170011""","Bristol School District","=""0173411""","Chms Goal","Math","Non-ELL",6,"*","*"
"=""0170011""","Bristol School District","=""0170311""","Edgewood School","ELA","ELL",9,"*","*"
"=""0170011""","Bristol School District","=""0170311""","Edgewood School","ELA","Non-ELL",106,"44.3%","72.6%"
"=""0170011""","Bristol School District","=""0170311""","Edgewood School","Math","ELL",9,"*","*"
"=""0170011""","Bristol School District","=""0170311""","Edgewood School","Math","Non-ELL",106,"40.6%","63.8%"
"=""0170011""","Bristol School District","=""0171411""","Ellen P. Hubbell School","ELA","ELL","*","*","*"
"=""0170011""","Bristol School District","=""0171411""","Ellen P. Hubbell School","ELA","Non-ELL","*","40.0%","60.4%"
"=""0170011""","Bristol School District","=""0171411""","Ellen P. Hubbell School","Math","ELL",6,"*","*"
"=""0170011""","Bristol School District","=""0171411""","Ellen P. Hubbell School","Math","Non-ELL",105,"41.0%","73.0%"
